Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
02/02/2021,112.18,113.3,112.15,113.19,1.69,1.52,127438
01/02/2021,110,111.72,108.98,111.5,0.85,0.77,76913
29/01/2021,112.56,112.66,110.26,110.65,-0.74,-0.66,119897
28/01/2021,112.73,112.73,110.43,111.39,-2.1,-1.85,129714
27/01/2021,114.05,114.16,113.22,113.49,-0.66,-0.58,76826
25/01/2021,114.11,114.35,113.95,114.15,0.45,0.4,28558
22/01/2021,114.14,114.17,113.7,113.7,-0.39,-0.34,44420
21/01/2021,114.4,114.4,113.87,114.09,0.7,0.62,68100
20/01/2021,113.05,113.64,113.02,113.39,0.45,0.4,21608
19/01/2021,112.3,113.01,112.15,112.94,1.43,1.28,28295
18/01/2021,111.97,112.08,111.31,111.51,-1.05,-0.93,19688
15/01/2021,112.72,113.09,112.5,112.56,0.11,0.1,49460
14/01/2021,111.96,112.66,111.69,112.45,0.46,0.41,50265
13/01/2021,111.68,112.04,111.31,111.99,0.09,0.08,20396
12/01/2021,112.3,112.79,111.9,111.9,-0.28,-0.25,29975
11/01/2021,112.99,113.1,112,112.18,-0.82,-0.73,37661
08/01/2021,112.5,113,112.36,113,0.4,0.36,14361
07/01/2021,111.31,112.8,111.31,112.6,2.16,1.96,40129
06/01/2021,111.34,111.63,110.18,110.44,-1.11,-1,56636
05/01/2021,111.4,111.68,110.87,111.55,-0.11,-0.1,104942
04/01/2021,111.41,111.99,110.55,111.66,0.79,0.71,36023
31/12/2020,112.2,112.35,110.87,110.87,-1.31,-1.17,32111
30/12/2020,112.4,112.4,111.54,112.18,-0.32,-0.28,33201
29/12/2020,113.77,113.77,112.25,112.5,0.41,0.37,34910
24/12/2020,112.08,112.61,112.08,112.09,0.49,0.44,47370
23/12/2020,111.55,112.02,111.42,111.6,0.69,0.62,96074
22/12/2020,111.97,111.97,110.67,110.91,-1.09,-0.97,43112
21/12/2020,112.22,112.24,111.5,112,-0.34,-0.3,46216
18/12/2020,113.44,113.44,112.26,112.34,-1.16,-1.02,60730
17/12/2020,112.68,113.77,112.67,113.5,1.16,1.03,44441
16/12/2020,112.23,112.94,112.23,112.34,0.94,0.84,37909
15/12/2020,111.77,111.84,111.3,111.4,-1.33,-1.18,53235
14/12/2020,111.75,112.94,111.68,112.73,0.91,0.81,26807
11/12/2020,111.94,112.09,111.49,111.82,-0.68,-0.6,29442
10/12/2020,112.84,112.85,112.21,112.5,-0.61,-0.54,28976
09/12/2020,112.89,113.4,112.78,113.11,0.72,0.64,26406
08/12/2020,112.1,112.66,111.95,112.39,0.28,0.25,36181
07/12/2020,112.26,112.82,111.75,112.11,0.52,0.47,37037
04/12/2020,111.26,111.77,111.25,111.59,0.19,0.17,50825
03/12/2020,111.31,111.49,110.97,111.4,0.49,0.44,75816
02/12/2020,111.16,111.36,110.27,110.91,0.21,0.19,84672
01/12/2020,109.84,111.76,109.45,110.7,1.11,1.01,54910
30/11/2020,111.47,111.65,109.59,109.59,-1.51,-1.36,63838
27/11/2020,111.57,111.61,110.78,111.1,-0.47,-0.42,31013
26/11/2020,112.56,112.59,111.57,111.57,-0.83,-0.74,44266
25/11/2020,112.52,112.79,112.35,112.4,0.56,0.5,105642
24/11/2020,110.79,112.28,110.79,111.84,1.57,1.42,32214
23/11/2020,110.29,110.89,110.17,110.27,0.43,0.39,41804
20/11/2020,110,110.96,109.76,109.84,0.1,0.09,28958
19/11/2020,109.5,109.75,109.08,109.74,0.18,0.16,109239
18/11/2020,109.36,109.94,109.28,109.56,0.41,0.38,34309
17/11/2020,110,110,109.05,109.15,0.58,0.53,259976
16/11/2020,108.42,109.12,108.42,108.57,0.96,0.89,3087
13/11/2020,107.46,107.79,107.11,107.61,-0.19,-0.18,24567
12/11/2020,108.8,108.84,107.5,107.8,-0.5,-0.46,31328
11/11/2020,107.56,108.3,107.42,108.3,2.05,1.93,61419
10/11/2020,107.88,108.11,106.09,106.25,0.63,0.6,112313
09/11/2020,104.32,105.79,104.32,105.62,2.08,2.01,39506
06/11/2020,103.52,104,103.35,103.54,0.71,0.69,43702
05/11/2020,102.2,103.04,101.98,102.83,1.37,1.35,74203
04/11/2020,101.61,102.19,100.39,101.46,-0.27,-0.27,37335
03/11/2020,100.94,102.09,100.01,101.73,1.99,2,38919
02/11/2020,99.79,99.9,98.88,99.74,0.47,0.47,101794
30/10/2020,100.75,100.75,99.27,99.27,-0.78,-0.78,43494
29/10/2020,100.1,100.41,99.55,100.05,-1.66,-1.63,57459
28/10/2020,101.45,101.92,100.61,101.71,0.3,0.3,18892
27/10/2020,102.42,102.42,101.1,101.41,-1.82,-1.76,25756
26/10/2020,103.21,104,103.2,103.23,-0.2,-0.19,19662
23/10/2020,103.56,103.57,102.98,103.43,0.22,0.21,44984
22/10/2020,102.71,103.45,102.14,103.21,-0.54,-0.52,61991
21/10/2020,104.19,104.19,103.55,103.75,0.08,0.08,21980
20/10/2020,104.08,104.6,103.6,103.67,-0.98,-0.94,30289
19/10/2020,104.2,104.71,104.14,104.65,1.06,1.02,22810
