Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
03/02/2021,10.45,10.68,10.42,10.47,0.02,0.19,4112091
02/02/2021,10.85,10.87,10.28,10.45,-0.34,-3.15,8073123
01/02/2021,10.75,10.94,10.71,10.79,0.09,0.84,4464136
29/01/2021,10.85,10.9,10.67,10.7,0.05,0.47,6379633
28/01/2021,10.65,10.99,10.43,10.65,-0.01,-0.09,9944860
27/01/2021,10.32,10.75,10.31,10.66,0.47,4.61,6917968
25/01/2021,10.2,10.24,10.09,10.19,0.05,0.49,2061617
22/01/2021,10.1,10.24,10.05,10.14,0.04,0.4,3545589
21/01/2021,10.3,10.34,10.09,10.1,-0.12,-1.17,3615165
20/01/2021,10.22,10.365,10.175,10.22,0.03,0.29,2967388
19/01/2021,10.08,10.24,10.02,10.19,0.1,0.99,2729707
18/01/2021,10.18,10.2,10,10.09,-0.12,-1.18,3801719
15/01/2021,10.31,10.38,10.16,10.21,-0.09,-0.87,5539601
14/01/2021,10.55,10.57,10.3,10.3,-0.2,-1.9,3811991
13/01/2021,10.51,10.56,10.41,10.5,-0.08,-0.76,7166027
12/01/2021,10.65,10.755,10.525,10.58,-0.04,-0.38,3941613
11/01/2021,10.96,10.98,10.53,10.62,-0.32,-2.93,3420440
08/01/2021,10.92,10.98,10.8,10.94,0.02,0.18,3631675
07/01/2021,11.06,11.1,10.88,10.92,-0.03,-0.27,4009977
06/01/2021,11.42,11.47,10.9,10.95,-0.47,-4.12,8389124
05/01/2021,11.6,11.6,11.36,11.42,-0.23,-1.97,4083526
04/01/2021,11.5,11.69,11.48,11.65,0.2,1.75,2277071
31/12/2020,11.5,11.55,11.34,11.45,0.01,0.09,1951038
30/12/2020,11.69,11.75,11.3,11.44,-0.15,-1.29,4115792
29/12/2020,11.28,11.61,11.18,11.59,0.64,5.84,6337063
24/12/2020,11.3,11.39,10.92,10.95,-0.08,-0.73,5312561
23/12/2020,11.16,11.28,10.95,11.03,0.26,2.41,11362772
22/12/2020,10.44,10.84,10.25,10.77,0.51,4.97,12705532
21/12/2020,10.01,10.5,9.9,10.26,0.12,1.18,12632601
18/12/2020,10.34,10.62,9.82,10.14,-3.14,-23.64,32544808
16/12/2020,13.35,13.41,13.17,13.28,0,0,2402328
15/12/2020,13.25,13.4,13.24,13.28,0.12,0.91,3026872
14/12/2020,13.07,13.31,12.95,13.16,0.1,0.77,3188955
11/12/2020,13.2,13.31,13.06,13.06,-0.14,-1.06,2351189
10/12/2020,13.15,13.28,13.11,13.2,0.02,0.15,2982691
09/12/2020,13.3,13.38,13.13,13.18,-0.1,-0.75,2816913
08/12/2020,13.3,13.39,13.24,13.28,-0.02,-0.15,2779948
07/12/2020,13.55,13.59,13.29,13.3,-0.18,-1.34,3513985
04/12/2020,13.01,13.52,13.01,13.48,0.42,3.22,4205537
03/12/2020,13.38,13.47,13,13.06,-0.34,-2.54,10208039
02/12/2020,13.65,13.76,13.38,13.4,-0.21,-1.54,3889876
01/12/2020,13.75,13.79,13.51,13.61,-0.21,-1.52,4146083
30/11/2020,14,14.07,13.63,13.82,-0.08,-0.58,4551882
27/11/2020,14,14.07,13.85,13.9,-0.04,-0.29,3597617
26/11/2020,13.84,14.26,13.745,13.94,0.19,1.38,4152182
25/11/2020,13.81,13.84,13.67,13.75,0.02,0.15,5921101
24/11/2020,13.7,13.81,13.65,13.73,0.08,0.59,2466318
23/11/2020,13.89,13.89,13.64,13.65,-0.25,-1.8,2842345
20/11/2020,13.8,14.04,13.64,13.9,0.1,0.72,3742527
19/11/2020,13.9,13.94,13.65,13.8,-0.18,-1.29,6526797
18/11/2020,14.96,15.05,13.91,13.98,-0.71,-4.83,15307264
17/11/2020,14.65,14.8,14.52,14.69,0.1,0.69,8563896
16/11/2020,14.7,14.7,14.52,14.59,0.14,0.97,253452
13/11/2020,14.8,14.84,14.45,14.45,-0.23,-1.57,2888709
12/11/2020,14.63,14.85,14.6,14.68,0.25,1.73,2950597
11/11/2020,14.45,14.55,14.22,14.43,0.11,0.77,3036575
10/11/2020,14.7,14.9,14.32,14.32,0.02,0.14,4367558
09/11/2020,13.99,14.54,13.9,14.3,0.59,4.3,4612902
06/11/2020,13.59,13.84,13.47,13.71,0.29,2.16,3264240
05/11/2020,13.32,13.45,13.16,13.42,0.21,1.59,2756571
04/11/2020,13.45,13.48,13.04,13.21,-0.19,-1.42,4038345
03/11/2020,13.44,13.51,13.28,13.4,-0.08,-0.59,3565113
02/11/2020,13.76,13.78,13.26,13.48,-0.19,-1.39,4080749
30/10/2020,14.01,14.11,13.67,13.67,-0.29,-2.08,4164724
29/10/2020,14.2,14.2,13.92,13.96,-0.34,-2.38,5376149
28/10/2020,14.2,14.41,14.18,14.3,0.06,0.42,4357807
27/10/2020,14.35,14.43,14.13,14.24,-0.19,-1.32,4729566
26/10/2020,14.44,14.65,14.37,14.43,-0.02,-0.14,3364457
23/10/2020,14.48,14.54,14.28,14.45,-0.02,-0.14,3415351
22/10/2020,14.3,14.53,14.22,14.47,0.12,0.84,3664644
21/10/2020,14.65,14.69,14.31,14.35,-0.35,-2.38,4245934
20/10/2020,14.62,14.75,14.55,14.7,0.08,0.55,3435098
19/10/2020,14.63,14.69,14.5,14.62,-0.01,-0.07,3241859
16/10/2020,14.72,14.76,14.58,14.63,-0.04,-0.27,3491128
15/10/2020,15.15,15.15,14.6,14.67,-0.24,-1.61,3860952
14/10/2020,14.95,15.29,14.91,14.91,0.06,0.4,3903770
13/10/2020,14.68,14.98,14.61,14.85,0.31,2.13,3059049
12/10/2020,14.49,14.59,14.43,14.54,0.19,1.32,2993837
09/10/2020,14.45,14.49,14.27,14.35,-0.03,-0.21,2317124
08/10/2020,14.55,14.59,14.35,14.38,0.04,0.28,2913218
07/10/2020,14.29,14.49,14.24,14.34,0.18,1.27,3796954
06/10/2020,14.45,14.49,14.16,14.16,-0.07,-0.49,3053466
05/10/2020,14.13,14.29,14.02,14.23,0.25,1.79,2870335
02/10/2020,14.1,14.15,13.91,13.98,-0.04,-0.29,4543937
01/10/2020,14.32,14.39,13.87,14.02,-0.03,-0.21,9245156
30/09/2020,14.52,14.62,13.96,14.05,-0.54,-3.7,16361215
29/09/2020,15.15,15.18,14.49,14.59,-0.61,-4.01,15454296
28/09/2020,15.59,15.89,15.2,15.2,-1.96,-11.42,13403259
25/09/2020,17.02,17.24,16.95,17.16,0.42,2.51,3112323
24/09/2020,16.86,16.94,16.74,16.74,-0.28,-1.65,1689665
