Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,2.91,2.96,2.84,2.87,-0.03,-1.03,2251164
28/01/2021,2.94,2.95,2.86,2.9,-0.08,-2.68,1446590
27/01/2021,2.98,2.99,2.94,2.98,0,0,1569756
25/01/2021,2.99,3,2.97,2.98,-0.03,-1,674384
22/01/2021,2.98,3.025,2.98,3.01,0.02,0.67,873835
21/01/2021,3.03,3.06,2.98,2.99,-0.04,-1.32,1097247
20/01/2021,3.02,3.055,3.01,3.03,-0.02,-0.66,870455
19/01/2021,3.01,3.06,3.01,3.05,0.04,1.33,965304
18/01/2021,3.08,3.1,2.99,3.01,-0.1,-3.22,1470109
15/01/2021,3.09,3.15,3.05,3.11,0.01,0.32,1309033
14/01/2021,3.2,3.22,3.085,3.1,-0.16,-4.91,1932296
13/01/2021,3.22,3.3,3.22,3.26,0.03,0.93,744304
12/01/2021,3.27,3.29,3.225,3.23,-0.03,-0.92,591736
11/01/2021,3.28,3.33,3.25,3.26,-0.05,-1.51,479173
08/01/2021,3.31,3.36,3.3,3.31,-0.02,-0.6,499574
07/01/2021,3.29,3.37,3.29,3.33,0.04,1.22,759665
06/01/2021,3.28,3.36,3.28,3.29,-0.03,-0.9,716898
05/01/2021,3.34,3.35,3.295,3.32,-0.07,-2.06,897019
04/01/2021,3.35,3.4,3.32,3.39,0.04,1.19,1123573
31/12/2020,3.3,3.36,3.3,3.35,0.06,1.82,748077
30/12/2020,3.21,3.3,3.21,3.29,0.03,0.92,884250
29/12/2020,3.28,3.28,3.21,3.26,0.04,1.24,780485
24/12/2020,3.17,3.25,3.17,3.22,0.01,0.31,477318
23/12/2020,3.14,3.225,3.14,3.21,0.07,2.23,769161
22/12/2020,3.26,3.26,3.13,3.14,-0.11,-3.38,1867734
21/12/2020,3.28,3.34,3.22,3.25,-0.04,-1.22,1774869
18/12/2020,3.48,3.48,3.29,3.29,-0.29,-8.1,3047118
17/12/2020,3.5,3.6,3.45,3.58,0.16,4.68,4131136
16/12/2020,3.35,3.46,3.35,3.42,0.09,2.7,1692375
15/12/2020,3.25,3.39,3.25,3.33,0.04,1.22,1835416
14/12/2020,3.2,3.38,3.2,3.29,0.06,1.86,3595581
11/12/2020,3.16,3.26,3.16,3.23,0.04,1.25,1382394
10/12/2020,3.22,3.26,3.16,3.19,-0.03,-0.93,1230365
09/12/2020,3.2,3.29,3.185,3.22,0,0,1444607
08/12/2020,3.2,3.29,3.19,3.22,0.02,0.62,2007257
07/12/2020,3.21,3.24,3.19,3.2,-0.03,-0.93,1266108
04/12/2020,3.14,3.24,3.14,3.23,0.1,3.19,1235142
03/12/2020,3.14,3.175,3.11,3.13,-0.02,-0.63,962250
02/12/2020,3.16,3.16,3.11,3.15,0.01,0.32,896709
01/12/2020,3.1,3.16,3.1,3.14,0.05,1.62,1051786
30/11/2020,3.15,3.2,3.09,3.09,-0.07,-2.22,1605956
27/11/2020,3.15,3.19,3.13,3.16,-0.02,-0.63,1442789
26/11/2020,3.28,3.29,3.16,3.18,-0.11,-3.34,1063820
25/11/2020,3.21,3.365,3.21,3.29,0.09,2.81,3413829
24/11/2020,3.05,3.2,3.05,3.2,0.15,4.92,2146233
23/11/2020,3,3.06,2.975,3.05,0.05,1.67,1463139
20/11/2020,3.02,3.08,2.99,3,-0.03,-0.99,3049063
19/11/2020,3.1,3.1,3,3.03,-0.05,-1.62,2942844
18/11/2020,3.12,3.14,3.045,3.08,-0.05,-1.6,3074605
17/11/2020,3.18,3.18,3.1,3.13,-0.04,-1.26,2721340
16/11/2020,3.16,3.23,3.16,3.17,0.01,0.32,165776
13/11/2020,3.23,3.245,3.15,3.16,-0.09,-2.77,1643197
12/11/2020,3.28,3.31,3.22,3.25,-0.02,-0.61,1104240
11/11/2020,3.25,3.29,3.22,3.27,0.04,1.24,1940614
10/11/2020,3.26,3.28,3.2,3.23,0.02,0.62,1717567
09/11/2020,3.21,3.25,3.16,3.21,0,0,1304532
06/11/2020,3.14,3.22,3.12,3.21,0.1,3.22,3865351
05/11/2020,3.12,3.13,3.09,3.11,-0.02,-0.64,2478066
04/11/2020,3.05,3.13,3.01,3.13,0.08,2.62,1581319
03/11/2020,3.07,3.1,3,3.05,0.1,3.39,1901421
02/11/2020,2.84,2.98,2.84,2.95,0.12,4.24,2026015
30/10/2020,2.91,2.94,2.82,2.83,-0.12,-4.07,3102052
29/10/2020,2.87,2.98,2.84,2.95,0.05,1.72,3439869
28/10/2020,3.03,3.03,2.86,2.9,-0.17,-5.54,4014818
27/10/2020,3.1,3.11,3.05,3.07,-0.06,-1.92,1651369
26/10/2020,3.17,3.19,3.12,3.13,-0.04,-1.26,1102284
23/10/2020,3.1,3.2,3.1,3.17,0.03,0.96,1512861
22/10/2020,3.15,3.17,3.08,3.14,-0.01,-0.32,1305769
21/10/2020,3.15,3.18,3.12,3.15,0,0,1177932
20/10/2020,3.14,3.19,3.1,3.15,0.01,0.32,2156449
19/10/2020,3.11,3.14,3.095,3.14,0.05,1.62,977967
16/10/2020,3.13,3.155,3.05,3.09,-0.04,-1.28,1737592
15/10/2020,3.23,3.26,3.11,3.13,-0.05,-1.57,3367413
14/10/2020,3.14,3.23,3.115,3.18,0.02,0.63,2714022
13/10/2020,3.2,3.23,3.16,3.16,-0.05,-1.56,901510
12/10/2020,3.24,3.27,3.2,3.21,-0.02,-0.62,1199569
09/10/2020,3.15,3.27,3.14,3.23,0.06,1.89,1902803
08/10/2020,3.23,3.23,3.14,3.17,-0.04,-1.25,1905318
07/10/2020,3.11,3.21,3.05,3.21,0.1,3.22,4460463
06/10/2020,3,3.14,2.99,3.11,0.13,4.36,4072238
05/10/2020,2.93,2.995,2.92,2.98,0.12,4.2,1835440
02/10/2020,2.87,2.91,2.85,2.86,-0.06,-2.05,2339198
01/10/2020,2.84,2.94,2.84,2.92,0.07,2.46,3041734
30/09/2020,2.84,2.88,2.81,2.85,-0.04,-1.38,3423865
29/09/2020,2.88,2.91,2.86,2.89,0.02,0.7,1454494
28/09/2020,2.85,2.89,2.83,2.87,0.04,1.41,2080183
25/09/2020,2.69,2.87,2.69,2.83,0.12,4.43,3243359
24/09/2020,2.75,2.78,2.7,2.71,-0.07,-2.52,3381823
23/09/2020,2.74,2.785,2.68,2.78,0.04,1.46,3957241
22/09/2020,2.7,2.76,2.67,2.74,-0.05,-1.79,3155137
21/09/2020,2.77,2.83,2.77,2.79,-0.05,-1.76,2119540
