Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,2.73,2.78,2.73,2.73,0.01,0.37,1481349
28/01/2021,2.71,2.74,2.68,2.72,-0.02,-0.73,1681310
27/01/2021,2.78,2.78,2.72,2.74,-0.03,-1.08,1772449
25/01/2021,2.76,2.79,2.76,2.77,0.01,0.36,862997
22/01/2021,2.71,2.76,2.71,2.76,0.02,0.73,1149251
21/01/2021,2.77,2.8,2.705,2.74,0.01,0.37,1809877
20/01/2021,2.72,2.74,2.7,2.73,-0.01,-0.36,1887282
19/01/2021,2.73,2.76,2.71,2.74,0.03,1.11,1135128
18/01/2021,2.73,2.78,2.675,2.71,-0.02,-0.73,1231250
15/01/2021,2.78,2.8,2.73,2.73,-0.04,-1.44,1793024
14/01/2021,2.81,2.84,2.74,2.77,-0.13,-4.48,1394701
13/01/2021,2.9,2.92,2.87,2.9,0.04,1.4,1815051
12/01/2021,2.87,2.9,2.86,2.86,0,0,1469798
11/01/2021,2.89,2.91,2.85,2.86,0,0,2614324
08/01/2021,2.89,2.89,2.825,2.86,0.02,0.7,1056414
07/01/2021,2.88,2.92,2.84,2.84,-0.02,-0.7,1163606
06/01/2021,2.84,2.88,2.83,2.86,-0.01,-0.35,1203564
05/01/2021,2.85,2.88,2.83,2.87,-0.02,-0.69,1051397
04/01/2021,2.88,2.91,2.87,2.89,0.02,0.7,888853
31/12/2020,2.95,2.97,2.87,2.87,-0.09,-3.04,827889
30/12/2020,2.88,2.96,2.87,2.96,0.07,2.42,2174419
29/12/2020,2.94,2.95,2.88,2.89,0.01,0.35,852125
24/12/2020,2.83,2.9,2.82,2.88,0.03,1.05,483851
23/12/2020,2.82,2.86,2.77,2.85,0.05,1.79,1968748
22/12/2020,2.91,2.91,2.79,2.8,-0.07,-2.44,2649297
21/12/2020,2.92,2.94,2.82,2.87,-0.06,-2.05,2453990
18/12/2020,3.03,3.04,2.93,2.93,-0.1,-3.3,3204281
17/12/2020,3.05,3.08,3.01,3.03,0,0,1754446
16/12/2020,3.05,3.09,3.01,3.03,-0.02,-0.66,2958945
15/12/2020,3.05,3.07,3.02,3.05,0.05,1.67,2405458
14/12/2020,3,3.04,3,3,-0.02,-0.66,1368282
11/12/2020,2.97,3.02,2.94,3.02,0.05,1.68,1456646
10/12/2020,2.95,2.99,2.93,2.97,0.02,0.68,2056951
09/12/2020,3.1,3.12,2.93,2.95,-0.15,-4.84,2810855
07/12/2020,3.12,3.16,3.09,3.1,-0.05,-1.59,895789
04/12/2020,3.16,3.22,3.14,3.15,0,0,759498
03/12/2020,3.13,3.16,3.1,3.15,0,0,687985
02/12/2020,3.13,3.16,3.1,3.15,0.01,0.32,532671
01/12/2020,3.11,3.16,3.11,3.14,0.01,0.32,576583
30/11/2020,3.25,3.25,3.13,3.13,-0.04,-1.26,932449
27/11/2020,3.14,3.185,3.12,3.17,0.01,0.32,282258
26/11/2020,3.18,3.22,3.14,3.16,-0.01,-0.32,445981
25/11/2020,3.15,3.18,3.14,3.17,0.03,0.96,1010442
24/11/2020,3.1,3.15,3.1,3.14,0.03,0.96,731298
23/11/2020,3.15,3.15,3.09,3.11,-0.04,-1.27,566312
20/11/2020,3.15,3.165,3.13,3.15,-0.02,-0.63,489719
19/11/2020,3.13,3.19,3.11,3.17,0.03,0.96,1038384
18/11/2020,3.22,3.23,3.12,3.14,-0.05,-1.57,2091280
17/11/2020,3.17,3.25,3.16,3.19,0.02,0.63,1414804
