Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,11.45,11.51,11.265,11.45,-0.02,-0.17,3403621
29/01/2021,11.7,11.74,11.41,11.47,-0.17,-1.46,8445861
28/01/2021,11.55,11.71,11.51,11.64,0.09,0.78,4056166
27/01/2021,11.63,11.67,11.4,11.55,-0.1,-0.86,4863424
25/01/2021,11.82,11.85,11.61,11.65,-0.13,-1.1,2581126
22/01/2021,11.85,11.88,11.71,11.78,-0.08,-0.67,4657653
21/01/2021,11.95,11.96,11.78,11.86,0,0,2503559
20/01/2021,11.79,11.93,11.68,11.86,0.06,0.51,3074520
19/01/2021,11.9,11.92,11.75,11.8,-0.06,-0.51,3254066
18/01/2021,12.04,12.1,11.85,11.86,-0.14,-1.17,2814018
15/01/2021,12.14,12.22,12,12,-0.19,-1.56,3218947
14/01/2021,12.08,12.255,12.04,12.19,0.12,0.99,2624927
13/01/2021,11.94,12.1,11.87,12.07,0.12,1,2420977
12/01/2021,12.15,12.17,11.95,11.95,-0.28,-2.29,3813853
11/01/2021,12.07,12.26,12.05,12.23,0.16,1.33,2746637
08/01/2021,12.1,12.14,12.02,12.07,-0.03,-0.25,1950720
07/01/2021,12.11,12.17,12.03,12.1,0.07,0.58,2181431
06/01/2021,12,12.17,11.98,12.03,0.03,0.25,2643113
05/01/2021,12,12.07,11.96,12,-0.12,-0.99,2743278
04/01/2021,12,12.14,11.96,12.12,0.17,1.42,1996271
31/12/2020,12.06,12.07,11.95,11.95,-0.12,-0.99,1317775
30/12/2020,12.07,12.12,12.01,12.07,0.02,0.17,1761647
29/12/2020,12.13,12.18,11.98,12.05,-0.01,-0.08,2448074
24/12/2020,12.11,12.19,12.06,12.06,0.02,0.17,1008631
23/12/2020,12.01,12.43,12.005,12.04,0.07,0.58,4758045
22/12/2020,12.44,12.52,11.96,11.97,-0.57,-4.55,7326305
21/12/2020,13.19,13.22,12.38,12.54,-0.68,-5.14,5868071
18/12/2020,13.08,13.3,12.97,13.22,0.14,1.07,9293217
17/12/2020,12.82,13.11,12.8,13.08,0.21,1.63,4234604
16/12/2020,13,13.05,12.87,12.87,0.02,0.16,3125145
15/12/2020,13.31,13.33,12.85,12.85,-0.66,-4.89,6817930
14/12/2020,13.33,13.625,13.33,13.51,0.18,1.35,2936433
11/12/2020,13.48,13.55,13.29,13.33,-0.12,-0.89,5089902
10/12/2020,13.3,13.54,13.26,13.45,0.11,0.82,3229948
09/12/2020,13.3,13.475,13.285,13.34,0.04,0.3,2994294
08/12/2020,13.36,13.38,13.21,13.3,-0.07,-0.52,3537262
07/12/2020,13.55,13.59,13.32,13.37,-0.15,-1.11,2829959
04/12/2020,13.5,13.74,13.5,13.52,0.06,0.45,2495790
03/12/2020,13.68,13.74,13.44,13.46,-0.16,-1.17,4000066
02/12/2020,13.55,13.66,13.495,13.62,0.08,0.59,1774905
01/12/2020,13.47,13.585,13.32,13.54,0.04,0.3,2428485
30/11/2020,13.75,13.86,13.5,13.5,-0.22,-1.6,4863255
27/11/2020,14.12,14.17,13.67,13.72,-0.43,-3.04,3283658
26/11/2020,14.05,14.38,14.01,14.15,0.22,1.58,3716159
25/11/2020,13.64,14.045,13.64,13.93,0.47,3.49,5665729
24/11/2020,13.48,13.6,13.43,13.46,0.07,0.52,3431755
23/11/2020,13.18,13.49,13.12,13.39,0.3,2.29,2996000
20/11/2020,13.03,13.17,12.97,13.09,0.12,0.93,2584029
19/11/2020,12.87,13.1,12.85,12.97,0.1,0.78,2607174
18/11/2020,12.87,13.02,12.82,12.87,-0.02,-0.16,4625080
17/11/2020,13.08,13.12,12.84,12.89,-0.2,-1.53,5001094
16/11/2020,13,13.11,12.97,13.09,0.22,1.71,189369
13/11/2020,13.04,13.04,12.79,12.87,-0.23,-1.76,2927344
12/11/2020,13.35,13.39,13.05,13.1,-0.24,-1.8,3062469
11/11/2020,13.29,13.35,13.14,13.34,0.11,0.83,2809837
10/11/2020,13.05,13.29,13.01,13.23,0.42,3.28,3182018
09/11/2020,12.87,12.99,12.76,12.81,-0.04,-0.31,2179768
