Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,6.8,6.95,6.76,6.83,0.15,2.25,867312
28/01/2021,6.66,6.73,6.61,6.68,-0.06,-0.89,1003334
27/01/2021,6.78,6.82,6.695,6.74,-0.12,-1.75,1041952
25/01/2021,6.84,6.92,6.75,6.86,0.01,0.15,570848
22/01/2021,6.91,6.98,6.71,6.85,-0.05,-0.72,841122
21/01/2021,6.86,6.97,6.85,6.9,0.07,1.02,1301761
20/01/2021,6.72,6.87,6.69,6.83,0.09,1.34,488417
19/01/2021,6.78,6.81,6.64,6.74,-0.06,-0.88,532305
18/01/2021,6.94,6.96,6.78,6.8,-0.2,-2.86,418462
15/01/2021,7.15,7.18,6.99,7,-0.1,-1.41,476322
14/01/2021,7.03,7.15,7.03,7.1,0.05,0.71,483403
13/01/2021,7.14,7.18,6.995,7.05,-0.11,-1.54,388121
12/01/2021,7.25,7.33,7.12,7.16,-0.19,-2.59,393420
11/01/2021,7.35,7.41,7.24,7.35,-0.09,-1.21,528612
08/01/2021,7.3,7.5,7.25,7.44,0.15,2.06,539475
07/01/2021,7.23,7.38,7.21,7.29,0.08,1.11,1111172
06/01/2021,7.1,7.24,7.1,7.21,0.05,0.7,881518
05/01/2021,7.07,7.2,6.99,7.16,0.05,0.7,825076
04/01/2021,7.18,7.19,7.07,7.11,-0.06,-0.84,228183
31/12/2020,7.2,7.21,7.12,7.17,-0.07,-0.97,236351
30/12/2020,7.26,7.26,7.18,7.24,0,0,336262
29/12/2020,7.25,7.26,7.2,7.24,0.06,0.84,225525
24/12/2020,7.3,7.3,7.18,7.18,0,0,158932
23/12/2020,7.18,7.22,7.095,7.18,0.02,0.28,714383
22/12/2020,7.25,7.27,7.13,7.16,-0.08,-1.1,745041
21/12/2020,7.28,7.3,7.11,7.24,-0.14,-1.9,1059347
18/12/2020,7.54,7.6,7.29,7.38,-0.2,-2.64,1310928
17/12/2020,7.47,7.64,7.44,7.58,0.12,1.61,934624
16/12/2020,7.44,7.53,7.39,7.46,0,0,944504
15/12/2020,7.56,7.6,7.43,7.46,-0.01,-0.13,659659
14/12/2020,7.55,7.63,7.46,7.47,-0.12,-1.58,825976
11/12/2020,7.76,7.77,7.49,7.59,-0.14,-1.81,1829568
10/12/2020,7.72,7.76,7.64,7.73,-0.01,-0.13,1100648
09/12/2020,7.58,7.75,7.57,7.74,0.19,2.52,710449
08/12/2020,7.37,7.56,7.37,7.55,0.1,1.34,723740
07/12/2020,7.35,7.57,7.32,7.45,0.13,1.78,1078138
04/12/2020,7.32,7.39,7.32,7.32,-0.02,-0.27,290634
03/12/2020,7.37,7.38,7.32,7.34,-0.1,-1.34,560850
02/12/2020,7.36,7.44,7.35,7.44,0.04,0.54,472343
01/12/2020,7.3,7.41,7.28,7.4,0.09,1.23,713418
30/11/2020,7.35,7.43,7.22,7.31,-0.04,-0.54,871013
27/11/2020,7.38,7.42,7.29,7.35,-0.06,-0.81,563960
26/11/2020,7.43,7.43,7.38,7.41,0,0,451558
25/11/2020,7.37,7.43,7.34,7.41,0.06,0.82,655910
24/11/2020,7.32,7.35,7.24,7.35,0.06,0.82,525812
23/11/2020,7.3,7.32,7.27,7.29,-0.01,-0.14,380315
20/11/2020,7.28,7.36,7.275,7.3,-0.01,-0.14,849522
19/11/2020,7.29,7.36,7.25,7.31,0.01,0.14,616103
18/11/2020,7.34,7.36,7.25,7.3,-0.05,-0.68,557515
17/11/2020,7.38,7.39,7.29,7.35,0.1,1.38,747476
16/11/2020,7.34,7.34,7.25,7.25,-0.01,-0.14,9050
13/11/2020,7.13,7.33,7.11,7.26,0.11,1.54,766083
12/11/2020,7.26,7.29,7.11,7.15,-0.1,-1.38,759299
11/11/2020,7.14,7.255,7.04,7.25,0.11,1.54,1252203
10/11/2020,7.18,7.36,7.09,7.14,0.38,5.62,2099452
09/11/2020,6.7,6.82,6.655,6.76,0.07,1.05,860325
06/11/2020,6.67,6.72,6.59,6.69,-0.01,-0.15,751616
05/11/2020,6.67,6.71,6.59,6.7,-0.03,-0.45,1122663
04/11/2020,6.69,6.89,6.68,6.73,0.04,0.6,1265528
03/11/2020,6.53,6.74,6.53,6.69,0.14,2.14,765473
02/11/2020,6.54,6.58,6.51,6.55,0.01,0.15,966536
30/10/2020,6.61,6.61,6.495,6.54,-0.08,-1.21,848974
29/10/2020,6.69,6.78,6.6,6.62,-0.16,-2.36,2315241
28/10/2020,6.78,6.84,6.69,6.78,-0.01,-0.15,938409
27/10/2020,6.81,6.84,6.71,6.79,-0.05,-0.73,497937
26/10/2020,6.85,6.96,6.84,6.84,-0.04,-0.58,479445
23/10/2020,6.88,6.93,6.8,6.88,0.01,0.15,3415179
22/10/2020,6.77,6.94,6.73,6.87,0.14,2.08,1449470
21/10/2020,6.8,6.83,6.715,6.73,-0.09,-1.32,1259546
20/10/2020,6.75,6.94,6.74,6.82,0.02,0.29,1431331
19/10/2020,6.72,6.865,6.71,6.8,0.07,1.04,728040
16/10/2020,6.83,6.85,6.69,6.73,-0.16,-2.32,1811052
15/10/2020,6.91,6.99,6.89,6.89,0.01,0.15,772171
14/10/2020,6.83,6.91,6.78,6.88,-0.02,-0.29,689705
13/10/2020,6.9,6.98,6.86,6.9,0.02,0.29,912027
12/10/2020,6.99,7,6.855,6.88,-0.11,-1.57,636662
09/10/2020,6.9,7,6.89,6.99,0.02,0.29,866733
08/10/2020,6.96,7.01,6.92,6.97,0.02,0.29,1005255
07/10/2020,6.78,6.97,6.77,6.95,0.17,2.51,964443
06/10/2020,6.78,6.89,6.72,6.78,0,0,1524967
05/10/2020,6.86,6.88,6.74,6.78,0.01,0.15,699001
02/10/2020,6.78,6.94,6.77,6.77,0,0,1752773
01/10/2020,6.74,6.8,6.71,6.77,0.06,0.89,1050826
30/09/2020,6.67,6.75,6.65,6.71,-0.03,-0.45,1183040
29/09/2020,6.7,6.78,6.68,6.74,0.06,0.9,8039343
28/09/2020,6.5,6.78,6.49,6.68,0.16,2.45,1334014
25/09/2020,6.48,6.55,6.45,6.52,0.04,0.62,799034
24/09/2020,6.5,6.58,6.46,6.48,-0.15,-2.26,1202837
23/09/2020,6.43,6.655,6.41,6.63,0.2,3.11,2840572
22/09/2020,6.44,6.455,6.37,6.43,-0.06,-0.92,3024199
21/09/2020,6.45,6.5,6.425,6.49,0,0,1324733
18/09/2020,6.5,6.58,6.41,6.49,0.02,0.31,8282747
17/09/2020,6.55,6.63,6.47,6.47,-0.09,-1.37,1277384
16/09/2020,6.58,6.585,6.455,6.56,0.03,0.46,1400777
15/09/2020,6.5,6.57,6.45,6.53,0.02,0.31,1042771
14/09/2020,6.49,6.57,6.41,6.51,0.03,0.46,648366
11/09/2020,6.41,6.5,6.38,6.48,-0.04,-0.61,1491267
10/09/2020,6.46,6.56,6.46,6.52,0.08,1.24,1273212
09/09/2020,6.36,6.47,6.35,6.44,-0.05,-0.77,703629
08/09/2020,6.55,6.57,6.395,6.49,-0.02,-0.31,613196
07/09/2020,6.5,6.53,6.41,6.51,-0.1,-1.51,1135633
04/09/2020,6.41,6.645,6.41,6.61,0.17,2.64,1910389
03/09/2020,6.26,6.49,6.25,6.44,0.25,4.04,1326758
02/09/2020,6.1,6.22,6.08,6.19,0.09,1.48,689110
01/09/2020,6.08,6.12,5.97,6.1,0.01,0.16,626296
31/08/2020,6.1,6.14,6.06,6.09,0,0,381300
28/08/2020,6.08,6.13,6,6.09,0.02,0.33,527618
27/08/2020,6.04,6.15,5.98,6.07,0.06,1,312267
26/08/2020,6.1,6.1,5.88,6.01,-0.11,-1.8,961331
25/08/2020,6.02,6.15,6.01,6.12,0.05,0.82,414827
24/08/2020,6,6.1,5.98,6.07,0.04,0.66,423685
21/08/2020,5.85,6.05,5.84,6.03,0.17,2.9,1021704
20/08/2020,5.76,5.93,5.74,5.86,0.05,0.86,531428
19/08/2020,5.77,5.87,5.77,5.81,0.08,1.4,627952
18/08/2020,5.7,5.74,5.65,5.73,0.05,0.88,584887
17/08/2020,5.69,5.73,5.65,5.68,-0.02,-0.35,1040213
14/08/2020,5.75,5.77,5.64,5.7,-0.05,-0.87,691196
13/08/2020,5.75,5.84,5.73,5.75,-0.07,-1.2,1524560
12/08/2020,5.65,5.86,5.64,5.82,0.01,0.17,1276581
11/08/2020,5.66,5.83,5.66,5.81,0.07,1.22,582475
10/08/2020,5.78,5.8,5.675,5.74,-0.07,-1.2,666912
07/08/2020,5.8,5.87,5.77,5.81,0.01,0.17,552597
06/08/2020,5.69,5.8,5.68,5.8,0.08,1.4,297143
05/08/2020,5.74,5.78,5.69,5.72,-0.07,-1.21,284056
04/08/2020,5.8,5.86,5.72,5.79,-0.03,-0.52,505283
03/08/2020,5.8,5.94,5.73,5.82,-0.01,-0.17,588702
31/07/2020,5.68,5.92,5.66,5.83,0.15,2.64,631029
30/07/2020,5.72,5.81,5.68,5.68,-0.06,-1.05,638630
29/07/2020,5.7,5.85,5.69,5.74,0,0,456494
28/07/2020,5.94,5.97,5.72,5.74,-0.19,-3.2,431107
27/07/2020,5.86,5.93,5.845,5.93,0.03,0.51,280109
24/07/2020,5.9,5.94,5.79,5.9,-0.01,-0.17,2280228
23/07/2020,5.94,6.02,5.86,5.91,-0.07,-1.17,712325
22/07/2020,5.96,6.04,5.91,5.98,-0.03,-0.5,897701
21/07/2020,5.83,6.06,5.8,6.01,0.23,3.98,1206513
20/07/2020,5.85,5.88,5.78,5.78,-0.03,-0.52,319904
17/07/2020,5.73,5.85,5.71,5.81,-0.04,-0.68,779067
16/07/2020,5.87,5.98,5.77,5.85,0.1,1.74,1060837
15/07/2020,5.68,5.76,5.635,5.75,0.11,1.95,1577404
14/07/2020,5.68,5.75,5.58,5.64,-0.13,-2.25,1036756
13/07/2020,5.89,5.89,5.73,5.77,-0.05,-0.86,487600
10/07/2020,5.85,5.89,5.79,5.82,-0.06,-1.02,541409
09/07/2020,5.91,5.98,5.87,5.88,-0.07,-1.18,481005
08/07/2020,5.96,6,5.9,5.95,-0.01,-0.17,840286
07/07/2020,6.02,6.04,5.94,5.96,-0.02,-0.33,1024976
06/07/2020,6.02,6.08,5.97,5.98,-0.09,-1.48,686166
03/07/2020,6.05,6.23,5.98,6.07,0.06,1,869203
02/07/2020,5.96,6.04,5.92,6.01,0.02,0.33,776182
01/07/2020,6.04,6.08,5.9,5.99,-0.17,-2.76,967344
30/06/2020,6.01,6.22,5.92,6.16,0.3,5.12,1326610
29/06/2020,5.84,6.02,5.8,5.86,0.03,0.51,822346
26/06/2020,5.88,5.93,5.82,5.83,-0.03,-0.51,518433
25/06/2020,5.9,5.99,5.84,5.86,-0.07,-1.18,1326333
24/06/2020,6.08,6.08,5.87,5.93,-0.17,-2.79,751280
23/06/2020,6.17,6.19,6.04,6.1,-0.07,-1.13,500396
22/06/2020,6.25,6.28,6.12,6.17,-0.12,-1.91,568256
19/06/2020,6.14,6.38,6.14,6.29,0.1,1.62,1097627
18/06/2020,6.22,6.255,6.11,6.19,-0.15,-2.37,545470
17/06/2020,6.13,6.44,6.09,6.34,0.24,3.93,934753
16/06/2020,6.13,6.18,6.01,6.1,0.13,2.18,961336
15/06/2020,6.14,6.16,5.95,5.97,-0.15,-2.45,636895
12/06/2020,6,6.15,5.89,6.12,-0.16,-2.55,1077028
11/06/2020,6.41,6.41,6.18,6.28,-0.2,-3.09,737805
10/06/2020,6.52,6.55,6.44,6.48,-0.05,-0.77,770158
09/06/2020,6.73,6.79,6.5,6.53,0.1,1.56,1332508
05/06/2020,6.54,6.57,6.41,6.43,-0.12,-1.83,865005
04/06/2020,6.52,6.67,6.52,6.55,0.15,2.34,977826
03/06/2020,6.23,6.47,6.21,6.4,0.3,4.92,620884
02/06/2020,6.02,6.16,6.02,6.1,0.08,1.33,428350
01/06/2020,5.99,6.03,5.91,6.02,-0.02,-0.33,408435
29/05/2020,6.02,6.11,5.9,6.04,0.02,0.33,922766
28/05/2020,6.16,6.24,5.97,6.02,-0.1,-1.63,1398487
27/05/2020,5.94,6.15,5.87,6.12,0.14,2.34,1596604
26/05/2020,5.63,5.99,5.58,5.98,0.33,5.84,1913320
25/05/2020,5.44,5.67,5.42,5.65,0.23,4.24,1207845
22/05/2020,5.36,5.43,5.35,5.42,0.12,2.26,373928
21/05/2020,5.45,5.47,5.29,5.3,-0.13,-2.39,546431
20/05/2020,5.3,5.45,5.29,5.43,0.09,1.69,738694
19/05/2020,5.29,5.38,5.28,5.34,0.16,3.09,1095837
18/05/2020,5.25,5.33,5.15,5.18,-0.14,-2.63,678570
15/05/2020,5.32,5.37,5.25,5.32,0.02,0.38,611975
14/05/2020,5.32,5.37,5.24,5.3,-0.12,-2.21,569554
13/05/2020,5.41,5.45,5.29,5.42,-0.03,-0.55,539996
12/05/2020,5.63,5.63,5.37,5.45,-0.18,-3.2,767075
11/05/2020,5.36,5.7,5.33,5.63,0.28,5.23,974280
08/05/2020,5.37,5.4,5.29,5.35,-0.04,-0.74,658385
07/05/2020,5.41,5.44,5.33,5.39,-0.1,-1.82,459340
06/05/2020,5.59,5.59,5.45,5.49,-0.1,-1.79,559142
05/05/2020,5.53,5.67,5.46,5.59,0.04,0.72,806995
04/05/2020,5.5,5.58,5.43,5.55,-0.03,-0.54,696642
01/05/2020,5.68,5.68,5.55,5.58,-0.16,-2.79,442950
30/04/2020,5.55,5.85,5.52,5.74,0.14,2.5,1016192
29/04/2020,5.64,5.71,5.54,5.6,-0.13,-2.27,633509
28/04/2020,5.56,5.73,5.52,5.73,0.12,2.14,672569
27/04/2020,5.5,5.76,5.5,5.61,0.21,3.89,956113
24/04/2020,5.41,5.44,5.31,5.4,0.02,0.37,504992
23/04/2020,5.48,5.535,5.31,5.38,-0.08,-1.47,453891
22/04/2020,5.41,5.55,5.39,5.46,-0.12,-2.15,1030826
21/04/2020,5.49,5.66,5.46,5.58,-0.08,-1.41,1227482
20/04/2020,5.73,5.79,5.52,5.66,-0.24,-4.07,1122375
17/04/2020,5.7,5.92,5.7,5.9,0.28,4.98,1466146
16/04/2020,5.64,5.83,5.57,5.62,-0.04,-0.71,1799347
15/04/2020,5.55,5.7,5.52,5.66,0.05,0.89,1575148
14/04/2020,5.43,5.75,5.23,5.61,0.04,0.72,1884151
09/04/2020,5.39,5.73,5.38,5.57,0.25,4.7,1607055
08/04/2020,5.31,5.34,5.18,5.32,0,0,1312213
07/04/2020,5.11,5.54,5.09,5.32,0.45,9.24,2121982
03/04/2020,5,5.015,4.86,4.87,-0.14,-2.79,596232
02/04/2020,5.01,5.18,5,5.01,-0.15,-2.91,381251
01/04/2020,4.99,5.18,4.99,5.16,0.21,4.24,334725
31/03/2020,5.35,5.35,4.92,4.95,-0.2,-3.88,614517
30/03/2020,5,5.3,4.84,5.15,-0.29,-5.33,617574
27/03/2020,6,6.04,5.35,5.44,-0.4,-6.85,789157
26/03/2020,5.94,5.99,5.72,5.84,0.3,5.42,755432
25/03/2020,5.17,5.54,5.17,5.54,0.72,14.94,901525
24/03/2020,4.5,4.84,4.41,4.82,0.32,7.11,1291888
23/03/2020,4.42,4.57,4.17,4.5,-0.45,-9.09,1325119
20/03/2020,4.56,5.06,4.55,4.95,0.46,10.24,1170915
19/03/2020,4.72,4.72,4.38,4.49,-0.51,-10.2,1075077
18/03/2020,5.07,5.21,4.875,5,-0.05,-0.99,806866
17/03/2020,4.93,5.25,4.93,5.05,-0.05,-0.98,871644
16/03/2020,6,6,5.03,5.1,-1.59,-23.77,1356990
13/03/2020,6,6.74,5.77,6.69,-0.11,-1.62,895952
12/03/2020,7.15,7.18,6.78,6.8,-0.52,-7.1,558221
11/03/2020,7.45,7.64,7.23,7.32,-0.12,-1.61,369930
10/03/2020,7.07,7.5,7,7.44,0.07,0.95,479975
09/03/2020,7.42,7.49,7.32,7.37,-0.22,-2.9,554613
06/03/2020,7.44,7.63,7.44,7.59,0.07,0.93,350256
05/03/2020,7.52,7.59,7.47,7.52,0.19,2.59,235818
04/03/2020,7.41,7.41,7.31,7.33,-0.15,-2.01,331487
03/03/2020,7.39,7.73,7.36,7.48,0.2,2.75,862394
02/03/2020,7.43,7.43,7.17,7.28,-0.35,-4.59,488351
28/02/2020,7.58,7.63,7.5,7.63,-0.1,-1.29,660763
27/02/2020,7.82,7.92,7.69,7.73,-0.07,-0.9,134366
26/02/2020,7.8,7.83,7.71,7.8,-0.15,-1.89,259309
25/02/2020,7.8,7.97,7.78,7.95,0.02,0.25,314896
24/02/2020,8.09,8.11,7.9,7.93,-0.3,-3.65,282768
21/02/2020,8.19,8.32,8.19,8.23,0.05,0.61,129846
20/02/2020,8.15,8.27,8.07,8.18,0.18,2.25,366266
19/02/2020,7.97,8.08,7.93,8,-0.06,-0.74,89942
18/02/2020,8.1,8.14,8.01,8.06,0.02,0.25,109755
17/02/2020,8.04,8.06,8,8.04,-0.08,-0.99,94617
14/02/2020,8.11,8.2,8.05,8.12,-0.06,-0.73,249235
13/02/2020,8.21,8.29,8.1,8.18,-0.04,-0.49,231687
12/02/2020,8.2,8.29,8.15,8.22,0,0,139420
11/02/2020,8.23,8.28,8.16,8.22,-0.03,-0.36,274266
10/02/2020,8.23,8.27,8.21,8.25,-0.13,-1.55,176229
07/02/2020,8.28,8.43,8.28,8.38,0.18,2.2,209582
06/02/2020,8.2,8.27,8.2,8.2,0.02,0.24,133139
05/02/2020,8,8.21,8,8.18,0.2,2.51,326753
04/02/2020,8.05,8.05,7.88,7.98,-0.11,-1.36,249585
03/02/2020,8.17,8.19,8.06,8.09,-0.25,-3,91351
31/01/2020,8.22,8.36,8.2,8.34,0.1,1.21,97511
