Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,26.6,26.735,25.97,26.17,-0.29,-1.1,2489075
28/01/2021,27.51,27.7,26.35,26.46,-1.34,-4.82,1387487
27/01/2021,29.1,29.1,27.74,27.8,-1.44,-4.92,1468127
25/01/2021,30.4,30.72,28.86,29.24,-1.51,-4.91,2561545
22/01/2021,30.63,30.81,30.4,30.75,-0.1,-0.32,3220725
21/01/2021,31.04,31.31,30.67,30.85,-0.15,-0.48,1540868
20/01/2021,30.69,31.45,30.5,31,0.61,2.01,1508988
19/01/2021,30.26,30.76,30.12,30.39,0.4,1.33,1317016
18/01/2021,29.5,30.43,29.21,29.99,1.14,3.95,1214560
15/01/2021,28.45,28.89,28.26,28.85,0.27,0.94,657037
14/01/2021,28.16,28.88,28.16,28.58,0.03,0.11,900380
13/01/2021,27.99,28.55,27.99,28.55,0.47,1.67,630822
12/01/2021,27.65,28.3,27.65,28.08,0.15,0.54,456095
11/01/2021,28.1,28.65,27.8,27.93,-0.68,-2.38,471572
08/01/2021,28.46,28.76,28.1,28.61,0.37,1.31,630757
07/01/2021,27.87,28.29,27.66,28.24,0.5,1.8,730619
06/01/2021,27.96,28.535,27.55,27.74,-0.34,-1.21,839669
05/01/2021,27.91,28.18,27.62,28.08,-0.16,-0.57,427715
04/01/2021,28,28.35,28,28.24,-0.18,-0.63,283070
31/12/2020,28.37,28.67,28.13,28.42,-0.02,-0.07,226864
30/12/2020,28.4,28.78,28.01,28.44,0.11,0.39,369292
29/12/2020,28.6,28.7,28.14,28.33,-0.01,-0.04,281315
24/12/2020,28.05,28.5,28.05,28.34,0.17,0.6,151461
23/12/2020,28.08,28.26,27.88,28.17,0.33,1.19,400819
22/12/2020,28.26,28.99,27.64,27.84,-0.64,-2.25,677630
21/12/2020,28.55,28.79,28.17,28.48,-0.03,-0.11,677387
18/12/2020,29.34,29.89,28.36,28.51,-1.42,-4.74,1398789
17/12/2020,29.1,29.93,29.1,29.93,0.33,1.11,933924
16/12/2020,30.08,30.35,29.53,29.6,-0.49,-1.63,688534
15/12/2020,30.67,31.17,29.9,30.09,-0.55,-1.8,593043
14/12/2020,30.63,31.11,30.59,30.64,-0.2,-0.65,394618
11/12/2020,30.33,30.95,30.33,30.84,0.34,1.11,678464
10/12/2020,30.3,30.64,30.25,30.5,0.09,0.3,948369
09/12/2020,30.6,30.83,30.41,30.41,-0.27,-0.88,750356
08/12/2020,30.7,30.97,30.56,30.68,-0.17,-0.55,566436
07/12/2020,30.51,31.2,30.51,30.85,0.08,0.26,400937
04/12/2020,30.5,30.77,30.23,30.77,-0.08,-0.26,809807
03/12/2020,30.95,31.07,30.58,30.85,0.17,0.55,420594
02/12/2020,30.84,30.84,30.33,30.68,-0.18,-0.58,481241
01/12/2020,30.5,30.86,30.02,30.86,0.21,0.69,579582
30/11/2020,30.4,30.86,30.15,30.65,0.02,0.07,2390750
27/11/2020,30.2,30.87,30.12,30.63,-0.34,-1.1,637307
26/11/2020,30.95,31.1,30.69,30.97,-0.17,-0.55,782798
25/11/2020,30.47,31.43,30.06,31.14,1.04,3.46,2173495
24/11/2020,30.1,30.29,29.68,30.1,0.35,1.18,2316095
23/11/2020,30.22,30.97,29.56,29.75,1.32,4.64,1952170
20/11/2020,28.22,28.64,28.12,28.43,-0.02,-0.07,645387
19/11/2020,28.26,28.49,27.94,28.45,0.07,0.25,863546
18/11/2020,28.45,28.75,28.2,28.38,-0.3,-1.05,1415752
17/11/2020,28.25,28.68,28.08,28.68,0.67,2.39,1730029
16/11/2020,28.06,28.08,27.55,28.01,0.42,1.52,29681
13/11/2020,27.76,27.81,26.91,27.59,-0.3,-1.08,950943
12/11/2020,28.23,28.25,27.52,27.89,-0.26,-0.92,906302
11/11/2020,27.86,28.25,27.6,28.15,0.44,1.59,1058169
10/11/2020,26.76,27.75,26.76,27.71,1.41,5.36,1359252
09/11/2020,25.84,26.34,25.83,26.3,0.64,2.49,598628
06/11/2020,25.61,25.73,25.25,25.66,0.36,1.42,442564
05/11/2020,25.31,25.72,25.11,25.3,-0.13,-0.51,1217247
04/11/2020,25.59,25.91,25.09,25.43,-0.45,-1.74,965866
03/11/2020,25.35,25.94,25.25,25.88,0.52,2.05,771017
02/11/2020,25.25,25.74,25,25.36,-0.58,-2.24,1225252
30/10/2020,25.52,26.1,25.42,25.94,0.53,2.09,1229305
29/10/2020,25.6,25.7,25.33,25.41,-0.25,-0.97,1052457
28/10/2020,25.21,25.86,25.04,25.66,-0.12,-0.47,1079498
27/10/2020,26,26,25.52,25.78,-0.2,-0.77,1250157
26/10/2020,25.76,26.25,25.17,25.98,0.14,0.54,939226
23/10/2020,25.42,26.04,25.42,25.84,0.14,0.54,647141
22/10/2020,25.62,26.1,25.23,25.7,-0.36,-1.38,1154203
21/10/2020,26.18,26.26,25.83,26.06,-0.12,-0.46,1287674
20/10/2020,25.48,26.64,25.48,26.18,0.76,2.99,1365416
19/10/2020,25.11,25.55,24.91,25.42,0.32,1.27,995941
