Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
14/10/2019,31.33,31.73,31.31,31.68,0.63,2.03,2133531
15/10/2019,31.32,31.77,31.32,31.4,-0.28,-0.88,1858008
16/10/2019,31.5,31.64,31.32,31.52,0.12,0.38,2332435
17/10/2019,31.59,31.99,31.54,31.79,0.27,0.86,2921629
18/10/2019,31.71,31.98,31.57,31.7,-0.09,-0.28,2738680
21/10/2019,31.38,31.4,31.03,31.14,-0.56,-1.77,1781954
22/10/2019,31.29,31.66,31.12,31.66,0.52,1.67,1876950
23/10/2019,31.41,31.76,31.32,31.76,0.1,0.32,1602728
24/10/2019,31.89,32.11,31.73,31.96,0.2,0.63,1546351
25/10/2019,32.14,32.31,32.04,32.3,0.34,1.06,1076477
28/10/2019,32.48,32.61,32.42,32.53,0.23,0.71,1656103
29/10/2019,32.35,32.55,32.19,32.37,-0.16,-0.49,1550831
30/10/2019,32.27,32.45,31.84,31.91,-0.46,-1.42,1834513
31/10/2019,31.82,32.17,31.61,31.62,-0.29,-0.91,1641350
01/11/2019,31.14,31.49,30.88,31.47,-0.15,-0.47,1274534
04/11/2019,31.93,31.95,31.23,31.32,-0.15,-0.48,1483684
05/11/2019,31.61,31.71,31.45,31.49,0.17,0.54,2217316
06/11/2019,31.51,31.9,30.87,30.92,-0.57,-1.81,3952379
07/11/2019,31.24,31.69,31.06,31.22,0.3,0.97,1982276
08/11/2019,31.06,31.96,31.06,31.65,0.43,1.38,2137127
11/11/2019,31.5,31.86,31.5,31.79,0.14,0.44,1534222
12/11/2019,31.59,31.6,31.12,31.25,-0.54,-1.7,1571427
13/11/2019,31.35,31.42,30.86,30.86,-0.39,-1.25,1849868
14/11/2019,30.63,31.36,30.51,31.15,0.29,0.94,3427031
15/11/2019,31.48,31.54,31.03,31.37,0.22,0.71,2058039
18/11/2019,31.9,32.15,31.65,31.97,0.6,1.91,2588034
19/11/2019,32.12,32.32,31.56,31.8,-0.17,-0.53,1884379
20/11/2019,33.2,33.92,32.8,33.71,1.91,6.01,3761178
21/11/2019,34.14,34.48,33.51,34.22,0.51,1.51,4660792
22/11/2019,34.4,34.71,34.23,34.49,0.27,0.79,2725126
25/11/2019,34.5,34.79,34.26,34.28,-0.21,-0.61,1704246
26/11/2019,35.89,35.89,33.96,34.21,-0.07,-0.2,2616067
27/11/2019,34.18,34.47,33.52,34.41,0.2,0.58,1548475
28/11/2019,34.5,34.65,33.98,34.09,-0.32,-0.93,1504463
29/11/2019,34.36,34.39,33.82,33.92,-0.17,-0.5,1101353
02/12/2019,34.07,34.26,33.8,34,0.08,0.24,1388358
03/12/2019,33.53,33.67,33.04,33.47,-0.53,-1.56,1976933
04/12/2019,32.68,33.3,32.68,33.24,-0.23,-0.69,2137334
05/12/2019,33.71,34.14,33.56,34.03,0.79,2.38,1696002
06/12/2019,33.93,34.075,33.74,33.87,-0.16,-0.47,1017120
09/12/2019,34.14,34.14,33.49,33.6,-0.27,-0.8,1029910
10/12/2019,33.34,33.7,33.14,33.33,-0.27,-0.8,1877549
11/12/2019,33.63,34.06,33.27,33.85,0.52,1.56,1791816
12/12/2019,34.17,34.67,33.97,34.4,0.55,1.62,2111655
13/12/2019,34.6,34.61,33.99,34.19,-0.21,-0.61,4028949
16/12/2019,34.87,35.5,34.55,35.31,1.12,3.28,1711889
17/12/2019,35.49,35.74,35,35.24,-0.07,-0.2,2130491
18/12/2019,35.2,35.51,35.1,35.4,0.16,0.45,2813346
19/12/2019,35.54,35.54,34.68,34.83,-0.57,-1.61,1919714
20/12/2019,35.05,35.15,34.77,34.87,0.04,0.11,2097951
23/12/2019,35,35,34.73,34.81,-0.06,-0.17,523582
24/12/2019,34.27,34.63,34,34.63,-0.18,-0.52,475435
27/12/2019,34.6,34.8,34.49,34.61,-0.02,-0.06,708154
30/12/2019,34.48,34.67,34.27,34.67,0.06,0.17,481894
31/12/2019,34.1,34.32,33.67,33.67,-1,-2.88,823530
02/01/2020,33.5,34.29,33.495,34.2,0.53,1.57,783550
03/01/2020,34.35,34.67,33.71,33.8,-0.4,-1.17,845257
06/01/2020,33.63,34.31,33.27,34.26,0.46,1.36,1334250
07/01/2020,34.61,34.82,34.28,34.35,0.09,0.26,919110
08/01/2020,34.36,34.45,33.5,34.2,-0.15,-0.44,1207543
09/01/2020,34.73,35.37,34.48,35.02,0.82,2.4,1400605
10/01/2020,35.24,35.475,35.14,35.33,0.31,0.89,1702968
13/01/2020,35.14,35.75,35.065,35.66,0.33,0.93,1094700
14/01/2020,35.73,35.96,35.58,35.67,0.01,0.03,1551063
15/01/2020,35.9,36.16,35.64,36,0.33,0.93,1323124
16/01/2020,36.69,36.86,36.25,36.84,0.84,2.33,1970689
17/01/2020,37.58,37.58,36.755,36.98,0.14,0.38,1713012
20/01/2020,36.95,37.11,36.64,36.97,-0.01,-0.03,1550695
21/01/2020,36.8,37,36.41,36.52,-0.45,-1.22,2580682
22/01/2020,37.3,37.35,36.81,37.08,0.56,1.53,1711327
23/01/2020,36.89,36.95,36.55,36.9,-0.18,-0.49,1884674
24/01/2020,37,37,36.59,36.64,-0.26,-0.7,886793
28/01/2020,35.35,35.85,34.83,35.71,-0.93,-2.54,2444470
29/01/2020,35.73,35.9,35.29,35.74,0.03,0.08,2613396
30/01/2020,35.88,35.92,35.58,35.77,0.03,0.08,1752254
31/01/2020,35.8,36.35,35.8,36.2,0.43,1.2,1805293
03/02/2020,35.38,35.91,35.34,35.59,-0.61,-1.69,1647298
04/02/2020,35.36,36.325,35.36,36.19,0.6,1.69,1006248
05/02/2020,36.63,36.93,36.44,36.84,0.65,1.8,2090523
06/02/2020,37,37.26,36.79,37.26,0.42,1.14,2571085
07/02/2020,37.2,37.225,36.55,36.59,-0.67,-1.8,1285639
10/02/2020,36.8,36.83,36.43,36.65,0.06,0.16,678883
11/02/2020,36.97,37.285,36.76,36.95,0.3,0.82,1324685
12/02/2020,37.11,37.28,37,37.18,0.23,0.62,2389448
13/02/2020,37.55,37.6,37.12,37.44,0.26,0.7,1290267
14/02/2020,37.5,37.5,36.94,37.15,-0.29,-0.77,3407135
17/02/2020,37.06,37.2,36.98,37.05,-0.1,-0.27,707646
18/02/2020,36.8,36.95,36.33,36.6,-0.45,-1.21,1102890
19/02/2020,36.82,37.47,36.62,37.37,0.77,2.1,2004639
20/02/2020,37.9,38.23,37.46,37.69,0.32,0.86,1590338
21/02/2020,37.97,37.99,37.27,37.43,-0.26,-0.69,1208420
24/02/2020,36.36,36.69,35.68,36.58,-0.85,-2.27,1197833
25/02/2020,35.13,36.445,35.13,35.99,-0.59,-1.61,2248162
26/02/2020,35.3,35.72,34.88,35.02,-0.97,-2.7,3643077
27/02/2020,35.01,35.47,33.34,33.75,-1.27,-3.63,3174020
28/02/2020,32,33.42,31.88,33.11,-0.64,-1.9,3909320
02/03/2020,32.5,32.76,31.8,32.37,-0.74,-2.23,3787822
03/03/2020,33.55,33.99,33.39,33.54,1.17,3.61,4837406
04/03/2020,33.21,33.48,32.78,33.27,-0.27,-0.81,4570741
05/03/2020,34.01,34.25,33.44,33.7,0.43,1.29,3669104
06/03/2020,32.75,33.065,31.875,31.92,-1.78,-5.28,3404649
09/03/2020,29.52,30.48,28.81,28.81,-3.11,-9.74,4808656
10/03/2020,27.91,29.9,27.55,29.9,1.09,3.78,5725443
11/03/2020,30.28,30.85,28.72,29,-0.9,-3.01,3422594
12/03/2020,28.18,28.42,24.985,25.64,-3.36,-11.59,6610978
13/03/2020,23.53,27.91,22.15,27.91,2.27,8.85,7871456
16/03/2020,24.5,24.8,20.72,22.24,-5.67,-20.32,10376515
17/03/2020,20.1,22.97,19.94,21.32,-0.92,-4.14,9796827
18/03/2020,20.37,21.28,17.28,19.01,-2.31,-10.83,8100472
19/03/2020,18.53,19.48,17.56,18,-1.01,-5.31,6911688
20/03/2020,18.69,19.26,17.54,17.54,-0.46,-2.56,14708198
23/03/2020,15.84,16.24,15.39,15.44,-2.1,-11.97,7089733
