Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,31,31.49,30.83,31.06,0.72,2.37,2711116
28/01/2021,30.23,30.7,29.96,30.34,-0.31,-1.01,2832404
27/01/2021,30.86,31.08,30.29,30.65,-0.5,-1.61,2805212
25/01/2021,30.88,31.3,30.635,31.15,-0.1,-0.32,1537838
22/01/2021,31.6,31.73,31.115,31.25,-0.12,-0.38,1789049
21/01/2021,30.66,31.55,30.66,31.37,0.8,2.62,2702969
20/01/2021,29.4,30.8,29.36,30.57,1.27,4.33,2070259
19/01/2021,28.98,29.3,28.59,29.3,-0.08,-0.27,2714805
18/01/2021,29.8,29.9,28.89,29.38,-0.52,-1.74,1708753
15/01/2021,31,31.25,29.9,29.9,-1.22,-3.92,1635477
14/01/2021,31.13,31.38,30.77,31.12,-0.3,-0.95,1588141
13/01/2021,31.53,31.65,31.02,31.42,0.07,0.22,799460
12/01/2021,31.64,32.11,31.24,31.35,-0.19,-0.6,1371418
11/01/2021,31.7,31.92,31.4,31.54,-0.16,-0.5,1148821
08/01/2021,30.91,31.83,30.83,31.7,0.88,2.86,1099310
07/01/2021,30.93,30.95,30.52,30.82,0.33,1.08,2698947
06/01/2021,30.94,31.11,30.34,30.49,-0.49,-1.58,1798270
05/01/2021,31,31.13,30.64,30.98,-0.41,-1.31,1681652
04/01/2021,31.01,31.5,31.01,31.39,0.39,1.26,535630
31/12/2020,31.5,31.79,31,31,-0.66,-2.08,550377
30/12/2020,31.6,31.8,31.04,31.66,-0.16,-0.5,946827
29/12/2020,32.14,32.32,31.65,31.82,-0.04,-0.13,754345
24/12/2020,31.45,32.11,31.43,31.86,0.63,2.02,691041
23/12/2020,30.78,31.545,30.78,31.23,0.6,1.96,20122872
22/12/2020,30.85,31.04,30.57,30.63,-0.07,-0.23,2169168
21/12/2020,30.3,30.81,30.07,30.7,0.24,0.79,1706263
18/12/2020,30.6,30.71,30.34,30.46,-0.09,-0.29,2584098
17/12/2020,30.77,30.78,30.22,30.55,0.06,0.2,3245292
16/12/2020,30.85,30.99,30.36,30.49,0.11,0.36,2046760
15/12/2020,29.87,30.62,29.73,30.38,0.37,1.23,1645188
14/12/2020,29.82,30.41,29.71,30.01,-0.11,-0.37,2025757
11/12/2020,30.04,30.48,29.79,30.12,-0.41,-1.34,1979198
10/12/2020,31.23,31.26,30.29,30.53,-0.78,-2.49,2369344
09/12/2020,31.58,31.73,31.24,31.31,-0.07,-0.22,1657390
08/12/2020,31.75,31.84,31.275,31.38,-0.39,-1.23,1838273
07/12/2020,32.45,32.45,31.67,31.77,-0.07,-0.22,1113275
04/12/2020,31.81,32.17,31.24,31.84,0.17,0.54,1239359
03/12/2020,32.16,32.77,31.61,31.67,-0.53,-1.65,2044561
02/12/2020,32.68,32.76,31.71,32.2,-0.32,-0.98,2235065
01/12/2020,32.04,32.76,31.67,32.52,0.46,1.43,2193461
30/11/2020,33.38,33.51,31.94,32.06,-1.12,-3.38,3721813
27/11/2020,33.53,33.69,33.18,33.18,-0.59,-1.75,1215247
26/11/2020,34.51,34.58,33.54,33.77,-0.6,-1.75,1525096
25/11/2020,34.45,34.64,34.18,34.37,0.48,1.42,1607734
24/11/2020,33.73,34.04,33.53,33.89,0.24,0.71,1515046
23/11/2020,34.18,34.32,33.59,33.65,-0.31,-0.91,1351540
20/11/2020,34.74,34.87,33.67,33.96,-0.63,-1.82,5049614
19/11/2020,35,35.21,34.45,34.59,0,0,2774424
18/11/2020,31.25,34.75,31.12,34.59,1.28,3.84,3268077
17/11/2020,32.9,33.53,32.58,33.31,0.67,2.05,2541535
16/11/2020,33.3,33.3,32.54,32.64,0.2,0.62,144322
13/11/2020,32.08,32.44,31.81,32.44,-0.11,-0.34,2195541
12/11/2020,33.5,33.64,32.31,32.55,-0.59,-1.78,2397715
11/11/2020,33.07,33.53,32.8,33.14,0.41,1.25,2316015
10/11/2020,33.38,33.77,32.62,32.73,0.13,0.4,3242279
09/11/2020,31.97,32.7,31.92,32.6,0.93,2.94,1098071
06/11/2020,32.43,32.55,31.57,31.67,-0.24,-0.75,1409842
05/11/2020,31.07,32.05,30.92,31.91,1.1,3.57,2171572
04/11/2020,29.65,31.02,29.47,30.81,1.04,3.49,1957792
03/11/2020,28.83,29.92,28.55,29.77,1.11,3.87,2277946
02/11/2020,28.5,28.85,28.48,28.66,0.03,0.1,1975005
30/10/2020,29.4,29.99,28.53,28.63,-0.99,-3.34,2550352
29/10/2020,29.84,30.02,29.44,29.62,-0.69,-2.28,1900152
28/10/2020,30.01,30.7,29.89,30.31,0.14,0.46,1813927
27/10/2020,31.1,31.23,30.1,30.17,-1.5,-4.74,1836393
26/10/2020,32.27,32.71,31.59,31.67,-0.54,-1.68,942684
23/10/2020,31.91,32.37,31.7,32.21,0.69,2.19,1584208
22/10/2020,30.73,31.79,30.73,31.52,0.01,0.03,1937054
21/10/2020,30.89,31.66,30.65,31.51,0.6,1.94,1360776
20/10/2020,30.69,31.09,30.51,30.91,-0.05,-0.16,1100248
19/10/2020,31.04,31.23,30.57,30.96,0.23,0.75,1192799
16/10/2020,31.45,31.5,30.63,30.73,-0.67,-2.13,1254705
15/10/2020,31.48,31.68,30.99,31.4,0.2,0.64,1170982
14/10/2020,31,31.41,30.83,31.2,0.11,0.35,1348738
13/10/2020,31.03,31.34,30.8,31.09,0.24,0.78,1008858
12/10/2020,30.85,31.03,30.41,30.85,0.04,0.13,1603932
09/10/2020,30.94,31.19,30.69,30.81,-0.13,-0.42,975281
08/10/2020,31.03,31.23,30.82,30.94,-0.16,-0.51,2060887
07/10/2020,30.77,31.33,30.74,31.1,0.36,1.17,1586912
06/10/2020,30.88,31.2,30.53,30.74,-0.01,-0.03,1330831
05/10/2020,30.72,30.97,30.42,30.75,0.93,3.12,1319879
02/10/2020,30.22,30.42,29.62,29.82,-0.7,-2.29,1638606
01/10/2020,30.26,30.91,30.18,30.52,0.55,1.84,1237100
30/09/2020,30.19,30.52,29.85,29.97,-0.71,-2.31,6047991
29/09/2020,31,31.26,30.54,30.68,-0.08,-0.26,1262749
28/09/2020,30.5,30.87,30.29,30.76,0.35,1.15,2914685
25/09/2020,30.02,30.5,30,30.41,0.49,1.64,1890134
24/09/2020,30.39,30.58,29.725,29.92,-0.72,-2.35,2086664
23/09/2020,29.98,30.68,29.85,30.64,1.49,5.11,2977573
22/09/2020,29.01,29.69,29.01,29.15,-0.19,-0.65,2190434
21/09/2020,29.32,29.73,29,29.34,-0.06,-0.2,3717922
18/09/2020,29.16,29.47,29,29.4,0.53,1.84,2966936
17/09/2020,29.18,29.48,28.74,28.87,-0.35,-1.2,2411815
16/09/2020,28.6,29.28,28.57,29.22,0.93,3.29,2182974
15/09/2020,29,29.1,28.17,28.29,-0.54,-1.87,2468205
14/09/2020,28.57,28.83,28.47,28.83,0.34,1.19,1272824
