Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,9.99,10.11,9.87,9.97,0.09,0.91,988082
28/01/2021,10.37,10.51,9.6,9.88,-0.64,-6.08,1690968
27/01/2021,10.64,10.64,10.45,10.52,-0.04,-0.38,986643
25/01/2021,10.6,10.75,10.49,10.56,-0.04,-0.38,344368
22/01/2021,10.58,10.695,10.52,10.6,0.02,0.19,908914
21/01/2021,10.54,10.65,10.44,10.58,0.1,0.95,1035372
20/01/2021,10.2,10.52,10.2,10.48,0.2,1.95,898671
19/01/2021,10.08,10.33,9.95,10.28,0.34,3.42,653475
18/01/2021,9.81,10.06,9.81,9.94,-0.13,-1.29,827194
15/01/2021,10.05,10.24,9.97,10.07,0.15,1.51,1071739
14/01/2021,9.88,10.025,9.79,9.92,0,0,670586
13/01/2021,9.75,9.95,9.75,9.92,0.04,0.4,625798
12/01/2021,10.05,10.1,9.87,9.88,-0.17,-1.69,613449
11/01/2021,10.44,10.44,10.025,10.05,-0.43,-4.1,597751
08/01/2021,10.56,10.58,10.32,10.48,0.09,0.87,1224020
07/01/2021,10.06,10.64,9.87,10.39,0.37,3.69,1846774
06/01/2021,9.97,10.17,9.955,10.02,0,0,1310868
05/01/2021,9.6,10.07,9.6,10.02,0.24,2.45,1183394
04/01/2021,9.7,9.79,9.66,9.78,0.17,1.77,405420
31/12/2020,9.65,9.8,9.61,9.61,-0.08,-0.83,560931
30/12/2020,9.66,9.8,9.42,9.69,-0.05,-0.51,782821
29/12/2020,9.65,9.81,9.63,9.74,0.1,1.04,644310
24/12/2020,9.51,9.72,9.41,9.64,0,0,883047
23/12/2020,9.58,9.77,9.58,9.64,-0.02,-0.21,683975
22/12/2020,9.83,9.84,9.58,9.66,-0.17,-1.73,1111664
21/12/2020,9.81,9.97,9.65,9.83,-0.07,-0.71,639976
18/12/2020,10.1,10.14,9.86,9.9,-0.2,-1.98,1287623
17/12/2020,10.02,10.11,9.93,10.1,-0.03,-0.3,1205705
16/12/2020,10.2,10.23,9.94,10.13,0.01,0.1,1186028
15/12/2020,10.06,10.23,9.86,10.12,0.06,0.6,2078361
14/12/2020,9.93,10.11,9.93,10.06,0.06,0.6,1976141
11/12/2020,9.55,10.1,9.51,10,0.07,0.7,2369684
10/12/2020,9.81,9.98,9.79,9.93,0.08,0.81,2114548
09/12/2020,9.81,9.89,9.65,9.85,0.25,2.6,1524613
