Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,30.65,31,30.5,30.74,0.78,2.6,589386
28/01/2021,30.51,30.88,29.83,29.96,-0.55,-1.8,1086925
27/01/2021,30.1,30.84,30,30.51,0.76,2.55,813606
25/01/2021,29.4,29.82,29.21,29.75,0.52,1.78,275517
22/01/2021,29.35,29.85,29.23,29.23,0,0,720375
21/01/2021,29.5,29.99,29.16,29.23,0.03,0.1,671994
20/01/2021,29,29.71,29,29.2,0.45,1.57,792175
19/01/2021,28.4,28.94,28.21,28.75,0.69,2.46,721973
18/01/2021,28.29,28.59,28,28.06,-0.16,-0.57,651665
15/01/2021,28.6,29.09,28.2,28.22,-0.22,-0.77,1013548
14/01/2021,28.27,28.78,28.27,28.44,0.18,0.64,629405
13/01/2021,29.81,29.87,28.21,28.26,-1.87,-6.21,944734
12/01/2021,30.04,30.34,29.16,30.13,-0.65,-2.11,1014230
11/01/2021,31.05,31.14,30.37,30.78,-0.46,-1.47,819072
08/01/2021,31.92,32.36,31.04,31.24,-0.47,-1.48,843294
07/01/2021,33.08,33.25,31.71,31.71,-1.37,-4.14,616152
06/01/2021,33.91,34.27,33.06,33.08,-0.95,-2.79,605007
05/01/2021,34.3,34.54,33.88,34.03,-0.48,-1.39,313030
04/01/2021,34.28,34.93,34.24,34.51,0.52,1.53,307897
31/12/2020,34,34.42,33.96,33.99,-0.24,-0.7,378903
30/12/2020,33.85,34.3,33.78,34.23,-0.21,-0.61,359602
29/12/2020,34.55,34.86,33.98,34.44,-0.18,-0.52,427404
24/12/2020,34.7,34.95,34.28,34.62,-0.26,-0.75,152872
23/12/2020,34.8,35.53,34.67,34.88,0.52,1.51,276730
22/12/2020,34.56,34.87,33.93,34.36,-0.2,-0.58,458012
21/12/2020,34.49,34.77,34.15,34.56,-0.12,-0.35,238891
18/12/2020,35,35.3,34.37,34.68,-0.32,-0.91,445772
17/12/2020,34.34,35.03,34.21,35,1.07,3.15,643709
16/12/2020,33.87,34.22,33.66,33.93,0.35,1.04,805991
15/12/2020,35.95,35.98,33.55,33.58,-2.45,-6.8,859294
14/12/2020,36,36.48,35.62,36.03,-0.13,-0.36,276178
11/12/2020,36.74,36.97,36,36.16,-0.52,-1.42,332405
10/12/2020,37.03,37.39,36.58,36.68,-0.87,-2.32,423385
09/12/2020,37.49,38.28,37.4,37.55,0.58,1.57,669932
08/12/2020,36.9,37.37,36.61,36.97,0.58,1.59,565439
07/12/2020,35.81,36.54,35.81,36.39,0.67,1.88,339733
04/12/2020,35.46,36.2,35.46,35.72,0.27,0.76,264544
03/12/2020,35.6,35.82,35.25,35.45,-0.27,-0.76,345919
02/12/2020,36.04,36.35,35.63,35.72,-0.24,-0.67,476527
01/12/2020,35.71,36.26,35.57,35.96,0.52,1.47,396373
30/11/2020,35.5,35.7,34.98,35.44,0.45,1.29,701138
27/11/2020,35.22,35.7,34.96,34.99,-0.12,-0.34,287685
26/11/2020,35.42,35.49,34.85,35.11,-0.15,-0.43,519725
25/11/2020,36,36.17,35.09,35.26,-0.66,-1.84,565901
24/11/2020,36.2,36.47,35.73,35.92,-0.26,-0.72,443416
23/11/2020,36.01,36.5,35.76,36.18,0.21,0.58,462696
20/11/2020,35.81,36.41,35.62,35.97,0.16,0.45,321121
19/11/2020,36.27,37.56,35.62,35.81,-0.33,-0.91,684102
18/11/2020,35.41,36.5,35.32,36.14,0.84,2.38,751611
17/11/2020,36.66,36.99,35.16,35.3,-1.26,-3.45,1310380
16/11/2020,36.85,37.32,36.55,36.56,-0.26,-0.71,22242
13/11/2020,37,37.39,36.46,36.82,-0.18,-0.49,959945
12/11/2020,38.24,38.4,36.9,37,-0.36,-0.96,644099
11/11/2020,37.28,37.94,36.72,37.36,0.39,1.05,766389
10/11/2020,39.02,39.35,36.31,36.97,-1.8,-4.64,708120
09/11/2020,38.66,38.82,38.29,38.77,0.58,1.52,369858
06/11/2020,38.75,38.78,38.1,38.19,-0.19,-0.5,296251
05/11/2020,38.28,38.95,38.14,38.38,0.57,1.51,546976
04/11/2020,37.2,37.86,36.41,37.81,0.83,2.24,462592
03/11/2020,36.8,37.21,36.45,36.98,0.61,1.68,352553
02/11/2020,36.85,37.14,36.16,36.37,-0.81,-2.18,385018
30/10/2020,38.04,38.19,36.92,37.18,-0.6,-1.59,515917
29/10/2020,37.38,37.78,36.71,37.78,-0.43,-1.13,568362
28/10/2020,38.14,38.63,37.93,38.21,0.21,0.55,375506
27/10/2020,38.91,39.01,37.69,38,-1.25,-3.18,681319
26/10/2020,39.51,40.185,39.07,39.25,-0.09,-0.23,381634
23/10/2020,39.56,39.7,39.1,39.34,-0.44,-1.11,234183
22/10/2020,39.3,39.89,39.01,39.78,-0.03,-0.08,348484
21/10/2020,39.91,40.21,39.31,39.81,0.2,0.5,568655
20/10/2020,38.98,39.75,38.72,39.61,0.42,1.07,312868
19/10/2020,38.9,39.5,38.71,39.19,0.66,1.71,353663
16/10/2020,38.86,38.86,38.28,38.53,-0.38,-0.98,323082
15/10/2020,39.14,39.78,38.65,38.91,-0.49,-1.24,727908
14/10/2020,38.66,39.69,38.34,39.4,1.14,2.98,668396
13/10/2020,38.63,38.86,38.19,38.26,0.22,0.58,411479
12/10/2020,37.32,38.23,37.3,38.04,0.97,2.62,578466
09/10/2020,37.03,37.35,36.87,37.07,-0.04,-0.11,305180
08/10/2020,36.1,37.36,36.06,37.11,1.46,4.1,574966
07/10/2020,35.4,36,35.09,35.65,0.25,0.71,1092327
06/10/2020,35.5,35.7,35,35.4,0.17,0.48,358618
05/10/2020,35.59,35.95,34.73,35.23,0.15,0.43,317859
02/10/2020,35.35,35.92,34.78,35.08,-0.15,-0.43,385790
01/10/2020,36.21,36.28,35.04,35.23,-0.69,-1.92,498409
30/09/2020,36,36.5,35.65,35.92,-0.56,-1.54,795956
29/09/2020,35.6,36.48,35.41,36.48,1.15,3.26,466966
28/09/2020,35.39,35.83,35.33,35.33,0.16,0.45,311723
25/09/2020,35.13,35.5,35.01,35.17,0.44,1.27,349657
24/09/2020,34.85,35.14,34.45,34.73,-0.58,-1.64,549990
23/09/2020,34.93,35.55,34.86,35.31,1,2.91,530350
22/09/2020,33.7,34.52,33.58,34.31,0.83,2.48,607269
21/09/2020,34.12,34.2,33.26,33.48,-0.74,-2.16,643400
18/09/2020,34.16,34.46,34,34.22,0.2,0.59,601005
17/09/2020,34.25,34.41,33.81,34.02,-0.33,-0.96,538794
