Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,6.32,6.35,6.22,6.33,0.14,2.26,2434306
28/01/2021,6.05,6.23,6.015,6.19,0.11,1.81,2894399
27/01/2021,6.28,6.28,6.07,6.08,-0.02,-0.33,1974379
25/01/2021,6.14,6.24,6.09,6.1,-0.05,-0.81,1205986
22/01/2021,6.26,6.28,6.14,6.15,-0.15,-2.38,1179868
21/01/2021,6.38,6.41,6.25,6.3,0,0,1659674
20/01/2021,6.38,6.38,6.24,6.3,0.05,0.8,1607599
19/01/2021,6.37,6.52,6.25,6.25,0.18,2.97,1948441
18/01/2021,6.04,6.11,6.015,6.07,-0.06,-0.98,1863682
15/01/2021,6.12,6.2,6.1,6.13,-0.03,-0.49,1362419
14/01/2021,6.21,6.24,6.13,6.16,-0.01,-0.16,1883155
13/01/2021,6.16,6.22,6.12,6.17,-0.03,-0.48,2161667
12/01/2021,6.19,6.3,6.185,6.2,0.02,0.32,2264856
11/01/2021,6.22,6.28,6.15,6.18,-0.08,-1.28,2123177
08/01/2021,6.24,6.32,6.23,6.26,0.02,0.32,1691935
07/01/2021,6.34,6.37,6.23,6.24,0,0,1972482
06/01/2021,6.26,6.45,6.215,6.24,-0.13,-2.04,2068740
05/01/2021,6.4,6.45,6.2,6.37,-0.12,-1.85,2532198
04/01/2021,6.57,6.57,6.44,6.49,-0.01,-0.15,979403
31/12/2020,6.48,6.56,6.445,6.5,0.04,0.62,1771104
30/12/2020,6.4,6.49,6.39,6.46,0,0,1068744
29/12/2020,6.52,6.52,6.4,6.46,0.07,1.1,698026
24/12/2020,6.35,6.44,6.325,6.39,0.03,0.47,454551
23/12/2020,6.35,6.44,6.32,6.36,0.03,0.47,2087409
22/12/2020,6.33,6.34,6.26,6.33,0,0,2060003
21/12/2020,6.31,6.38,6.3,6.33,-0.06,-0.94,1913627
18/12/2020,6.45,6.45,6.3,6.39,0.01,0.16,4739696
17/12/2020,6.37,6.43,6.3,6.38,0.01,0.16,3748622
16/12/2020,6.42,6.44,6.37,6.37,-0.01,-0.16,2377666
15/12/2020,6.33,6.42,6.27,6.38,0,0,3151945
14/12/2020,6.37,6.45,6.3,6.38,0.01,0.16,4833435
11/12/2020,6.3,6.37,6.25,6.37,0.03,0.47,3621990
10/12/2020,6.31,6.38,6.25,6.34,-0.08,-1.25,2565580
09/12/2020,6.45,6.46,6.39,6.42,-0.02,-0.31,1768818
08/12/2020,6.51,6.52,6.42,6.44,-0.04,-0.62,2758008
07/12/2020,6.55,6.55,6.46,6.48,0,0,1510373
04/12/2020,6.52,6.55,6.47,6.48,-0.02,-0.31,3175353
03/12/2020,6.5,6.6,6.49,6.5,-0.03,-0.46,2463699
02/12/2020,6.64,6.64,6.475,6.53,-0.04,-0.61,1890066
01/12/2020,6.51,6.64,6.43,6.57,0.09,1.39,3705134
30/11/2020,6.59,6.64,6.48,6.48,-0.08,-1.22,5288799
27/11/2020,6.68,6.72,6.49,6.56,-0.06,-0.91,2523819
26/11/2020,6.8,6.8,6.62,6.62,-0.14,-2.07,2196758
25/11/2020,6.83,6.87,6.69,6.76,0,0,2744707
24/11/2020,6.66,6.8,6.66,6.76,0.17,2.58,2230311
23/11/2020,6.64,6.75,6.56,6.59,-0.14,-2.08,2604380
20/11/2020,6.58,6.815,6.56,6.73,-0.17,-2.46,4518943
19/11/2020,6.98,6.98,6.8,6.9,-0.05,-0.72,3461521
18/11/2020,6.87,6.98,6.82,6.95,0.12,1.76,2999782
17/11/2020,6.79,6.9,6.7,6.83,0.16,2.4,6259448
16/11/2020,6.73,6.73,6.65,6.67,0.02,0.3,60517
13/11/2020,6.65,6.66,6.56,6.65,-0.02,-0.3,3050021
12/11/2020,6.65,6.71,6.54,6.67,-0.07,-1.04,3538325
11/11/2020,6.87,6.87,6.67,6.74,0.04,0.6,5965885
10/11/2020,6.62,6.845,6.555,6.7,0.5,8.06,7126093
09/11/2020,6.11,6.205,6.07,6.2,0.15,2.48,1468201
06/11/2020,6.07,6.12,5.91,6.05,0.02,0.33,2126527
05/11/2020,5.98,6.06,5.94,6.03,0.08,1.34,5340144
04/11/2020,5.9,5.99,5.81,5.95,0.14,2.41,2534292
03/11/2020,5.69,5.85,5.66,5.81,0.19,3.38,2547599
02/11/2020,5.58,5.68,5.54,5.62,-0.02,-0.35,3385203
30/10/2020,5.75,5.75,5.48,5.64,-0.14,-2.42,6501063
29/10/2020,5.83,5.92,5.75,5.78,-0.17,-2.86,3314858
28/10/2020,6.07,6.11,5.85,5.95,-0.15,-2.46,5304768
27/10/2020,6.14,6.19,6.08,6.1,-0.12,-1.93,3794310
26/10/2020,6.22,6.275,6.16,6.22,-0.01,-0.16,2100661
23/10/2020,6.21,6.25,6.15,6.23,-0.07,-1.11,1741350
22/10/2020,6.2,6.31,6.125,6.3,0.07,1.12,3597189
21/10/2020,6.29,6.34,6.19,6.23,-0.02,-0.32,1708332
20/10/2020,6.2,6.31,6.18,6.25,0,0,2269308
19/10/2020,6.16,6.295,6.13,6.25,0.13,2.12,3074627
16/10/2020,6.27,6.3,6.09,6.12,-0.23,-3.62,4047696
15/10/2020,6.45,6.47,6.32,6.35,-0.05,-0.78,3833792
14/10/2020,6.41,6.47,6.29,6.4,-0.11,-1.69,3184064
13/10/2020,6.43,6.57,6.4,6.51,0.15,2.36,4194135
12/10/2020,6.37,6.44,6.35,6.36,-0.02,-0.31,1131713
09/10/2020,6.35,6.45,6.33,6.38,0.02,0.31,2304681
08/10/2020,6.45,6.46,6.31,6.36,-0.06,-0.93,2746938
07/10/2020,6.4,6.44,6.32,6.42,0.02,0.31,1741619
06/10/2020,6.41,6.46,6.285,6.4,0.02,0.31,2641149
05/10/2020,6.19,6.4,6.15,6.38,0.33,5.45,2671661
02/10/2020,6.18,6.22,6.03,6.05,-0.15,-2.42,2704182
01/10/2020,6.1,6.27,6.06,6.2,0.13,2.14,3675846
30/09/2020,6.19,6.29,6.06,6.07,-0.13,-2.1,9344267
29/09/2020,6.25,6.31,6.12,6.2,0.02,0.32,5013423
28/09/2020,6.17,6.24,6.16,6.18,0.01,0.16,3755669
25/09/2020,6.08,6.17,6.02,6.17,-0.11,-1.75,6638571
24/09/2020,6.32,6.39,6.23,6.28,-0.16,-2.48,3480392
23/09/2020,6.22,6.46,6.22,6.44,0.24,3.87,5643556
22/09/2020,6.19,6.235,6.17,6.2,-0.09,-1.43,4156181
21/09/2020,6.41,6.45,6.22,6.29,-0.23,-3.53,6651759
18/09/2020,6.58,6.6,6.46,6.52,-0.08,-1.21,5612761
17/09/2020,6.62,6.63,6.48,6.6,-0.05,-0.75,6012856
16/09/2020,6.49,6.65,6.46,6.65,0.18,2.78,9064908
15/09/2020,6.46,6.49,6.37,6.47,0.07,1.09,5211421
14/09/2020,6.3,6.44,6.23,6.4,0.19,3.06,2857717
11/09/2020,6.07,6.25,6.07,6.21,0.01,0.16,2705381
10/09/2020,6.2,6.23,6.12,6.2,0.1,1.64,3527831
09/09/2020,6.2,6.25,6.08,6.1,-0.22,-3.48,3711354
08/09/2020,6.46,6.5,6.3,6.32,-0.12,-1.86,3495368
07/09/2020,6.5,6.57,6.345,6.44,-0.12,-1.83,2916769
04/09/2020,6.54,6.59,6.5,6.56,-0.13,-1.94,2744756
03/09/2020,6.78,6.86,6.62,6.69,0.05,0.75,8091828
02/09/2020,6.6,6.71,6.5,6.64,0.18,2.79,4569328
01/09/2020,6.41,6.54,6.41,6.46,-0.04,-0.62,4710844
31/08/2020,6.51,6.57,6.41,6.5,-0.07,-1.07,3561822
28/08/2020,6.85,6.88,6.52,6.57,-0.03,-0.45,7520503
27/08/2020,6.56,6.87,6.51,6.6,0.24,3.77,6516622
26/08/2020,6.39,6.39,6.3,6.36,-0.05,-0.78,3311052
25/08/2020,6.35,6.42,6.335,6.41,0.06,0.94,3801887
24/08/2020,6.36,6.44,6.31,6.35,0.01,0.16,2755338
21/08/2020,6.24,6.36,6.22,6.34,0.14,2.26,3093805
20/08/2020,6.21,6.32,6.13,6.2,-0.08,-1.27,4095012
19/08/2020,6.3,6.4,6.25,6.28,-0.07,-1.1,6755737
18/08/2020,6.31,6.47,6.29,6.35,0.05,0.79,6838599
17/08/2020,6.46,6.53,6.29,6.3,-0.23,-3.52,3351049
14/08/2020,6.59,6.64,6.52,6.53,0.04,0.62,3328311
13/08/2020,6.47,6.58,6.38,6.49,0.1,1.56,5118329
12/08/2020,6.49,6.52,6.355,6.39,-0.07,-1.08,3362673
11/08/2020,6.44,6.59,6.4,6.46,-0.04,-0.62,5216007
10/08/2020,6.48,6.55,6.37,6.5,0.09,1.4,4095806
07/08/2020,6.46,6.51,6.35,6.41,-0.07,-1.08,4282811
06/08/2020,6.55,6.61,6.41,6.48,-0.08,-1.22,3895813
05/08/2020,6.72,6.98,6.525,6.56,-0.14,-2.09,7300931
04/08/2020,6.81,6.87,6.65,6.7,0.01,0.15,2621749
03/08/2020,6.53,6.73,6.53,6.69,0.09,1.36,3586658
31/07/2020,6.7,6.72,6.525,6.6,-0.14,-2.08,3854156
30/07/2020,6.84,6.87,6.71,6.74,-0.06,-0.88,3040603
29/07/2020,6.84,6.91,6.65,6.8,0.02,0.29,3238764
28/07/2020,6.81,6.94,6.78,6.78,0,0,2533914
27/07/2020,6.64,6.78,6.52,6.78,0.08,1.19,6539250
24/07/2020,6.85,6.915,6.68,6.7,-0.17,-2.47,1921166
23/07/2020,6.8,6.93,6.75,6.87,0.13,1.93,4997616
22/07/2020,6.82,6.87,6.68,6.74,-0.02,-0.3,2696425
21/07/2020,6.5,6.76,6.47,6.76,0.28,4.32,2327836
20/07/2020,6.52,6.55,6.44,6.48,-0.02,-0.31,1786645
17/07/2020,6.48,6.55,6.43,6.5,0.02,0.31,1735971
16/07/2020,6.67,6.67,6.41,6.48,-0.1,-1.52,5994411
15/07/2020,6.53,6.65,6.41,6.58,0.1,1.54,2706640
14/07/2020,6.53,6.6,6.47,6.48,-0.06,-0.92,2776209
13/07/2020,6.62,6.62,6.44,6.54,0.04,0.62,3065980
10/07/2020,6.62,6.62,6.5,6.5,-0.09,-1.37,1941661
09/07/2020,6.6,6.69,6.54,6.59,0.06,0.92,2297703
08/07/2020,6.63,6.675,6.52,6.53,-0.15,-2.25,3399291
07/07/2020,6.6,6.75,6.57,6.68,0.12,1.83,2273660
06/07/2020,6.65,6.75,6.53,6.56,-0.11,-1.65,1475604
03/07/2020,6.81,6.835,6.6,6.67,-0.1,-1.48,1411367
02/07/2020,6.6,6.78,6.58,6.77,0.25,3.83,3044469
01/07/2020,6.6,6.66,6.47,6.52,-0.1,-1.51,3672829
30/06/2020,6.7,6.73,6.49,6.62,0.08,1.22,12505583
29/06/2020,6.56,6.6,6.43,6.54,-0.11,-1.65,3937395
26/06/2020,6.57,6.67,6.47,6.65,0.14,2.15,4980492
25/06/2020,6.66,6.66,6.48,6.51,-0.22,-3.27,3557538
24/06/2020,6.84,6.915,6.73,6.73,-0.08,-1.17,2425405
23/06/2020,6.85,6.95,6.75,6.81,0.02,0.29,6906783
22/06/2020,6.85,6.96,6.73,6.79,-0.21,-3,2616158
19/06/2020,6.87,7.04,6.84,7,0.21,3.09,6433936
18/06/2020,6.82,6.85,6.66,6.79,-0.04,-0.59,6245643
17/06/2020,6.83,6.94,6.65,6.83,0.09,1.34,6917439
16/06/2020,6.73,6.81,6.62,6.74,0.24,3.69,4627512
15/06/2020,6.49,6.63,6.44,6.5,-0.07,-1.07,3579547
12/06/2020,6.45,6.625,6.41,6.57,-0.12,-1.79,4406733
