Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,14.5,14.59,14.35,14.38,0.03,0.21,2134628
28/01/2021,14.33,14.48,14.24,14.35,0.04,0.28,2401252
27/01/2021,14.32,14.45,14.27,14.31,-0.09,-0.62,2570062
25/01/2021,14.5,14.5,14.29,14.4,-0.1,-0.69,1248263
22/01/2021,14.64,14.65,14.5,14.5,0.06,0.42,2575481
21/01/2021,14.55,14.58,14.37,14.44,0.02,0.14,3600237
20/01/2021,14.25,14.46,14.12,14.42,-0.1,-0.69,3169332
19/01/2021,14.57,14.59,14.51,14.52,0.08,0.55,775062
18/01/2021,14.43,14.46,14.285,14.44,-0.14,-0.96,1495783
15/01/2021,14.7,14.72,14.58,14.58,-0.13,-0.88,1776587
14/01/2021,14.75,14.81,14.67,14.71,-0.15,-1.01,3495778
13/01/2021,15,15,14.8,14.86,-0.03,-0.2,1235498
12/01/2021,15.05,15.09,14.87,14.89,0.09,0.61,2120179
11/01/2021,14.75,14.86,14.74,14.8,-0.14,-0.94,1466587
08/01/2021,15.1,15.1,14.88,14.94,-0.06,-0.4,1734587
07/01/2021,15,15.1,14.95,15,0.3,2.04,2109230
06/01/2021,14.78,14.88,14.66,14.7,-0.38,-2.52,3485879
05/01/2021,14.98,15.11,14.81,15.08,-0.08,-0.53,2208053
04/01/2021,15.25,15.25,15.08,15.16,-0.18,-1.17,990579
31/12/2020,15.38,15.41,15.24,15.34,-0.09,-0.58,751482
30/12/2020,15.21,15.46,15.18,15.43,0.08,0.52,1540877
29/12/2020,15.44,15.465,15.345,15.35,0.11,0.72,838156
24/12/2020,15.41,15.47,15.24,15.24,-0.03,-0.2,499847
23/12/2020,15.3,15.37,15.24,15.27,0.12,0.79,1434440
22/12/2020,15.16,15.255,15.07,15.15,-0.11,-0.72,2070821
21/12/2020,15.23,15.36,15.15,15.26,0.24,1.6,1982805
18/12/2020,15.18,15.19,15.02,15.02,-0.14,-0.92,4396744
17/12/2020,15.1,15.19,15.03,15.16,-0.02,-0.13,2659819
16/12/2020,15.33,15.36,15.16,15.18,0.02,0.13,1690332
15/12/2020,15.1,15.215,15.05,15.16,-0.05,-0.33,2561200
14/12/2020,15.2,15.34,15.15,15.21,0.05,0.33,2571062
11/12/2020,15.15,15.295,15.1,15.16,-0.32,-2.07,4357082
10/12/2020,15.56,15.7,15.48,15.48,-0.01,-0.06,3530769
09/12/2020,15.49,15.66,15.45,15.49,0.31,2.04,3046083
08/12/2020,15.34,15.44,15.18,15.18,-0.16,-1.04,2767048
07/12/2020,15.48,15.52,15.3,15.34,0,0,2157871
04/12/2020,15.33,15.37,15.25,15.34,-0.03,-0.2,2708044
03/12/2020,15.49,15.53,15.32,15.37,-0.18,-1.16,3081662
02/12/2020,15.63,15.695,15.55,15.55,0.1,0.65,3449259
01/12/2020,15.47,15.56,15.34,15.45,0.23,1.51,5816548
30/11/2020,15.51,15.58,15.22,15.22,-0.25,-1.62,3864291
27/11/2020,15.62,15.63,15.39,15.47,-0.02,-0.13,1854432
26/11/2020,15.73,15.73,15.48,15.49,-0.34,-2.15,2315206
25/11/2020,15.95,15.98,15.81,15.83,0.13,0.83,6509698
24/11/2020,15.88,15.91,15.7,15.7,-0.28,-1.75,2705715
23/11/2020,16.15,16.18,15.93,15.98,-0.22,-1.36,2417217
20/11/2020,16.33,16.34,16.16,16.2,-0.01,-0.06,4223559
19/11/2020,16.25,16.28,16.16,16.21,-0.01,-0.06,3688393
18/11/2020,16.36,16.39,16.22,16.22,-0.14,-0.86,3142214
17/11/2020,16.5,16.5,16.31,16.36,0.16,0.99,6193147
16/11/2020,16.18,16.22,16.1,16.2,0.38,2.4,275839
13/11/2020,15.99,15.99,15.77,15.82,-0.28,-1.74,3233230
12/11/2020,16.35,16.36,16.02,16.1,-0.07,-0.43,4273542
11/11/2020,16.15,16.31,16.15,16.17,0.17,1.06,2907306
10/11/2020,16.42,16.48,15.89,16,-0.14,-0.87,5122269
09/11/2020,16,16.24,15.96,16.14,0.07,0.44,3168931
06/11/2020,16.18,16.24,15.97,16.07,0.63,4.08,4795761
05/11/2020,15.52,15.52,15.24,15.44,-0.04,-0.26,2131530
04/11/2020,15.56,15.68,15.35,15.48,0.08,0.52,2000887
03/11/2020,15.43,15.55,15.36,15.4,0.4,2.67,3086817
02/11/2020,14.93,15.06,14.795,15,0.19,1.28,2690992
30/10/2020,15,15.01,14.81,14.81,-0.11,-0.74,2499704
29/10/2020,14.75,15.04,14.71,14.92,0.08,0.54,3028450
28/10/2020,14.82,14.9,14.82,14.84,0.02,0.13,2815825
27/10/2020,15,15.04,14.78,14.82,-0.35,-2.31,4807332
26/10/2020,15.29,15.31,15.14,15.17,-0.21,-1.37,3700576
23/10/2020,15.34,15.38,15.24,15.38,-0.13,-0.84,3038494
22/10/2020,15.52,15.59,15.41,15.51,-0.27,-1.71,2991015
21/10/2020,15.8,15.81,15.66,15.78,-0.16,-1,2411190
20/10/2020,15.9,16.11,15.84,15.94,-0.23,-1.42,2291618
19/10/2020,16.22,16.24,16.08,16.17,0.03,0.19,1366106
16/10/2020,16.2,16.32,16.12,16.14,0.11,0.69,3680582
15/10/2020,15.92,16.11,15.83,16.03,0.12,0.75,2204416
14/10/2020,15.92,15.99,15.84,15.91,0.02,0.13,4450490
13/10/2020,15.8,16.01,15.73,15.89,0.15,0.95,2347779
12/10/2020,15.77,15.8,15.62,15.74,-0.08,-0.51,1527706
09/10/2020,15.76,15.89,15.72,15.82,0.18,1.15,2134522
08/10/2020,15.65,15.76,15.57,15.64,0.17,1.1,3270618
07/10/2020,15.4,15.58,15.38,15.47,0.08,0.52,1936538
06/10/2020,15.46,15.53,15.32,15.39,-0.03,-0.19,2091859
05/10/2020,15.29,15.58,15.28,15.42,0.25,1.65,1920130
02/10/2020,15.35,15.36,15.07,15.17,-0.4,-2.57,3425700
01/10/2020,15.45,15.74,15.415,15.57,0.24,1.57,2885230
30/09/2020,15.18,15.42,15.11,15.33,0.17,1.12,5188322
29/09/2020,15.41,15.42,15.16,15.16,-0.19,-1.24,3056590
28/09/2020,15.28,15.44,15.28,15.35,0.3,1.99,2940795
25/09/2020,15.06,15.2,14.95,15.05,0.09,0.6,2511403
24/09/2020,15.01,15.12,14.85,14.96,-0.42,-2.73,3588515
23/09/2020,15.39,15.45,15.33,15.38,0.17,1.12,3136842
22/09/2020,15.3,15.31,15.16,15.21,-0.23,-1.49,2841529
