Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,1.49,1.525,1.485,1.485,0.015,1.02,13752021
28/01/2021,1.51,1.515,1.47,1.47,-0.055,-3.61,12729744
27/01/2021,1.55,1.56,1.52,1.525,-0.025,-1.61,7774173
25/01/2021,1.555,1.565,1.545,1.55,-0.005,-0.32,5564158
22/01/2021,1.56,1.565,1.54,1.555,-0.01,-0.64,6619168
21/01/2021,1.565,1.58,1.555,1.565,0.01,0.64,5761130
20/01/2021,1.555,1.57,1.54,1.555,0,0,11741273
19/01/2021,1.55,1.59,1.55,1.555,0.005,0.32,12510116
18/01/2021,1.56,1.575,1.535,1.55,-0.015,-0.96,5748996
15/01/2021,1.575,1.6,1.565,1.565,-0.015,-0.95,10764138
14/01/2021,1.575,1.595,1.57,1.58,0,0,6386338
13/01/2021,1.585,1.6,1.575,1.58,-0.03,-1.86,7296777
12/01/2021,1.59,1.635,1.59,1.61,0.01,0.62,9001957
11/01/2021,1.6,1.605,1.58,1.6,-0.01,-0.62,6172069
08/01/2021,1.61,1.62,1.592,1.61,-0.005,-0.31,7118228
07/01/2021,1.585,1.625,1.57,1.615,0.045,2.87,13852598
06/01/2021,1.535,1.57,1.535,1.57,0.035,2.28,10731712
05/01/2021,1.54,1.555,1.515,1.535,-0.025,-1.6,9903758
04/01/2021,1.56,1.575,1.55,1.56,0,0,8542692
31/12/2020,1.58,1.5925,1.56,1.56,-0.03,-1.89,7749430
30/12/2020,1.595,1.605,1.575,1.59,-0.005,-0.31,8647032
29/12/2020,1.6,1.62,1.585,1.595,0,0,7714055
24/12/2020,1.585,1.6125,1.585,1.595,0.015,0.95,6430579
23/12/2020,1.6,1.615,1.58,1.58,-0.025,-1.56,10773915
22/12/2020,1.61,1.625,1.6,1.605,-0.01,-0.62,17793866
21/12/2020,1.695,1.695,1.615,1.615,-0.08,-4.72,18166108
18/12/2020,1.72,1.73,1.695,1.695,-0.04,-2.31,27467572
17/12/2020,1.72,1.735,1.71,1.735,0.015,0.87,10783296
16/12/2020,1.735,1.745,1.715,1.72,-0.015,-0.86,7605653
15/12/2020,1.74,1.745,1.72,1.735,-0.01,-0.57,8084598
14/12/2020,1.71,1.75,1.71,1.745,0.03,1.75,9180973
11/12/2020,1.73,1.745,1.71,1.715,-0.025,-1.44,15023590
10/12/2020,1.73,1.75,1.73,1.74,0,0,9966595
09/12/2020,1.74,1.745,1.73,1.74,0,0,6296905
08/12/2020,1.735,1.745,1.72,1.74,0,0,8336931
07/12/2020,1.72,1.745,1.715,1.74,0.02,1.16,10871403
04/12/2020,1.715,1.74,1.707,1.72,0.01,0.58,18905759
03/12/2020,1.75,1.77,1.705,1.71,-0.055,-3.12,13769648
02/12/2020,1.74,1.77,1.735,1.765,0.035,2.02,20836987
01/12/2020,1.71,1.7425,1.692,1.73,0.02,1.17,11159280
30/11/2020,1.745,1.765,1.71,1.71,-0.03,-1.72,20087787
27/11/2020,1.73,1.75,1.715,1.74,0.01,0.58,8526661
26/11/2020,1.725,1.735,1.715,1.73,0,0,5314227
25/11/2020,1.73,1.7475,1.72,1.73,0.005,0.29,8986887
24/11/2020,1.71,1.735,1.71,1.725,0.015,0.88,8309757
23/11/2020,1.71,1.72,1.705,1.71,0,0,4528327
20/11/2020,1.725,1.745,1.705,1.71,-0.03,-1.72,9497776
19/11/2020,1.735,1.745,1.72,1.74,0,0,10342553
18/11/2020,1.745,1.755,1.73,1.74,0.01,0.58,13268985
17/11/2020,1.745,1.765,1.725,1.73,-0.015,-0.86,15837113
16/11/2020,1.74,1.75,1.73,1.745,0.005,0.29,534031
13/11/2020,1.72,1.74,1.715,1.74,0.01,0.58,7488332
12/11/2020,1.73,1.73,1.71,1.73,0.01,0.58,11386634
11/11/2020,1.68,1.735,1.675,1.72,0.025,1.47,19733143
10/11/2020,1.735,1.745,1.67,1.695,-0.015,-0.88,27256873
09/11/2020,1.7,1.74,1.68,1.71,0.01,0.59,15073402
06/11/2020,1.67,1.707,1.665,1.7,0.03,1.8,15673501
05/11/2020,1.66,1.68,1.64,1.67,0.005,0.3,14050168
04/11/2020,1.65,1.675,1.63,1.665,0.005,0.3,20543797
03/11/2020,1.675,1.68,1.635,1.66,-0.02,-1.19,21748030
02/11/2020,1.605,1.68,1.605,1.68,0.15,9.8,44885638
30/10/2020,1.51,1.575,1.46,1.53,0.25,19.53,98961617
29/10/2020,1.295,1.295,1.27,1.28,-0.025,-1.92,13934041
28/10/2020,1.3,1.32,1.28,1.305,0.005,0.38,15922016
27/10/2020,1.34,1.34,1.3,1.3,-0.045,-3.35,21362487
26/10/2020,1.355,1.37,1.34,1.345,-0.01,-0.74,8527001
23/10/2020,1.375,1.38,1.34,1.355,-0.005,-0.37,8404171
22/10/2020,1.415,1.425,1.36,1.36,-0.08,-5.56,24083951
21/10/2020,1.45,1.45,1.42,1.44,-0.005,-0.35,11257484
20/10/2020,1.445,1.465,1.435,1.445,-0.01,-0.69,13587992
19/10/2020,1.43,1.4675,1.42,1.455,0.035,2.46,15088008
16/10/2020,1.41,1.44,1.395,1.42,0.01,0.71,15659577
15/10/2020,1.405,1.425,1.39,1.41,0.005,0.36,11437561
14/10/2020,1.405,1.415,1.39,1.405,-0.015,-1.06,15070793
13/10/2020,1.43,1.43,1.405,1.42,0.005,0.35,17874229
12/10/2020,1.415,1.43,1.4,1.415,0,0,13587941
09/10/2020,1.37,1.42,1.365,1.415,0.055,4.04,18917592
08/10/2020,1.37,1.37,1.345,1.36,0,0,9572274
07/10/2020,1.34,1.365,1.325,1.36,0.015,1.12,10650767
06/10/2020,1.37,1.375,1.325,1.345,-0.025,-1.82,14821004
05/10/2020,1.33,1.375,1.33,1.37,0.045,3.4,8167544
02/10/2020,1.34,1.36,1.32,1.325,-0.02,-1.49,14203182
01/10/2020,1.31,1.35,1.305,1.345,0.04,3.07,13928305
30/09/2020,1.345,1.355,1.305,1.305,-0.045,-3.33,21598489
29/09/2020,1.36,1.385,1.345,1.35,-0.005,-0.37,13962199
28/09/2020,1.35,1.365,1.345,1.355,0.01,0.74,10362168
25/09/2020,1.36,1.385,1.342,1.345,-0.01,-0.74,19775531
24/09/2020,1.35,1.365,1.335,1.355,-0.005,-0.37,12549951
23/09/2020,1.36,1.375,1.34,1.36,0.005,0.37,34685078
22/09/2020,1.345,1.365,1.335,1.355,-0.005,-0.37,16107763
21/09/2020,1.4,1.4,1.35,1.36,-0.04,-2.86,20576233
18/09/2020,1.425,1.44,1.385,1.4,-0.125,-8.2,38932574
17/09/2020,1.52,1.535,1.492,1.525,0.015,0.99,26091715
16/09/2020,1.505,1.5125,1.48,1.51,0.015,1,19254332
15/09/2020,1.545,1.547,1.485,1.495,-0.05,-3.24,30718441
14/09/2020,1.55,1.56,1.535,1.545,0.005,0.32,12617772
11/09/2020,1.55,1.56,1.54,1.54,-0.03,-1.91,13943709
10/09/2020,1.54,1.575,1.535,1.57,0.05,3.29,25107617
09/09/2020,1.55,1.555,1.51,1.52,-0.05,-3.18,28673522
08/09/2020,1.58,1.605,1.555,1.57,-0.02,-1.26,22453137
07/09/2020,1.61,1.62,1.575,1.59,-0.04,-2.45,22019904
04/09/2020,1.625,1.64,1.6,1.63,-0.03,-1.81,16398388
03/09/2020,1.64,1.667,1.62,1.66,0.045,2.79,25339242
02/09/2020,1.595,1.65,1.595,1.615,0.075,4.87,41769586
01/09/2020,1.535,1.545,1.505,1.54,0.01,0.65,46419324
31/08/2020,1.515,1.55,1.505,1.53,0.025,1.66,24475001
28/08/2020,1.505,1.535,1.495,1.505,0.01,0.67,27520016
27/08/2020,1.49,1.515,1.475,1.495,0.01,0.67,25094872
26/08/2020,1.475,1.49,1.46,1.485,0.01,0.68,43272319
25/08/2020,1.455,1.485,1.45,1.475,0.03,2.08,38560592
24/08/2020,1.45,1.47,1.435,1.445,0.015,1.05,27603215
21/08/2020,1.445,1.465,1.43,1.43,-0.005,-0.35,18736467
20/08/2020,1.45,1.46,1.43,1.435,-0.01,-0.69,32154504
19/08/2020,1.47,1.475,1.435,1.445,-0.02,-1.37,43591661
18/08/2020,1.5,1.515,1.455,1.465,-0.03,-2.01,33188968
17/08/2020,1.55,1.57,1.49,1.495,-0.065,-4.17,36168191
14/08/2020,1.56,1.575,1.54,1.56,0.03,1.96,25552574
13/08/2020,1.545,1.58,1.505,1.53,0.15,10.87,53990126
12/08/2020,1.38,1.405,1.37,1.38,0,0,17824165
11/08/2020,1.4,1.405,1.375,1.38,-0.015,-1.08,21835700
10/08/2020,1.415,1.445,1.385,1.395,-0.02,-1.41,35846813
07/08/2020,1.43,1.445,1.41,1.415,-0.03,-2.08,31559477
06/08/2020,1.43,1.45,1.415,1.445,0.02,1.4,26219014
05/08/2020,1.445,1.45,1.405,1.425,-0.025,-1.72,15703039
04/08/2020,1.48,1.495,1.45,1.45,-0.015,-1.02,22471220
03/08/2020,1.445,1.47,1.39,1.465,0,0,79466224
31/07/2020,1.52,1.565,1.465,1.465,-0.215,-12.8,53491343
30/07/2020,1.705,1.71,1.67,1.68,-0.01,-0.59,16316870
29/07/2020,1.7,1.7,1.677,1.69,0,0,8305918
28/07/2020,1.7,1.74,1.69,1.69,-0.02,-1.17,10271256
27/07/2020,1.705,1.72,1.695,1.71,0,0,6919125
24/07/2020,1.73,1.745,1.71,1.71,-0.03,-1.72,7913835
23/07/2020,1.725,1.77,1.72,1.74,0.005,0.29,14789647
22/07/2020,1.74,1.755,1.71,1.735,-0.02,-1.14,12725936
21/07/2020,1.73,1.755,1.722,1.755,0.015,0.86,14102996
20/07/2020,1.755,1.76,1.725,1.74,-0.02,-1.14,6366980
17/07/2020,1.755,1.765,1.735,1.76,0.01,0.57,9882674
16/07/2020,1.78,1.79,1.735,1.75,-0.005,-0.28,12570136
15/07/2020,1.765,1.78,1.735,1.755,0.01,0.57,12692474
14/07/2020,1.74,1.775,1.725,1.745,0,0,8694226
13/07/2020,1.745,1.775,1.717,1.745,0.03,1.75,16741182
10/07/2020,1.755,1.775,1.7,1.715,-0.04,-2.28,19064800
09/07/2020,1.78,1.8,1.75,1.755,-0.015,-0.85,15347067
08/07/2020,1.815,1.86,1.76,1.77,-0.05,-2.75,17141699
07/07/2020,1.83,1.87,1.815,1.82,0.005,0.28,17210006
06/07/2020,1.82,1.855,1.805,1.815,-0.01,-0.55,13530675
03/07/2020,1.88,1.895,1.802,1.825,-0.045,-2.41,15776215
02/07/2020,1.875,1.89,1.835,1.87,-0.015,-0.8,15542745
