Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,36.58,37.1,36.19,36.8,0.7,1.94,536897
28/01/2021,36.75,36.87,35.93,36.1,-1.31,-3.5,513025
27/01/2021,37.48,38.09,36.8,37.41,0.76,2.07,620601
25/01/2021,36.5,36.82,35.98,36.65,0.37,1.02,292419
22/01/2021,36.32,36.97,36.21,36.28,-0.26,-0.71,483542
21/01/2021,37.49,37.8,36.26,36.54,-0.13,-0.35,854039
20/01/2021,36.66,37.33,35.55,36.67,1.26,3.56,799166
19/01/2021,35.17,35.6,34.91,35.41,0.5,1.43,232465
18/01/2021,34.4,35.04,34.15,34.91,0.34,0.98,279751
15/01/2021,34.72,35.14,34.41,34.57,-0.23,-0.66,382969
14/01/2021,34.07,34.88,34.04,34.8,0.72,2.11,335510
13/01/2021,34.03,34.43,33.83,34.08,-0.17,-0.5,274765
12/01/2021,34.3,34.53,34.15,34.25,-0.05,-0.15,339168
11/01/2021,35.2,35.25,34.125,34.3,-0.73,-2.08,370911
08/01/2021,34.11,35.04,33.88,35.03,0.97,2.85,283797
07/01/2021,34.84,35.2,34.03,34.06,-0.16,-0.47,247192
06/01/2021,34.45,34.86,33.95,34.22,-0.64,-1.84,329957
05/01/2021,34.85,35.03,34.63,34.86,-0.17,-0.49,346813
04/01/2021,35,35.15,34.74,35.03,0.25,0.72,196208
31/12/2020,35.24,35.24,34.61,34.78,-0.47,-1.33,133643
30/12/2020,35.67,35.73,34.98,35.25,-0.29,-0.82,158263
29/12/2020,35.89,35.92,35.22,35.54,-0.12,-0.34,191277
24/12/2020,35.4,35.84,35.4,35.66,0.27,0.76,169477
23/12/2020,35.96,36.17,35.25,35.39,-0.01,-0.03,182205
22/12/2020,35.27,35.84,35.08,35.4,-0.19,-0.53,398513
21/12/2020,35.55,35.94,35.01,35.59,-0.18,-0.5,396449
18/12/2020,35.5,36.01,35.36,35.77,0.47,1.33,1082735
17/12/2020,34.86,35.44,34.51,35.3,1.1,3.22,863867
16/12/2020,34.78,34.85,34.16,34.2,-0.23,-0.67,409129
15/12/2020,34.7,34.76,34.08,34.43,-0.13,-0.38,544852
14/12/2020,34.5,34.96,34.31,34.56,0.26,0.76,542605
11/12/2020,34.55,34.59,34.105,34.3,-0.17,-0.49,640644
10/12/2020,35.49,35.49,34.35,34.47,-0.46,-1.32,605713
09/12/2020,34.16,35.35,33.88,34.93,1.31,3.9,912934
08/12/2020,34.24,34.72,33.23,33.62,-0.83,-2.41,1435028
07/12/2020,35.29,35.59,34.32,34.45,-1.23,-3.45,1159633
04/12/2020,36.55,36.67,35.32,35.68,-1.23,-3.33,909360
03/12/2020,36.76,37.28,36.76,36.91,-0.32,-0.86,648177
02/12/2020,37.5,37.82,37.06,37.23,-0.81,-2.13,1056037
01/12/2020,37.65,38.5,37.43,38.04,0.61,1.63,473050
30/11/2020,38.45,38.46,37.31,37.43,-0.15,-0.4,497410
27/11/2020,37.24,37.79,37.17,37.58,0.26,0.7,249028
26/11/2020,37.02,37.92,37.02,37.32,0.5,1.36,579330
25/11/2020,36.97,37.33,36.625,36.82,-0.39,-1.05,405213
24/11/2020,37.55,37.68,36.96,37.21,-0.4,-1.06,475408
23/11/2020,38.19,38.39,37.61,37.61,-0.63,-1.65,491916
20/11/2020,37.75,38.45,37.56,38.24,0.29,0.76,618736
19/11/2020,38.76,38.76,37.69,37.95,-0.91,-2.34,533815
18/11/2020,38.93,39.73,38.76,38.86,0.04,0.1,505845
17/11/2020,39.07,39.35,38.19,38.82,-0.915,-2.3,1061777
16/11/2020,39.23,39.85,39.04,39.735,0.395,1,34074
13/11/2020,39.14,39.92,39.02,39.34,0.14,0.36,668083
12/11/2020,38.4,39.2,38.27,39.2,0.71,1.84,446086
11/11/2020,38.23,39.35,38.11,38.49,-0.33,-0.85,633958
10/11/2020,40.6,40.82,38.43,38.82,-4.09,-9.53,851168
09/11/2020,41.71,43.17,41.66,42.91,1.21,2.9,386814
06/11/2020,41.75,42.16,41.57,41.7,0.02,0.05,263011
05/11/2020,41.77,42.2,41.51,41.68,0.16,0.39,481350
04/11/2020,41.8,41.86,40.66,41.52,-0.39,-0.93,560396
03/11/2020,42.3,42.63,41.53,41.91,0.94,2.29,523996
02/11/2020,40.7,41.13,40.16,40.97,0.78,1.94,425758
30/10/2020,41.96,42.36,40.03,40.19,-0.13,-0.32,605173
29/10/2020,40.24,40.49,39.75,40.32,-0.18,-0.44,348935
28/10/2020,39.71,40.59,39.61,40.5,0.18,0.45,307498
27/10/2020,40.55,40.74,39.955,40.32,-0.4,-0.98,412055
26/10/2020,40.49,40.95,40,40.72,0.23,0.57,765031
23/10/2020,40.06,40.7,39.46,40.49,-0.37,-0.91,203804
22/10/2020,40.29,41.1,40.09,40.86,0.1,0.25,402574
21/10/2020,41.46,41.47,40.61,40.76,-0.42,-1.02,285498
20/10/2020,40.66,41.37,40.43,41.18,0.32,0.78,425377
19/10/2020,40.92,41.1,40.05,40.86,0.51,1.26,532869
16/10/2020,40.5,40.92,40.07,40.35,0.49,1.23,715982
15/10/2020,40.06,40.14,39.5,39.86,-0.11,-0.28,258928
14/10/2020,39.98,40.3,39.5,39.97,0.34,0.86,430462
13/10/2020,39.2,39.91,39.06,39.63,0.71,1.82,345644
12/10/2020,38.95,39.11,38.69,38.92,0.13,0.34,329190
09/10/2020,38.71,38.99,38.64,38.79,-0.02,-0.05,257859
08/10/2020,38.23,38.98,37.97,38.81,0.91,2.4,404117
07/10/2020,37.53,38,36.88,37.9,0.31,0.82,309977
06/10/2020,37.89,37.9,37.29,37.59,-0.18,-0.48,266826
05/10/2020,37.35,37.86,37.28,37.77,0.82,2.22,244519
02/10/2020,37.2,37.4,36.62,36.95,-0.49,-1.31,442716
01/10/2020,37.45,37.8,37.15,37.44,0.34,0.92,349522
30/09/2020,37.69,37.905,37.1,37.1,-0.4,-1.07,611902
29/09/2020,37.55,37.61,37.14,37.5,0.28,0.75,356947
28/09/2020,37.13,37.49,36.74,37.22,0.36,0.98,422599
25/09/2020,37.49,37.64,36.42,36.86,-0.48,-1.29,544490
24/09/2020,37.52,37.54,37.07,37.34,-0.31,-0.82,416354
23/09/2020,37.12,37.84,36.8,37.65,0.9,2.45,609584
22/09/2020,35.71,36.92,35.605,36.75,0.92,2.57,1016551
21/09/2020,35.6,35.98,35.34,35.83,0.03,0.08,979556
