Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,24.35,24.43,23.63,23.71,-0.51,-2.11,7107996
28/01/2021,24.19,24.22,23.68,24.22,-0.33,-1.34,7419602
27/01/2021,24.61,24.78,24.4,24.55,-0.13,-0.53,5638986
25/01/2021,24.68,24.82,24.56,24.68,0.04,0.16,2972782
22/01/2021,24.62,24.7,24.45,24.64,-0.1,-0.4,8865559
21/01/2021,24.65,24.8,24.52,24.74,0.28,1.14,4369249
20/01/2021,24.84,24.87,24.42,24.46,-0.22,-0.89,4443645
19/01/2021,24.5,24.81,24.42,24.68,0.4,1.65,4789371
18/01/2021,24.62,24.71,24.15,24.28,-0.38,-1.54,4852347
15/01/2021,24.6,24.9,24.51,24.66,0.06,0.24,6345197
14/01/2021,24.1,24.7,24.05,24.6,0.44,1.82,7470722
13/01/2021,23.84,24.25,23.84,24.16,0.11,0.46,4372886
12/01/2021,23.9,24.28,23.83,24.05,0.2,0.84,6618859
11/01/2021,23.8,23.9,23.69,23.85,0.01,0.04,3817815
08/01/2021,23.83,23.89,23.57,23.84,0.2,0.85,4857727
07/01/2021,23.22,23.9,23.13,23.64,0.86,3.78,8969375
06/01/2021,22.83,22.94,22.56,22.78,-0.19,-0.83,5378700
05/01/2021,22.86,22.97,22.75,22.97,-0.07,-0.3,4097017
04/01/2021,22.76,23.14,22.76,23.04,0.34,1.5,5724379
31/12/2020,22.96,23.05,22.7,22.7,-0.37,-1.6,3104659
30/12/2020,23,23.1,22.89,23.07,-0.09,-0.39,3145318
29/12/2020,23.26,23.38,23.09,23.16,0.13,0.56,1779328
24/12/2020,23.3,23.45,23.03,23.03,-0.07,-0.3,2289726
23/12/2020,23.1,23.22,23,23.1,0.19,0.83,3251829
22/12/2020,23.16,23.28,22.75,22.91,-0.4,-1.72,5313856
21/12/2020,23.12,23.38,22.93,23.31,0.07,0.3,5766157
18/12/2020,23.58,23.58,23.24,23.24,-0.34,-1.44,18051275
17/12/2020,23.5,23.67,23.35,23.58,0.3,1.29,10067933
16/12/2020,23.05,23.52,23.05,23.28,0.31,1.35,7154636
15/12/2020,23.33,23.44,22.87,22.97,-0.21,-0.91,7263039
14/12/2020,23.1,23.39,23.01,23.18,0.24,1.05,5150698
11/12/2020,23.11,23.14,22.85,22.94,-0.23,-0.99,8645653
10/12/2020,23.3,23.43,23.13,23.17,-0.13,-0.56,10020511
09/12/2020,23.4,23.49,23.23,23.3,-0.1,-0.43,6523208
08/12/2020,23.16,23.48,23.04,23.4,0.06,0.26,6493928
07/12/2020,23.47,23.51,23.09,23.34,0.04,0.17,4592948
04/12/2020,23.01,23.415,23,23.3,0.29,1.26,5240529
03/12/2020,23,23.11,22.88,23.01,-0.02,-0.09,5730880
02/12/2020,23.12,23.17,22.86,23.03,0.15,0.66,9813523
01/12/2020,22.52,23.02,22.38,22.88,0.24,1.06,8230200
30/11/2020,23.03,23.3,22.595,22.64,-0.45,-1.95,16018470
27/11/2020,23.09,23.26,22.85,23.09,-0.16,-0.69,6250982
26/11/2020,23.52,23.59,23.23,23.25,-0.41,-1.73,9708712
25/11/2020,23.47,23.82,23.27,23.66,0.69,3,11297073
24/11/2020,22.49,23.19,22.45,22.97,0.69,3.1,9311086
23/11/2020,22.34,22.38,22.1,22.28,-0.06,-0.27,7303246
20/11/2020,22.42,22.52,22.23,22.34,-0.11,-0.49,9534716
19/11/2020,22.11,22.45,21.93,22.45,0.44,2,9762973
18/11/2020,21.8,22.12,21.67,22.01,0.29,1.34,10723471
17/11/2020,21.5,21.89,21.36,21.72,0.52,2.45,16904184
16/11/2020,20.8,21.2,20.78,21.2,0.62,3.01,1166865
13/11/2020,20.46,20.63,20.36,20.58,-0.02,-0.1,6796814
12/11/2020,20.83,20.91,20.51,20.6,-0.23,-1.1,8402661
11/11/2020,20.42,20.89,20.36,20.83,0.64,3.17,13577313
10/11/2020,20,20.54,19.96,20.19,0.97,5.05,19781693
09/11/2020,19.19,19.47,19.12,19.22,-0.38,-1.94,12609285
06/11/2020,19.63,19.68,19.345,19.6,0.13,0.67,7096384
05/11/2020,19.44,19.5,18.94,19.47,0.17,0.88,9759444
