Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,9.76,9.79,9.55,9.7,-0.09,-0.92,1642146
29/01/2021,9.8,9.88,9.74,9.79,0.03,0.31,7388838
28/01/2021,9.7,9.8,9.58,9.76,0.04,0.41,4020755
27/01/2021,9.63,9.785,9.56,9.72,0.16,1.67,3381105
25/01/2021,9.54,9.655,9.47,9.56,0.09,0.95,1607247
22/01/2021,9.57,9.62,9.43,9.47,-0.05,-0.53,1886599
21/01/2021,9.68,9.7,9.51,9.52,0.01,0.11,1738260
20/01/2021,9.68,9.75,9.5,9.51,-0.03,-0.31,3645470
19/01/2021,9.61,9.64,9.5,9.54,0.04,0.42,2000776
18/01/2021,9.55,9.63,9.44,9.5,-0.06,-0.63,1934225
15/01/2021,9.62,9.68,9.55,9.56,-0.09,-0.93,1942817
14/01/2021,9.75,9.79,9.63,9.65,0.05,0.52,2073698
13/01/2021,9.85,9.96,9.6,9.6,-0.25,-2.54,3099875
12/01/2021,9.99,10.14,9.83,9.85,0.04,0.41,2843841
11/01/2021,9.8,9.89,9.78,9.81,-0.03,-0.3,1920472
08/01/2021,9.85,9.93,9.79,9.84,-0.03,-0.3,2341572
07/01/2021,9.86,9.93,9.81,9.87,0.06,0.61,2135639
06/01/2021,9.79,9.85,9.72,9.81,-0.01,-0.1,2537791
05/01/2021,9.8,9.84,9.71,9.82,0.04,0.41,1964410
04/01/2021,9.75,9.84,9.725,9.78,0.13,1.35,1816877
31/12/2020,9.85,9.87,9.65,9.65,-0.19,-1.93,1612746
30/12/2020,9.95,9.97,9.76,9.84,-0.29,-2.86,1835448
29/12/2020,10.25,10.25,10.08,10.13,0.02,0.2,1646048
24/12/2020,10.23,10.25,10.11,10.11,-0.1,-0.98,966882
23/12/2020,10.24,10.27,10.1,10.21,0.12,1.19,1937665
22/12/2020,10.2,10.21,10.06,10.09,-0.09,-0.88,2251111
21/12/2020,10.27,10.34,10.14,10.18,-0.09,-0.88,1507465
18/12/2020,10.27,10.36,10.2,10.27,-0.07,-0.68,3958552
17/12/2020,10.35,10.39,10.23,10.34,0.06,0.58,4686669
16/12/2020,10.36,10.39,10.24,10.28,0.09,0.88,2592716
15/12/2020,10.24,10.3,10.16,10.19,-0.06,-0.59,3134877
14/12/2020,10.26,10.37,10.23,10.25,0.01,0.1,3539793
11/12/2020,10.38,10.38,10.18,10.24,-0.13,-1.25,2967491
10/12/2020,10.44,10.51,10.25,10.37,-0.1,-0.96,3227860
09/12/2020,10.35,10.56,10.33,10.47,0.21,2.05,3844437
08/12/2020,10.14,10.32,10.07,10.26,0.15,1.48,4278224
