Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,13.05,13.67,12.93,13.57,0.25,1.88,395813
29/01/2021,13.8,13.91,13.27,13.32,0.12,0.91,474582
28/01/2021,13.28,13.35,12.86,13.2,-0.22,-1.64,630354
27/01/2021,14.1,14.25,13.4,13.42,-0.63,-4.48,503480
25/01/2021,13.94,14.28,13.86,14.05,0.2,1.44,414667
22/01/2021,14.09,14.12,13.85,13.85,-0.21,-1.49,320672
21/01/2021,13.94,14.14,13.89,14.06,0.36,2.63,425871
20/01/2021,13.25,13.74,13.25,13.7,0.25,1.86,402392
19/01/2021,13.33,13.45,13.23,13.45,0.24,1.82,314098
18/01/2021,12.9,13.315,12.9,13.21,0.22,1.69,330797
15/01/2021,13.15,13.31,12.9,12.99,-0.26,-1.96,388032
14/01/2021,13.35,13.58,13.2,13.25,-0.31,-2.29,292299
13/01/2021,13.2,13.56,13.15,13.56,0.3,2.26,315247
12/01/2021,13.28,13.6,13.12,13.26,0.09,0.68,316833
11/01/2021,13.51,13.74,13.16,13.17,-0.43,-3.16,362835
08/01/2021,13.48,13.74,13.29,13.6,0.47,3.58,304934
07/01/2021,13.32,13.48,13.09,13.13,0.03,0.23,666749
06/01/2021,13.2,13.45,13.07,13.1,-0.21,-1.58,495946
05/01/2021,13.1,13.47,13.1,13.31,-0.16,-1.19,321231
04/01/2021,13.4,13.49,13.17,13.47,0.18,1.35,344765
31/12/2020,13.56,13.84,13.29,13.29,-0.29,-2.14,329709
30/12/2020,13.55,13.85,13.42,13.58,0.03,0.22,338446
29/12/2020,13.3,13.73,13.3,13.55,0.29,2.19,346810
24/12/2020,13.59,13.79,13.23,13.26,-0.18,-1.34,246069
23/12/2020,12.95,13.55,12.95,13.44,0.48,3.7,534595
22/12/2020,13.14,13.33,12.75,12.96,-0.16,-1.22,778025
21/12/2020,13.15,13.34,12.91,13.12,-0.06,-0.46,564516
18/12/2020,14.02,14.04,13.18,13.18,-0.84,-5.99,1057889
17/12/2020,14.11,14.53,13.9,14.02,-0.07,-0.5,751664
16/12/2020,14.5,14.72,14.07,14.09,-0.26,-1.81,779554
15/12/2020,14.23,14.53,13.97,14.35,0.13,0.91,982306
14/12/2020,13.82,14.66,13.78,14.22,0.69,5.1,1011129
11/12/2020,13.19,14.15,13.19,13.53,0.4,3.05,1361066
10/12/2020,13.15,13.39,12.99,13.13,0.02,0.15,769639
09/12/2020,13.26,13.26,12.94,13.11,0.17,1.31,341238
08/12/2020,12.9,13.13,12.82,12.94,-0.23,-1.75,471318
07/12/2020,13.33,13.6,13.01,13.17,-0.08,-0.6,603991
04/12/2020,13.01,13.33,13.01,13.25,0.08,0.61,437133
