Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,132.45,136.37,129.01,135.87,0.77,0.57,1348926
29/01/2021,140.74,142.9,134.54,135.1,-1.87,-1.37,1552172
28/01/2021,141.5,142.94,136.01,136.97,-9.03,-6.18,2240244
27/01/2021,143.38,146.99,140.68,146,2.54,1.77,3452401
25/01/2021,144.99,146.5,142.53,143.46,2.13,1.51,3036313
22/01/2021,150,151.22,140.36,141.33,-7.67,-5.15,2394127
21/01/2021,144.41,149.775,144.29,149,8,5.67,3242965
20/01/2021,135.25,142.3,135.25,141,7,5.22,1970968
19/01/2021,132.38,134.29,131.71,134,1.99,1.51,1159369
18/01/2021,131.65,140.4,131.5,132.01,-1.14,-0.86,4172638
15/01/2021,120.79,135.54,120.7,133.15,12.15,10.04,3505562
14/01/2021,112.59,121,112.5,121,10.74,9.74,1721653
13/01/2021,111.85,112.05,107.5,110.26,-1.59,-1.42,1177341
12/01/2021,113.9,114.75,111.8,111.85,-2.14,-1.88,970219
11/01/2021,115.77,116.18,112.18,113.99,-2.01,-1.73,831544
08/01/2021,111.87,116,111.5,116,7.15,6.57,1690807
07/01/2021,114.88,115.2,105.02,108.85,-4.71,-4.15,1601361
06/01/2021,118.71,118.87,112.01,113.56,-5.34,-4.49,1443287
05/01/2021,119,120.58,118.13,118.9,-0.1,-0.08,1141423
04/01/2021,119.68,122.3,119,119,1,0.85,1288073
31/12/2020,118.05,120.06,118,118,0.37,0.31,619573
30/12/2020,122,122,117.56,117.63,-4.46,-3.65,1728187
29/12/2020,116.81,122.09,116.48,122.09,6.14,5.3,1463328
24/12/2020,116,117.14,115.6,115.95,0.96,0.83,665295
23/12/2020,114,117.14,113.96,114.99,1.7,1.5,1547449
22/12/2020,112.28,114.45,109.53,113.29,1.14,1.02,1106437
21/12/2020,112.95,117,111.29,112.15,0.86,0.77,1248064
18/12/2020,120.35,123.4,111.29,111.29,-9.02,-7.5,6367491
17/12/2020,115.79,120.77,115.77,120.31,5.71,4.98,2316972
16/12/2020,115,116.07,113,114.6,4.6,4.18,1784295
15/12/2020,110.02,113.05,107.45,110,0.07,0.06,2093745
14/12/2020,101.01,111.66,101.01,109.93,8.92,8.83,2830278
11/12/2020,97.19,101.8,96.5,101.01,4.83,5.02,2214209
10/12/2020,97.61,97.95,95.61,96.18,-2.27,-2.31,1213643
09/12/2020,96.68,98.65,96,98.45,2.77,2.9,1464201
08/12/2020,97,97.6,95.52,95.68,-0.92,-0.95,1212406
07/12/2020,96.99,97.19,94.62,96.6,2.1,2.22,1236985
04/12/2020,97.48,97.48,94.5,94.5,-1.7,-1.77,1142030
03/12/2020,100.49,100.99,96.1,96.2,-2.36,-2.39,1766706
02/12/2020,99.7,100.79,97.68,98.56,0.26,0.26,2536192
01/12/2020,95.8,98.62,94.81,98.3,3.29,3.46,1505512
30/11/2020,97.19,98.34,94.78,95.01,0.31,0.33,2706587
27/11/2020,95.73,96.37,93.37,94.7,-1.11,-1.16,1426849
26/11/2020,96.83,97.45,95.45,95.81,0.59,0.62,1373540
25/11/2020,101.4,101.89,95.22,95.22,-5.92,-5.85,2024776
24/11/2020,99,101.47,98.93,101.14,2.44,2.47,1394264
23/11/2020,97.6,99.95,96.89,98.7,1.11,1.14,903552
20/11/2020,98.98,99.77,97.15,97.59,-0.3,-0.31,1662193
19/11/2020,94.45,97.98,93.18,97.89,3.2,3.38,2038934
18/11/2020,96.1,96.65,93.01,94.69,-1.24,-1.29,1727577
17/11/2020,102.5,103.28,95.4,95.93,-5.52,-5.44,2745462
16/11/2020,102.99,103.5,101.15,101.45,-0.4,-0.39,170254
13/11/2020,99.2,102.8,98.75,101.85,2.62,2.64,2672963
12/11/2020,98.9,101.27,98.58,99.23,3.19,3.32,2932017
11/11/2020,93.45,96.1,89.27,96.04,2.86,3.07,2911797
10/11/2020,101.9,101.9,91.62,93.18,-11.35,-10.86,4554673
09/11/2020,102,105,101.98,104.53,4.03,4.01,2536176
06/11/2020,104.94,105.2,99.28,100.5,-2.75,-2.66,2483131
05/11/2020,103.4,104.37,102.26,103.25,2.5,2.48,1674316
04/11/2020,101,101.89,97.1,100.75,1.62,1.63,2608915
03/11/2020,99.7,101.9,98.87,99.13,0.86,0.88,1317144
02/11/2020,96.5,98.77,95.77,98.27,1.58,1.63,1083044
30/10/2020,100.67,102,96.37,96.69,-2.86,-2.87,1648232
29/10/2020,100.01,100.34,97.62,99.55,-3.42,-3.32,1633391
28/10/2020,95.9,103.8,95.6,102.97,6.99,7.28,2365731
27/10/2020,98.02,98.5,95.6,95.98,-4.78,-4.74,1753777
26/10/2020,102.51,105.4,100.76,100.76,-1.37,-1.34,1667126
23/10/2020,101.89,102.64,100.71,102.13,1.07,1.06,1294136
22/10/2020,99,101.42,97.9,101.06,-0.26,-0.26,1405445
21/10/2020,103.15,104.42,99.54,101.32,-0.62,-0.61,2461785
20/10/2020,98.7,105.8,98.38,101.94,4.4,4.51,2728914
19/10/2020,97.01,98.3,96.85,97.54,0.82,0.85,945659
16/10/2020,94.7,97.16,94.36,96.72,1.72,1.81,1769768
15/10/2020,96.7,96.7,94.15,95,-1.09,-1.13,1758254
14/10/2020,96.11,98.68,94.9,96.09,1.63,1.73,2331305
13/10/2020,93.94,96.08,93.4,94.46,2.46,2.67,2991442
12/10/2020,89.88,92.17,89.03,92,2.49,2.78,1940571
09/10/2020,87.9,89.51,87.2,89.51,2.46,2.83,1518039
08/10/2020,85.9,87.37,85.31,87.05,2.21,2.6,1606255
07/10/2020,83.45,85.84,82.57,84.84,1.36,1.63,1133998
06/10/2020,81.24,84.2,79.62,83.48,3.96,4.98,1484380
05/10/2020,81.01,82.28,78.59,79.52,-0.13,-0.16,1403361
02/10/2020,81.62,83.44,79.04,79.65,-0.8,-0.99,1871308
01/10/2020,81.85,82.89,80.32,80.45,0.46,0.58,1374264
30/09/2020,80.88,81.61,79.9,79.99,-1.79,-2.19,1936423
29/09/2020,81.01,82.7,81.01,81.78,1.98,2.48,1739655
28/09/2020,76.5,80.3,75.98,79.8,3.85,5.07,1449709
25/09/2020,75.25,76,72.77,75.95,1.81,2.44,1614497
24/09/2020,75.69,76.3,73.82,74.14,-4.59,-5.83,1851800
23/09/2020,77.88,81.08,77.71,78.73,2.19,2.86,2720379
22/09/2020,74.31,76.77,74.01,76.54,1.68,2.24,1671254
21/09/2020,76.3,76.46,74.51,74.86,-0.94,-1.24,1461237
18/09/2020,74.03,76.66,74.03,75.8,1.96,2.65,3168958
17/09/2020,77.52,77.745,73.84,73.84,-4.19,-5.37,2680463
16/09/2020,75.85,78.38,75.55,78.03,3.02,4.03,2317218
15/09/2020,73.98,75.79,73.5,75.01,2.43,3.35,2067141
14/09/2020,73.85,75,70.21,72.58,-1.29,-1.75,2700093
11/09/2020,73.79,75.04,72.8,73.87,-1.76,-2.33,2247288
10/09/2020,76.79,77.6,75.16,75.63,1.58,2.13,2369414
09/09/2020,70.7,74.93,70.06,74.05,-0.99,-1.32,4137925
08/09/2020,77.15,77.75,74.76,75.04,-1.31,-1.72,1922468
07/09/2020,76.55,77.8,74.56,76.35,-1.85,-2.37,2576409
04/09/2020,77.02,80.85,76.13,78.2,-5.59,-6.67,3102732
03/09/2020,84.36,86.48,82.17,83.79,1.29,1.56,2631422
02/09/2020,83.69,83.92,73.68,82.5,-1.59,-1.89,5767076
01/09/2020,89.08,90.51,82.6,84.09,-7.35,-8.04,6626803
31/08/2020,88,93.26,87.44,91.44,2.69,3.03,2476483
28/08/2020,90.6,91.26,86.61,88.75,-2.51,-2.75,2695599
27/08/2020,93.99,95.97,85.02,91.26,0.54,0.6,3991757
26/08/2020,91.66,92.19,88.97,90.72,-1.76,-1.9,3727905
25/08/2020,85,93.5,84.92,92.48,9.75,11.79,3054425
24/08/2020,81.39,83,80.65,82.73,3.78,4.79,2023284
21/08/2020,81.5,82,78.9,78.95,-1.03,-1.29,2221426
20/08/2020,80.77,82,79.04,79.98,5.08,6.78,3260358
19/08/2020,76.35,77,74.9,74.9,-0.1,-0.13,2290454
18/08/2020,74.64,76.34,74.11,75,1.22,1.65,1596787
17/08/2020,75.75,75.8,73.66,73.78,-2.02,-2.66,1702585
14/08/2020,71.1,75.8,71.1,75.8,4.51,6.33,2059169
13/08/2020,71.95,74.25,71.05,71.29,0.24,0.34,2144129
12/08/2020,69.71,71.79,69,71.05,0.87,1.24,2261933
11/08/2020,72,72.35,69.7,70.18,-2.36,-3.25,6501412
10/08/2020,70,73.01,69.6,72.54,1.84,2.6,1855136
07/08/2020,71.25,71.42,70.18,70.7,-0.56,-0.79,2904661
06/08/2020,71.4,72.4,70.72,71.26,0.26,0.37,1371827
