Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,22.28,22.29,21.67,22.04,-0.29,-1.3,780917
29/01/2021,22.6,23.05,22.32,22.33,-0.07,-0.31,674555
28/01/2021,22.8,22.94,22.24,22.4,-0.54,-2.35,632878
27/01/2021,23.36,23.42,22.82,22.94,-0.35,-1.5,686428
25/01/2021,22.73,23.47,22.72,23.29,0.59,2.6,495693
22/01/2021,23.05,23.19,22.68,22.7,-0.38,-1.65,829438
21/01/2021,23.7,23.95,23.01,23.08,-0.22,-0.94,1007181
20/01/2021,23.6,23.75,23.27,23.3,0.22,0.95,748017
19/01/2021,22.99,23.6,22.89,23.08,0.48,2.12,910149
18/01/2021,22.4,22.75,22.26,22.6,0.28,1.25,517160
15/01/2021,22.8,22.94,22.32,22.32,-0.38,-1.67,620945
14/01/2021,22.91,22.96,22.62,22.7,0.18,0.8,735972
13/01/2021,22.8,22.95,22.2,22.52,-0.02,-0.09,879103
12/01/2021,22.51,22.85,22.21,22.54,0.03,0.13,906264
11/01/2021,23.61,23.67,22.44,22.51,-0.95,-4.05,1501398
08/01/2021,23.97,24.24,23.23,23.46,-0.28,-1.18,1313215
07/01/2021,24.04,24.37,23.7,23.74,-0.36,-1.49,1182860
06/01/2021,25.2,25.2,24.055,24.1,-0.81,-3.25,973716
05/01/2021,25.66,25.66,24.91,24.91,-0.6,-2.35,675116
04/01/2021,24.96,25.73,24.8,25.51,0.82,3.32,766530
31/12/2020,24.85,25.21,24.69,24.69,-0.11,-0.44,239625
30/12/2020,25,25.24,24.7,24.8,-0.45,-1.78,553731
29/12/2020,25.07,25.3,24.72,25.25,0.59,2.39,619951
24/12/2020,25.41,25.5,24.59,24.66,-0.2,-0.8,329774
23/12/2020,24.65,25.26,24.65,24.86,0.32,1.3,662682
22/12/2020,24.49,24.63,24.07,24.54,0.05,0.2,674130
21/12/2020,24.9,25.01,24.28,24.49,-0.36,-1.45,704458
18/12/2020,25.11,25.25,24.77,24.85,-0.22,-0.88,1370487
17/12/2020,24.84,25.24,24.83,25.07,0.3,1.21,1083864
16/12/2020,24.92,25.17,24.6,24.77,0.15,0.61,1954116
15/12/2020,25.2,25.25,24.49,24.62,-0.63,-2.5,2431274
14/12/2020,25.5,25.68,25.12,25.25,-0.19,-0.75,1311445
11/12/2020,26.3,26.4,25.44,25.44,-0.76,-2.9,2650639
10/12/2020,26.86,28.26,26.04,26.2,-3.72,-12.43,4466949
09/12/2020,30.17,30.23,29.76,29.92,0.08,0.27,720014
08/12/2020,30.28,30.28,29.84,29.84,-0.14,-0.47,1966865
07/12/2020,29.8,30.14,29.63,29.98,0.24,0.81,1452844
04/12/2020,30.4,30.4,29.56,29.74,-0.75,-2.46,1700858
03/12/2020,30.98,31,30.32,30.49,-0.53,-1.71,1170552
02/12/2020,32.36,32.59,30.88,31.02,-1.32,-4.08,1126616
01/12/2020,31.88,32.75,31.84,32.34,0.79,2.5,703565
30/11/2020,31.66,31.83,31.11,31.55,0.45,1.45,968333
27/11/2020,31.75,32.03,30.99,31.1,-0.68,-2.14,889849
26/11/2020,32.36,32.5,31.42,31.78,-0.15,-0.47,700695
25/11/2020,33.86,33.92,31.79,31.93,-1.82,-5.39,1010557
24/11/2020,33.21,33.87,32.94,33.75,0.63,1.9,572518
23/11/2020,33.3,33.51,32.9,33.12,-0.09,-0.27,361603
20/11/2020,33.63,33.81,33.18,33.21,-0.01,-0.03,393455
19/11/2020,33.02,33.3,32.6,33.22,0.1,0.3,444976
18/11/2020,32.95,33.39,32.5,33.12,0.17,0.52,690384
17/11/2020,34.36,34.38,32.91,32.95,-1.06,-3.12,823763
16/11/2020,34.08,34.3,33.86,34.01,0.07,0.21,61560
13/11/2020,33.8,34.06,33.22,33.94,0.31,0.92,489806
12/11/2020,33.96,34.44,33.6,33.63,0.4,1.2,711972
11/11/2020,33.2,33.38,32.01,33.23,0.12,0.36,1588315
10/11/2020,36.33,36.4,32.91,33.11,-3.23,-8.89,1262065
