Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,34.5,35.84,34.41,35.15,1.2,3.53,240829
28/01/2021,34.45,34.81,33.78,33.95,-1.22,-3.47,475609
27/01/2021,34.71,35.32,34.56,35.17,0.71,2.06,261806
25/01/2021,33.83,34.94,33.61,34.46,0.9,2.68,165930
22/01/2021,33.1,33.96,32.98,33.56,0.36,1.08,109433
21/01/2021,33.36,33.51,32.96,33.2,0.04,0.12,177620
20/01/2021,33.39,33.58,32.565,33.16,-0.23,-0.69,172097
19/01/2021,32.87,33.455,32.48,33.39,0.81,2.49,135260
18/01/2021,30.76,32.73,30.76,32.58,1.48,4.76,260498
15/01/2021,31.28,31.44,30.42,31.1,-0.38,-1.21,173559
14/01/2021,32.35,32.6,31.26,31.48,-0.91,-2.81,198221
13/01/2021,33.59,33.72,32.09,32.39,-1.08,-3.23,393017
12/01/2021,32.04,33.73,32.04,33.47,1.82,5.75,409372
11/01/2021,31.01,31.98,31.01,31.65,0.28,0.89,144341
08/01/2021,30.48,31.57,30.14,31.37,1.22,4.05,251112
07/01/2021,30.62,30.78,30.01,30.15,0.05,0.17,191571
06/01/2021,30.68,30.69,29.79,30.1,-0.81,-2.62,203858
05/01/2021,31,31.04,30.35,30.91,-0.09,-0.29,179583
04/01/2021,30.8,31.05,30.65,31,0.2,0.65,89839
31/12/2020,31.29,31.65,30.8,30.8,-0.71,-2.25,50570
30/12/2020,31.25,31.52,30.88,31.51,0.26,0.83,109157
29/12/2020,31.6,31.95,31.06,31.25,-0.34,-1.08,83098
24/12/2020,31.48,31.87,31.35,31.59,0.38,1.22,59387
23/12/2020,30.17,31.36,30.17,31.21,0.59,1.93,119712
22/12/2020,30.54,31.17,30.29,30.62,-0.38,-1.23,285851
21/12/2020,31.5,31.8,30.81,31,-0.75,-2.36,305156
18/12/2020,32.01,32.47,31.13,31.75,-0.2,-0.63,215475
17/12/2020,31.32,32.26,31.05,31.95,1,3.23,373612
16/12/2020,31.36,31.55,30.58,30.95,0.5,1.64,403990
15/12/2020,30.18,30.57,29.7,30.45,0.62,2.08,290078
14/12/2020,29.46,30.22,29.21,29.83,0.33,1.12,178038
11/12/2020,29.34,29.62,28.97,29.5,-0.17,-0.57,230404
10/12/2020,29.2,29.84,29.18,29.67,0.33,1.12,271308
09/12/2020,28.79,29.51,28.53,29.34,0.61,2.12,144791
08/12/2020,29.14,29.39,28.66,28.73,-0.41,-1.41,129519
07/12/2020,29.4,29.81,28.83,29.14,-0.09,-0.31,285156
04/12/2020,28.44,29.47,28.42,29.23,0.78,2.74,215166
03/12/2020,28.56,28.79,28.2,28.45,-0.31,-1.08,165478
02/12/2020,28.14,29.37,28.07,28.76,0.62,2.2,436040
01/12/2020,27.86,28.41,27.69,28.14,0.4,1.44,191506
30/11/2020,28.84,28.84,27.74,27.74,-0.76,-2.67,390117
27/11/2020,28,28.74,27.82,28.5,0.49,1.75,168731
26/11/2020,28.74,28.77,27.87,28.01,-0.69,-2.4,251695
25/11/2020,29.34,29.35,28.33,28.7,-0.63,-2.15,302085
24/11/2020,28.87,29.57,28.52,29.33,0.55,1.91,290908
23/11/2020,28.46,28.83,28.03,28.78,0.29,1.02,178407
20/11/2020,28.3,28.84,28.15,28.49,0.12,0.42,118222
19/11/2020,28.03,28.37,27.62,28.37,0.44,1.58,492963
18/11/2020,28.5,28.72,27.67,27.93,-0.57,-2,333335
17/11/2020,29.61,29.61,28.19,28.5,-1.17,-3.94,456365
16/11/2020,29.6,29.96,28.7,29.67,0.14,0.47,13946
13/11/2020,29.21,29.76,28.98,29.53,0.4,1.37,223856
12/11/2020,29.1,29.46,28.5,29.13,0,0,459745
11/11/2020,28.35,29.32,27.72,29.13,0.72,2.53,835027
10/11/2020,32.8,32.8,27.87,28.41,-4.17,-12.8,672367
09/11/2020,32.46,32.63,32.26,32.58,0.5,1.56,142269
06/11/2020,33.05,33.05,31.82,32.08,-0.42,-1.29,140642
05/11/2020,32.12,33.07,32.11,32.5,0.42,1.31,440792
04/11/2020,31.44,32.1,31.275,32.08,0.69,2.2,233270
03/11/2020,31.16,31.66,30.81,31.39,0.67,2.18,162609
02/11/2020,30.77,31.32,30.17,30.72,-0.05,-0.16,210782
30/10/2020,31.4,31.62,30.65,30.77,-0.86,-2.72,181336
29/10/2020,31.5,31.82,31.05,31.63,-0.27,-0.85,269053
28/10/2020,31.3,31.985,30.84,31.9,0.45,1.43,189214
27/10/2020,31.2,31.73,30.5,31.45,-0.14,-0.44,434614
26/10/2020,33.04,33.83,31.44,31.59,-1.14,-3.48,461477
23/10/2020,32.87,33.06,32.65,32.73,-0.18,-0.55,220714
22/10/2020,32.13,32.96,31.78,32.91,0.54,1.67,215792
21/10/2020,32.92,33.09,32.22,32.37,-0.48,-1.46,187772
20/10/2020,32.31,33.1,32.14,32.85,0.44,1.36,230251
