Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
10/10/2019,8.25,8.25,8.22,8.23,-0.01,-0.12,170022
11/10/2019,8.24,8.24,8.2,8.2,-0.03,-0.36,214732
14/10/2019,8.25,8.31,8.25,8.27,0.07,0.85,271436
15/10/2019,8.28,8.34,8.27,8.32,0.05,0.6,252874
16/10/2019,8.34,8.41,8.34,8.4,0.08,0.96,248954
17/10/2019,8.4,8.42,8.34,8.41,0.01,0.12,208074
18/10/2019,8.4,8.4,8.36,8.37,-0.04,-0.48,250322
21/10/2019,8.37,8.37,8.35,8.36,-0.01,-0.12,181943
22/10/2019,8.35,8.4,8.35,8.4,0.04,0.48,361315
23/10/2019,8.4,8.4,8.36,8.37,-0.03,-0.36,178107
24/10/2019,8.37,8.43,8.37,8.43,0.06,0.72,131239
25/10/2019,8.4,8.43,8.36,8.42,-0.01,-0.12,272419
28/10/2019,8.45,8.5,8.45,8.5,0.08,0.95,313369
29/10/2019,8.5,8.5,8.44,8.44,-0.06,-0.71,169900
30/10/2019,8.46,8.5,8.45,8.5,0.06,0.71,231396
31/10/2019,8.5,8.5,8.37,8.37,-0.13,-1.53,430024
01/11/2019,8.43,8.46,8.34,8.37,0,0,446614
04/11/2019,8.41,8.42,8.33,8.34,-0.03,-0.36,385580
05/11/2019,8.37,8.41,8.34,8.41,0.07,0.84,163268
06/11/2019,8.42,8.46,8.41,8.45,0.04,0.48,197955
07/11/2019,8.45,8.45,8.42,8.45,0,0,222233
08/11/2019,8.45,8.5,8.45,8.5,0.05,0.59,209994
11/11/2019,8.51,8.53,8.45,8.48,-0.02,-0.24,324477
12/11/2019,8.5,8.52,8.46,8.5,0.02,0.24,211741
13/11/2019,8.48,8.5,8.45,8.5,0,0,212464
14/11/2019,8.5,8.52,8.47,8.49,-0.01,-0.12,160696
15/11/2019,8.5,8.55,8.48,8.48,-0.01,-0.12,160128
18/11/2019,8.51,8.59,8.5,8.5,0.02,0.24,283449
19/11/2019,8.51,8.54,8.51,8.52,0.02,0.24,141020
20/11/2019,8.53,8.6,8.52,8.58,0.06,0.7,240961
21/11/2019,8.57,8.57,8.46,8.46,-0.12,-1.4,321904
22/11/2019,8.49,8.52,8.48,8.51,0.05,0.59,167264
25/11/2019,8.5,8.52,8.48,8.48,-0.03,-0.35,243442
26/11/2019,8.5,8.57,8.5,8.56,0.08,0.94,146770
27/11/2019,8.56,8.57,8.52,8.57,0.01,0.12,176762
28/11/2019,8.55,8.6,8.55,8.59,0.02,0.23,237728
29/11/2019,8.59,8.6,8.535,8.56,-0.03,-0.35,238553
02/12/2019,8.57,8.6,8.57,8.6,0.04,0.47,268983
03/12/2019,8.57,8.6,8.55,8.6,0,0,315980
04/12/2019,8.57,8.57,8.5,8.51,-0.09,-1.05,271848
05/12/2019,8.54,8.59,8.54,8.54,0.03,0.35,298408
06/12/2019,8.56,8.57,8.52,8.52,-0.02,-0.23,202084
09/12/2019,8.56,8.59,8.52,8.52,0,0,300837
10/12/2019,8.55,8.59,8.48,8.48,-0.04,-0.47,214789
11/12/2019,8.51,8.53,8.5,8.53,0.05,0.59,136381
12/12/2019,8.54,8.59,8.54,8.55,0.02,0.23,121715
13/12/2019,8.57,8.64,8.56,8.63,0.08,0.94,153677
16/12/2019,8.63,8.7,8.63,8.67,0.04,0.46,181408
