Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,2.53,2.63,2.52,2.57,0.06,2.39,1842314
28/01/2021,2.57,2.58,2.45,2.51,-0.08,-3.09,3401446
27/01/2021,2.54,2.61,2.54,2.59,0.08,3.19,2037261
25/01/2021,2.51,2.57,2.5,2.51,0.01,0.4,1474121
22/01/2021,2.49,2.52,2.48,2.5,0.01,0.4,1083555
21/01/2021,2.53,2.58,2.48,2.49,-0.07,-2.73,3025025
20/01/2021,2.48,2.585,2.47,2.56,0.06,2.4,2201084
19/01/2021,2.44,2.53,2.44,2.5,0.05,2.04,1645373
18/01/2021,2.5,2.52,2.42,2.45,-0.07,-2.78,1673669
15/01/2021,2.56,2.56,2.5,2.52,-0.03,-1.18,1687514
14/01/2021,2.56,2.59,2.53,2.55,-0.03,-1.16,2130741
13/01/2021,2.59,2.61,2.55,2.58,0,0,1551320
12/01/2021,2.52,2.59,2.48,2.58,0.05,1.98,1878002
11/01/2021,2.64,2.64,2.52,2.53,-0.11,-4.17,3481823
08/01/2021,2.64,2.67,2.61,2.64,-0.02,-0.75,1794072
07/01/2021,2.7,2.7,2.65,2.66,-0.01,-0.37,1434304
06/01/2021,2.68,2.69,2.64,2.67,0,0,1144915
05/01/2021,2.68,2.69,2.63,2.67,-0.02,-0.74,1904302
04/01/2021,2.67,2.705,2.65,2.69,0.02,0.75,891641
31/12/2020,2.69,2.7,2.65,2.67,-0.02,-0.74,647768
30/12/2020,2.7,2.72,2.66,2.69,-0.02,-0.74,941297
29/12/2020,2.7,2.74,2.68,2.71,0.02,0.74,997422
24/12/2020,2.69,2.71,2.68,2.69,0.01,0.37,238343
23/12/2020,2.7,2.72,2.67,2.68,0.03,1.13,943398
22/12/2020,2.68,2.7,2.63,2.65,-0.04,-1.49,1320707
21/12/2020,2.71,2.73,2.685,2.69,-0.03,-1.1,964667
18/12/2020,2.74,2.77,2.72,2.72,-0.05,-1.81,2385071
17/12/2020,2.67,2.79,2.64,2.77,0.09,3.36,2798874
16/12/2020,2.8,2.81,2.68,2.68,-0.09,-3.25,2905968
15/12/2020,2.83,2.86,2.735,2.77,-0.06,-2.12,1830683
14/12/2020,2.84,2.89,2.81,2.83,-0.02,-0.7,2352571
11/12/2020,2.87,2.89,2.84,2.85,0.01,0.35,2265367
10/12/2020,2.84,2.88,2.83,2.84,-0.01,-0.35,2161796
09/12/2020,2.88,2.92,2.85,2.85,-0.04,-1.38,1257251
08/12/2020,2.88,2.91,2.84,2.89,0.01,0.35,1738574
07/12/2020,2.91,3,2.88,2.88,-0.03,-1.03,2979708
04/12/2020,2.93,2.96,2.88,2.91,-0.02,-0.68,1044813
03/12/2020,2.97,2.99,2.93,2.93,-0.05,-1.68,1141862
02/12/2020,2.89,2.99,2.87,2.98,0.06,2.05,1994363
01/12/2020,2.93,2.95,2.83,2.92,0,0,2517893
30/11/2020,2.97,2.97,2.92,2.92,-0.03,-1.02,2111660
27/11/2020,2.95,2.98,2.91,2.95,-0.02,-0.67,994144
26/11/2020,2.98,3.01,2.95,2.97,0,0,1560747
25/11/2020,2.98,3.01,2.935,2.97,0.02,0.68,2773333
24/11/2020,2.91,2.98,2.89,2.95,0.08,2.79,3385462
23/11/2020,2.89,2.89,2.84,2.87,0,0,1717316
20/11/2020,2.87,2.9,2.85,2.87,0.02,0.7,2280677
19/11/2020,2.85,2.87,2.82,2.85,0,0,2092475
18/11/2020,2.88,2.9,2.83,2.85,0,0,2338508
17/11/2020,2.83,2.88,2.8,2.85,0.05,1.79,2959888
16/11/2020,2.78,2.81,2.78,2.8,0.04,1.45,42748
13/11/2020,2.74,2.78,2.71,2.76,0.02,0.73,1846607
12/11/2020,2.8,2.81,2.73,2.74,-0.04,-1.44,1669504
11/11/2020,2.77,2.8,2.74,2.78,0.06,2.21,2975472
10/11/2020,2.84,2.84,2.7,2.72,-0.04,-1.45,3258697
09/11/2020,2.78,2.85,2.74,2.76,-0.02,-0.72,2873273
06/11/2020,2.75,2.78,2.72,2.78,0.04,1.46,3145623
05/11/2020,2.73,2.76,2.69,2.74,0.01,0.37,2291958
04/11/2020,2.78,2.78,2.66,2.73,-0.05,-1.8,3412564
03/11/2020,2.7,2.805,2.69,2.78,0.12,4.51,2008906
02/11/2020,2.74,2.76,2.65,2.66,-0.05,-1.85,2023900
30/10/2020,2.74,2.78,2.69,2.71,0.01,0.37,3305446
29/10/2020,2.73,2.75,2.59,2.7,-0.1,-3.57,6953528
28/10/2020,2.78,2.82,2.725,2.8,-0.01,-0.36,4835392
27/10/2020,2.88,2.9,2.8,2.81,-0.14,-4.75,4962784
26/10/2020,3.16,3.16,2.95,2.95,-0.22,-6.94,4968839
23/10/2020,3.23,3.27,3.15,3.17,-0.02,-0.63,1264723
22/10/2020,3.19,3.23,3.13,3.19,-0.03,-0.93,4357255
21/10/2020,3.24,3.265,3.21,3.22,-0.02,-0.62,761349
20/10/2020,3.33,3.35,3.21,3.24,-0.11,-3.28,2516574
19/10/2020,3.33,3.385,3.29,3.35,0.05,1.52,1826180
16/10/2020,3.34,3.4,3.29,3.3,-0.04,-1.2,1249907
15/10/2020,3.42,3.43,3.33,3.34,-0.05,-1.47,1004732
14/10/2020,3.42,3.48,3.38,3.39,-0.06,-1.74,1984948
13/10/2020,3.43,3.48,3.34,3.45,-0.05,-1.43,1903653
12/10/2020,3.44,3.545,3.39,3.5,0.06,1.74,2857143
09/10/2020,3.32,3.45,3.31,3.44,0.14,4.24,3515424
08/10/2020,3.26,3.34,3.255,3.3,0.07,2.17,3840995
07/10/2020,3.11,3.23,3.1,3.23,0.1,3.19,4973949
06/10/2020,3.18,3.2,3.1,3.13,-0.02,-0.63,2944045
05/10/2020,3.12,3.16,3.1,3.15,0.04,1.29,1861171
02/10/2020,3.26,3.27,3.08,3.11,-0.16,-4.89,3067256
01/10/2020,3.3,3.33,3.26,3.27,-0.01,-0.3,1755268
30/09/2020,3.32,3.34,3.26,3.28,-0.06,-1.8,1757353
29/09/2020,3.33,3.38,3.31,3.34,0.03,0.91,1162945
28/09/2020,3.27,3.33,3.24,3.31,0.03,0.91,1727692
25/09/2020,3.26,3.3,3.23,3.28,0.04,1.23,1491030
24/09/2020,3.27,3.32,3.205,3.24,-0.06,-1.82,2943340
23/09/2020,3.2,3.3,3.19,3.3,0.15,4.76,3530633
22/09/2020,3.22,3.25,3.14,3.15,-0.11,-3.37,2500163
21/09/2020,3.26,3.33,3.24,3.26,-0.01,-0.31,2898458
18/09/2020,3.28,3.3,3.25,3.27,0.01,0.31,1245975
17/09/2020,3.24,3.28,3.21,3.26,-0.01,-0.31,2160245
16/09/2020,3.32,3.34,3.24,3.27,-0.02,-0.61,2963501
15/09/2020,3.27,3.31,3.19,3.29,0.03,0.92,3226589
14/09/2020,3.2,3.28,3.17,3.26,0.1,3.16,3347732
