Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,1.74,1.755,1.72,1.73,0,0,12782192
28/01/2021,1.71,1.74,1.71,1.73,0,0,7805139
27/01/2021,1.725,1.745,1.705,1.73,0.02,1.17,8657435
25/01/2021,1.705,1.7375,1.705,1.71,0.01,0.59,7222256
22/01/2021,1.725,1.73,1.695,1.7,-0.035,-2.02,8568688
21/01/2021,1.755,1.76,1.725,1.735,0,0,5756289
20/01/2021,1.73,1.7525,1.725,1.735,0,0,6955732
19/01/2021,1.76,1.765,1.73,1.735,-0.01,-0.57,5053165
18/01/2021,1.755,1.77,1.73,1.745,-0.015,-0.85,4980734
15/01/2021,1.765,1.775,1.745,1.76,0.005,0.28,6449218
14/01/2021,1.77,1.78,1.75,1.755,-0.005,-0.28,10642216
13/01/2021,1.76,1.775,1.74,1.76,-0.02,-1.12,8628460
12/01/2021,1.805,1.815,1.77,1.78,-0.02,-1.11,7531080
11/01/2021,1.805,1.8225,1.79,1.8,-0.005,-0.28,6469585
08/01/2021,1.855,1.86,1.8,1.805,-0.025,-1.37,7007244
07/01/2021,1.82,1.845,1.815,1.83,0.02,1.1,9395171
06/01/2021,1.77,1.82,1.77,1.81,0.02,1.12,10053248
05/01/2021,1.775,1.8,1.77,1.79,0.01,0.56,8218204
04/01/2021,1.76,1.7825,1.755,1.78,0.025,1.42,7766173
31/12/2020,1.78,1.785,1.755,1.755,-0.03,-1.68,4640069
30/12/2020,1.77,1.785,1.76,1.785,0.02,1.13,4763599
29/12/2020,1.8,1.81,1.765,1.765,-0.025,-1.4,6211246
24/12/2020,1.8,1.81,1.79,1.79,-0.01,-0.56,2965680
23/12/2020,1.815,1.83,1.795,1.8,0,0,6737525
22/12/2020,1.815,1.82,1.785,1.8,-0.02,-1.1,7895512
21/12/2020,1.835,1.847,1.81,1.82,-0.025,-1.36,4523326
18/12/2020,1.815,1.85,1.815,1.845,0.02,1.1,15154375
17/12/2020,1.81,1.85,1.81,1.825,0.005,0.27,9160409
16/12/2020,1.855,1.855,1.81,1.82,-0.01,-0.55,11575090
15/12/2020,1.845,1.85,1.825,1.83,-0.015,-0.81,6061417
14/12/2020,1.855,1.885,1.84,1.845,-0.005,-0.27,7242282
11/12/2020,1.86,1.87,1.84,1.85,0,0,11239945
10/12/2020,1.85,1.865,1.845,1.85,0,0,6768667
09/12/2020,1.87,1.875,1.84,1.85,-0.01,-0.54,7185208
08/12/2020,1.85,1.8675,1.845,1.86,0.03,1.64,8449761
07/12/2020,1.83,1.8525,1.822,1.83,-0.015,-0.81,9559888
04/12/2020,1.83,1.855,1.83,1.845,0.01,0.54,7924945
03/12/2020,1.86,1.865,1.825,1.835,-0.015,-0.81,9779692
02/12/2020,1.865,1.875,1.832,1.85,-0.01,-0.54,11074834
01/12/2020,1.855,1.895,1.845,1.86,0.005,0.27,11024046
30/11/2020,1.86,1.88,1.845,1.855,-0.005,-0.27,19918282
27/11/2020,1.875,1.885,1.855,1.86,-0.02,-1.06,6533728
26/11/2020,1.88,1.895,1.87,1.88,0,0,6141418
25/11/2020,1.9,1.915,1.87,1.88,-0.02,-1.05,11570627
24/11/2020,1.885,1.915,1.88,1.9,0.03,1.6,9590665
23/11/2020,1.87,1.89,1.87,1.87,0,0,7793796
20/11/2020,1.88,1.89,1.86,1.87,-0.005,-0.27,9561780
19/11/2020,1.875,1.885,1.855,1.875,-0.025,-1.32,14816540
18/11/2020,1.865,1.925,1.865,1.9,0.035,1.88,16936417
17/11/2020,1.9,1.93,1.85,1.865,-0.09,-4.6,23906531
16/11/2020,1.955,1.96,1.935,1.955,-0.045,-2.25,594522
13/11/2020,2.01,2.03,1.985,2,-0.01,-0.5,7877673
12/11/2020,2.05,2.06,1.995,2.01,-0.06,-2.9,9442592
11/11/2020,1.99,2.09,1.96,2.07,0.1,5.08,10852234
10/11/2020,2.05,2.06,1.97,1.97,-0.07,-3.43,11190395
09/11/2020,2.04,2.06,2.02,2.04,0,0,4527766
06/11/2020,2.05,2.05,2.01,2.04,0.01,0.49,8733828
05/11/2020,2,2.04,2,2.03,0.03,1.5,4569445
04/11/2020,1.995,2.03,1.995,2,-0.01,-0.5,4693109
03/11/2020,2,2.02,2,2.01,0,0,6055492
02/11/2020,2.01,2.015,1.98,2.01,0.01,0.5,4296370
30/10/2020,1.985,2,1.965,2,0,0,6914042
29/10/2020,1.995,2.03,1.99,2,-0.02,-0.99,4660441
28/10/2020,2.01,2.03,2,2.02,-0.01,-0.49,3885328
27/10/2020,2.03,2.05,2,2.03,0,0,3863338
26/10/2020,2.02,2.04,2.015,2.03,0,0,5764441
23/10/2020,2.03,2.05,2.025,2.03,-0.01,-0.49,4260737
22/10/2020,2.06,2.06,2.02,2.04,-0.02,-0.97,7173504
