Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,71.37,71.6,70.39,70.39,-1.4,-1.95,540141
29/01/2021,71.88,73.33,71.62,71.79,0.41,0.57,1108276
28/01/2021,72.03,72.45,70.84,71.38,-1.28,-1.76,740759
27/01/2021,73.4,73.47,71.84,72.66,0.93,1.3,891523
25/01/2021,71.5,71.9,71.08,71.73,0.12,0.17,415490
22/01/2021,71.28,72.12,71.28,71.61,0.1,0.14,717611
21/01/2021,72.49,72.54,71.23,71.51,-0.47,-0.65,547435
20/01/2021,72.27,72.345,71.88,71.98,0.23,0.32,560220
19/01/2021,71.78,72.43,71.53,71.75,0.38,0.53,492645
18/01/2021,70.93,71.67,70.6,71.37,0.53,0.75,293658
15/01/2021,72.02,72.38,70.84,70.84,-1.66,-2.29,510676
14/01/2021,72.1,72.975,72.07,72.5,0.11,0.15,518813
13/01/2021,72.45,73.82,72.02,72.39,-0.19,-0.26,456035
12/01/2021,72.51,74.07,72.43,72.58,0.17,0.23,709767
11/01/2021,72.59,72.76,71.97,72.41,-0.34,-0.47,505403
08/01/2021,71.66,72.84,71.51,72.75,0.91,1.27,462112
07/01/2021,72.7,72.99,71.6,71.84,-0.39,-0.54,1034797
06/01/2021,71.58,72.57,71.56,72.23,0.08,0.11,513040
05/01/2021,72.19,72.44,71.7,72.15,-0.45,-0.62,382803
04/01/2021,72.11,73.05,72.1,72.6,0.6,0.83,329997
31/12/2020,73.13,73.27,72,72,-1.24,-1.69,246076
30/12/2020,73.02,73.24,72.52,73.24,-0.01,-0.01,310213
29/12/2020,74,74.2,73.02,73.25,-0.28,-0.38,448599
24/12/2020,73.47,73.93,73.04,73.53,-0.12,-0.16,136314
23/12/2020,74.1,74.46,73.45,73.65,0.15,0.2,256077
22/12/2020,73.88,74.19,73.32,73.5,-0.54,-0.73,403904
21/12/2020,74.12,74.46,73.52,74.04,-0.12,-0.16,469918
18/12/2020,75.14,75.86,74.12,74.16,-1.19,-1.58,912043
17/12/2020,75.18,75.98,75.04,75.35,0.25,0.33,575661
16/12/2020,75.25,75.74,74.95,75.1,-0.15,-0.2,428585
15/12/2020,75.15,75.89,75.06,75.25,0.19,0.25,336718
14/12/2020,74.9,76.29,74.9,75.06,0.17,0.23,403246
11/12/2020,76.43,76.76,74.8,74.89,-1.88,-2.45,854205
10/12/2020,77.12,77.49,76.65,76.77,-0.74,-0.95,398200
09/12/2020,77.55,77.75,77.33,77.51,0.27,0.35,633067
08/12/2020,77.59,77.86,77.03,77.24,-0.39,-0.5,434110
07/12/2020,77.9,78.47,77.5,77.63,-0.01,-0.01,402895
04/12/2020,77.68,77.97,77.44,77.64,-0.3,-0.38,299019
03/12/2020,77.96,78.58,77.855,77.94,0.42,0.54,486433
02/12/2020,77.08,77.75,76.72,77.52,0.32,0.41,496603
01/12/2020,77.11,77.65,77.01,77.2,0.09,0.12,644262
30/11/2020,77.36,77.7,76.37,77.11,-0.13,-0.17,1275077
27/11/2020,77.21,77.52,76.92,77.24,-0.22,-0.28,403150
26/11/2020,77.25,77.61,77,77.46,0.15,0.19,411657
25/11/2020,77.73,78.59,77.01,77.31,0.03,0.04,897305
24/11/2020,79.17,79.21,77.28,77.28,-2,-2.52,750892
23/11/2020,80.1,80.37,79.28,79.28,-0.72,-0.9,407881
20/11/2020,81.84,81.84,80,80,-1.84,-2.25,663665
19/11/2020,81.9,81.92,80.64,81.84,0.36,0.44,653754
18/11/2020,80.96,81.75,79.82,81.48,0.29,0.36,775557
17/11/2020,82.99,83.18,80.52,81.19,-1.11,-1.35,776049
16/11/2020,82.5,82.59,82.09,82.3,0.45,0.55,18742
