Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,15.85,16.05,15.61,16,-0.22,-1.36,220482
29/01/2021,16.28,16.32,15.83,16.22,0.28,1.76,213428
28/01/2021,16.12,16.51,15.87,15.94,-0.58,-3.51,177969
27/01/2021,17.06,17.19,16.46,16.52,-0.04,-0.24,401446
25/01/2021,16.62,16.65,16.39,16.56,0.02,0.12,65170
22/01/2021,16.58,16.8,16.42,16.54,0.03,0.18,85045
21/01/2021,16.56,16.71,16.435,16.51,-0.02,-0.12,164096
20/01/2021,16,16.565,16,16.53,0.4,2.48,104398
19/01/2021,16.3,16.3,15.85,16.13,0.28,1.77,107173
18/01/2021,15.56,16.26,15.56,15.85,0.01,0.06,70409
15/01/2021,16.01,16.36,15.72,15.84,-0.12,-0.75,136538
14/01/2021,16.08,16.22,15.87,15.96,0.04,0.25,158538
13/01/2021,15.32,16.02,15.32,15.92,0.12,0.76,153339
12/01/2021,15.88,15.92,15.64,15.8,0.06,0.38,235214
11/01/2021,15.71,15.84,15.45,15.74,-0.05,-0.32,157951
08/01/2021,15.7,15.86,15.64,15.79,0.09,0.57,105658
07/01/2021,16,16.06,15.66,15.7,-0.14,-0.88,77270
06/01/2021,15.71,16,15.67,15.84,-0.13,-0.81,110213
05/01/2021,15.86,16.13,15.86,15.97,-0.06,-0.37,184006
04/01/2021,16.19,16.19,15.96,16.03,-0.16,-0.99,79862
31/12/2020,16.14,16.37,16.09,16.19,-0.21,-1.28,152178
30/12/2020,16.24,16.4,16.07,16.4,0.11,0.68,183679
29/12/2020,16.42,16.52,16.23,16.29,-0.23,-1.39,116973
24/12/2020,16.94,16.94,16.42,16.52,-0.01,-0.06,53532
23/12/2020,16.7,17.17,16.48,16.53,-0.16,-0.96,169709
22/12/2020,16.3,16.88,16.3,16.69,0.11,0.66,214309
21/12/2020,16.81,17.27,16.45,16.58,-0.42,-2.47,289046
18/12/2020,17.25,17.39,16.94,17,-0.42,-2.41,210401
17/12/2020,17.08,17.45,16.98,17.42,0.35,2.05,135721
16/12/2020,17.5,17.5,16.85,17.07,-0.02,-0.12,162251
15/12/2020,17.6,17.99,16.88,17.09,-0.08,-0.47,155328
14/12/2020,16.85,17.29,16.85,17.17,0.17,1,182563
11/12/2020,16.85,17.12,16.77,17,0.06,0.35,163708
10/12/2020,17.02,17.19,16.77,16.94,-0.16,-0.94,125880
09/12/2020,16.88,17.16,16.84,17.1,0.21,1.24,147825
08/12/2020,16.73,16.96,16.73,16.89,0.07,0.42,123310
07/12/2020,17.15,17.23,16.79,16.82,-0.29,-1.69,138614
04/12/2020,16.97,17.28,16.93,17.11,-0.05,-0.29,103735
03/12/2020,16.87,17.23,16.87,17.16,0.16,0.94,135199
02/12/2020,16.76,17.11,16.69,17,0.33,1.98,251930
01/12/2020,16.69,16.76,16.27,16.67,-0.02,-0.12,779469
30/11/2020,16.71,17,16.42,16.69,-0.04,-0.24,273063
27/11/2020,16.83,16.95,16.7,16.73,-0.16,-0.95,72433
26/11/2020,16.96,17.05,16.79,16.89,-0.06,-0.35,261612
25/11/2020,17.07,17.16,16.76,16.95,-0.01,-0.06,248392
24/11/2020,17.29,17.29,16.81,16.96,0.02,0.12,208636
23/11/2020,17.16,17.3,16.91,16.94,-0.22,-1.28,156185
20/11/2020,16.8,17.39,16.8,17.16,-0.05,-0.29,237986
19/11/2020,17.45,17.45,17.13,17.21,-0.13,-0.75,317821
18/11/2020,17.3,17.55,17.28,17.34,-0.04,-0.23,174382
17/11/2020,17.79,17.79,17.23,17.38,-0.14,-0.8,252625
16/11/2020,17.52,17.68,16.97,17.52,0.43,2.52,20545
13/11/2020,17.43,17.52,17.07,17.09,-0.11,-0.64,220191
12/11/2020,17.35,17.4,17.07,17.2,-0.11,-0.64,143616
11/11/2020,17.1,17.38,16.9,17.31,0.33,1.94,307029
10/11/2020,17.95,18.1,16.78,16.98,-0.74,-4.18,310986
09/11/2020,17.49,17.77,17.33,17.72,0.59,3.44,204926
06/11/2020,17.5,17.5,17.03,17.13,-0.43,-2.45,190039
05/11/2020,17.05,17.59,16.94,17.56,0.6,3.54,235986
04/11/2020,16.96,17.11,16.62,16.96,0,0,168003
03/11/2020,16.44,17.12,16.44,16.96,0.27,1.62,160423
02/11/2020,16.68,16.98,16.51,16.69,0.01,0.06,287414
30/10/2020,16.62,16.95,16.62,16.68,-0.27,-1.59,227982
29/10/2020,17.39,17.39,16.85,16.95,-0.42,-2.42,201162
28/10/2020,16.55,17.39,16.55,17.37,0.3,1.76,252800
27/10/2020,17.14,17.22,16.95,17.07,-0.12,-0.7,174756
