Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,1.66,1.68,1.635,1.675,-0.02,-1.18,20623900
29/01/2021,1.735,1.755,1.677,1.695,-0.02,-1.17,20496249
28/01/2021,1.67,1.725,1.665,1.715,0.025,1.48,16804010
27/01/2021,1.705,1.72,1.675,1.69,-0.055,-3.15,18013689
25/01/2021,1.725,1.745,1.7,1.745,0.025,1.45,14528805
22/01/2021,1.735,1.74,1.71,1.72,-0.05,-2.82,22080763
21/01/2021,1.82,1.825,1.7275,1.77,-0.035,-1.94,26126820
20/01/2021,1.78,1.81,1.765,1.805,0,0,11387898
19/01/2021,1.77,1.82,1.77,1.805,0.04,2.27,15334081
18/01/2021,1.81,1.815,1.75,1.765,-0.07,-3.81,13260936
15/01/2021,1.845,1.86,1.83,1.835,0.005,0.27,11622534
14/01/2021,1.84,1.845,1.805,1.83,-0.01,-0.54,8783693
13/01/2021,1.83,1.845,1.815,1.84,0,0,10624391
12/01/2021,1.865,1.865,1.832,1.84,-0.02,-1.08,11939814
11/01/2021,1.86,1.885,1.835,1.86,-0.035,-1.85,13823737
08/01/2021,1.94,1.945,1.875,1.895,-0.04,-2.07,9252078
07/01/2021,1.91,1.94,1.905,1.935,0.065,3.48,16231037
06/01/2021,1.88,1.91,1.85,1.87,-0.01,-0.53,9973175
05/01/2021,1.86,1.885,1.845,1.88,0,0,10621703
04/01/2021,1.835,1.895,1.82,1.88,0.045,2.45,15059570
31/12/2020,1.84,1.852,1.825,1.835,-0.005,-0.27,7081838
30/12/2020,1.82,1.85,1.812,1.84,0,0,11475145
29/12/2020,1.835,1.85,1.825,1.84,0.01,0.55,6354504
24/12/2020,1.815,1.845,1.815,1.83,0.02,1.1,3252986
23/12/2020,1.82,1.83,1.795,1.81,-0.015,-0.82,14040302
22/12/2020,1.855,1.86,1.812,1.825,-0.05,-2.67,17657567
21/12/2020,1.81,1.8775,1.81,1.875,0.04,2.18,13731127
18/12/2020,1.83,1.855,1.815,1.835,-0.015,-0.81,22071632
17/12/2020,1.835,1.865,1.825,1.85,0,0,14871981
