Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
10/10/2019,0.14,0.145,0.135,0.135,-0.005,-3.57,557924
11/10/2019,0.14,0.145,0.135,0.14,0.005,3.7,203784
14/10/2019,0.14,0.145,0.135,0.145,0.005,3.57,97488
15/10/2019,0.145,0.145,0.135,0.135,-0.01,-6.9,470259
16/10/2019,0.14,0.16,0.14,0.155,0.02,14.81,2566582
17/10/2019,0.15,0.15,0.145,0.15,-0.005,-3.23,127747
18/10/2019,0.145,0.145,0.13,0.14,-0.01,-6.67,1154219
21/10/2019,0.135,0.135,0.13,0.135,-0.005,-3.57,246079
22/10/2019,0.135,0.135,0.12,0.13,-0.005,-3.7,1355042
23/10/2019,0.13,0.135,0.13,0.135,0.005,3.85,126000
24/10/2019,0.135,0.135,0.125,0.125,-0.01,-7.41,193633
25/10/2019,0.125,0.135,0.125,0.125,0,0,782603
28/10/2019,0.125,0.13,0.125,0.125,0,0,335125
29/10/2019,0.125,0.135,0.125,0.13,0.005,4,417219
30/10/2019,0.13,0.14,0.125,0.135,0.005,3.85,454284
31/10/2019,0.14,0.14,0.135,0.14,0.005,3.7,487205
01/11/2019,0.14,0.14,0.14,0.14,0,0,207854
04/11/2019,0.145,0.15,0.14,0.145,0.005,3.57,235438
05/11/2019,0.145,0.15,0.14,0.145,0,0,98676
06/11/2019,0.135,0.135,0.13,0.135,-0.01,-6.9,540297
07/11/2019,0.13,0.135,0.13,0.13,-0.005,-3.7,93300
08/11/2019,0.135,0.135,0.132,0.135,0.005,3.85,82632
11/11/2019,0.13,0.135,0.13,0.135,0,0,339510
12/11/2019,0.135,0.135,0.125,0.125,-0.01,-7.41,141994
13/11/2019,0.13,0.135,0.13,0.135,0.01,8,286506
14/11/2019,0.135,0.135,0.13,0.13,-0.005,-3.7,194000
15/11/2019,0.135,0.135,0.13,0.135,0.005,3.85,267073
18/11/2019,0.13,0.135,0.13,0.13,-0.005,-3.7,421500
19/11/2019,0.13,0.132,0.13,0.13,0,0,25000
20/11/2019,0.13,0.13,0.125,0.125,-0.005,-3.85,259805
21/11/2019,0.13,0.135,0.125,0.13,0.005,4,181290
22/11/2019,0.13,0.13,0.13,0.13,0,0,104000
25/11/2019,0.13,0.135,0.13,0.13,0,0,319220
26/11/2019,0.132,0.14,0.13,0.13,0,0,715431
27/11/2019,0.13,0.14,0.13,0.135,0.005,3.85,179826
28/11/2019,0.135,0.135,0.13,0.135,0,0,349473
29/11/2019,0.13,0.135,0.13,0.13,-0.005,-3.7,266526
02/12/2019,0.135,0.135,0.13,0.135,0.005,3.85,367933
03/12/2019,0.13,0.13,0.13,0.13,-0.005,-3.7,90463
04/12/2019,0.13,0.135,0.13,0.13,0,0,136357
05/12/2019,0.135,0.135,0.13,0.13,0,0,422759
06/12/2019,0.13,0.135,0.13,0.135,0.005,3.85,291929
09/12/2019,0.135,0.135,0.13,0.13,-0.005,-3.7,19547
10/12/2019,0.13,0.13,0.125,0.125,-0.005,-3.85,446000
11/12/2019,0.13,0.13,0.13,0.13,0.005,4,13846
12/12/2019,0.125,0.125,0.125,0.125,-0.005,-3.85,148946
