Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.7,3.76,3.66,3.73,0.03,0.81,10144885
29/01/2021,3.75,3.79,3.67,3.7,0,0,13768992
28/01/2021,3.8,3.81,3.62,3.7,-0.15,-3.9,17238075
27/01/2021,3.89,3.91,3.82,3.85,-0.01,-0.26,8945838
25/01/2021,3.89,3.92,3.86,3.86,-0.04,-1.03,4630520
22/01/2021,3.92,3.95,3.86,3.9,-0.03,-0.76,18682873
21/01/2021,3.95,3.97,3.92,3.93,0,0,6192568
20/01/2021,3.86,3.975,3.84,3.93,0.09,2.34,9652041
19/01/2021,3.85,3.88,3.84,3.84,-0.01,-0.26,8386031
18/01/2021,3.85,3.87,3.82,3.85,0,0,9318176
15/01/2021,3.81,3.86,3.8,3.85,0.04,1.05,9215715
14/01/2021,3.8,3.84,3.77,3.81,0.01,0.26,6295107
13/01/2021,3.83,3.85,3.76,3.8,-0.01,-0.26,10937076
12/01/2021,3.84,3.88,3.81,3.81,-0.04,-1.04,6812144
11/01/2021,3.92,3.93,3.84,3.85,-0.06,-1.53,5978683
08/01/2021,3.89,3.93,3.875,3.91,0.02,0.51,5432516
07/01/2021,3.94,3.95,3.88,3.89,0.02,0.52,7522357
06/01/2021,3.87,3.91,3.86,3.87,-0.01,-0.26,7272899
05/01/2021,3.92,3.92,3.845,3.88,-0.04,-1.02,5672900
04/01/2021,3.9,3.95,3.9,3.92,0.02,0.51,3362442
31/12/2020,3.9,3.94,3.87,3.9,-0.01,-0.26,5602304
30/12/2020,3.94,3.94,3.885,3.91,-0.02,-0.51,4357294
29/12/2020,3.98,3.98,3.91,3.93,-0.01,-0.25,4375249
24/12/2020,4,4.01,3.91,3.94,-0.03,-0.76,3914907
23/12/2020,3.98,4.01,3.96,3.97,0.04,1.02,5231964
22/12/2020,4.02,4.04,3.92,3.93,-0.11,-2.72,6858764
21/12/2020,4,4.04,3.995,4.04,0.02,0.5,7145129
18/12/2020,4.07,4.07,4.01,4.02,-0.05,-1.23,15650385
17/12/2020,4.07,4.11,4.02,4.07,0,0,14400665
