Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,7.42,7.625,7.41,7.56,0.04,0.53,981282
29/01/2021,7.6,7.77,7.515,7.52,0,0,1677412
28/01/2021,7.54,7.61,7.41,7.52,-0.11,-1.44,1799706
27/01/2021,7.75,7.79,7.575,7.63,-0.17,-2.18,1183523
25/01/2021,7.73,7.85,7.64,7.8,0.07,0.91,911685
22/01/2021,7.71,7.77,7.695,7.73,-0.02,-0.26,721580
21/01/2021,7.93,7.93,7.71,7.75,-0.1,-1.27,1217846
20/01/2021,7.96,7.99,7.81,7.85,-0.16,-2,1877973
19/01/2021,7.8,8.01,7.79,8.01,0.18,2.3,1257672
18/01/2021,7.74,7.88,7.74,7.83,0.06,0.77,670597
15/01/2021,7.83,7.85,7.71,7.77,-0.08,-1.02,1145502
14/01/2021,7.77,7.925,7.72,7.85,-0.03,-0.38,701884
13/01/2021,7.82,7.96,7.77,7.88,0.03,0.38,1324544
12/01/2021,7.73,7.94,7.73,7.85,0.12,1.55,1494498
11/01/2021,7.77,7.88,7.7,7.73,-0.06,-0.77,1473152
08/01/2021,7.6,7.8,7.51,7.79,0.1,1.3,939799
07/01/2021,7.68,7.75,7.65,7.69,0.11,1.45,1313300
06/01/2021,7.64,7.75,7.535,7.58,-0.14,-1.81,1138816
05/01/2021,7.73,7.78,7.66,7.72,-0.1,-1.28,765081
04/01/2021,7.72,7.82,7.66,7.82,0.04,0.51,902178
31/12/2020,7.79,7.91,7.76,7.78,-0.02,-0.26,640785
30/12/2020,7.74,7.82,7.68,7.8,0.05,0.65,558641
29/12/2020,7.66,7.76,7.66,7.75,0.11,1.44,625983
24/12/2020,7.78,7.78,7.63,7.64,-0.03,-0.39,748270
23/12/2020,7.56,7.77,7.56,7.67,0.1,1.32,1120163
22/12/2020,7.7,7.78,7.505,7.57,-0.14,-1.82,1503410
21/12/2020,7.65,7.84,7.57,7.71,0.06,0.78,1123198
18/12/2020,7.62,7.8,7.55,7.65,0.12,1.59,3081125
17/12/2020,7.8,8.05,7.4,7.53,0.22,3.01,5776314
16/12/2020,7.18,7.38,7.14,7.31,0.21,2.96,1704698
15/12/2020,7.06,7.15,7.06,7.1,0.04,0.57,1003363
14/12/2020,6.99,7.1,6.93,7.06,0.02,0.28,752106
11/12/2020,7.06,7.09,6.97,7.04,-0.08,-1.12,2122285
10/12/2020,7.13,7.21,7.04,7.12,-0.03,-0.42,3508383
09/12/2020,6.95,7.16,6.95,7.15,0.21,3.03,1276546
08/12/2020,6.89,6.99,6.88,6.94,0.08,1.17,1524457
07/12/2020,7.07,7.08,6.79,6.86,-0.23,-3.24,2245924
04/12/2020,7.13,7.18,7.07,7.09,-0.07,-0.98,1084592
03/12/2020,7.2,7.33,7.07,7.16,-0.02,-0.28,1762590
02/12/2020,7.17,7.35,7.09,7.18,0.02,0.28,1672575
01/12/2020,7.04,7.2,7.02,7.16,0.15,2.14,1299172
30/11/2020,7.08,7.16,6.98,7.01,-0.09,-1.27,1405350
27/11/2020,7.09,7.165,7.06,7.1,-0.01,-0.14,890277
26/11/2020,7.16,7.18,7.09,7.11,0.01,0.14,568335
25/11/2020,7.17,7.22,7.06,7.1,-0.07,-0.98,1964254
24/11/2020,7.33,7.33,7.13,7.17,-0.09,-1.24,2231375
23/11/2020,7.26,7.31,7.21,7.26,0.02,0.28,1040161
20/11/2020,7.12,7.31,7.11,7.24,0.15,2.12,1821089
19/11/2020,7.11,7.17,6.99,7.09,0.02,0.28,2548425
18/11/2020,7.11,7.24,7.02,7.07,-0.06,-0.84,1492817
17/11/2020,7.49,7.5,7.07,7.13,-0.28,-3.78,2204794
16/11/2020,7.34,7.43,7.32,7.41,0.07,0.95,105492
13/11/2020,7.35,7.41,7.26,7.34,-0.03,-0.41,2022602
12/11/2020,7.46,7.48,7.27,7.37,-0.05,-0.67,4028848
11/11/2020,7.52,7.58,7.4,7.42,0.02,0.27,2065860
10/11/2020,8.15,8.2,7.35,7.4,-0.75,-9.2,2256618
09/11/2020,8.04,8.15,8.01,8.15,0.15,1.88,823056
06/11/2020,8.02,8.105,7.945,8,0,0,847241
05/11/2020,8.02,8.12,7.92,8,0.08,1.01,1206765
04/11/2020,7.68,7.97,7.62,7.92,0.21,2.72,1153260
03/11/2020,7.55,7.77,7.55,7.71,0.17,2.25,1114728
02/11/2020,7.66,7.68,7.49,7.54,-0.12,-1.57,1349690
30/10/2020,7.88,7.93,7.66,7.66,-0.24,-3.04,1067909
29/10/2020,7.9,7.93,7.77,7.9,-0.09,-1.13,1280802
28/10/2020,7.79,8.1,7.7,7.99,0.15,1.91,3097247
27/10/2020,7.79,7.88,7.635,7.84,-0.07,-0.88,1939851
26/10/2020,8,8.1,7.77,7.91,-0.19,-2.35,2951488
23/10/2020,8.2,8.25,8.06,8.1,-0.15,-1.82,1381106
22/10/2020,8.11,8.29,8.05,8.25,0.06,0.73,2223034
21/10/2020,8.18,8.28,8.14,8.19,0,0,1524298
