Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,9.06,9.42,8.97,9.36,0.16,1.74,1986718
29/01/2021,9.62,9.68,9.15,9.2,-0.35,-3.66,5674802
28/01/2021,9.57,9.63,9.4,9.55,-0.14,-1.44,2281032
27/01/2021,9.59,9.79,9.57,9.69,0.1,1.04,2643643
25/01/2021,9.56,9.64,9.48,9.59,0.02,0.21,2020630
22/01/2021,9.59,9.62,9.51,9.57,-0.07,-0.73,1213324
21/01/2021,9.62,9.72,9.54,9.64,-0.05,-0.52,1619255
20/01/2021,9.65,9.72,9.58,9.69,0,0,1833187
19/01/2021,9.65,9.72,9.5,9.69,0.01,0.1,1097753
18/01/2021,9.82,9.91,9.66,9.68,-0.2,-2.02,1706290
15/01/2021,9.92,9.97,9.87,9.88,0.02,0.2,1839498
14/01/2021,9.92,9.93,9.82,9.86,-0.03,-0.3,1431940
13/01/2021,9.85,9.93,9.82,9.89,0.12,1.23,1248978
12/01/2021,9.76,9.97,9.73,9.77,0.03,0.31,1335759
11/01/2021,9.73,9.78,9.66,9.74,-0.02,-0.2,833314
08/01/2021,9.83,9.86,9.69,9.76,0.01,0.1,905346
07/01/2021,9.51,9.88,9.5,9.75,0.35,3.72,1819627
06/01/2021,9.4,9.46,9.32,9.4,-0.02,-0.21,1188039
05/01/2021,9.41,9.44,9.34,9.42,-0.03,-0.32,1223847
04/01/2021,9.31,9.47,9.29,9.45,0.13,1.39,968034
31/12/2020,9.48,9.52,9.32,9.32,-0.17,-1.79,907514
30/12/2020,9.49,9.51,9.39,9.49,-0.01,-0.11,628905
29/12/2020,9.5,9.57,9.44,9.5,0.02,0.21,645377
24/12/2020,9.45,9.57,9.45,9.48,0.03,0.32,484370
23/12/2020,9.43,9.52,9.42,9.45,0.02,0.21,971127
22/12/2020,9.51,9.66,9.4,9.43,-0.02,-0.21,1870892
21/12/2020,9.32,9.47,9.27,9.45,0.09,0.96,1468639
18/12/2020,9.45,9.46,9.34,9.36,-0.1,-1.06,3544864
17/12/2020,9.37,9.55,9.37,9.46,0.12,1.28,2036942
16/12/2020,9.43,9.5,9.33,9.34,0,0,1564538
15/12/2020,9.6,9.65,9.31,9.34,-0.16,-1.68,2588425
14/12/2020,9.37,9.57,9.33,9.5,0.12,1.28,2351754
11/12/2020,9.25,9.44,9.2,9.38,0.13,1.41,2511533
10/12/2020,9.24,9.3,9.19,9.25,0.02,0.22,2008704
09/12/2020,9.25,9.32,9.21,9.23,0.03,0.33,2289128
08/12/2020,9.2,9.27,9.14,9.2,-0.03,-0.33,2983159
07/12/2020,9.27,9.36,9.18,9.23,-0.01,-0.11,1693029
04/12/2020,8.96,9.35,8.96,9.24,0.27,3.01,3020701
03/12/2020,9.03,9.05,8.96,8.97,-0.02,-0.22,1228495
02/12/2020,8.97,9.04,8.85,8.99,0.05,0.56,1780537
01/12/2020,8.85,8.98,8.675,8.94,0.04,0.45,2652136
30/11/2020,9.07,9.17,8.86,8.9,-0.23,-2.52,3266749
27/11/2020,9.09,9.13,9.025,9.13,0.01,0.11,1679363
26/11/2020,9.18,9.18,9.03,9.12,-0.07,-0.76,2953693
25/11/2020,9,9.24,8.96,9.19,0.39,4.43,3557769
24/11/2020,8.56,8.83,8.56,8.8,0.3,3.53,3387871
23/11/2020,8.52,8.56,8.41,8.5,-0.01,-0.12,2188226
20/11/2020,8.58,8.58,8.39,8.51,-0.01,-0.12,2675720
19/11/2020,8.35,8.56,8.3,8.52,0.22,2.65,4437019
18/11/2020,8.06,8.38,8.06,8.3,0.35,4.4,4690562
17/11/2020,7.71,8,7.71,7.95,0.34,4.47,4705883
16/11/2020,7.47,7.67,7.45,7.61,0.18,2.42,424607
13/11/2020,7.34,7.45,7.32,7.43,0.03,0.41,1739893
12/11/2020,7.47,7.5,7.36,7.4,-0.05,-0.67,2434353
11/11/2020,7.18,7.45,7.08,7.45,0.24,3.33,3669670
10/11/2020,7.2,7.53,7.16,7.21,0.29,4.19,4197938
09/11/2020,6.93,6.97,6.875,6.92,0.01,0.14,1609603
06/11/2020,6.98,7.01,6.85,6.91,-0.01,-0.14,2142812
