Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,5.6,5.66,5.53,5.63,0.03,0.54,406645
29/01/2021,5.55,5.67,5.53,5.6,0.09,1.63,1172630
28/01/2021,5.56,5.61,5.4,5.51,-0.02,-0.36,821946
27/01/2021,5.41,5.62,5.41,5.53,0.17,3.17,1225640
25/01/2021,5.34,5.375,5.31,5.36,0.01,0.19,376814
22/01/2021,5.34,5.39,5.26,5.35,0.02,0.38,792222
21/01/2021,5.39,5.39,5.29,5.33,0.01,0.19,1038805
20/01/2021,5.15,5.37,5.12,5.32,0.07,1.33,1244361
19/01/2021,5.15,5.26,5.14,5.25,0.1,1.94,646283
18/01/2021,5.13,5.19,5.1,5.15,0.02,0.39,723234
15/01/2021,5.1,5.185,5.1,5.13,0.02,0.39,827538
14/01/2021,5.12,5.17,5.05,5.11,0.03,0.59,659737
13/01/2021,5.1,5.14,5.03,5.08,-0.02,-0.39,1295768
12/01/2021,5.11,5.22,5.05,5.1,-0.01,-0.2,894576
11/01/2021,5.21,5.29,5.1,5.11,-0.13,-2.48,808731
08/01/2021,5.24,5.28,5.2,5.24,0.06,1.16,826986
07/01/2021,5.2,5.24,5.16,5.18,0.02,0.39,662220
06/01/2021,5.25,5.28,5.13,5.16,-0.06,-1.15,934776
05/01/2021,5.16,5.23,5.13,5.22,0.01,0.19,1305788
04/01/2021,5.15,5.23,5.11,5.21,0.1,1.96,477042
31/12/2020,5.1,5.18,5.1,5.11,0,0,269076
30/12/2020,5.18,5.22,5.07,5.11,-0.09,-1.73,746729
29/12/2020,5.24,5.255,5.16,5.2,-0.02,-0.38,404973
24/12/2020,5.16,5.25,5.16,5.22,0.06,1.16,180993
23/12/2020,5.06,5.2,5.06,5.16,0.08,1.57,1079275
22/12/2020,5.2,5.24,5.04,5.08,-0.12,-2.31,1810319
21/12/2020,5.27,5.34,5.17,5.2,-0.12,-2.26,1153671
18/12/2020,5.42,5.47,5.27,5.32,-0.13,-2.39,3229478
17/12/2020,5.32,5.475,5.32,5.45,0.09,1.68,1979339
16/12/2020,5.38,5.39,5.26,5.36,0,0,872849
15/12/2020,5.31,5.37,5.25,5.36,0.03,0.56,943855
14/12/2020,5.33,5.41,5.27,5.33,0.01,0.19,1354128
11/12/2020,5.35,5.44,5.28,5.32,-0.03,-0.56,1487438
10/12/2020,5.33,5.39,5.3,5.35,0,0,1034871
09/12/2020,5.27,5.37,5.24,5.35,0.05,0.94,1201763
08/12/2020,5.28,5.39,5.24,5.3,0,0,1932402
07/12/2020,5.39,5.44,5.29,5.3,-0.09,-1.67,1653637
04/12/2020,5.38,5.42,5.22,5.39,0,0,3433813
03/12/2020,5.5,5.54,5.34,5.39,-0.09,-1.64,1500643
02/12/2020,5.55,5.6,5.41,5.48,-0.04,-0.72,1145550
01/12/2020,5.52,5.63,5.31,5.52,0.05,0.91,4167566
30/11/2020,5.46,5.78,5.42,5.47,0.05,0.92,5015297
27/11/2020,5.5,5.57,5.32,5.42,0.36,7.11,6093933
20/11/2020,5.08,5.1,5.01,5.06,-0.02,-0.39,628010
19/11/2020,5.22,5.22,5.04,5.08,-0.13,-2.5,1060097
18/11/2020,5.18,5.24,5.13,5.21,0.07,1.36,312212
17/11/2020,5.09,5.16,5.04,5.14,0.04,0.78,451036
16/11/2020,5.1,5.15,5.09,5.1,-0.01,-0.2,47464
13/11/2020,5.13,5.2,5.08,5.11,-0.03,-0.58,504589
