Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
03/02/2021,44.52,44.6,43.89,44.13,-0.97,-2.15,6302691
02/02/2021,45.01,45.3,44.57,45.1,0.98,2.22,5899107
01/02/2021,43.57,44.3,43.02,44.12,0.56,1.29,5309812
29/01/2021,44.85,44.86,43.14,43.56,-0.72,-1.63,9119904
28/01/2021,44.9,44.98,43.9,44.28,-0.77,-1.71,9512205
27/01/2021,45.8,45.93,44.77,45.05,-1.57,-3.37,9279603
25/01/2021,46.45,46.785,46.43,46.62,0.49,1.06,4507092
22/01/2021,46.88,46.9,45.91,46.13,-0.89,-1.89,11428269
21/01/2021,46.8,47.09,46.36,47.02,0.72,1.56,5872296
20/01/2021,46.18,46.64,46.05,46.3,0.43,0.94,4978399
19/01/2021,45.57,46.01,45.33,45.87,0.42,0.92,7047305
18/01/2021,45.81,45.89,45.22,45.45,-1.37,-2.93,3941036
15/01/2021,47.35,47.545,46.775,46.82,0.76,1.65,7838831
14/01/2021,46.14,46.24,45.65,46.06,-0.16,-0.35,4936847
13/01/2021,46.48,46.61,46.06,46.22,0.22,0.48,7116833
12/01/2021,46.26,46.91,46,46,-0.5,-1.08,5958330
11/01/2021,47,47.14,46.33,46.5,-0.17,-0.36,5318452
08/01/2021,47.01,47.15,46.39,46.67,-0.23,-0.49,5503536
07/01/2021,45.8,47.04,45.76,46.9,2.69,6.08,8992083
06/01/2021,44.62,44.94,43.78,44.21,-0.09,-0.2,6574209
05/01/2021,43.5,44.485,43.46,44.3,1.24,2.88,7506371
04/01/2021,42.63,43.06,42.46,43.06,0.63,1.48,4487504
31/12/2020,43,43.29,42.43,42.43,-0.71,-1.65,2828082
30/12/2020,43,43.14,42.68,43.14,0.22,0.51,3165679
29/12/2020,43.11,43.2,42.84,42.92,-0.03,-0.07,2944187
24/12/2020,43.13,43.41,42.75,42.95,0.5,1.18,2252786
23/12/2020,42.89,42.99,42.23,42.45,-0.44,-1.03,4943884
22/12/2020,43.31,43.5,42.6,42.89,-0.77,-1.76,4503255
21/12/2020,43.36,43.66,43.05,43.66,0.51,1.18,4678105
18/12/2020,43.25,43.55,43.15,43.15,-0.15,-0.35,17163641
17/12/2020,42.9,43.34,42.73,43.3,0.75,1.76,9612974
16/12/2020,42.5,42.85,42.41,42.55,0.77,1.84,7807687
15/12/2020,42,42.08,41.53,41.78,-0.96,-2.25,8025102
14/12/2020,42.82,43,42.625,42.74,-0.08,-0.19,6259460
11/12/2020,43,43.3,42.81,42.82,0.34,0.8,11484975
10/12/2020,42.59,42.78,42.48,42.48,-0.25,-0.59,6156190
09/12/2020,42.48,42.94,42.46,42.73,0.48,1.14,7664429
08/12/2020,42.09,42.49,42,42.25,-0.14,-0.33,7910175
07/12/2020,42.44,42.78,42.15,42.39,0.89,2.14,11853448
04/12/2020,41.11,41.5,40.95,41.5,0.25,0.61,6297648
03/12/2020,40.48,41.35,40.44,41.25,1.94,4.94,18202792
02/12/2020,38.96,39.4,38.93,39.31,0.75,1.95,8232729
01/12/2020,38.01,38.68,37.72,38.56,0.49,1.29,7428684
30/11/2020,38.65,38.96,38.02,38.07,-0.65,-1.68,11504724
27/11/2020,38.62,38.86,38.55,38.72,-0.49,-1.25,5347977
