Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.16,3.245,3.16,3.22,-0.01,-0.31,2437938
29/01/2021,3.23,3.26,3.2,3.23,-0.01,-0.31,4316367
28/01/2021,3.2,3.28,3.19,3.24,-0.01,-0.31,3169948
27/01/2021,3.24,3.28,3.24,3.25,0.01,0.31,2182436
25/01/2021,3.27,3.29,3.15,3.24,-0.03,-0.92,1494141
22/01/2021,3.28,3.29,3.22,3.27,-0.02,-0.61,2385315
21/01/2021,3.28,3.31,3.26,3.29,-0.01,-0.3,3531599
20/01/2021,3.27,3.32,3.25,3.3,0,0,4685595
19/01/2021,3.3,3.39,3.21,3.3,0.56,20.44,6797923
18/01/2021,2.69,2.75,2.68,2.74,0.02,0.74,963974
15/01/2021,2.68,2.79,2.68,2.72,0.03,1.12,1757928
14/01/2021,2.69,2.71,2.64,2.69,0.06,2.28,730725
13/01/2021,2.68,2.7,2.61,2.63,-0.08,-2.95,1619130
12/01/2021,2.71,2.73,2.68,2.71,0.03,1.12,1642259
11/01/2021,2.75,2.77,2.68,2.68,-0.06,-2.19,1377587
08/01/2021,2.54,2.76,2.53,2.74,0.22,8.73,4023783
07/01/2021,2.48,2.53,2.46,2.52,0.06,2.44,1282367
06/01/2021,2.45,2.485,2.43,2.46,-0.02,-0.81,996776
05/01/2021,2.44,2.51,2.43,2.48,0,0,887990
04/01/2021,2.44,2.5,2.41,2.48,0.04,1.64,625464
31/12/2020,2.46,2.51,2.44,2.44,-0.05,-2.01,601101
30/12/2020,2.49,2.52,2.43,2.49,-0.03,-1.19,1178887
29/12/2020,2.55,2.55,2.47,2.52,-0.01,-0.4,950376
24/12/2020,2.52,2.54,2.5,2.53,0.03,1.2,370705
23/12/2020,2.52,2.55,2.48,2.5,0.04,1.63,1095354
22/12/2020,2.55,2.55,2.44,2.46,-0.07,-2.77,3787369
21/12/2020,2.55,2.55,2.47,2.53,-0.02,-0.78,926185
18/12/2020,2.6,2.61,2.55,2.55,-0.03,-1.16,2406059
17/12/2020,2.5,2.59,2.5,2.58,0.07,2.79,1708861
16/12/2020,2.56,2.56,2.485,2.51,0.03,1.21,1510533
15/12/2020,2.6,2.62,2.465,2.48,-0.04,-1.59,1316345
14/12/2020,2.47,2.62,2.47,2.52,0.03,1.2,2452829
11/12/2020,2.46,2.51,2.45,2.49,0,0,2007921
10/12/2020,2.55,2.57,2.49,2.49,-0.07,-2.73,1842048
09/12/2020,2.62,2.62,2.51,2.56,-0.03,-1.16,1831888
08/12/2020,2.61,2.64,2.59,2.59,-0.02,-0.77,981696
07/12/2020,2.62,2.67,2.61,2.61,-0.01,-0.38,2093218
04/12/2020,2.59,2.63,2.59,2.62,0.03,1.16,645191
03/12/2020,2.61,2.65,2.58,2.59,-0.04,-1.52,860618
02/12/2020,2.6,2.64,2.575,2.63,0.03,1.15,4044962
01/12/2020,2.62,2.65,2.58,2.6,-0.04,-1.52,1371118
30/11/2020,2.68,2.68,2.62,2.64,-0.02,-0.75,1490517
27/11/2020,2.64,2.67,2.635,2.66,0.02,0.76,734649
26/11/2020,2.69,2.71,2.62,2.64,-0.05,-1.86,1663541
25/11/2020,2.74,2.75,2.66,2.69,-0.02,-0.74,2875397
24/11/2020,2.77,2.78,2.67,2.71,0.01,0.37,3062902
23/11/2020,2.79,2.8,2.66,2.7,-0.07,-2.53,3372173
20/11/2020,2.75,2.79,2.73,2.77,0.01,0.36,1191785
19/11/2020,2.75,2.81,2.72,2.76,0.03,1.1,7585947
18/11/2020,2.69,2.75,2.68,2.73,0.06,2.25,2045586
17/11/2020,2.69,2.71,2.665,2.67,-0.02,-0.74,1917948
16/11/2020,2.69,2.69,2.68,2.69,0,0,35460
13/11/2020,2.63,2.7,2.63,2.69,0.01,0.37,1268010
12/11/2020,2.67,2.69,2.64,2.68,0,0,1569770
11/11/2020,2.72,2.72,2.62,2.68,0,0,4260103
10/11/2020,2.67,2.71,2.64,2.68,0.05,1.9,2899268
09/11/2020,2.67,2.675,2.6,2.63,-0.04,-1.5,1460136
06/11/2020,2.59,2.69,2.57,2.67,0.12,4.71,2874303
05/11/2020,2.55,2.61,2.5,2.55,0.01,0.39,1437886
04/11/2020,2.44,2.55,2.44,2.54,0.09,3.67,4769912
03/11/2020,2.48,2.48,2.41,2.45,-0.03,-1.21,2791448
02/11/2020,2.46,2.52,2.46,2.48,0.03,1.22,2060966
30/10/2020,2.52,2.54,2.44,2.45,-0.08,-3.16,1398172
29/10/2020,2.52,2.54,2.465,2.53,-0.02,-0.78,2264706
28/10/2020,2.52,2.58,2.52,2.55,-0.01,-0.39,2659844
27/10/2020,2.62,2.62,2.53,2.56,-0.08,-3.03,3629678
26/10/2020,2.67,2.735,2.625,2.64,-0.04,-1.49,1548612
23/10/2020,2.73,2.74,2.67,2.68,-0.02,-0.74,689444
22/10/2020,2.71,2.73,2.66,2.7,-0.05,-1.82,1932092
21/10/2020,2.72,2.76,2.72,2.75,0.02,0.73,3995420
20/10/2020,2.7,2.75,2.7,2.73,0,0,2192151
19/10/2020,2.73,2.77,2.71,2.73,0.02,0.74,2613150
16/10/2020,2.76,2.78,2.69,2.71,-0.04,-1.45,1784587
15/10/2020,2.74,2.78,2.7,2.75,0.02,0.73,2545266
14/10/2020,2.74,2.75,2.68,2.73,-0.01,-0.36,3100643
13/10/2020,2.8,2.82,2.725,2.74,-0.04,-1.44,4413131
12/10/2020,2.73,2.78,2.68,2.78,0.05,1.83,4389955
09/10/2020,2.69,2.76,2.69,2.73,0.04,1.49,3911565
08/10/2020,2.73,2.76,2.69,2.69,0.01,0.37,4722806
07/10/2020,2.65,2.705,2.59,2.68,0.07,2.68,5094247
06/10/2020,2.53,2.66,2.5,2.61,0.09,3.57,6930201
05/10/2020,2.46,2.54,2.46,2.52,0.09,3.7,1568210
02/10/2020,2.48,2.51,2.42,2.43,-0.05,-2.02,3882955
01/10/2020,2.45,2.51,2.42,2.48,0.06,2.48,4236700
30/09/2020,2.52,2.53,2.41,2.42,-0.1,-3.97,5649399
29/09/2020,2.47,2.525,2.45,2.52,0.08,3.28,4762989
28/09/2020,2.41,2.45,2.395,2.44,0.04,1.67,3543644
25/09/2020,2.35,2.4,2.33,2.4,0.05,2.13,2212933
24/09/2020,2.33,2.37,2.29,2.35,0,0,1784463
23/09/2020,2.31,2.36,2.29,2.35,0.08,3.52,1575276
22/09/2020,2.28,2.32,2.25,2.27,-0.05,-2.16,2196302
21/09/2020,2.34,2.36,2.285,2.32,-0.03,-1.28,4381022
18/09/2020,2.36,2.38,2.34,2.35,-0.01,-0.42,3034218
17/09/2020,2.34,2.38,2.31,2.36,0.05,2.16,2779554
16/09/2020,2.31,2.33,2.29,2.31,0.01,0.43,1819550
15/09/2020,2.27,2.3,2.25,2.3,0.03,1.32,3424090
14/09/2020,2.3,2.3,2.24,2.27,0,0,1385194
11/09/2020,2.28,2.3,2.245,2.27,-0.03,-1.3,1412149
10/09/2020,2.2,2.3,2.2,2.3,0.11,5.02,7197959
09/09/2020,2.22,2.25,2.16,2.19,-0.06,-2.67,2211891
08/09/2020,2.22,2.27,2.22,2.25,0.03,1.35,1581440
07/09/2020,2.21,2.28,2.21,2.22,0,0,1775809
04/09/2020,2.24,2.24,2.19,2.22,-0.06,-2.63,2114139
03/09/2020,2.33,2.35,2.26,2.28,-0.01,-0.44,2118908
02/09/2020,2.3,2.31,2.25,2.29,0.03,1.33,1634956
01/09/2020,2.22,2.295,2.2,2.26,0.03,1.35,3049587
31/08/2020,2.3,2.33,2.22,2.23,-0.07,-3.04,1887643
28/08/2020,2.31,2.34,2.235,2.3,0.01,0.44,3171794
27/08/2020,2.26,2.32,2.22,2.29,0.01,0.44,4372928
26/08/2020,2.36,2.41,2.25,2.28,-0.16,-6.56,5778019
25/08/2020,2.3,2.48,2.28,2.44,0.29,13.49,12985005
24/08/2020,2.06,2.2,2.05,2.15,0.12,5.91,6527008
21/08/2020,2.03,2.07,2.01,2.03,0.02,1,7645585
20/08/2020,2.02,2.06,1.99,2.01,-0.04,-1.95,2670627
19/08/2020,2.01,2.06,1.995,2.05,0.05,2.5,2039709
18/08/2020,2.03,2.05,1.995,2,-0.03,-1.48,2215518
17/08/2020,2.03,2.06,2,2.03,-0.02,-0.98,1781136
14/08/2020,2.07,2.08,2.02,2.05,-0.01,-0.49,1826842
13/08/2020,2.02,2.11,2,2.06,0.06,3,5556457
12/08/2020,1.99,2.01,1.93,2,0.015,0.76,3516345
11/08/2020,1.915,1.995,1.897,1.985,0.07,3.66,3640473
10/08/2020,1.94,1.94,1.905,1.915,-0.015,-0.78,2990928
07/08/2020,1.915,1.94,1.905,1.93,0.02,1.05,3522293
06/08/2020,1.92,1.94,1.905,1.91,0.005,0.26,5690163
05/08/2020,1.95,1.965,1.89,1.905,-0.06,-3.05,4305280
04/08/2020,1.98,2,1.935,1.965,0.01,0.51,2626500
03/08/2020,1.92,1.975,1.915,1.955,0.02,1.03,2912733
31/07/2020,2.01,2.01,1.925,1.935,-0.065,-3.25,3285683
30/07/2020,2,2.01,1.95,2,0.015,0.76,2940862
29/07/2020,2,2.025,1.95,1.985,-0.015,-0.75,2575026
28/07/2020,2.04,2.06,1.99,2,-0.04,-1.96,1948219
27/07/2020,1.98,2.05,1.975,2.04,0.06,3.03,2143467
24/07/2020,2.02,2.02,1.96,1.98,-0.04,-1.98,3180449
23/07/2020,2.02,2.05,2,2.02,0.01,0.5,1783791
22/07/2020,2.06,2.06,2,2.01,-0.06,-2.9,2028705
21/07/2020,1.99,2.07,1.985,2.07,0.105,5.34,3110898
20/07/2020,1.975,2.005,1.94,1.965,0,0,2976847
17/07/2020,1.975,1.975,1.93,1.965,0.01,0.51,4903042
16/07/2020,1.94,1.99,1.905,1.955,0.055,2.89,5513402
15/07/2020,1.9,1.915,1.875,1.9,0.03,1.6,3775266
14/07/2020,1.9,1.907,1.855,1.87,-0.02,-1.06,3008366
13/07/2020,1.97,1.97,1.82,1.89,-0.025,-1.31,6166219
10/07/2020,1.95,1.99,1.9,1.915,-0.05,-2.54,3579681
09/07/2020,1.99,2.03,1.94,1.965,0,0,4007426
08/07/2020,2.09,2.09,1.965,1.965,-0.125,-5.98,7752154
07/07/2020,2.16,2.16,2.08,2.09,-0.02,-0.95,2172471
06/07/2020,2.12,2.16,2.11,2.11,0,0,2178651
03/07/2020,2.19,2.2,2.08,2.11,-0.06,-2.76,2710606
02/07/2020,2.19,2.21,2.15,2.17,0,0,1643499
01/07/2020,2.15,2.21,2.145,2.17,0.02,0.93,1920253
30/06/2020,2.17,2.21,2.14,2.15,0.05,2.38,3072931
29/06/2020,2.17,2.19,2.085,2.1,-0.13,-5.83,2990444
26/06/2020,2.23,2.26,2.16,2.23,0.02,0.9,3571609
25/06/2020,2.31,2.33,2.21,2.21,-0.16,-6.75,4961640
24/06/2020,2.43,2.45,2.36,2.37,-0.03,-1.25,2058649
23/06/2020,2.41,2.48,2.375,2.4,0.03,1.27,1464061
22/06/2020,2.4,2.4,2.33,2.37,-0.05,-2.07,1837179
19/06/2020,2.4,2.48,2.39,2.42,0.04,1.68,2111639
18/06/2020,2.44,2.465,2.36,2.38,-0.06,-2.46,2863493
17/06/2020,2.5,2.54,2.4,2.44,0,0,2115247
16/06/2020,2.42,2.48,2.4,2.44,0.13,5.63,2545236
15/06/2020,2.37,2.41,2.3,2.31,-0.05,-2.12,3472591
12/06/2020,2.33,2.39,2.3,2.36,-0.09,-3.67,5201735
11/06/2020,2.52,2.59,2.42,2.45,-0.09,-3.54,4591636
10/06/2020,2.62,2.63,2.52,2.54,-0.09,-3.42,4528974
09/06/2020,2.69,2.71,2.61,2.63,0.02,0.77,3012805
05/06/2020,2.61,2.65,2.58,2.61,-0.01,-0.38,1887938
04/06/2020,2.63,2.67,2.57,2.62,0.01,0.38,2825225
03/06/2020,2.7,2.7,2.57,2.61,-0.05,-1.88,4657528
02/06/2020,2.59,2.7,2.56,2.66,0.13,5.14,5673958
01/06/2020,2.35,2.56,2.34,2.53,0.17,7.2,3591927
29/05/2020,2.42,2.43,2.36,2.36,-0.08,-3.28,5820250
28/05/2020,2.37,2.535,2.36,2.44,0.12,5.17,5560535
27/05/2020,2.25,2.35,2.25,2.32,0.08,3.57,4282396
26/05/2020,2.24,2.27,2.21,2.24,0.04,1.82,3187582
25/05/2020,2.2,2.26,2.185,2.2,0.04,1.85,4694497
22/05/2020,2.19,2.24,2.14,2.16,-0.03,-1.37,3121587
21/05/2020,2.28,2.28,2.17,2.19,-0.05,-2.23,3817405
20/05/2020,2.13,2.285,2.13,2.24,0.09,4.19,6810144
19/05/2020,2.18,2.23,2.14,2.15,0.01,0.47,2979272
18/05/2020,2.11,2.215,2.1,2.14,0.03,1.42,3208274
15/05/2020,2.07,2.12,2.05,2.11,0.06,2.93,1897022
14/05/2020,2.05,2.08,2.035,2.05,-0.02,-0.97,2220191
13/05/2020,2.08,2.08,2.035,2.07,-0.06,-2.82,2381800
12/05/2020,2.15,2.19,2.095,2.13,-0.03,-1.39,1604050
11/05/2020,2.12,2.175,2.1,2.16,0.04,1.89,2555500
08/05/2020,2.08,2.13,2.08,2.12,0.07,3.41,2854358
07/05/2020,2.07,2.11,2.02,2.05,-0.12,-5.53,5841508
06/05/2020,2.36,2.38,2.15,2.17,-0.12,-5.24,4975427
05/05/2020,2.23,2.33,2.23,2.29,0.09,4.09,2048331
04/05/2020,2.21,2.23,2.15,2.2,-0.02,-0.9,2553684
01/05/2020,2.29,2.3,2.2,2.22,-0.13,-5.53,2028083
30/04/2020,2.2,2.38,2.17,2.35,0.19,8.8,3645064
29/04/2020,2.14,2.175,2.11,2.16,0.02,0.93,1129559
28/04/2020,2.13,2.18,2.09,2.14,0.01,0.47,1115633
27/04/2020,1.995,2.15,1.995,2.13,0.11,5.45,1675226
24/04/2020,1.98,2.07,1.935,2.02,0,0,2502932
23/04/2020,2.03,2.1,1.99,2.02,-0.01,-0.49,2664077
22/04/2020,1.95,2.06,1.925,2.03,0.05,2.53,4543016
21/04/2020,2,2.11,1.98,1.98,-0.04,-1.98,4453538
20/04/2020,2.1,2.17,2,2.02,-0.11,-5.16,3076947
17/04/2020,2.16,2.23,2.11,2.13,0.01,0.47,2958320
16/04/2020,2.06,2.16,2.04,2.12,0.02,0.95,2862665
15/04/2020,2.2,2.21,2.06,2.1,-0.07,-3.23,2265590
14/04/2020,2.01,2.19,1.95,2.17,0.13,6.37,3594724
09/04/2020,1.92,2.08,1.92,2.04,0.12,6.25,2636601
08/04/2020,1.885,1.94,1.83,1.92,-0.005,-0.26,3284506
07/04/2020,1.99,1.99,1.885,1.925,0.005,0.26,3502167
06/04/2020,1.9,1.945,1.865,1.92,0.015,0.79,2293176
03/04/2020,1.99,2.05,1.875,1.905,-0.105,-5.22,3332506
02/04/2020,1.95,2.05,1.905,2.01,-0.04,-1.95,3993445
01/04/2020,2,2.07,1.995,2.05,0.15,7.89,4116089
31/03/2020,2.04,2.1,1.875,1.9,-0.035,-1.81,5169938
30/03/2020,1.8,1.95,1.75,1.935,0.09,4.88,3155123
27/03/2020,1.97,2.04,1.84,1.845,-0.03,-1.6,6933341
26/03/2020,1.89,1.975,1.82,1.875,0.055,3.02,7348842
25/03/2020,2.01,2.1,1.76,1.82,-0.08,-4.21,5963192
24/03/2020,1.8,1.9,1.765,1.9,0.08,4.4,3960508
23/03/2020,1.75,1.905,1.47,1.82,-0.095,-4.96,7771817
20/03/2020,1.98,2.11,1.86,1.915,-0.04,-2.05,4080273
19/03/2020,2.1,2.1,1.84,1.955,-0.125,-6.01,6928236
18/03/2020,2.29,2.36,2.05,2.08,-0.31,-12.97,7038950
17/03/2020,2.08,2.4,2.08,2.39,0.15,6.7,7757844
16/03/2020,2.36,2.45,2.24,2.24,-0.29,-11.46,7285122
13/03/2020,2.27,2.55,2.2,2.53,0.09,3.69,11218485
12/03/2020,2.51,2.59,2.41,2.44,-0.18,-6.87,24407884
11/03/2020,2.76,2.84,2.61,2.62,-0.13,-4.73,4843922
10/03/2020,2.5,2.78,2.48,2.75,0.11,4.17,6230452
09/03/2020,2.68,2.7,2.56,2.64,-0.12,-4.35,7893294
06/03/2020,2.78,2.81,2.73,2.76,-0.11,-3.83,4162665
05/03/2020,2.84,2.91,2.83,2.87,0.09,3.24,2552364
04/03/2020,2.67,2.81,2.645,2.78,-0.03,-1.07,3932975
03/03/2020,2.77,2.895,2.77,2.81,0.07,2.55,4525360
02/03/2020,2.75,2.79,2.66,2.74,-0.12,-4.2,4628140
28/02/2020,2.8,2.89,2.74,2.86,-0.05,-1.72,5602357
27/02/2020,2.92,2.97,2.9,2.91,-0.06,-2.02,3984333
26/02/2020,3.08,3.12,2.92,2.97,-0.19,-6.01,4047634
25/02/2020,3.04,3.17,3,3.16,0.02,0.64,3947081
24/02/2020,3.17,3.24,3.125,3.14,-0.06,-1.88,3263324
21/02/2020,3.2,3.25,3.08,3.2,0.03,0.95,4041823
20/02/2020,3.36,3.47,2.95,3.17,-0.03,-0.94,11457033
19/02/2020,3.09,3.24,3.09,3.2,0.09,2.89,3351293
18/02/2020,3.14,3.15,3.095,3.11,-0.03,-0.96,1348003
17/02/2020,3.18,3.19,3.105,3.14,-0.04,-1.26,1473420
14/02/2020,3.15,3.22,3.1,3.18,0.02,0.63,3025171
13/02/2020,3.07,3.2,3.06,3.16,0.11,3.61,5617458
12/02/2020,2.95,3.08,2.92,3.05,0.13,4.45,4079096
11/02/2020,2.92,2.97,2.9,2.92,0.02,0.69,2540441
10/02/2020,2.91,2.97,2.86,2.9,0.07,2.47,2488044
07/02/2020,2.79,2.84,2.76,2.83,0.04,1.43,1645130
06/02/2020,2.76,2.8,2.74,2.79,0.05,1.82,2676679
05/02/2020,2.75,2.78,2.715,2.74,0.02,0.74,2398181
04/02/2020,2.75,2.76,2.71,2.72,-0.01,-0.37,2003430
03/02/2020,2.7,2.765,2.67,2.73,-0.07,-2.5,2701698
