Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,73,79.93,72.54,79.93,6.5,8.85,96997
29/01/2021,72.88,74.63,72.42,73.43,1.07,1.48,47723
28/01/2021,71.1,73.31,70.93,72.36,-0.2,-0.28,76200
27/01/2021,72,73.41,72,72.56,1.02,1.43,29254
25/01/2021,71.6,72.12,71.02,71.54,-0.09,-0.13,28473
22/01/2021,71,71.96,71,71.63,0.09,0.13,15706
21/01/2021,72,72.67,71.54,71.54,0.09,0.13,16425
20/01/2021,71.5,71.975,71.21,71.45,-0.5,-0.69,24694
19/01/2021,71.21,72.39,71.21,71.95,0.74,1.04,19010
18/01/2021,71,71.98,70.92,71.21,-0.54,-0.75,21420
15/01/2021,72,73.5,71.64,71.75,-0.39,-0.54,21555
14/01/2021,71.65,72.48,71.11,72.14,0.41,0.57,25896
13/01/2021,72.5,72.65,71.31,71.73,-1.06,-1.46,30852
12/01/2021,72.8,73.62,72,72.79,-0.07,-0.1,25990
11/01/2021,74.6,74.775,72.3,72.86,-2.39,-3.18,47222
08/01/2021,75,75.39,74.49,75.25,0.1,0.13,29727
07/01/2021,75.38,75.63,74.79,75.15,0.36,0.48,40827
06/01/2021,74.37,76,74.37,74.79,-0.42,-0.56,31439
05/01/2021,75.11,75.8,74.39,75.21,0.1,0.13,36817
04/01/2021,74.57,75.56,74.37,75.11,-0.44,-0.58,22303
31/12/2020,74.18,76.12,74.13,75.55,0.76,1.02,27647
30/12/2020,74.21,75.3,73.63,74.79,-0.6,-0.8,30134
29/12/2020,75,75.91,74.02,75.39,0.59,0.79,13612
24/12/2020,74.87,76.06,74.54,74.8,-0.45,-0.6,11980
23/12/2020,73.71,75.46,73.71,75.25,1.55,2.1,40080
22/12/2020,73.15,74.91,73.15,73.7,-0.16,-0.22,64990
21/12/2020,74.01,75.77,73.11,73.86,-0.33,-0.44,48074
18/12/2020,75.01,78.15,73.56,74.19,-0.72,-0.96,134255
17/12/2020,78.88,80,74.3,74.91,-5.76,-7.14,154187
16/12/2020,82.1,82.1,80.15,80.67,0.06,0.07,36600
15/12/2020,80.2,81.86,80.15,80.61,-1.89,-2.29,39934
14/12/2020,80.2,82.86,80.2,82.5,0.65,0.79,41845
11/12/2020,80.5,81.85,79.95,81.85,0.99,1.22,57197
10/12/2020,79.28,81.185,79.27,80.86,1.18,1.48,44365
09/12/2020,79.4,80.32,78.85,79.68,0.24,0.3,34911
08/12/2020,80.03,80.48,79.33,79.44,-0.8,-1,31341
07/12/2020,79.68,81.84,79.65,80.24,0.5,0.63,60646
04/12/2020,79.7,80.5,79.31,79.74,0.04,0.05,25169
03/12/2020,79.59,80.72,79.23,79.7,0.15,0.19,34850
02/12/2020,79.04,80.22,78.61,79.55,0.36,0.45,39983
01/12/2020,78.18,79.74,78.11,79.19,-0.81,-1.01,61621
30/11/2020,79.1,80,77.77,80,1.47,1.87,114565
27/11/2020,79.73,80.18,77.6,78.53,-2.2,-2.73,40651
26/11/2020,79.51,81.4,78.99,80.73,1.5,1.89,58438
25/11/2020,79.99,80.42,79.03,79.23,-0.76,-0.95,35575
24/11/2020,77.68,79.99,77.41,79.99,2.15,2.76,51727
23/11/2020,78,78.49,76.94,77.84,-0.32,-0.41,34137
20/11/2020,79.35,79.35,77.93,78.16,-1.22,-1.54,25664
19/11/2020,78.44,79.5,76.7,79.38,1.33,1.7,68162
18/11/2020,77.42,78.76,76.08,78.05,1.17,1.52,55649
17/11/2020,77,77.57,76.38,76.88,0.1,0.13,53494
16/11/2020,75,76.89,75,76.78,2.03,2.72,4522
13/11/2020,76.36,77.23,74.57,74.75,-2.05,-2.67,45146
12/11/2020,76,79.75,75.37,76.8,1.8,2.4,124745
11/11/2020,74.53,76.85,74,75,0.46,0.62,84365
10/11/2020,73.63,74.88,73.55,74.54,1.61,2.21,66242
09/11/2020,72,73.91,71.78,72.93,1.68,2.36,66696
06/11/2020,70.96,71.79,70.32,71.25,1.35,1.93,45361
05/11/2020,71.4,71.6,69.73,69.9,-0.8,-1.13,61939
04/11/2020,70.35,71.66,69.9,70.7,-1.1,-1.53,29267
03/11/2020,71.5,71.99,70.64,71.8,1.24,1.76,59119
02/11/2020,68.8,71.09,68.8,70.56,0.3,0.43,68178
30/10/2020,71.56,72.35,69.94,70.26,-1.26,-1.76,60931
29/10/2020,71.72,73.44,69.85,71.52,-0.96,-1.32,130631
28/10/2020,64.28,72.48,64.28,72.48,8.71,13.66,247689
27/10/2020,63.88,68.38,63.42,63.77,0.43,0.68,172033
26/10/2020,62.71,64.65,62.71,63.34,0.77,1.23,54637
23/10/2020,62.95,63.05,62.16,62.57,-0.43,-0.68,127183
22/10/2020,64.15,64.5,62.88,63,-1.6,-2.48,64299
21/10/2020,64.86,65,64.15,64.6,-0.1,-0.15,120797
20/10/2020,65.07,66.45,64.7,64.7,-1.8,-2.71,62054
19/10/2020,64.33,66.75,64.33,66.5,1.55,2.39,51255
16/10/2020,65.1,65.79,64.65,64.95,-0.32,-0.49,76510
15/10/2020,66,66,65.02,65.27,-0.34,-0.52,31266
14/10/2020,65.25,66.34,65.01,65.61,-0.57,-0.86,76391
13/10/2020,65.78,66.65,65.15,66.18,0.45,0.68,75446
12/10/2020,64.21,66.13,64.21,65.73,0.74,1.14,44300
09/10/2020,64,65.58,63.51,64.99,0.52,0.81,73759
08/10/2020,62.59,64.71,62.2,64.47,1.25,1.98,62476
07/10/2020,63.1,63.55,62.12,63.22,0.29,0.46,53958
06/10/2020,63,63.46,62.08,62.93,0.51,0.82,43829
05/10/2020,62,62.9,61.8,62.42,1.22,1.99,32623
02/10/2020,62.89,63.53,61.02,61.2,-1.74,-2.76,109282
01/10/2020,63.5,64.08,62.68,62.94,-0.13,-0.21,49640
30/09/2020,64.2,64.72,63.07,63.07,-1.53,-2.37,110209
29/09/2020,66.5,66.9,64.42,64.6,-1.54,-2.33,109992
28/09/2020,68.23,69,65.88,66.14,-2.71,-3.94,81714
25/09/2020,68.33,69.88,68.09,68.85,0.21,0.31,41323
24/09/2020,69.72,69.97,67.56,68.64,-0.81,-1.17,51964
23/09/2020,70.38,71.4,68.51,69.45,-0.29,-0.42,105553
22/09/2020,69.5,71.13,68.76,69.74,-0.37,-0.53,116910
21/09/2020,69.35,70.79,68.84,70.11,0.96,1.39,153720
18/09/2020,67.9,69.46,66.8,69.15,1.65,2.44,296419
17/09/2020,66.48,67.86,65.72,67.5,1.22,1.84,98085
16/09/2020,63.58,67.7,63.51,66.28,2.59,4.07,164141
