Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,18.7,18.99,18.42,18.95,0.34,1.83,337256
29/01/2021,18.5,18.74,18.43,18.61,0.33,1.81,761634
28/01/2021,18.59,18.59,18.01,18.28,-0.33,-1.77,384331
27/01/2021,18.6,18.87,18.56,18.61,0.05,0.27,340666
25/01/2021,18.28,18.7,18.17,18.56,0.38,2.09,246522
22/01/2021,18.25,18.3,18.11,18.18,-0.09,-0.49,265108
21/01/2021,18.24,18.35,18.01,18.27,0.09,0.5,683608
20/01/2021,18.25,18.35,18.15,18.18,-0.15,-0.82,265434
19/01/2021,18.4,18.48,18.28,18.33,-0.01,-0.05,382592
18/01/2021,18.5,18.6,18.31,18.34,-0.11,-0.6,145603
15/01/2021,18.64,18.7,18.41,18.45,-0.19,-1.02,162223
14/01/2021,18.68,18.73,18.44,18.64,-0.09,-0.48,205306
13/01/2021,18.98,19.06,18.63,18.73,-0.22,-1.16,240377
12/01/2021,19.01,19.25,18.95,18.95,-0.05,-0.26,213078
11/01/2021,19.24,19.29,18.97,19,-0.24,-1.25,246741
08/01/2021,19.25,19.34,19.13,19.24,-0.01,-0.05,199878
07/01/2021,19.53,19.53,19.16,19.25,0.07,0.36,177702
06/01/2021,19.35,19.46,19.08,19.18,-0.3,-1.54,205520
05/01/2021,19.6,19.6,19.23,19.48,-0.08,-0.41,166041
04/01/2021,19.5,19.64,19.38,19.56,0.36,1.88,137396
31/12/2020,19.74,19.84,19.2,19.2,-0.54,-2.74,133099
30/12/2020,19.73,19.79,19.56,19.74,0.05,0.25,84328
29/12/2020,19.55,19.71,19.48,19.69,0.24,1.23,88839
24/12/2020,19.59,19.61,19.45,19.45,0.05,0.26,59460
23/12/2020,19.67,19.67,19.31,19.4,0.18,0.94,121470
22/12/2020,19.59,19.66,19.12,19.22,-0.26,-1.33,193252
21/12/2020,19.6,19.74,19.3,19.48,0.03,0.15,178907
18/12/2020,19.62,19.67,19.42,19.45,-0.18,-0.92,246122
17/12/2020,19.14,19.675,19.13,19.63,0.31,1.6,237611
16/12/2020,19.21,19.57,19.01,19.32,0.12,0.62,226227
15/12/2020,19.15,19.29,18.93,19.2,0.09,0.47,314670
14/12/2020,19,19.28,18.92,19.11,0.14,0.74,247199
11/12/2020,19.48,19.52,18.66,18.97,-0.38,-1.96,456743
10/12/2020,19.65,19.7,19.27,19.35,-0.35,-1.78,254868
09/12/2020,19.65,19.97,19.6,19.7,0.03,0.15,443234
08/12/2020,19.8,19.91,19.62,19.67,-0.13,-0.66,246280
07/12/2020,19.8,19.96,19.7,19.8,0.08,0.41,208240
04/12/2020,19.55,19.83,19.42,19.72,0.11,0.56,232307
03/12/2020,19.52,19.79,19.47,19.61,-0.01,-0.05,281470
02/12/2020,19.7,19.88,19.45,19.62,0.09,0.46,268160
01/12/2020,19.47,19.81,19.33,19.53,0.24,1.24,308251
30/11/2020,20,20,19.29,19.29,-0.61,-3.07,557728
27/11/2020,20.1,20.26,19.81,19.9,-0.32,-1.58,186832
26/11/2020,20.25,20.29,20.02,20.22,0.01,0.05,531497
25/11/2020,19.82,20.42,19.73,20.21,0.73,3.75,891987
24/11/2020,18.8,19.58,18.79,19.48,0.74,3.95,547670
23/11/2020,18.46,18.9,18.37,18.74,0.36,1.96,341075
20/11/2020,18.96,18.96,18.36,18.38,-0.43,-2.29,393855
19/11/2020,18.8,18.87,18.44,18.81,0.01,0.05,571150
18/11/2020,18.92,19.19,18.68,18.8,-0.24,-1.26,686767
17/11/2020,19.17,19.2,18.93,19.04,-0.09,-0.47,541060
16/11/2020,19,19.22,19,19.13,0.17,0.9,36831
13/11/2020,19.16,19.2,18.89,18.96,-0.29,-1.51,227408
12/11/2020,19.74,19.84,19.18,19.25,-0.21,-1.08,435079
