Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.84,5.02,4.79,4.99,0.15,3.1,3690087
29/01/2021,4.89,4.97,4.83,4.84,0.01,0.21,3316677
28/01/2021,5.02,5.04,4.81,4.83,-0.25,-4.92,5021597
27/01/2021,5.02,5.135,5.01,5.08,0.05,0.99,4029906
25/01/2021,5.11,5.14,5.015,5.03,-0.09,-1.76,1903323
22/01/2021,5.05,5.14,4.97,5.12,0.04,0.79,5295391
21/01/2021,5.15,5.15,5.05,5.08,-0.02,-0.39,3714911
20/01/2021,5.02,5.125,5.02,5.1,0.03,0.59,4132934
19/01/2021,4.98,5.08,4.98,5.07,0.11,2.22,2358422
18/01/2021,5.01,5.06,4.94,4.96,-0.1,-1.98,3117036
15/01/2021,4.93,5.12,4.92,5.06,0.1,2.02,4997051
14/01/2021,5.05,5.06,4.93,4.96,0.02,0.4,5006115
13/01/2021,4.94,4.99,4.91,4.94,0.06,1.23,3624755
12/01/2021,4.91,4.95,4.88,4.88,-0.02,-0.41,2907949
11/01/2021,4.89,4.94,4.86,4.9,-0.01,-0.2,2525484
08/01/2021,4.86,4.92,4.84,4.91,0.02,0.41,1573457
07/01/2021,4.9,4.9,4.815,4.89,0.09,1.88,6357794
06/01/2021,4.82,4.89,4.77,4.8,-0.04,-0.83,3611177
05/01/2021,4.94,4.96,4.81,4.84,-0.13,-2.62,2794112
04/01/2021,4.93,5,4.905,4.97,0.02,0.4,2846845
31/12/2020,4.96,5.05,4.91,4.95,0.01,0.2,2559915
30/12/2020,4.81,4.95,4.8,4.94,0.11,2.28,2816052
29/12/2020,4.8,4.86,4.8,4.83,0.03,0.62,1355557
24/12/2020,4.8,4.845,4.8,4.8,0.03,0.63,804456
23/12/2020,4.76,4.81,4.74,4.77,-0.03,-0.62,3314185
22/12/2020,4.84,4.87,4.77,4.8,-0.04,-0.83,3043896
21/12/2020,4.8,4.86,4.75,4.84,0.02,0.41,2670979
18/12/2020,4.88,4.92,4.82,4.82,-0.1,-2.03,10211793
17/12/2020,4.9,4.96,4.88,4.92,0.03,0.61,5139761
16/12/2020,4.84,4.91,4.81,4.89,0.11,2.3,7018272
15/12/2020,4.75,4.86,4.75,4.78,-0.01,-0.21,3242040
14/12/2020,4.74,4.84,4.74,4.79,0.01,0.21,3076232
11/12/2020,4.74,4.81,4.72,4.78,0,0,6161474
10/12/2020,4.81,4.83,4.72,4.78,-0.06,-1.24,4116456
09/12/2020,4.88,4.89,4.82,4.84,-0.03,-0.62,4485762
08/12/2020,4.94,4.97,4.84,4.87,-0.07,-1.42,3674252
07/12/2020,4.91,5,4.91,4.94,0.06,1.23,4379198
04/12/2020,4.87,4.93,4.87,4.88,0.03,0.62,3434529
03/12/2020,4.88,4.92,4.85,4.85,-0.05,-1.02,3815994
02/12/2020,4.91,4.945,4.855,4.9,-0.03,-0.61,5800812
01/12/2020,4.92,4.985,4.87,4.93,0.02,0.41,3276313
30/11/2020,5,5.05,4.91,4.91,-0.09,-1.8,5437425
27/11/2020,5.09,5.09,4.98,5,-0.11,-2.15,3703433
26/11/2020,5.21,5.24,5.11,5.11,-0.09,-1.73,3465022
25/11/2020,5.17,5.23,5.12,5.2,0.05,0.97,6955580
24/11/2020,5.04,5.17,5.04,5.15,0.13,2.59,6426030
23/11/2020,5.01,5.06,4.98,5.02,0.01,0.2,5381802
20/11/2020,5.07,5.09,4.97,5.01,-0.09,-1.76,14595490
19/11/2020,5.14,5.15,5.05,5.1,-0.03,-0.58,5284350
18/11/2020,5.11,5.18,5.1,5.13,0,0,5275373
17/11/2020,5.16,5.17,5.11,5.13,-0.03,-0.58,6919609
16/11/2020,5.2,5.2,5.15,5.16,0.03,0.58,325343
13/11/2020,5.14,5.18,5.09,5.13,-0.07,-1.35,4768105
12/11/2020,5.18,5.21,5.13,5.2,0.04,0.78,4622894
11/11/2020,5.19,5.25,5.12,5.16,0.08,1.57,9030697
10/11/2020,5.24,5.28,5,5.08,-0.04,-0.78,9460605
09/11/2020,5,5.13,5,5.12,0.16,3.23,5576890
06/11/2020,4.98,5.01,4.935,4.96,0.02,0.4,4454713
05/11/2020,4.96,4.975,4.87,4.94,0,0,3922328
04/11/2020,4.88,4.975,4.82,4.94,0.06,1.23,4691336
03/11/2020,4.78,4.905,4.76,4.88,0.07,1.46,5785113
02/11/2020,4.59,4.83,4.52,4.81,0.25,5.48,8993358
30/10/2020,4.57,4.64,4.5,4.56,-0.05,-1.08,9157238
29/10/2020,4.51,4.69,4.46,4.61,0.04,0.88,6807928
28/10/2020,4.67,4.68,4.54,4.57,-0.17,-3.59,7895895
27/10/2020,4.69,4.95,4.67,4.74,0.01,0.21,13821637
26/10/2020,4.73,4.79,4.71,4.73,-0.01,-0.21,9460264
23/10/2020,4.75,4.76,4.7,4.74,0,0,2861802
22/10/2020,4.75,4.81,4.68,4.74,-0.01,-0.21,5192966
21/10/2020,4.74,4.79,4.705,4.75,0,0,4036868
20/10/2020,4.81,4.84,4.72,4.75,-0.1,-2.06,8711663
19/10/2020,4.81,4.89,4.8,4.85,0.04,0.83,6360642
16/10/2020,4.89,4.92,4.8,4.81,-0.08,-1.64,4850452
15/10/2020,4.93,4.98,4.875,4.89,0,0,4635114
14/10/2020,4.89,4.93,4.83,4.89,-0.02,-0.41,7585467
13/10/2020,4.98,5.01,4.9,4.91,-0.06,-1.21,5793287
12/10/2020,4.98,5.01,4.94,4.97,-0.01,-0.2,7757588
09/10/2020,4.93,5.01,4.93,4.98,0.07,1.43,15812993
08/10/2020,4.87,5,4.835,4.91,0.1,2.08,12444186
07/10/2020,4.72,4.84,4.66,4.81,0.07,1.48,19487624
06/10/2020,4.76,4.82,4.71,4.74,0.05,1.07,11552261
05/10/2020,4.63,4.77,4.63,4.69,0.11,2.4,5465725
02/10/2020,4.6,4.68,4.55,4.58,-0.02,-0.43,9300606
01/10/2020,4.6,4.65,4.58,4.6,0.04,0.88,8677201
30/09/2020,4.56,4.61,4.52,4.56,-0.01,-0.22,32483089
29/09/2020,4.65,4.68,4.55,4.57,0.03,0.66,9193679
28/09/2020,4.32,4.62,4.31,4.54,0.25,5.83,11720120
25/09/2020,4.31,4.34,4.24,4.29,-0.02,-0.46,7818578
24/09/2020,4.28,4.385,4.23,4.31,0.01,0.23,22737354
