Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,7.91,8.1,7.78,8.09,0.12,1.51,1747439
29/01/2021,8.25,8.28,7.94,7.97,-0.21,-2.57,2430855
28/01/2021,8.27,8.31,8.02,8.18,-0.19,-2.27,3338105
27/01/2021,8.3,8.58,8.29,8.37,0.07,0.84,2893669
25/01/2021,8.3,8.34,8.24,8.3,0,0,1418739
22/01/2021,8.24,8.3,8.21,8.3,0.02,0.24,1984081
21/01/2021,8.3,8.34,8.23,8.28,0.04,0.49,1491635
20/01/2021,8.25,8.3,8.17,8.24,0.04,0.49,2593498
19/01/2021,8.16,8.25,8.16,8.2,0.04,0.49,1030606
18/01/2021,8.28,8.28,8.15,8.16,-0.15,-1.81,1131705
15/01/2021,8.3,8.43,8.275,8.31,0.13,1.59,2192461
14/01/2021,8.21,8.26,8.16,8.18,-0.06,-0.73,1479108
13/01/2021,8.16,8.26,8.1,8.24,0.04,0.49,1715334
12/01/2021,8.1,8.38,8.05,8.2,0.13,1.61,2723368
11/01/2021,8,8.1,7.98,8.07,0.04,0.5,1663488
08/01/2021,8.05,8.09,7.94,8.03,-0.02,-0.25,1456607
07/01/2021,7.84,8.09,7.83,8.05,0.35,4.55,3948209
06/01/2021,7.67,7.735,7.65,7.7,0,0,1471384
05/01/2021,7.75,7.79,7.66,7.7,-0.06,-0.77,1045342
04/01/2021,7.76,7.82,7.74,7.76,0.02,0.26,8052880
31/12/2020,7.83,7.85,7.74,7.74,-0.09,-1.15,870939
30/12/2020,7.81,7.855,7.74,7.83,-0.02,-0.25,971756
29/12/2020,7.87,7.91,7.83,7.85,0.02,0.26,629948
24/12/2020,7.83,7.92,7.83,7.83,0.01,0.13,570718
23/12/2020,7.7,7.85,7.7,7.82,0.13,1.69,927713
22/12/2020,7.7,7.78,7.68,7.69,-0.08,-1.03,1054464
21/12/2020,7.74,7.77,7.63,7.77,0.01,0.13,966762
18/12/2020,7.86,7.87,7.76,7.76,-0.13,-1.65,2586522
17/12/2020,7.94,7.965,7.88,7.89,0.02,0.25,2063402
16/12/2020,7.89,7.96,7.86,7.87,0.05,0.64,1771246
15/12/2020,7.82,7.87,7.75,7.82,-0.01,-0.13,2064740
14/12/2020,7.75,7.89,7.74,7.83,0.04,0.51,1649148
11/12/2020,7.67,7.83,7.67,7.79,0.08,1.04,1902430
10/12/2020,7.72,7.79,7.68,7.71,-0.04,-0.52,1901959
