Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,1.62,1.645,1.5675,1.64,-0.005,-0.3,13289554
29/01/2021,1.715,1.72,1.63,1.645,-0.065,-3.8,15823981
28/01/2021,1.72,1.73,1.685,1.71,-0.05,-2.84,15569267
27/01/2021,1.825,1.827,1.745,1.76,-0.095,-5.12,19154636
25/01/2021,1.87,1.885,1.84,1.855,-0.015,-0.8,6300461
22/01/2021,1.91,1.92,1.87,1.87,-0.06,-3.11,7163389
21/01/2021,1.935,1.96,1.91,1.93,-0.01,-0.52,9633810
20/01/2021,1.92,1.975,1.92,1.94,0.04,2.11,8525862
19/01/2021,1.89,1.915,1.88,1.9,-0.01,-0.52,5623234
18/01/2021,1.89,1.91,1.85,1.91,-0.05,-2.55,11627084
15/01/2021,2,2.02,1.96,1.96,-0.01,-0.51,9333929
14/01/2021,2.02,2.02,1.965,1.97,-0.03,-1.5,9077616
13/01/2021,1.96,2.04,1.96,2,0.08,4.17,22613353
12/01/2021,1.93,1.965,1.92,1.92,-0.01,-0.52,11033197
11/01/2021,1.925,1.975,1.917,1.93,0.015,0.78,13177722
08/01/2021,1.9,1.94,1.895,1.915,0.02,1.06,12157418
07/01/2021,1.86,1.9,1.85,1.895,0.065,3.55,12339975
06/01/2021,1.85,1.895,1.82,1.83,0.035,1.95,17701710
05/01/2021,1.815,1.825,1.785,1.795,-0.055,-2.97,10729408
04/01/2021,1.8,1.85,1.8,1.85,0.045,2.49,11576752
31/12/2020,1.82,1.845,1.805,1.805,-0.02,-1.1,6363664
30/12/2020,1.785,1.83,1.77,1.825,0.04,2.24,16013114
29/12/2020,1.87,1.945,1.725,1.785,-0.08,-4.29,32037667
24/12/2020,1.85,1.89,1.847,1.865,0.04,2.19,3779521
23/12/2020,1.79,1.8375,1.79,1.825,0.035,1.96,8876718
22/12/2020,1.82,1.825,1.765,1.79,-0.055,-2.98,10897258
21/12/2020,1.85,1.86,1.83,1.845,-0.03,-1.6,7214908
18/12/2020,1.92,1.945,1.87,1.875,-0.06,-3.1,13239313
17/12/2020,1.92,1.9475,1.905,1.935,0.025,1.31,10271549
16/12/2020,1.9,1.935,1.897,1.91,0.03,1.6,8585740
15/12/2020,1.91,1.91,1.855,1.88,-0.02,-1.05,15287339
14/12/2020,1.89,1.925,1.87,1.9,0.015,0.8,14840405
11/12/2020,1.9,1.96,1.87,1.885,0.015,0.8,13942538
10/12/2020,1.865,1.875,1.83,1.87,0,0,9163206
09/12/2020,1.865,1.8825,1.845,1.87,0.02,1.08,8877123
08/12/2020,1.87,1.88,1.84,1.85,-0.035,-1.86,10621453
07/12/2020,1.87,1.925,1.865,1.885,0.015,0.8,11249801
04/12/2020,1.86,1.88,1.84,1.87,0.015,0.81,9549728
03/12/2020,1.85,1.865,1.825,1.855,0.035,1.92,11277008
02/12/2020,1.775,1.825,1.7425,1.82,0.05,2.82,11986109
01/12/2020,1.74,1.787,1.705,1.77,0.01,0.57,15795959
30/11/2020,1.75,1.785,1.737,1.76,-0.005,-0.28,16142465
27/11/2020,1.815,1.815,1.755,1.765,-0.07,-3.81,24288889
26/11/2020,1.82,1.85,1.78,1.835,0.015,0.82,15003255
25/11/2020,1.975,1.985,1.805,1.82,-0.035,-1.89,31222541
24/11/2020,1.77,1.9075,1.77,1.855,0.14,8.16,53847518
23/11/2020,1.675,1.73,1.655,1.715,0.06,3.63,14514564
20/11/2020,1.685,1.69,1.655,1.655,-0.04,-2.36,16244667
19/11/2020,1.645,1.7,1.625,1.695,0.02,1.19,20665689
18/11/2020,1.67,1.675,1.63,1.675,0.015,0.9,33807314
17/11/2020,1.6,1.6675,1.6,1.66,0.115,7.44,29996012
16/11/2020,1.555,1.56,1.54,1.545,0.015,0.98,877173
13/11/2020,1.525,1.535,1.5,1.53,-0.02,-1.29,14750366
12/11/2020,1.535,1.555,1.49,1.55,0.015,0.98,20044598
11/11/2020,1.475,1.535,1.455,1.535,0.1,6.97,24649202
10/11/2020,1.415,1.45,1.39,1.435,0.185,14.8,48840018
09/11/2020,1.23,1.255,1.225,1.25,0.015,1.21,9684678
06/11/2020,1.24,1.25,1.22,1.235,0.01,0.82,9831279
05/11/2020,1.255,1.265,1.22,1.225,-0.01,-0.81,10230745
04/11/2020,1.255,1.2675,1.205,1.235,0.005,0.41,20677283
03/11/2020,1.19,1.2575,1.19,1.23,0.08,6.96,19967139
02/11/2020,1.185,1.195,1.15,1.15,-0.03,-2.54,11445803
30/10/2020,1.22,1.23,1.18,1.18,-0.03,-2.48,14518299
29/10/2020,1.235,1.235,1.2,1.21,-0.05,-3.97,11771902
28/10/2020,1.28,1.282,1.255,1.26,-0.02,-1.56,8337759
27/10/2020,1.32,1.32,1.27,1.28,-0.055,-4.12,14146629
26/10/2020,1.335,1.365,1.325,1.335,0,0,10905874
23/10/2020,1.34,1.35,1.325,1.335,0.015,1.14,11741665
22/10/2020,1.34,1.34,1.305,1.32,-0.03,-2.22,13003270
21/10/2020,1.345,1.37,1.337,1.35,0.01,0.75,16333145
20/10/2020,1.355,1.37,1.332,1.34,-0.015,-1.11,12723366
19/10/2020,1.385,1.39,1.345,1.355,-0.015,-1.09,15401657
16/10/2020,1.43,1.45,1.36,1.37,-0.04,-2.84,18644014
15/10/2020,1.395,1.43,1.395,1.41,0.015,1.08,27698768
14/10/2020,1.4,1.405,1.36,1.395,-0.005,-0.36,14746696
13/10/2020,1.4,1.415,1.385,1.4,0,0,6514942
12/10/2020,1.415,1.42,1.39,1.4,-0.02,-1.41,5386970
09/10/2020,1.415,1.43,1.4,1.42,0.02,1.43,15768477
08/10/2020,1.39,1.4,1.375,1.4,0.02,1.45,6408002
07/10/2020,1.35,1.39,1.335,1.38,0.025,1.85,14083780
06/10/2020,1.35,1.355,1.31,1.355,0.035,2.65,16860751
05/10/2020,1.28,1.325,1.275,1.32,0.07,5.6,8966691
02/10/2020,1.32,1.325,1.23,1.25,-0.085,-6.37,28118044
01/10/2020,1.34,1.3575,1.335,1.335,0.015,1.14,8550470
30/09/2020,1.365,1.372,1.32,1.32,-0.07,-5.04,20030085
29/09/2020,1.41,1.42,1.3825,1.39,0.005,0.36,8962977
28/09/2020,1.37,1.405,1.355,1.385,0.015,1.09,9429335
25/09/2020,1.34,1.38,1.33,1.37,0.05,3.79,13223633
24/09/2020,1.355,1.37,1.315,1.32,-0.08,-5.71,21098509
23/09/2020,1.38,1.405,1.365,1.4,0.035,2.56,13182950
22/09/2020,1.35,1.37,1.345,1.365,-0.02,-1.44,13905339
21/09/2020,1.39,1.41,1.38,1.385,-0.005,-0.36,9678652
18/09/2020,1.39,1.41,1.375,1.39,0.005,0.36,16364382
17/09/2020,1.38,1.395,1.36,1.385,0.025,1.84,18897737
16/09/2020,1.36,1.365,1.32,1.36,0.005,0.37,21255983
15/09/2020,1.35,1.365,1.3,1.355,0,0,28932413
14/09/2020,1.315,1.355,1.315,1.355,0.05,3.83,12549407
11/09/2020,1.33,1.335,1.3,1.305,-0.045,-3.33,16486038
10/09/2020,1.36,1.38,1.34,1.35,0.015,1.12,23514781
09/09/2020,1.415,1.42,1.33,1.335,-0.135,-9.18,35506016
08/09/2020,1.43,1.495,1.43,1.47,0.05,3.52,12504971
07/09/2020,1.42,1.43,1.405,1.42,-0.005,-0.35,10280158
04/09/2020,1.475,1.475,1.425,1.425,-0.08,-5.32,16849015
03/09/2020,1.44,1.515,1.435,1.505,0.05,3.44,24885123
02/09/2020,1.485,1.487,1.42,1.455,-0.03,-2.02,23398592
01/09/2020,1.49,1.495,1.465,1.485,-0.035,-2.3,12186131
31/08/2020,1.475,1.53,1.46,1.52,0.05,3.4,10597596
28/08/2020,1.5,1.515,1.455,1.47,-0.055,-3.61,13514799
27/08/2020,1.525,1.54,1.495,1.525,-0.015,-0.97,12723580
26/08/2020,1.515,1.55,1.515,1.54,0.015,0.98,10796639
25/08/2020,1.525,1.555,1.515,1.525,0.015,0.99,9122624
24/08/2020,1.5,1.51,1.475,1.51,-0.005,-0.33,21759705
21/08/2020,1.485,1.52,1.455,1.515,0.035,2.36,16094387
20/08/2020,1.525,1.535,1.48,1.48,-0.075,-4.82,20749104
19/08/2020,1.59,1.595,1.54,1.555,-0.035,-2.2,11603749
18/08/2020,1.6,1.62,1.582,1.59,0.01,0.63,19685357
17/08/2020,1.495,1.59,1.49,1.58,0.105,7.12,26974727
14/08/2020,1.45,1.475,1.43,1.475,0.025,1.72,8428436
13/08/2020,1.47,1.485,1.445,1.45,-0.005,-0.34,8782507
12/08/2020,1.43,1.46,1.41,1.455,0.02,1.39,13579207
