Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,28.95,29.09,28.05,28.89,-0.12,-0.41,258639
29/01/2021,29.31,29.7,29.01,29.01,0.04,0.14,232897
28/01/2021,29.16,29.77,28.62,28.97,-1.04,-3.47,303584
27/01/2021,30.25,30.62,29.79,30.01,0.01,0.03,492598
25/01/2021,29.9,30.2,29.7,30,0.3,1.01,139864
22/01/2021,29.13,29.95,29.01,29.7,0.57,1.96,233944
21/01/2021,29.5,29.5,28.79,29.13,0.33,1.15,285552
20/01/2021,27.95,29.01,27.86,28.8,1.02,3.67,614863
19/01/2021,26.64,27.78,26.64,27.78,0.98,3.66,426103
18/01/2021,26.2,27.06,26.2,26.8,0.13,0.49,324820
15/01/2021,26.64,26.92,26.41,26.67,-0.02,-0.07,444594
14/01/2021,25.31,27.03,25.31,26.69,1.16,4.54,481377
13/01/2021,25.24,25.71,25.07,25.53,0,0,482387
12/01/2021,25.38,25.69,25.16,25.53,0.4,1.59,338635
11/01/2021,25.23,25.6,25,25.13,-0.21,-0.83,359154
08/01/2021,24.9,25.39,24.75,25.34,0.75,3.05,363763
07/01/2021,25.48,25.59,24.43,24.59,-0.42,-1.68,270635
06/01/2021,25.51,25.6,24.59,25.01,-0.83,-3.21,390429
05/01/2021,25.63,26.12,25.18,25.84,-0.03,-0.12,405786
04/01/2021,25.57,25.96,25.5,25.87,0.3,1.17,167955
31/12/2020,25.39,25.7,25.3,25.57,0.17,0.67,139927
30/12/2020,25.38,25.45,24.99,25.4,0.08,0.32,135634
29/12/2020,25.31,25.66,25.11,25.32,0.27,1.08,160016
24/12/2020,25.25,25.25,24.73,25.05,0.01,0.04,77849
23/12/2020,24.95,25.31,24.85,25.04,0.34,1.38,138543
22/12/2020,24.9,24.99,24.32,24.7,0.36,1.48,235190
21/12/2020,24.37,24.99,24.18,24.34,-0.03,-0.12,334409
18/12/2020,24.75,24.94,24.37,24.37,-0.29,-1.18,311442
17/12/2020,24.13,24.75,24.06,24.66,0.49,2.03,345236
16/12/2020,24.1,24.48,23.81,24.17,0.24,1,270947
15/12/2020,23.78,24.13,23.27,23.93,0.14,0.59,299162
14/12/2020,23.81,24.15,23.44,23.79,-0.1,-0.42,213327
11/12/2020,24.5,24.7,23.76,23.89,-0.89,-3.59,416127
