Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,16.4,16.68,16.09,16.62,0.03,0.18,2558215
29/01/2021,16.91,17.26,16.27,16.59,0.56,3.49,5031475
28/01/2021,16,16.095,15.78,16.03,-0.29,-1.78,3391539
27/01/2021,16.86,17,16.18,16.32,-0.79,-4.62,5049294
25/01/2021,16.9,17.21,16.9,17.11,0.1,0.59,1099682
22/01/2021,17.01,17.13,16.64,17.01,-0.28,-1.62,1784395
21/01/2021,17.47,17.5,17.1,17.29,-0.11,-0.63,1788782
20/01/2021,17.07,17.48,17.03,17.4,0.39,2.29,2344313
19/01/2021,17.2,17.34,16.98,17.01,-0.26,-1.51,2302366
18/01/2021,17.04,17.33,17.01,17.27,-0.38,-2.15,1985736
15/01/2021,17.78,17.82,17.45,17.65,-0.14,-0.79,2703244
14/01/2021,17.89,17.99,17.585,17.79,-0.33,-1.82,1518189
13/01/2021,18.21,18.45,17.79,18.12,0.02,0.11,1837352
12/01/2021,18.16,18.5,18.06,18.1,-0.35,-1.9,1737030
11/01/2021,18.6,18.7,18.35,18.45,-0.15,-0.81,1105364
08/01/2021,18.8,18.8,18.31,18.6,-0.04,-0.21,1320031
07/01/2021,18.35,18.655,18.29,18.64,0.92,5.19,1619349
06/01/2021,18,18.04,17.52,17.72,-0.03,-0.17,1573404
05/01/2021,17.49,17.98,17.35,17.75,0.16,0.91,1363579
04/01/2021,17.43,17.59,17.31,17.59,0.11,0.63,670624
31/12/2020,17.49,17.78,17.34,17.48,-0.05,-0.29,776233
30/12/2020,17.32,17.53,17.05,17.53,0.14,0.81,831151
29/12/2020,17.29,17.53,17.235,17.39,0.16,0.93,490627
24/12/2020,17.3,17.43,17.22,17.23,-0.11,-0.63,367026
23/12/2020,17.32,17.46,17.21,17.34,-0.07,-0.4,966151
22/12/2020,17.78,17.85,17.32,17.41,-0.34,-1.92,1276920
21/12/2020,17.55,17.75,17.325,17.75,0,0,1543939
18/12/2020,17.4,17.775,17.4,17.75,0.15,0.85,4761355
17/12/2020,17.25,17.72,17.25,17.6,0.35,2.03,2440868
16/12/2020,17.26,17.45,17.14,17.25,0.4,2.37,1986524
15/12/2020,16.93,17.09,16.54,16.85,-0.18,-1.06,3023395
14/12/2020,17.21,17.33,16.985,17.03,-0.37,-2.13,1488044
11/12/2020,17.46,17.66,17.19,17.4,0.09,0.52,2210458
10/12/2020,17.51,17.62,17.26,17.31,-0.41,-2.31,1989744
09/12/2020,17.57,17.78,17.53,17.72,0.22,1.26,2096202
08/12/2020,17.53,17.59,17.29,17.5,-0.1,-0.57,2170769
07/12/2020,17.7,17.8,17.555,17.6,0.11,0.63,1442200
04/12/2020,17.67,17.8,17.42,17.49,-0.2,-1.13,2028246
03/12/2020,17.84,17.84,17.33,17.69,0.26,1.49,2558755
02/12/2020,17.5,17.52,17.215,17.43,0.23,1.34,2864621
01/12/2020,16.93,17.295,16.72,17.2,0.1,0.58,2317443
30/11/2020,17.3,17.43,17.1,17.1,-0.2,-1.16,5128810
27/11/2020,17.07,17.38,17.03,17.3,0,0,1546577
26/11/2020,17.27,17.61,17.19,17.3,-0.01,-0.06,2157176
25/11/2020,17.49,17.73,17.235,17.31,0.13,0.76,2656372
24/11/2020,16.9,17.39,16.9,17.18,0.24,1.42,2158955
23/11/2020,17.35,17.61,16.73,16.94,-0.29,-1.68,3311824
20/11/2020,17.45,17.57,16.99,17.23,-0.49,-2.77,4383518
19/11/2020,17.93,18.24,17.53,17.72,0.89,5.29,5652662
18/11/2020,17,17.26,16.78,16.83,-0.06,-0.36,2586817
17/11/2020,16.32,16.96,16.31,16.89,0.56,3.43,3950375
16/11/2020,16.3,16.38,16.22,16.33,0.17,1.05,80157
13/11/2020,16,16.21,15.81,16.16,-0.13,-0.8,1785880
12/11/2020,16.43,16.55,16.21,16.29,-0.16,-0.97,3156623
11/11/2020,16.42,16.48,16.24,16.45,0.25,1.54,2766846
10/11/2020,16,16.28,15.92,16.2,0.31,1.95,4180416
09/11/2020,15.54,15.97,15.405,15.89,0.66,4.33,2612604
06/11/2020,14.84,15.28,14.77,15.23,0.39,2.63,2630200
05/11/2020,14.8,14.93,14.59,14.84,-0.08,-0.54,4425638
04/11/2020,14.86,15.06,14.55,14.92,0.14,0.95,2524552
03/11/2020,14.69,14.79,14.51,14.78,0.16,1.09,2900055
02/11/2020,14.55,14.8,14.47,14.62,-0.04,-0.27,2109651
30/10/2020,14.91,15.11,14.64,14.66,-0.23,-1.54,3406987
29/10/2020,14.95,15.295,14.61,14.89,-0.42,-2.74,5085487
28/10/2020,15.29,15.375,15.12,15.31,-0.21,-1.35,2605511
27/10/2020,15.73,15.79,15.31,15.52,-0.48,-3,4163670
26/10/2020,16,16.08,15.71,16,0.08,0.5,3289426
23/10/2020,15.5,16.48,15.48,15.92,1.56,10.86,9769982
22/10/2020,14.45,14.55,14.27,14.36,-0.31,-2.11,2325278
21/10/2020,14.58,14.72,14.58,14.67,0.1,0.69,2137215
20/10/2020,14.85,14.88,14.515,14.57,-0.2,-1.35,4896567
19/10/2020,14.71,14.86,14.695,14.77,0.19,1.3,6099005
