Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.01,3.06,2.95,3.01,-0.02,-0.66,1261782
29/01/2021,3.1,3.13,3.025,3.03,-0.05,-1.62,1198845
28/01/2021,3.15,3.15,3.05,3.08,-0.1,-3.14,1199718
27/01/2021,3.19,3.24,3.18,3.18,0,0,1493666
25/01/2021,3.2,3.21,3.125,3.18,-0.02,-0.62,1165529
22/01/2021,3.15,3.2,3.11,3.2,0.03,0.95,1654883
21/01/2021,3.12,3.17,3.08,3.17,0.09,2.92,1928480
20/01/2021,2.97,3.105,2.96,3.08,0.12,4.05,3035047
19/01/2021,2.9,2.97,2.88,2.96,0.07,2.42,2159703
18/01/2021,2.95,2.96,2.87,2.89,-0.07,-2.36,1847863
15/01/2021,3.01,3.09,2.96,2.96,-0.02,-0.67,3034080
14/01/2021,2.93,3.01,2.9,2.98,0.07,2.41,2004967
13/01/2021,2.87,2.92,2.86,2.91,0.02,0.69,1289547
12/01/2021,2.9,2.91,2.86,2.89,-0.01,-0.34,1762298
11/01/2021,2.95,2.97,2.87,2.9,-0.07,-2.36,5239867
08/01/2021,3,3.02,2.97,2.97,0.01,0.34,1985441
07/01/2021,3.03,3.07,2.95,2.96,-0.06,-1.99,3324346
06/01/2021,3.17,3.2,3.01,3.02,-0.15,-4.73,2820081
05/01/2021,3.23,3.23,3.17,3.17,-0.08,-2.46,1668843
04/01/2021,3.22,3.27,3.21,3.25,0.03,0.93,1652467
31/12/2020,3.27,3.29,3.21,3.22,-0.05,-1.53,903846
30/12/2020,3.35,3.35,3.25,3.27,-0.09,-2.68,1745257
29/12/2020,3.27,3.38,3.24,3.36,0.13,4.02,2757398
24/12/2020,3.29,3.305,3.23,3.23,-0.01,-0.31,1864656
23/12/2020,3.19,3.29,3.19,3.24,0.05,1.57,2518289
22/12/2020,3.29,3.32,3.15,3.19,-0.11,-3.33,3404529
21/12/2020,3.41,3.41,3.29,3.3,-0.1,-2.94,1530649
18/12/2020,3.48,3.48,3.35,3.4,-0.04,-1.16,2453010
17/12/2020,3.37,3.44,3.32,3.44,0.13,3.93,2191425
16/12/2020,3.38,3.38,3.29,3.31,0.03,0.91,2582756
15/12/2020,3.38,3.38,3.27,3.28,-0.02,-0.61,2825760
14/12/2020,3.2,3.39,3.17,3.3,0.13,4.1,4118899
11/12/2020,3.26,3.285,3.155,3.17,-0.09,-2.76,3377311
10/12/2020,3.3,3.32,3.25,3.26,-0.07,-2.1,2496221
09/12/2020,3.38,3.42,3.32,3.33,-0.03,-0.89,2101051
08/12/2020,3.32,3.45,3.3,3.36,0.03,0.9,3239090
07/12/2020,3.27,3.36,3.27,3.33,0.07,2.15,2554622
04/12/2020,3.31,3.34,3.26,3.26,-0.05,-1.51,1248140
03/12/2020,3.33,3.34,3.255,3.31,-0.02,-0.6,2066619
02/12/2020,3.49,3.49,3.33,3.33,-0.13,-3.76,2614998
01/12/2020,3.37,3.475,3.35,3.46,0.11,3.28,2082527
30/11/2020,3.31,3.36,3.29,3.35,0.06,1.82,1747560
27/11/2020,3.36,3.37,3.275,3.29,-0.05,-1.5,2284321
26/11/2020,3.35,3.42,3.33,3.34,-0.01,-0.3,2706315
25/11/2020,3.47,3.54,3.335,3.35,-0.08,-2.33,3981919
24/11/2020,3.39,3.47,3.36,3.43,0.13,3.94,4726343
23/11/2020,3.32,3.35,3.26,3.3,0.01,0.3,2527352
20/11/2020,3.34,3.42,3.26,3.29,-0.01,-0.3,3779803
19/11/2020,3.33,3.33,3.24,3.3,-0.03,-0.9,3921540
18/11/2020,3.27,3.35,3.25,3.33,0.06,1.83,2425632
17/11/2020,3.29,3.37,3.25,3.27,0.03,0.93,4780452
16/11/2020,3.2,3.28,3.2,3.24,0.05,1.57,228191
13/11/2020,3.19,3.2,3.12,3.19,-0.02,-0.62,2790764
12/11/2020,3.18,3.24,3.16,3.21,0.08,2.56,3509625
11/11/2020,3.05,3.13,3.02,3.13,0.1,3.3,3489695
10/11/2020,3.06,3.1,2.99,3.03,0.04,1.34,6279080
09/11/2020,2.95,3.02,2.91,2.99,0.06,2.05,2532882
06/11/2020,3.04,3.06,2.91,2.93,-0.07,-2.33,3731218
05/11/2020,3.07,3.1,2.98,3,-0.05,-1.64,3749352
04/11/2020,3,3.07,2.95,3.05,0.08,2.69,3379720
03/11/2020,2.9,3.01,2.9,2.97,0.09,3.12,3732104
02/11/2020,2.93,2.93,2.85,2.88,-0.05,-1.71,2472739
30/10/2020,3.01,3.06,2.93,2.93,-0.06,-2.01,2550096
29/10/2020,3.03,3.05,2.97,2.99,-0.08,-2.61,3756689
28/10/2020,3.12,3.15,3.05,3.07,-0.06,-1.92,3977517
27/10/2020,3.31,3.31,3.11,3.13,-0.17,-5.15,5952267
26/10/2020,3.29,3.41,3.29,3.3,0.03,0.92,3407284
23/10/2020,3.29,3.29,3.23,3.27,-0.03,-0.91,2655686
22/10/2020,3.28,3.31,3.26,3.3,0.02,0.61,2003681
21/10/2020,3.35,3.38,3.27,3.28,-0.05,-1.5,3247596
20/10/2020,3.33,3.345,3.29,3.33,-0.01,-0.3,1809803
19/10/2020,3.32,3.405,3.32,3.34,0.04,1.21,2313402
16/10/2020,3.38,3.415,3.28,3.3,-0.08,-2.37,3563162
15/10/2020,3.51,3.53,3.38,3.38,-0.13,-3.7,3260257
14/10/2020,3.54,3.58,3.505,3.51,-0.05,-1.4,2998164
13/10/2020,3.72,3.75,3.55,3.56,-0.12,-3.26,3437302
12/10/2020,3.47,3.69,3.46,3.68,0.3,8.88,4637130
09/10/2020,3.46,3.49,3.37,3.38,-0.07,-2.03,3095812
08/10/2020,3.51,3.52,3.44,3.45,-0.05,-1.43,2101696
07/10/2020,3.5,3.55,3.465,3.5,0,0,2560547
06/10/2020,3.51,3.54,3.455,3.5,0.04,1.16,1510923
05/10/2020,3.49,3.49,3.42,3.46,0.05,1.47,681548
02/10/2020,3.49,3.52,3.41,3.41,-0.06,-1.73,2574510
01/10/2020,3.47,3.54,3.47,3.47,0.07,2.06,2600735
30/09/2020,3.57,3.59,3.4,3.4,-0.2,-5.56,2718408
29/09/2020,3.56,3.63,3.53,3.6,0.09,2.56,1774671
28/09/2020,3.49,3.565,3.48,3.51,0.06,1.74,2888677
25/09/2020,3.48,3.48,3.41,3.45,-0.02,-0.58,1733468
24/09/2020,3.51,3.52,3.45,3.47,-0.04,-1.14,1789142
23/09/2020,3.46,3.52,3.43,3.51,0.1,2.93,3658090
22/09/2020,3.4,3.46,3.37,3.41,-0.01,-0.29,2460339
21/09/2020,3.44,3.45,3.39,3.42,-0.01,-0.29,1695380
18/09/2020,3.4,3.48,3.4,3.43,0.03,0.88,2471501
17/09/2020,3.43,3.43,3.38,3.4,-0.04,-1.16,1735800
16/09/2020,3.46,3.5,3.4,3.44,0.05,1.47,3610927
15/09/2020,3.35,3.395,3.33,3.39,0.11,3.35,1992430
14/09/2020,3.35,3.38,3.26,3.28,-0.06,-1.8,11615131
11/09/2020,3.35,3.4,3.33,3.34,-0.02,-0.6,3594482
10/09/2020,3.44,3.49,3.34,3.36,-0.01,-0.3,5132480
09/09/2020,3.41,3.43,3.33,3.37,-0.1,-2.88,4501954
08/09/2020,3.5,3.52,3.42,3.47,-0.01,-0.29,1690715
07/09/2020,3.51,3.53,3.46,3.48,-0.05,-1.42,1656063
04/09/2020,3.5,3.6,3.45,3.53,-0.17,-4.59,9087279
03/09/2020,3.74,3.79,3.69,3.7,-0.03,-0.8,1738747
02/09/2020,3.67,3.75,3.64,3.73,0.11,3.04,6666548
01/09/2020,3.68,3.73,3.56,3.62,-0.05,-1.36,2998710
31/08/2020,3.59,3.68,3.52,3.67,0.1,2.8,3693141
28/08/2020,3.52,3.61,3.51,3.57,0.06,1.71,4730860
27/08/2020,3.7,3.7,3.46,3.51,-0.23,-6.15,14382783
26/08/2020,4.03,4.03,3.55,3.74,-0.58,-13.43,17330064
25/08/2020,4.4,4.42,4.23,4.32,-0.08,-1.82,1967470
24/08/2020,4.23,4.4,4.23,4.4,0.17,4.02,1287672
21/08/2020,4.23,4.33,4.17,4.23,0.09,2.17,1353908
20/08/2020,4.3,4.3,4.12,4.14,-0.14,-3.27,2088519
19/08/2020,4.23,4.35,4.16,4.28,0.09,2.15,3943294
18/08/2020,4.13,4.28,4.07,4.19,0.08,1.95,7882489
17/08/2020,4.12,4.165,4.07,4.11,-0.01,-0.24,1410807
14/08/2020,4.17,4.23,4.1,4.12,-0.04,-0.96,1196123
13/08/2020,4.22,4.25,4.13,4.16,0.01,0.24,1109935
12/08/2020,4.11,4.16,4.05,4.15,-0.02,-0.48,1608452
11/08/2020,4.26,4.29,4.13,4.17,-0.09,-2.11,2484768
10/08/2020,4.17,4.29,4.15,4.26,0.09,2.16,1091582
07/08/2020,4.26,4.3,4.16,4.17,-0.08,-1.88,1045524
06/08/2020,4.27,4.33,4.22,4.25,-0.02,-0.47,951129
05/08/2020,4.27,4.35,4.23,4.27,0,0,9467952
04/08/2020,4.29,4.35,4.245,4.27,0.09,2.15,2493168
03/08/2020,4.16,4.23,4.12,4.18,0,0,2294951
31/07/2020,4.36,4.37,4.15,4.18,-0.16,-3.69,1317638
30/07/2020,4.29,4.355,4.25,4.34,0.09,2.12,600435
29/07/2020,4.33,4.35,4.22,4.25,-0.11,-2.52,1736134
28/07/2020,4.49,4.525,4.36,4.36,-0.11,-2.46,564557
27/07/2020,4.34,4.48,4.33,4.47,0.13,3,953155
24/07/2020,4.43,4.44,4.31,4.34,-0.15,-3.34,1024995
23/07/2020,4.44,4.555,4.38,4.49,0.05,1.13,1225205
22/07/2020,4.57,4.57,4.36,4.44,-0.18,-3.9,1198343
21/07/2020,4.55,4.66,4.5,4.62,0.17,3.82,1502690
20/07/2020,4.4,4.45,4.36,4.45,0.07,1.6,790971
17/07/2020,4.42,4.44,4.3,4.38,-0.03,-0.68,624792
16/07/2020,4.47,4.48,4.39,4.41,-0.03,-0.68,666968
15/07/2020,4.41,4.45,4.37,4.44,0.06,1.37,1257113
14/07/2020,4.46,4.5,4.33,4.38,-0.09,-2.01,1652127
13/07/2020,4.63,4.66,4.39,4.47,-0.09,-1.97,2154343
10/07/2020,4.64,4.69,4.505,4.56,-0.06,-1.3,1027716
09/07/2020,4.61,4.675,4.56,4.62,0.05,1.09,2264293
08/07/2020,4.69,4.71,4.57,4.57,-0.09,-1.93,1038086
07/07/2020,4.7,4.74,4.63,4.66,0.02,0.43,1717396
06/07/2020,4.61,4.73,4.6,4.64,0.06,1.31,1337846
03/07/2020,4.58,4.63,4.52,4.58,0.03,0.66,1556472
02/07/2020,4.4,4.59,4.26,4.55,0.21,4.84,1712149
01/07/2020,4.52,4.58,4.29,4.34,-0.16,-3.56,2448492
30/06/2020,4.5,4.59,4.45,4.5,0.19,4.41,2655398
29/06/2020,4.28,4.37,4.23,4.31,-0.02,-0.46,2881769
26/06/2020,4.2,4.35,4.19,4.33,0.16,3.84,5657214
25/06/2020,4.22,4.27,4.16,4.17,-0.13,-3.02,1049490
24/06/2020,4.41,4.43,4.28,4.3,-0.02,-0.46,1327395
23/06/2020,4.4,4.5,4.255,4.32,0.02,0.47,1078943
22/06/2020,4.34,4.34,4.17,4.3,-0.08,-1.83,2588477
19/06/2020,4.42,4.48,4.37,4.38,0,0,1103590
18/06/2020,4.43,4.48,4.33,4.38,-0.07,-1.57,1382649
17/06/2020,4.45,4.54,4.38,4.45,0.02,0.45,976979
16/06/2020,4.35,4.51,4.335,4.43,0.22,5.23,1704939
15/06/2020,4.33,4.39,4.21,4.21,-0.15,-3.44,1428508
12/06/2020,4.45,4.47,4.24,4.36,-0.23,-5.01,2578980
11/06/2020,4.7,4.86,4.56,4.59,-0.16,-3.37,2045751
10/06/2020,4.75,4.84,4.65,4.75,-0.01,-0.21,2691226
09/06/2020,4.61,4.76,4.61,4.76,0.18,3.93,18982461
05/06/2020,4.78,4.78,4.55,4.58,-0.19,-3.98,2068352
04/06/2020,4.88,4.95,4.73,4.77,-0.06,-1.24,1472470
03/06/2020,4.9,4.94,4.75,4.83,-0.02,-0.41,1331708
02/06/2020,4.9,4.95,4.84,4.85,-0.04,-0.82,919817
01/06/2020,4.81,4.94,4.8,4.89,0.04,0.82,590398
29/05/2020,4.77,4.9,4.76,4.85,0.05,1.04,846000
28/05/2020,4.91,4.94,4.76,4.8,-0.12,-2.44,2142343
