Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.3,4.34,4.25,4.31,0.01,0.23,1053977
29/01/2021,4.33,4.355,4.28,4.3,0.02,0.47,1125885
28/01/2021,4.28,4.33,4.185,4.28,-0.03,-0.7,2242353
27/01/2021,4.31,4.39,4.27,4.31,-0.03,-0.69,1990019
25/01/2021,4.31,4.35,4.3,4.34,0.04,0.93,750281
22/01/2021,4.24,4.33,4.23,4.3,0.03,0.7,920663
21/01/2021,4.26,4.29,4.21,4.27,0.02,0.47,1699063
20/01/2021,4.31,4.37,4.25,4.25,-0.13,-2.97,1154839
19/01/2021,4.33,4.385,4.32,4.38,0.08,1.86,975220
18/01/2021,4.27,4.31,4.27,4.3,0.03,0.7,733294
15/01/2021,4.28,4.31,4.24,4.27,-0.01,-0.23,950385
14/01/2021,4.33,4.33,4.26,4.28,0.01,0.23,980166
13/01/2021,4.26,4.33,4.19,4.27,-0.02,-0.47,2327256
12/01/2021,4.34,4.37,4.29,4.29,-0.05,-1.15,1461647
11/01/2021,4.41,4.45,4.33,4.34,-0.05,-1.14,1222523
08/01/2021,4.37,4.41,4.31,4.39,0.04,0.92,1480463
07/01/2021,4.45,4.47,4.33,4.35,-0.08,-1.81,2350941
06/01/2021,4.43,4.46,4.38,4.43,-0.03,-0.67,1039528
05/01/2021,4.41,4.47,4.365,4.46,0.01,0.22,1035475
04/01/2021,4.45,4.475,4.42,4.45,0.03,0.68,866763
31/12/2020,4.48,4.5,4.42,4.42,-0.05,-1.12,910590
30/12/2020,4.45,4.47,4.41,4.47,-0.06,-1.32,1071870
29/12/2020,4.55,4.58,4.5,4.53,-0.01,-0.22,934371
24/12/2020,4.43,4.59,4.42,4.54,0.12,2.71,1659756
23/12/2020,4.32,4.435,4.32,4.42,0.06,1.38,1269294
22/12/2020,4.32,4.39,4.32,4.36,0,0,1021747
21/12/2020,4.36,4.39,4.3,4.36,-0.01,-0.23,1853498
18/12/2020,4.39,4.42,4.37,4.37,-0.05,-1.13,2720347
17/12/2020,4.38,4.43,4.38,4.42,0.04,0.91,1970304
16/12/2020,4.39,4.41,4.36,4.38,-0.01,-0.23,1183348
15/12/2020,4.37,4.4,4.35,4.39,0.02,0.46,1048800
14/12/2020,4.31,4.395,4.31,4.37,0.01,0.23,1045456
11/12/2020,4.29,4.38,4.26,4.36,0.06,1.4,1591713
10/12/2020,4.29,4.32,4.26,4.3,-0.01,-0.23,1893213
09/12/2020,4.35,4.37,4.29,4.31,-0.04,-0.92,1689567
08/12/2020,4.34,4.4,4.32,4.35,0,0,1713412
07/12/2020,4.33,4.39,4.33,4.35,0.02,0.46,1326460
04/12/2020,4.33,4.34,4.29,4.33,0,0,941575
03/12/2020,4.3,4.35,4.28,4.33,0.02,0.46,1080101
02/12/2020,4.3,4.32,4.275,4.31,-0.01,-0.23,1242845
01/12/2020,4.35,4.365,4.29,4.32,0.01,0.23,969338
30/11/2020,4.33,4.35,4.26,4.31,-0.03,-0.69,2155578
27/11/2020,4.26,4.34,4.25,4.34,0.07,1.64,646043
26/11/2020,4.29,4.3,4.26,4.27,-0.02,-0.47,868725
25/11/2020,4.29,4.29,4.25,4.29,0.02,0.47,1369317
24/11/2020,4.25,4.29,4.22,4.27,0.03,0.71,1311523
23/11/2020,4.3,4.3,4.23,4.24,-0.05,-1.17,525360
20/11/2020,4.26,4.3,4.26,4.29,0.02,0.47,961904
19/11/2020,4.2,4.27,4.18,4.27,0.03,0.71,1068573
18/11/2020,4.25,4.28,4.22,4.24,0,0,1222920
17/11/2020,4.29,4.29,4.2,4.24,-0.01,-0.24,1781160
16/11/2020,4.3,4.3,4.25,4.25,0.03,0.71,51537
13/11/2020,4.29,4.32,4.205,4.22,-0.06,-1.4,2020655
12/11/2020,4.28,4.32,4.26,4.28,0,0,1542006
11/11/2020,4.23,4.29,4.21,4.28,0.1,2.39,2480386
10/11/2020,4.22,4.28,4.16,4.18,-0.01,-0.24,1726646
09/11/2020,4.19,4.21,4.17,4.19,0,0,1036630
06/11/2020,4.22,4.26,4.15,4.19,0,0,1007044
05/11/2020,4.18,4.22,4.16,4.19,0.04,0.96,788735
04/11/2020,4.12,4.18,4.09,4.15,0.06,1.47,1400437
03/11/2020,4.05,4.105,4.04,4.09,0.06,1.49,1494260
02/11/2020,4.01,4.05,4,4.03,0.02,0.5,1145306
30/10/2020,4.03,4.04,4,4.01,-0.03,-0.74,1438219
29/10/2020,4.02,4.065,4.01,4.04,-0.03,-0.74,760068
28/10/2020,4.06,4.09,4.03,4.07,-0.01,-0.25,1115920
27/10/2020,4.12,4.13,4.065,4.08,-0.06,-1.45,972107
26/10/2020,4.11,4.15,4.09,4.14,0.03,0.73,674753
23/10/2020,4.1,4.13,4.07,4.11,0,0,850658
22/10/2020,4.08,4.11,4.05,4.11,0,0,961193
21/10/2020,4.11,4.14,4.09,4.11,0,0,1005113
20/10/2020,4.08,4.12,4.06,4.11,0.02,0.49,793250
19/10/2020,4.11,4.13,4.08,4.09,-0.01,-0.24,839072
16/10/2020,4.19,4.2,4.08,4.1,-0.09,-2.15,1913215
15/10/2020,4.13,4.2,4.1,4.19,0.07,1.7,1120358
14/10/2020,4.1,4.135,4.075,4.12,0.01,0.24,889112
13/10/2020,4.11,4.145,4.09,4.11,0.03,0.74,1009990
12/10/2020,4.08,4.11,4.05,4.08,0,0,849679
09/10/2020,4.12,4.14,4.08,4.08,-0.03,-0.73,1116351
08/10/2020,4.13,4.14,4.1,4.11,-0.04,-0.96,1220607
07/10/2020,4.12,4.17,4.11,4.15,0.03,0.73,2790857
06/10/2020,4.12,4.14,4.07,4.12,0,0,807999
05/10/2020,4.1,4.16,4.07,4.12,0.07,1.73,701052
02/10/2020,4.07,4.1,4.03,4.05,-0.02,-0.49,1152007
01/10/2020,4.02,4.11,4.02,4.07,0.03,0.74,1144751
30/09/2020,4.11,4.14,4.01,4.04,-0.09,-2.18,2017284
29/09/2020,4.18,4.19,4.125,4.13,0,0,1302460
28/09/2020,4.1,4.16,4.08,4.13,0.02,0.49,929968
25/09/2020,4.06,4.13,4.06,4.11,0.05,1.23,1251091
24/09/2020,4.01,4.06,4,4.06,0.01,0.25,1968960
23/09/2020,4.09,4.1,4.02,4.05,0,0,3065960
22/09/2020,4.02,4.06,4,4.05,-0.03,-0.74,1682997
21/09/2020,4.06,4.105,4,4.08,0.02,0.49,2022256
18/09/2020,4.15,4.16,4.06,4.06,-0.09,-2.17,4171008
17/09/2020,4.15,4.17,4.12,4.15,0.05,1.22,2639547
16/09/2020,4,4.12,3.97,4.1,0.11,2.76,2040174
15/09/2020,3.97,4,3.95,3.99,0.03,0.76,1364088
14/09/2020,3.99,3.99,3.93,3.96,-0.01,-0.25,1324788
11/09/2020,3.96,3.99,3.95,3.97,-0.03,-0.75,812008
10/09/2020,4.02,4.07,3.97,4,-0.01,-0.25,1520086
09/09/2020,3.98,4.03,3.975,4.01,-0.03,-0.74,1679173
08/09/2020,3.97,4.04,3.97,4.04,0.06,1.51,1622354
07/09/2020,3.98,4.02,3.94,3.98,-0.01,-0.25,1220262
04/09/2020,3.98,4.05,3.975,3.99,-0.07,-1.72,1442187
03/09/2020,4.04,4.07,4,4.06,0.05,1.25,2468717
02/09/2020,4.03,4.03,3.98,4.01,0.02,0.5,1482787
01/09/2020,4.03,4.05,3.98,3.99,-0.07,-1.72,3039994
31/08/2020,4.05,4.07,4.04,4.06,0.02,0.5,851684
28/08/2020,3.98,4.05,3.97,4.04,0.06,1.51,2304276
27/08/2020,3.96,4,3.94,3.98,0,0,1034286
26/08/2020,4,4.01,3.94,3.98,-0.02,-0.5,1410709
25/08/2020,4.02,4.02,3.95,4,0.01,0.25,1157154
24/08/2020,3.96,4.01,3.96,3.99,0.02,0.5,832945
21/08/2020,3.99,4.015,3.95,3.97,0.03,0.76,1019484
20/08/2020,3.95,3.96,3.91,3.94,-0.02,-0.51,1570192
19/08/2020,4.03,4.03,3.95,3.96,-0.12,-2.94,2475531
18/08/2020,4.02,4.09,3.99,4.08,0.07,1.75,1398885
17/08/2020,4.01,4.05,3.98,4.01,-0.02,-0.5,1784013
14/08/2020,3.99,4.07,3.96,4.03,0.06,1.51,2685867
13/08/2020,4,4.03,3.96,3.97,-0.02,-0.5,1375650
12/08/2020,3.96,4,3.95,3.99,0.02,0.5,1068581
11/08/2020,3.95,3.98,3.92,3.97,0.02,0.51,1334269
10/08/2020,3.96,3.98,3.92,3.95,0.04,1.02,806318
07/08/2020,3.96,3.98,3.88,3.91,-0.08,-2.01,1105858
06/08/2020,3.97,4,3.93,3.99,0.04,1.01,2086615
05/08/2020,3.94,4,3.92,3.95,-0.03,-0.75,1882637
04/08/2020,3.87,3.99,3.8,3.98,0.15,3.92,2312864
03/08/2020,3.84,3.87,3.81,3.83,-0.02,-0.52,1829408
31/07/2020,3.92,3.92,3.81,3.85,-0.07,-1.79,1883833
30/07/2020,3.95,3.95,3.9,3.92,-0.01,-0.25,953891
29/07/2020,3.97,4,3.9,3.93,-0.01,-0.25,1442193
28/07/2020,3.97,4.02,3.92,3.94,-0.03,-0.76,2166074
27/07/2020,3.9,3.97,3.895,3.97,0.06,1.53,995269
24/07/2020,3.94,3.94,3.89,3.91,-0.03,-0.76,863923
23/07/2020,3.93,3.96,3.9,3.94,0.01,0.25,1728981
22/07/2020,3.89,3.945,3.88,3.93,0.01,0.26,976743
21/07/2020,3.88,3.92,3.86,3.92,0.02,0.51,1211815
20/07/2020,3.95,3.95,3.9,3.9,-0.02,-0.51,539718
17/07/2020,3.92,3.93,3.89,3.92,0.02,0.51,597130
16/07/2020,3.98,3.99,3.88,3.9,-0.06,-1.52,1343910
15/07/2020,3.91,3.96,3.91,3.96,0.07,1.8,1116449
14/07/2020,3.91,3.96,3.87,3.89,-0.02,-0.51,962843
13/07/2020,3.88,3.95,3.88,3.91,0.08,2.09,1463162
10/07/2020,3.82,3.86,3.81,3.83,0.02,0.52,729383
09/07/2020,3.86,3.89,3.81,3.81,0,0,1091064
08/07/2020,3.9,3.93,3.8,3.81,-0.07,-1.8,1652236
07/07/2020,3.91,3.95,3.86,3.88,-0.02,-0.51,1098728
06/07/2020,3.92,3.985,3.9,3.9,-0.01,-0.26,707755
03/07/2020,3.94,3.97,3.9,3.91,-0.03,-0.76,882910
02/07/2020,3.9,3.945,3.875,3.94,0.08,2.07,1173599
01/07/2020,3.87,3.93,3.84,3.86,0.03,0.78,1319666
30/06/2020,3.95,4,3.82,3.83,-0.04,-1.03,2229146
29/06/2020,3.89,3.92,3.82,3.87,-0.12,-3.01,1371761
26/06/2020,4.07,4.09,3.945,3.99,-0.03,-0.75,1754168
25/06/2020,3.88,4.08,3.87,4.02,0.1,2.55,2971725
24/06/2020,3.91,3.945,3.87,3.92,0.02,0.51,1013778
23/06/2020,3.9,3.94,3.85,3.9,0.03,0.78,1825022
22/06/2020,3.94,3.94,3.84,3.87,-0.07,-1.78,1306900
19/06/2020,3.89,3.96,3.88,3.94,0.12,3.14,4198191
18/06/2020,3.93,3.93,3.82,3.82,-0.12,-3.05,2558994
17/06/2020,3.9,3.94,3.84,3.94,0.09,2.34,1809617
16/06/2020,3.82,3.89,3.78,3.85,0.09,2.39,1865286
15/06/2020,3.79,3.84,3.76,3.76,-0.05,-1.31,1133630
12/06/2020,3.79,3.83,3.74,3.81,-0.04,-1.04,1507912
11/06/2020,3.89,3.94,3.83,3.85,-0.15,-3.75,1773567
10/06/2020,3.97,4.05,3.92,4,0.05,1.27,2153918
09/06/2020,3.88,3.99,3.86,3.95,0.18,4.77,2655478
05/06/2020,3.81,3.81,3.75,3.77,-0.05,-1.31,1137393
04/06/2020,3.73,3.83,3.7,3.82,0.11,2.96,2916838
03/06/2020,3.7,3.74,3.68,3.71,0.03,0.82,2281557
02/06/2020,3.71,3.725,3.65,3.68,-0.01,-0.27,2015787
01/06/2020,3.73,3.77,3.66,3.69,-0.09,-2.38,1805518
29/05/2020,3.85,3.87,3.75,3.78,-0.08,-2.07,2897975
28/05/2020,3.88,3.92,3.83,3.86,0,0,1744040
27/05/2020,3.84,3.895,3.745,3.86,0.03,0.78,1635305
26/05/2020,3.69,3.84,3.66,3.83,0.15,4.08,1675535
25/05/2020,3.67,3.68,3.59,3.68,0.06,1.66,1213735
22/05/2020,3.63,3.66,3.6,3.62,0.02,0.56,1349747
21/05/2020,3.61,3.63,3.55,3.6,0.03,0.84,1779237
20/05/2020,3.52,3.59,3.49,3.57,0.05,1.42,941780
19/05/2020,3.59,3.6,3.52,3.52,0.02,0.57,1135506
18/05/2020,3.49,3.56,3.48,3.5,0.02,0.57,1189684
15/05/2020,3.47,3.53,3.43,3.48,0.01,0.29,1200058
14/05/2020,3.4,3.49,3.36,3.47,-0.02,-0.57,1765755
13/05/2020,3.47,3.52,3.4,3.49,-0.07,-1.97,2074665
12/05/2020,3.55,3.59,3.46,3.56,0,0,2180675
11/05/2020,3.52,3.56,3.47,3.56,0.05,1.42,1464121
08/05/2020,3.57,3.61,3.495,3.51,-0.03,-0.85,1504845
07/05/2020,3.56,3.6,3.54,3.54,-0.01,-0.28,2199344
06/05/2020,3.6,3.6,3.505,3.55,-0.02,-0.56,1480962
05/05/2020,3.55,3.63,3.53,3.57,0.07,2,1538809
04/05/2020,3.41,3.53,3.35,3.5,0.06,1.74,2094819
01/05/2020,3.5,3.55,3.44,3.44,-0.09,-2.55,2527736
30/04/2020,3.47,3.57,3.44,3.53,0.1,2.92,1967065
29/04/2020,3.43,3.47,3.41,3.43,-0.01,-0.29,1070784
28/04/2020,3.5,3.53,3.425,3.44,0.02,0.58,1742967
27/04/2020,3.34,3.46,3.34,3.42,0.09,2.7,1668947
24/04/2020,3.31,3.38,3.31,3.33,-0.01,-0.3,979742
23/04/2020,3.32,3.42,3.3,3.34,0.02,0.6,2101221
22/04/2020,3.28,3.34,3.27,3.32,0,0,1645189
21/04/2020,3.41,3.46,3.32,3.32,-0.15,-4.32,1949265
20/04/2020,3.45,3.5,3.41,3.47,-0.02,-0.57,1747132
17/04/2020,3.52,3.61,3.49,3.49,0.04,1.16,2235737
16/04/2020,3.35,3.45,3.31,3.45,0.02,0.58,2031376
15/04/2020,3.45,3.46,3.33,3.43,0.03,0.88,2292403
14/04/2020,3.41,3.43,3.32,3.4,-0.03,-0.87,2404067
09/04/2020,3.34,3.43,3.33,3.43,0.06,1.78,1250488
08/04/2020,3.38,3.42,3.28,3.37,-0.05,-1.46,2378834
07/04/2020,3.41,3.51,3.39,3.42,0.07,2.09,2463764
06/04/2020,3.2,3.35,3.18,3.35,0.18,5.68,1533681
03/04/2020,3.19,3.23,3.13,3.17,0,0,2115862
02/04/2020,3.15,3.235,3.14,3.17,-0.12,-3.65,1517831
01/04/2020,3.34,3.44,3.23,3.29,-0.06,-1.79,2760195
31/03/2020,3.34,3.42,3.255,3.35,0.05,1.52,3753003
30/03/2020,3.24,3.3,3.11,3.3,0,0,2627436
27/03/2020,3.45,3.52,3.23,3.3,-0.12,-3.51,3224412
26/03/2020,3.32,3.48,3.25,3.42,0.19,5.88,2569740
25/03/2020,3.46,3.49,3.08,3.23,-0.02,-0.62,3909874
24/03/2020,2.74,3.29,2.73,3.25,0.52,19.05,5073687
23/03/2020,2.74,2.96,2.59,2.73,-0.1,-3.53,3574216
20/03/2020,2.96,3.12,2.83,2.83,-0.07,-2.41,5223016
19/03/2020,2.9,3.06,2.855,2.9,-0.02,-0.68,4683541
18/03/2020,3.18,3.34,2.92,2.92,-0.34,-10.43,5300610
17/03/2020,3.07,3.3,3.07,3.26,0.09,2.84,5229765
16/03/2020,3.31,3.38,3.17,3.17,-0.29,-8.38,3998890
13/03/2020,3.2,3.46,3.16,3.46,0.11,3.28,5024674
12/03/2020,3.57,3.59,3.35,3.35,-0.25,-6.94,3850165
11/03/2020,3.6,3.66,3.59,3.6,-0.03,-0.83,2353558
10/03/2020,3.55,3.63,3.51,3.63,0.01,0.28,2890622
09/03/2020,3.66,3.72,3.62,3.62,-0.13,-3.47,2169164
06/03/2020,3.82,3.84,3.75,3.75,-0.1,-2.6,1622422
05/03/2020,3.8,3.88,3.8,3.85,0.06,1.58,1648602
04/03/2020,3.75,3.81,3.75,3.79,-0.02,-0.52,1255603
03/03/2020,3.75,3.82,3.75,3.81,0.07,1.87,2375660
02/03/2020,3.74,3.77,3.68,3.74,-0.05,-1.32,2211013
28/02/2020,3.83,3.85,3.74,3.79,-0.09,-2.32,2301767
