Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,10.55,10.66,10.44,10.55,-0.02,-0.19,3529888
29/01/2021,10.54,10.72,10.495,10.57,0.1,0.96,4751842
28/01/2021,10.53,10.57,10.35,10.47,-0.13,-1.23,3904676
27/01/2021,10.67,10.69,10.55,10.6,-0.02,-0.19,4945521
25/01/2021,10.74,10.75,10.57,10.62,-0.06,-0.56,2584895
22/01/2021,10.48,10.7,10.46,10.68,0.18,1.71,4174423
21/01/2021,10.56,10.59,10.45,10.5,-0.03,-0.28,5664813
20/01/2021,10.51,10.56,10.46,10.53,0.14,1.35,3923777
19/01/2021,10.54,10.58,10.39,10.39,-0.04,-0.38,4656054
18/01/2021,10.48,10.5,10.33,10.43,-0.07,-0.67,3474451
15/01/2021,10.66,10.67,10.5,10.5,-0.13,-1.22,3798477
14/01/2021,10.63,10.71,10.54,10.63,0.09,0.85,4747711
13/01/2021,10.61,10.71,10.49,10.54,-0.12,-1.13,4331170
12/01/2021,10.67,10.73,10.61,10.66,0.08,0.76,3358652
11/01/2021,10.62,10.65,10.53,10.58,0,0,2864803
08/01/2021,10.5,10.59,10.43,10.58,0.09,0.86,3766205
07/01/2021,10.37,10.56,10.34,10.49,0.01,0.1,2980447
06/01/2021,10.55,10.61,10.45,10.48,-0.07,-0.66,4323174
05/01/2021,10.57,10.59,10.5,10.55,-0.15,-1.4,3396868
04/01/2021,10.73,10.75,10.67,10.7,0.1,0.94,2169116
31/12/2020,10.81,10.87,10.6,10.6,-0.23,-2.12,2140369
30/12/2020,10.83,10.9,10.77,10.83,-0.01,-0.09,1911319
29/12/2020,10.94,10.95,10.81,10.84,0.01,0.09,1380960
24/12/2020,10.95,10.95,10.75,10.83,0,0,1293508
23/12/2020,10.88,10.92,10.795,10.83,0.14,1.31,3032626
22/12/2020,10.71,10.81,10.66,10.69,-0.11,-1.02,3098219
21/12/2020,10.6,10.84,10.55,10.8,0.12,1.12,5067284
18/12/2020,10.9,10.9,10.67,10.68,-0.17,-1.57,9057923
17/12/2020,10.82,10.91,10.77,10.85,0.03,0.28,6720890
16/12/2020,10.9,10.9,10.76,10.82,0.09,0.84,5019962
15/12/2020,10.87,10.9,10.62,10.73,0.16,1.51,6254123
14/12/2020,10.59,10.725,10.57,10.57,0.01,0.09,4220149
11/12/2020,10.89,10.94,10.52,10.56,-0.42,-3.83,9718327
10/12/2020,11.05,11.09,10.925,10.98,-0.16,-1.44,5391218
09/12/2020,11.22,11.31,11.11,11.14,0.12,1.09,5993122
08/12/2020,11.06,11.17,11.02,11.02,-0.01,-0.09,5086842
07/12/2020,11,11.13,10.93,11.03,0.14,1.29,4410952
04/12/2020,10.94,10.97,10.88,10.89,-0.09,-0.82,4959056
03/12/2020,11.09,11.12,10.98,10.98,-0.09,-0.81,6065305
02/12/2020,11.23,11.23,11.04,11.07,-0.02,-0.18,6131669
01/12/2020,11,11.15,10.92,11.09,0.13,1.19,5482402
30/11/2020,11.18,11.23,10.93,10.96,-0.14,-1.26,9911216
27/11/2020,10.99,11.18,10.97,11.1,0.12,1.09,5500892
26/11/2020,10.89,11.04,10.865,10.98,0.13,1.2,4449762
25/11/2020,11.1,11.14,10.83,10.85,-0.11,-1,6491134
24/11/2020,10.92,11.08,10.915,10.96,0.09,0.83,6964262
23/11/2020,10.94,10.97,10.85,10.87,-0.02,-0.18,2620329
20/11/2020,11,11,10.83,10.89,0,0,5473209
19/11/2020,11.11,11.11,10.8,10.89,-0.05,-0.46,4419664
18/11/2020,10.9,10.99,10.8,10.94,-0.01,-0.09,6077904
17/11/2020,11.07,11.12,10.86,10.95,0.09,0.83,7062495
16/11/2020,10.84,10.9,10.79,10.86,0.19,1.78,231574
13/11/2020,10.94,10.95,10.63,10.67,-0.11,-1.02,5318054
12/11/2020,10.93,10.94,10.78,10.78,-0.09,-0.83,5683639
11/11/2020,10.86,10.905,10.82,10.87,0.19,1.78,5432142
10/11/2020,10.81,10.92,10.67,10.68,0.06,0.56,5146723
09/11/2020,10.57,10.67,10.5,10.62,0.2,1.92,5128950
06/11/2020,10.34,10.495,10.27,10.42,0.2,1.96,10716259
05/11/2020,10.25,10.34,10.18,10.22,0.07,0.69,7584045
04/11/2020,10.3,10.3,10.105,10.15,0.05,0.5,8440089
03/11/2020,10.22,10.32,10.03,10.1,0.54,5.65,9515795
02/11/2020,9.7,9.72,9.54,9.56,-0.03,-0.31,7378369
30/10/2020,9.82,9.85,9.59,9.59,-0.26,-2.64,8160272
29/10/2020,9.96,10.06,9.85,9.85,-0.16,-1.6,5507787
28/10/2020,10.05,10.115,9.975,10.01,-0.04,-0.4,4952267
27/10/2020,10.2,10.24,10,10.05,-0.19,-1.86,5038362
26/10/2020,10.29,10.37,10.22,10.24,-0.02,-0.19,2512720
23/10/2020,10.48,10.5,10.24,10.26,-0.12,-1.16,3806042
22/10/2020,10.35,10.43,10.23,10.38,-0.13,-1.24,3685893
21/10/2020,10.46,10.55,10.42,10.51,0.02,0.19,8295406
20/10/2020,10.65,10.72,10.445,10.49,-0.19,-1.78,4979565
19/10/2020,10.7,10.75,10.65,10.68,0.02,0.19,4314091
16/10/2020,10.83,10.84,10.56,10.66,-0.16,-1.48,6348141
15/10/2020,10.96,10.96,10.76,10.82,-0.04,-0.37,4151824
14/10/2020,10.86,10.96,10.84,10.86,0,0,4461234
13/10/2020,10.75,10.94,10.75,10.86,0.24,2.26,6018928
12/10/2020,10.58,10.69,10.57,10.62,0.02,0.19,4410883
09/10/2020,10.63,10.66,10.565,10.6,-0.07,-0.66,7068490
08/10/2020,10.74,10.78,10.64,10.67,0.09,0.85,5410226
07/10/2020,10.46,10.59,10.42,10.58,0.13,1.24,4398638
06/10/2020,10.51,10.51,10.33,10.45,-0.04,-0.38,3601839
05/10/2020,10.38,10.55,10.33,10.49,0.28,2.74,1882347
02/10/2020,10.46,10.5,10.14,10.21,-0.33,-3.13,11221783
01/10/2020,10.55,10.66,10.53,10.54,0.05,0.48,3810032
30/09/2020,10.67,10.67,10.475,10.49,-0.21,-1.96,7101904
29/09/2020,10.82,10.82,10.65,10.7,-0.02,-0.19,3491040
28/09/2020,10.74,10.88,10.71,10.72,0.02,0.19,3509283
25/09/2020,10.66,10.72,10.55,10.7,0.04,0.38,4065401
24/09/2020,10.67,10.745,10.57,10.66,-0.11,-1.02,3292653
23/09/2020,10.52,10.78,10.51,10.77,0.37,3.56,6519623
22/09/2020,10.36,10.51,10.34,10.4,0,0,5105283
21/09/2020,10.33,10.44,10.26,10.4,0.03,0.29,6026855
18/09/2020,10.57,10.6,10.34,10.37,-0.2,-1.89,9957142
17/09/2020,10.75,10.75,10.54,10.57,-0.13,-1.21,7319855
16/09/2020,10.67,10.8,10.65,10.7,0.11,1.04,5962900
15/09/2020,10.63,10.71,10.55,10.59,-0.01,-0.09,7519441
14/09/2020,10.61,10.66,10.52,10.6,0.1,0.95,3486303
11/09/2020,10.36,10.57,10.36,10.5,0.06,0.57,4150028
10/09/2020,10.58,10.58,10.37,10.44,0.04,0.38,5090084
09/09/2020,10.56,10.59,10.38,10.4,-0.43,-3.97,5393610
08/09/2020,10.84,10.98,10.73,10.83,0.04,0.37,4829572
07/09/2020,10.79,10.86,10.68,10.79,-0.08,-0.74,3763981
04/09/2020,10.99,11.04,10.82,10.87,-0.29,-2.6,5822439
03/09/2020,11.18,11.19,11.05,11.16,0.06,0.54,6394884
02/09/2020,11.01,11.18,10.92,11.1,0.2,1.83,4625958
01/09/2020,10.95,10.98,10.78,10.9,-0.19,-1.71,7054735
31/08/2020,11.16,11.18,10.99,11.09,-0.08,-0.72,6935244
28/08/2020,11.15,11.28,11.14,11.17,-0.06,-0.53,4565076
27/08/2020,11.23,11.37,11.17,11.23,0.05,0.45,5841499
26/08/2020,11.1,11.24,11.05,11.18,0,0,4907296
25/08/2020,11.2,11.37,11.085,11.18,0.09,0.81,8462086
24/08/2020,10.89,11.13,10.85,11.09,0.22,2.02,9248411
21/08/2020,11.04,11.15,10.86,10.87,-0.14,-1.27,11723833
20/08/2020,11.14,11.48,10.97,11.01,-0.25,-2.22,8879600
