Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,19.61,19.8,19.29,19.56,-0.06,-0.31,637025
29/01/2021,19.6,20.075,19.41,19.62,0.55,2.88,943028
28/01/2021,19.37,19.55,18.98,19.07,-0.43,-2.21,927296
27/01/2021,19.44,19.77,19.42,19.5,0.06,0.31,605396
25/01/2021,19.27,19.55,19.19,19.44,0.27,1.41,372453
22/01/2021,19.13,19.3,19.06,19.17,-0.08,-0.42,375039
21/01/2021,19.28,19.59,19.06,19.25,0.29,1.53,808117
20/01/2021,19.11,19.31,18.86,18.96,-0.53,-2.72,1424776
19/01/2021,19.26,19.6,19.09,19.49,0.39,2.04,587262
18/01/2021,18.88,19.29,18.87,19.1,0.19,1,421340
15/01/2021,19.02,19.18,18.905,18.91,-0.33,-1.72,437155
14/01/2021,19.04,19.355,18.89,19.24,0.09,0.47,683991
13/01/2021,19.57,19.67,19.06,19.15,-0.52,-2.64,654235
12/01/2021,19.62,19.97,19.29,19.67,0.13,0.67,797888
11/01/2021,19.32,19.72,19.1,19.54,-0.08,-0.41,727011
08/01/2021,19.39,19.66,19.34,19.62,0.21,1.08,484355
07/01/2021,19.52,19.8,19.41,19.41,-0.11,-0.56,534726
06/01/2021,19.6,19.9,19.4,19.52,-0.43,-2.16,504523
05/01/2021,19.9,20.08,19.64,19.95,-0.29,-1.43,586872
04/01/2021,20.17,20.24,20.02,20.24,0.23,1.15,440590
31/12/2020,20.07,20.21,20.01,20.01,-0.16,-0.79,249055
30/12/2020,20.38,20.39,20.09,20.17,-0.03,-0.15,369349
29/12/2020,20.6,20.61,20.07,20.2,-0.11,-0.54,382830
24/12/2020,20.09,20.39,20.06,20.31,0.31,1.55,380851
23/12/2020,19.87,20.135,19.69,20,0.31,1.57,372470
22/12/2020,20.09,20.09,19.58,19.69,-0.36,-1.8,517080
21/12/2020,19.87,20.11,19.755,20.05,0.05,0.25,367570
18/12/2020,20.15,20.15,19.87,20,-0.27,-1.33,999063
17/12/2020,20.7,20.7,20.15,20.27,0.61,3.1,1512064
16/12/2020,19.16,19.72,19.06,19.66,0.7,3.69,1293632
15/12/2020,18.86,19.14,18.77,18.96,-0.1,-0.52,617860
14/12/2020,19.08,19.29,19.05,19.06,-0.11,-0.57,638549
11/12/2020,18.9,19.39,18.86,19.17,0.09,0.47,1171845
10/12/2020,19.37,19.47,18.9,19.08,-0.66,-3.34,1051047
09/12/2020,19.59,19.86,19.56,19.74,0.23,1.18,555833
08/12/2020,19.61,19.79,19.51,19.51,-0.14,-0.71,676248
07/12/2020,19.7,20.02,19.6,19.65,-0.16,-0.81,472582
04/12/2020,19.36,19.83,19.36,19.81,0.29,1.49,647574
03/12/2020,19.88,20.01,19.36,19.52,-0.62,-3.08,1237686
02/12/2020,20.61,20.67,20.03,20.14,-0.26,-1.27,474866
01/12/2020,20.36,20.59,20.19,20.4,0.07,0.34,778663
30/11/2020,20.62,20.7,20.3,20.33,0.02,0.1,1036410
27/11/2020,20.11,20.47,19.69,20.31,-0.11,-0.54,448403
26/11/2020,20.37,20.68,20.31,20.42,0.22,1.09,829499
25/11/2020,20.58,20.695,20.17,20.2,-0.42,-2.04,819516
24/11/2020,20.41,20.81,20.4,20.62,0.02,0.1,831390
23/11/2020,20.85,21.03,20.45,20.6,-0.09,-0.43,755197
20/11/2020,20.8,21.61,20.68,20.69,-0.23,-1.1,708674
19/11/2020,20.99,21.11,20.8,20.92,0.12,0.58,853589
18/11/2020,21.12,21.19,20.73,20.8,-0.07,-0.34,1086947
17/11/2020,21.68,21.68,20.7,20.87,-0.81,-3.74,1206578
16/11/2020,21.7,21.87,21.53,21.68,0.37,1.74,61293
13/11/2020,21.08,21.4,20.96,21.31,0.31,1.48,761563
12/11/2020,21.04,21.15,20.72,21,0.26,1.25,682948
11/11/2020,20.84,21.12,20.51,20.74,-0.59,-2.77,1512723
10/11/2020,22.68,22.68,21.2,21.33,-1.05,-4.69,886085
09/11/2020,22.2,22.38,21.92,22.38,0.74,3.42,756623
06/11/2020,22.15,22.19,21.58,21.64,-0.13,-0.6,674234
05/11/2020,21.69,21.88,21.55,21.77,0.44,2.06,1022607
04/11/2020,20.99,21.62,20.89,21.33,0.45,2.16,470152
03/11/2020,20.34,21.04,20.29,20.88,0.28,1.36,788204
02/11/2020,20.56,20.81,20.13,20.6,-0.17,-0.82,757902
30/10/2020,21.36,21.66,20.6,20.77,-0.89,-4.11,1408697
29/10/2020,21.42,21.81,21.29,21.66,0.01,0.05,1028418
28/10/2020,21.24,21.71,21.05,21.65,0.41,1.93,1309333
27/10/2020,21.52,21.75,21.02,21.24,-0.78,-3.54,1330204
26/10/2020,22.45,22.68,21.84,22.02,-0.57,-2.52,1023357
23/10/2020,22.99,22.99,22.5,22.59,-0.01,-0.04,608625
22/10/2020,22.1,22.67,22.09,22.6,0.33,1.48,865790
21/10/2020,22.38,22.5,22.24,22.27,-0.04,-0.18,503868
20/10/2020,22.08,22.42,21.97,22.31,0.01,0.04,757595
19/10/2020,22.18,22.46,22.11,22.3,0.24,1.09,466371
16/10/2020,22.14,22.34,22.04,22.06,-0.04,-0.18,583040
15/10/2020,22.28,22.51,22.035,22.1,-0.17,-0.76,550912
14/10/2020,22.3,22.58,22.13,22.27,-0.08,-0.36,1115037
13/10/2020,22.45,22.53,22.21,22.35,0.16,0.72,701788
12/10/2020,22.45,22.61,22.04,22.19,0.06,0.27,938933
09/10/2020,22.09,22.33,22.01,22.13,-0.02,-0.09,486726
08/10/2020,21.92,22.33,21.87,22.15,0.44,2.03,690912
07/10/2020,21.25,21.82,21.15,21.71,0.4,1.88,735156
06/10/2020,21.2,21.46,20.97,21.31,0.09,0.42,551269
05/10/2020,21.31,21.51,20.96,21.22,0.23,1.1,537753
02/10/2020,20.79,21.44,20.78,20.99,0.12,0.57,791834
01/10/2020,20.69,21.13,20.66,20.87,0.2,0.97,454284
30/09/2020,20.95,20.99,20.59,20.67,-0.42,-1.99,813280
29/09/2020,20.9,21.1,20.78,21.09,0.37,1.79,518576
28/09/2020,20.63,20.97,20.63,20.72,0.12,0.58,358785
25/09/2020,20.65,20.98,20.51,20.6,-0.11,-0.53,774736
24/09/2020,20.8,21.04,20.66,20.71,-0.38,-1.8,658085
23/09/2020,20.54,21.27,20.45,21.09,1.04,5.19,1176643
22/09/2020,19.75,20.22,19.68,20.05,-0.02,-0.1,771947
21/09/2020,20.05,20.27,19.84,20.07,0.02,0.1,1306458
18/09/2020,20.53,20.78,20.05,20.05,-0.44,-2.15,4768496
17/09/2020,20.46,20.81,20.25,20.49,0,0,1004610
