Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
10/10/2019,1.41,1.41,1.365,1.385,-0.03,-2.12,375403
11/10/2019,1.385,1.39,1.345,1.37,-0.015,-1.08,211231
14/10/2019,1.35,1.385,1.315,1.315,-0.055,-4.01,331138
15/10/2019,1.3,1.34,1.265,1.28,-0.035,-2.66,383312
16/10/2019,1.3,1.305,1.28,1.305,0.025,1.95,150085
17/10/2019,1.31,1.33,1.275,1.3,-0.005,-0.38,234026
18/10/2019,1.28,1.32,1.235,1.32,0.02,1.54,284151
21/10/2019,1.25,1.305,1.235,1.265,-0.055,-4.17,209652
22/10/2019,1.275,1.34,1.267,1.34,0.075,5.93,112272
23/10/2019,1.35,1.375,1.335,1.36,0.02,1.49,206525
24/10/2019,1.365,1.395,1.31,1.335,-0.025,-1.84,682496
25/10/2019,1.31,1.345,1.265,1.34,0.005,0.37,147535
28/10/2019,1.345,1.395,1.305,1.39,0.05,3.73,772463
29/10/2019,1.395,1.45,1.395,1.44,0.05,3.6,172440
30/10/2019,1.46,1.47,1.372,1.375,-0.065,-4.51,1022967
31/10/2019,1.375,1.43,1.37,1.41,0.035,2.55,129197
01/11/2019,1.42,1.49,1.4,1.48,0.07,4.96,252800
04/11/2019,1.485,1.56,1.42,1.425,-0.055,-3.72,2557504
05/11/2019,1.43,1.445,1.405,1.445,0.02,1.4,115105
06/11/2019,1.43,1.465,1.405,1.43,-0.015,-1.04,265805
07/11/2019,1.43,1.53,1.43,1.49,0.06,4.2,1782712
08/11/2019,1.475,1.595,1.475,1.59,0.1,6.71,1276638
11/11/2019,1.64,1.675,1.615,1.66,0.07,4.4,1151787
12/11/2019,1.69,1.76,1.67,1.72,0.06,3.61,1886418
13/11/2019,1.8,1.89,1.74,1.77,0.05,2.91,1946011
14/11/2019,1.835,1.845,1.7,1.74,-0.03,-1.69,588046
15/11/2019,1.75,1.85,1.75,1.85,0.11,6.32,713649
18/11/2019,1.85,1.91,1.76,1.775,-0.075,-4.05,1281543
19/11/2019,1.78,1.83,1.74,1.83,0.055,3.1,1341386
20/11/2019,1.78,1.88,1.75,1.88,0.05,2.73,906667
21/11/2019,1.87,1.87,1.755,1.77,-0.11,-5.85,412763
22/11/2019,1.775,2.02,1.775,2.01,0.24,13.56,1619071
25/11/2019,1.995,2,1.965,2,-0.01,-0.5,494371
26/11/2019,2,2.07,1.995,2.07,0.07,3.5,678281
27/11/2019,2.06,2.13,1.985,2.1,0.03,1.45,389270
28/11/2019,2.1,2.15,2.1,2.11,0.01,0.48,1113399
29/11/2019,2.11,2.2,2.09,2.2,0.09,4.27,476091
02/12/2019,2.21,2.21,2.08,2.11,-0.09,-4.09,644837
03/12/2019,2.08,2.09,2.01,2.03,-0.08,-3.79,647388
04/12/2019,2.04,2.19,2.04,2.12,0.09,4.43,703425
05/12/2019,2.16,2.18,2.03,2.05,-0.07,-3.3,333547
06/12/2019,2.04,2.04,1.905,1.93,-0.12,-5.85,979487
09/12/2019,1.935,2.02,1.93,1.985,0.055,2.85,510346
10/12/2019,1.995,1.995,1.88,1.93,-0.055,-2.77,313747
11/12/2019,1.9,1.93,1.87,1.92,-0.01,-0.52,301846
12/12/2019,1.94,1.94,1.77,1.81,-0.11,-5.73,403177
13/12/2019,1.765,1.81,1.625,1.73,-0.08,-4.42,1378020
16/12/2019,1.66,1.745,1.65,1.735,0.005,0.29,4140772
17/12/2019,1.7,1.8,1.7,1.775,0.04,2.31,521953
18/12/2019,1.77,1.775,1.735,1.76,-0.015,-0.85,2021247
19/12/2019,1.71,1.78,1.675,1.71,-0.05,-2.84,853109
20/12/2019,1.655,1.695,1.62,1.65,-0.06,-3.51,998923
23/12/2019,1.635,1.67,1.615,1.64,-0.01,-0.61,702741
24/12/2019,1.64,1.66,1.63,1.64,0,0,377469
27/12/2019,1.61,1.635,1.61,1.625,-0.015,-0.91,145421
30/12/2019,1.62,1.645,1.585,1.625,0,0,584054
31/12/2019,1.595,1.615,1.555,1.58,-0.045,-2.77,168898
02/01/2020,1.55,1.585,1.55,1.555,-0.025,-1.58,277905
03/01/2020,1.545,1.61,1.545,1.61,0.055,3.54,297753
06/01/2020,1.595,1.595,1.555,1.585,-0.025,-1.55,515292
07/01/2020,1.595,1.65,1.56,1.65,0.065,4.1,529538
08/01/2020,1.63,1.69,1.59,1.69,0.04,2.42,535538
09/01/2020,1.74,1.89,1.74,1.85,0.16,9.47,1161201
10/01/2020,1.85,1.88,1.79,1.825,-0.025,-1.35,404540
13/01/2020,1.855,1.855,1.78,1.825,0,0,300698
14/01/2020,1.84,1.875,1.755,1.755,-0.07,-3.84,876738
15/01/2020,1.77,1.93,1.77,1.83,0.075,4.27,776073
16/01/2020,1.9,2.11,1.855,2.04,0.21,11.48,1177819
17/01/2020,2.08,2.08,1.955,2.01,-0.03,-1.47,351766
20/01/2020,2,2,1.9,1.925,-0.085,-4.23,768432
21/01/2020,1.95,1.985,1.915,1.915,-0.01,-0.52,1131239
22/01/2020,1.995,2.19,1.97,2.15,0.235,12.27,1574659
23/01/2020,2.15,2.25,2.08,2.09,-0.06,-2.79,885724
24/01/2020,2.17,2.19,2.1,2.17,0.08,3.83,591297
28/01/2020,2.09,2.13,2.05,2.07,-0.1,-4.61,964436
29/01/2020,2.11,2.18,2.02,2.03,-0.04,-1.93,463173
30/01/2020,2.06,2.06,1.945,2.01,-0.02,-0.99,1018902
31/01/2020,2.01,2.05,1.99,1.99,-0.02,-1,592940
