Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
08/10/2019,78.39,78.67,78.13,78.6,0.66,0.85,2503132
09/10/2019,77.8,78.19,77.65,78.18,-0.42,-0.53,1665218
10/10/2019,78,78.52,77.71,78.1,-0.08,-0.1,1841441
11/10/2019,78.84,78.96,78.4,78.77,0.67,0.86,2763493
14/10/2019,79.2,79.645,78.99,79.07,0.3,0.38,1553271
15/10/2019,78.96,79.35,78.8,79.31,0.24,0.3,1049399
16/10/2019,79.8,80.5,79.72,80.43,1.12,1.41,3601493
17/10/2019,80.68,80.755,79.85,80.11,-0.32,-0.4,3454210
18/10/2019,79.65,79.79,79.17,79.64,-0.47,-0.59,2781126
21/10/2019,79.2,79.79,79.03,79.79,0.15,0.19,1766309
22/10/2019,79.69,79.88,79.49,79.66,-0.13,-0.16,1625155
23/10/2019,79.73,79.94,79.28,79.94,0.28,0.35,1999306
24/10/2019,80.12,80.37,80.04,80.29,0.35,0.44,3199868
25/10/2019,80.45,80.77,80.29,80.7,0.41,0.51,4357110
28/10/2019,80.77,80.97,80.33,80.48,-0.22,-0.27,1679639
29/10/2019,80.15,80.6,80.15,80.46,-0.02,-0.02,1602931
30/10/2019,80.06,80.38,79.5,79.69,-0.77,-0.96,2578822
31/10/2019,79.5,79.5,78.32,78.66,-1.03,-1.29,3233209
01/11/2019,78.1,78.3,77.435,78.24,-0.42,-0.53,3275279
04/11/2019,77.65,77.69,76.66,77.05,-1.19,-1.52,4139092
05/11/2019,77.65,78.1,77.42,77.7,0.65,0.84,3362031
06/11/2019,78.1,78.57,77.83,78,0.3,0.39,3169620
07/11/2019,78.51,79.09,78.23,79.04,1.04,1.33,3870823
08/11/2019,79.06,79.44,78.71,79.17,0.13,0.16,2129449
11/11/2019,79.59,80.29,79.57,80.05,0.88,1.11,3132683
12/11/2019,80.46,80.89,79.97,80.83,0.78,0.97,3388285
13/11/2019,80.83,80.99,79.2,79.24,-1.59,-1.97,4026316
14/11/2019,79.55,79.84,79.04,79.77,0.53,0.67,2465784
15/11/2019,80.19,80.87,80.05,80.69,0.92,1.15,3014809
18/11/2019,80.3,80.5,79.91,80.34,-0.35,-0.43,1462119
19/11/2019,80.1,80.67,79.85,80.67,0.33,0.41,2767274
20/11/2019,80.1,80.3,79.13,79.6,-1.07,-1.33,3528596
21/11/2019,78.76,79.89,78.55,79.33,-0.27,-0.34,4235414
22/11/2019,79.33,79.94,78.8,79.6,0.27,0.34,3311588
25/11/2019,80,80.29,79.6,79.89,0.29,0.36,2967172
26/11/2019,80,80.74,79.89,80.74,0.85,1.06,6032061
27/11/2019,80.83,81.75,80.64,81.69,0.95,1.18,4501819
28/11/2019,81.85,82,81.5,81.6,-0.09,-0.11,2910712
29/11/2019,81.8,81.86,80.72,80.82,-0.78,-0.96,4467048
02/12/2019,81.35,81.88,80.86,81.43,0.61,0.75,2454270
03/12/2019,80.24,80.4,79.2,79.34,-2.09,-2.57,4713603
04/12/2019,78.5,78.56,77.81,77.81,-1.53,-1.93,6583747
05/12/2019,78.74,78.94,78.405,78.62,0.81,1.04,4163082
06/12/2019,79.06,79.1,78.705,78.99,0.37,0.47,2693304
09/12/2019,79.42,79.57,79.07,79.26,0.27,0.34,1961282
10/12/2019,79.35,79.64,78.82,79.23,-0.03,-0.04,1562064
11/12/2019,79.83,80.345,79.49,80.31,1.08,1.36,3408925
12/12/2019,79.81,80.07,79.58,79.72,-0.59,-0.73,2695631
13/12/2019,80.2,80.69,79.86,80.06,0.34,0.43,3485909
16/12/2019,80.5,81.5,80.21,81.46,1.4,1.75,3923522
17/12/2019,81.5,81.9,81.01,81.9,0.44,0.54,2892518
18/12/2019,81.73,82.08,81.51,81.9,0,0,4025377
19/12/2019,82.35,82.38,81.475,81.73,-0.17,-0.21,4348526
20/12/2019,81.86,81.94,81,81.25,-0.48,-0.59,8680438
23/12/2019,81.19,81.3,80.75,80.84,-0.41,-0.5,2015050
24/12/2019,80.72,80.85,80.4,80.71,-0.13,-0.16,926870
27/12/2019,80.99,81.12,80.55,81.07,0.36,0.45,1350378
