Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,13.11,13.18,13.095,13.11,0.03,0.23,1107854
29/01/2021,13.06,13.15,13.005,13.08,-0.02,-0.15,1578707
28/01/2021,13.1,13.13,13.03,13.1,0.01,0.08,2427407
27/01/2021,13.17,13.25,13,13.09,-0.11,-0.83,2381406
25/01/2021,13.02,13.2,12.97,13.2,0.17,1.3,2007904
22/01/2021,12.98,13.05,12.93,13.03,0.12,0.93,3499276
21/01/2021,12.98,12.98,12.9,12.91,-0.02,-0.15,1875449
20/01/2021,12.9,12.98,12.89,12.93,-0.01,-0.08,2004929
19/01/2021,13,13,12.905,12.94,0.03,0.23,1208039
18/01/2021,12.9,12.97,12.9,12.91,-0.04,-0.31,1989695
15/01/2021,12.98,13.02,12.92,12.95,-0.03,-0.23,2175788
14/01/2021,12.99,12.99,12.89,12.98,0.11,0.85,2024091
13/01/2021,12.92,12.96,12.87,12.87,-0.07,-0.54,1463899
12/01/2021,12.95,13,12.9,12.94,-0.04,-0.31,3274190
11/01/2021,12.99,13.01,12.95,12.98,-0.02,-0.15,4527489
08/01/2021,12.95,13,12.95,13,0.05,0.39,1509136
07/01/2021,12.95,13,12.93,12.95,0.05,0.39,6383055
06/01/2021,12.91,12.98,12.9,12.9,-0.02,-0.15,4596001
05/01/2021,12.92,12.955,12.92,12.92,-0.02,-0.15,2146153
04/01/2021,12.92,12.99,12.92,12.94,0.01,0.08,2084150
31/12/2020,12.92,12.97,12.92,12.93,-0.02,-0.15,657657
30/12/2020,12.92,12.98,12.92,12.95,0,0,967942
29/12/2020,12.9,12.99,12.9,12.95,0.05,0.39,842699
24/12/2020,12.9,12.99,12.89,12.9,-0.07,-0.54,3600697
23/12/2020,12.9,12.98,12.87,12.97,0.12,0.93,9663991
22/12/2020,12.84,12.89,12.79,12.85,-0.02,-0.16,2357141
21/12/2020,12.9,12.94,12.86,12.87,-0.03,-0.23,2494243
18/12/2020,12.93,12.99,12.86,12.9,-0.04,-0.31,6502064
17/12/2020,12.9,12.95,12.88,12.94,0.09,0.7,5340424
16/12/2020,12.81,12.95,12.81,12.85,0.03,0.23,7757144
15/12/2020,12.79,12.88,12.79,12.82,0.03,0.23,2932154
14/12/2020,12.76,12.82,12.76,12.79,0.03,0.24,5504310
11/12/2020,12.75,12.8,12.71,12.76,0,0,2170375
10/12/2020,12.77,12.81,12.75,12.76,0,0,9141479
09/12/2020,12.76,12.79,12.7,12.76,0,0,2273348
08/12/2020,12.75,12.8,12.75,12.76,0,0,3419180
07/12/2020,12.76,12.82,12.74,12.76,0.01,0.08,6062298
04/12/2020,12.73,12.79,12.71,12.75,-0.01,-0.08,7740428
