Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,28,29.5,27.215,29.46,1.08,3.81,332758
29/01/2021,28.46,29.36,28.37,28.38,0.09,0.32,158010
28/01/2021,28.81,29,28.05,28.29,-0.84,-2.88,219220
27/01/2021,29.1,29.46,28.68,29.13,-0.12,-0.41,195209
25/01/2021,29.99,29.99,29.18,29.25,-0.69,-2.3,132274
22/01/2021,30,30.14,29.26,29.94,-0.06,-0.2,187473
21/01/2021,30.05,30.1,29.53,30,0.08,0.27,163507
20/01/2021,29.7,30.15,29.29,29.92,0.74,2.54,289833
19/01/2021,29.05,29.28,28.75,29.18,0.23,0.79,114127
18/01/2021,28.66,29.07,28.19,28.95,0,0,241992
15/01/2021,29.17,29.7,28.86,28.95,-0.35,-1.19,230220
14/01/2021,29.5,29.74,28.85,29.3,-0.69,-2.3,169753
13/01/2021,29.75,30.17,29.6,29.99,0.17,0.57,123590
12/01/2021,30.11,31,29.5,29.82,-0.1,-0.33,330785
11/01/2021,29.7,30.45,29.65,29.92,-0.34,-1.12,158401
08/01/2021,29.85,30.33,29.75,30.26,0.34,1.14,100917
07/01/2021,30.45,30.93,29.7,29.92,-0.02,-0.07,216524
06/01/2021,30,30.7,29.5,29.94,0.04,0.13,259824
05/01/2021,30.8,30.81,29.63,29.9,-0.9,-2.92,410369
04/01/2021,29.73,30.82,29.57,30.8,1.1,3.7,298544
31/12/2020,29.99,30.36,29.53,29.7,-0.29,-0.97,136237
30/12/2020,29.69,30.08,29.5,29.99,0.15,0.5,188098
29/12/2020,29.7,30.03,28.54,29.84,0.08,0.27,292843
24/12/2020,26.58,30.9,26.58,29.76,4.89,19.66,887900
23/12/2020,24.25,24.92,24.25,24.87,0.75,3.11,132412
22/12/2020,24.49,24.62,24.03,24.12,-0.55,-2.23,219913
21/12/2020,25.15,25.28,24.25,24.67,-0.45,-1.79,227515
18/12/2020,25.75,25.91,24.97,25.12,-0.63,-2.45,246961
17/12/2020,25.52,26.62,25.51,25.75,0.62,2.47,433296
16/12/2020,24.91,25.51,24.89,25.13,0.64,2.61,266739
15/12/2020,24.74,24.91,24.4,24.49,-0.15,-0.61,238273
14/12/2020,24.5,24.89,23.96,24.64,0.21,0.86,149385
11/12/2020,24.6,25.06,24.31,24.43,-0.46,-1.85,198000
10/12/2020,23.83,25.37,23.77,24.89,0.87,3.62,442381
09/12/2020,24,24.23,23.72,24.02,0.19,0.8,189690
08/12/2020,24,24.14,23.76,23.83,-0.19,-0.79,190740
07/12/2020,24.45,24.63,23.91,24.02,-0.3,-1.23,228245
