Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.91,3.99,3.81,3.97,0.05,1.28,1552106
29/01/2021,3.94,4.03,3.91,3.92,-0.01,-0.25,1205551
28/01/2021,3.92,3.96,3.88,3.93,-0.11,-2.72,1683331
27/01/2021,4.01,4.06,3.99,4.04,0.05,1.25,1336937
25/01/2021,4,4.03,3.98,3.99,0,0,434034
22/01/2021,4.02,4.05,3.98,3.99,-0.03,-0.75,1135203
21/01/2021,4.09,4.1,4,4.02,-0.06,-1.47,860134
20/01/2021,4.03,4.09,3.96,4.08,0.02,0.49,977190
19/01/2021,3.94,4.06,3.92,4.06,0.12,3.05,923390
18/01/2021,3.99,4.03,3.89,3.94,-0.07,-1.75,2145816
15/01/2021,4.04,4.09,3.99,4.01,-0.06,-1.47,1490796
14/01/2021,4,4.11,3.97,4.07,0.06,1.5,1310545
13/01/2021,4.02,4.05,3.94,4.01,-0.03,-0.74,2542966
12/01/2021,4.1,4.125,3.975,4.04,-0.1,-2.42,2655673
11/01/2021,4.21,4.22,4.02,4.14,-0.15,-3.5,2691260
08/01/2021,4.36,4.4,4.23,4.29,-0.08,-1.83,1964710
07/01/2021,4.45,4.48,4.29,4.37,0.02,0.46,1250766
06/01/2021,4.28,4.37,4.24,4.35,0.08,1.87,1610313
05/01/2021,4.13,4.32,4.125,4.27,0.1,2.4,3224178
04/01/2021,4.09,4.18,4.09,4.17,0.09,2.21,1885583
31/12/2020,4.06,4.2,4.05,4.08,0.01,0.25,990917
30/12/2020,4,4.07,4,4.07,0.03,0.74,499708
29/12/2020,4.03,4.07,4,4.04,0.04,1,602884
24/12/2020,4,4.04,3.97,4,-0.03,-0.74,380853
23/12/2020,4.01,4.1,4,4.03,0.02,0.5,665440
22/12/2020,3.98,4.02,3.955,4.01,0,0,724696
21/12/2020,4,4.04,3.945,4.01,0,0,921153
18/12/2020,4.05,4.06,4,4.01,-0.04,-0.99,1555225
17/12/2020,4,4.07,4,4.05,0.09,2.27,1108030
16/12/2020,3.97,4.02,3.94,3.96,-0.01,-0.25,884284
15/12/2020,3.93,3.99,3.87,3.97,0.02,0.51,2282698
14/12/2020,3.98,4.045,3.93,3.95,-0.06,-1.5,893143
11/12/2020,4.06,4.08,3.96,4.01,-0.08,-1.96,1649647
10/12/2020,4.01,4.09,4,4.09,0.09,2.25,1695645
09/12/2020,3.98,4.02,3.93,4,0.03,0.76,1200573
08/12/2020,3.97,4.06,3.96,3.97,-0.02,-0.5,1046321
07/12/2020,4.02,4.07,3.98,3.99,-0.04,-0.99,1021042
04/12/2020,4.06,4.08,4.01,4.03,-0.04,-0.98,834820
03/12/2020,4.07,4.13,4.045,4.07,-0.03,-0.73,1309893
02/12/2020,4.07,4.12,4.02,4.1,0.02,0.49,2580803
01/12/2020,4.04,4.11,4.02,4.08,0.05,1.24,1122587
30/11/2020,4,4.07,4,4.03,0.05,1.26,3138464
27/11/2020,3.97,4.05,3.97,3.98,0.01,0.25,992747
26/11/2020,3.97,4.045,3.96,3.97,0,0,1196451
25/11/2020,3.93,3.995,3.895,3.97,0.02,0.51,1456897
24/11/2020,3.94,4.01,3.92,3.95,0.01,0.25,947145
23/11/2020,3.91,3.98,3.85,3.94,-0.01,-0.25,2516535
20/11/2020,3.99,4,3.94,3.95,-0.03,-0.75,740433
19/11/2020,4.01,4.06,3.96,3.98,-0.07,-1.73,1531075
18/11/2020,4.1,4.17,4.02,4.05,-0.04,-0.98,2019016
17/11/2020,4,4.1,3.99,4.09,0.12,3.02,2826484
16/11/2020,3.97,3.98,3.94,3.97,0.06,1.53,65224
13/11/2020,3.93,3.97,3.88,3.91,-0.02,-0.51,1212261
12/11/2020,3.93,3.95,3.89,3.93,0,0,1640501
11/11/2020,3.7,3.94,3.69,3.93,0.24,6.5,2913595
10/11/2020,3.81,3.84,3.6,3.69,-0.07,-1.86,1653474
09/11/2020,3.72,3.79,3.72,3.76,0.08,2.17,1553899
06/11/2020,3.66,3.73,3.66,3.68,-0.01,-0.27,806172
05/11/2020,3.65,3.7,3.62,3.69,0.04,1.1,1021346
04/11/2020,3.55,3.685,3.54,3.65,0.09,2.53,1769337
03/11/2020,3.5,3.6,3.49,3.56,0.05,1.42,1119458
02/11/2020,3.54,3.56,3.42,3.51,-0.05,-1.4,1720754
30/10/2020,3.56,3.595,3.545,3.56,-0.02,-0.56,1871714
29/10/2020,3.58,3.59,3.53,3.58,-0.03,-0.83,633139
28/10/2020,3.51,3.635,3.51,3.61,0.06,1.69,624196
27/10/2020,3.6,3.61,3.53,3.55,-0.1,-2.74,1083326
26/10/2020,3.65,3.69,3.62,3.65,-0.01,-0.27,947160
23/10/2020,3.67,3.7,3.63,3.66,-0.02,-0.54,1004466
22/10/2020,3.6,3.7,3.59,3.68,0.02,0.55,822209
21/10/2020,3.62,3.7,3.59,3.66,0,0,1541286
20/10/2020,3.7,3.73,3.64,3.66,-0.07,-1.88,751625
19/10/2020,3.74,3.77,3.68,3.73,0.02,0.54,1196447
16/10/2020,3.81,3.82,3.66,3.71,-0.06,-1.59,1804433
15/10/2020,3.79,3.83,3.72,3.77,0,0,2030899
14/10/2020,3.66,3.79,3.64,3.77,0.08,2.17,1931614
13/10/2020,3.74,3.77,3.645,3.69,-0.03,-0.81,2635861
12/10/2020,3.77,3.78,3.68,3.72,-0.05,-1.33,1797252
09/10/2020,3.71,3.79,3.68,3.77,0.04,1.07,2366286
08/10/2020,3.68,3.76,3.65,3.73,0.06,1.63,3540150
07/10/2020,3.59,3.695,3.56,3.67,0.11,3.09,2458856
06/10/2020,3.5,3.62,3.445,3.56,0.09,2.59,2479267
05/10/2020,3.48,3.485,3.42,3.47,0.11,3.27,805891
02/10/2020,3.43,3.48,3.345,3.36,-0.03,-0.88,2723396
01/10/2020,3.38,3.44,3.37,3.39,0.03,0.89,1052062
30/09/2020,3.43,3.44,3.335,3.36,-0.1,-2.89,2200580
29/09/2020,3.53,3.53,3.39,3.46,-0.04,-1.14,1860731
28/09/2020,3.43,3.545,3.43,3.5,0.08,2.34,1889061
25/09/2020,3.43,3.47,3.38,3.42,0,0,1060929
24/09/2020,3.42,3.44,3.36,3.42,-0.07,-2.01,1865159
23/09/2020,3.38,3.54,3.36,3.49,0.17,5.12,2481218
22/09/2020,3.33,3.34,3.28,3.32,-0.03,-0.9,1743302
21/09/2020,3.28,3.38,3.26,3.35,0.09,2.76,3074699
18/09/2020,3.27,3.29,3.23,3.26,-0.01,-0.31,2140370
17/09/2020,3.33,3.37,3.26,3.27,-0.1,-2.97,1422023
16/09/2020,3.39,3.42,3.34,3.37,-0.04,-1.17,1917834
15/09/2020,3.43,3.46,3.38,3.41,-0.03,-0.87,1579277
14/09/2020,3.47,3.47,3.39,3.44,0.03,0.88,1681148
11/09/2020,3.42,3.5,3.4,3.41,-0.05,-1.45,2021354
10/09/2020,3.55,3.59,3.4,3.46,-0.02,-0.57,3107333
09/09/2020,3.46,3.53,3.42,3.48,-0.08,-2.25,2549691
08/09/2020,3.55,3.68,3.53,3.56,0.02,0.56,2700292
07/09/2020,3.57,3.6,3.49,3.54,-0.05,-1.39,3058108
04/09/2020,3.48,3.62,3.46,3.59,-0.06,-1.64,3228457
03/09/2020,3.66,3.705,3.61,3.65,-0.03,-0.82,2905486
02/09/2020,3.63,3.74,3.58,3.68,0.12,3.37,4504769
01/09/2020,3.41,3.62,3.36,3.56,0.1,2.89,4676882
31/08/2020,3.37,3.58,3.34,3.46,0.15,4.53,7379875
28/08/2020,3.14,3.34,3.1,3.31,0.35,11.82,9442202
27/08/2020,2.93,2.99,2.93,2.96,0.03,1.02,1866699
26/08/2020,2.93,2.98,2.93,2.93,-0.03,-1.01,1436735
25/08/2020,3.05,3.08,2.93,2.96,-0.07,-2.31,3629420
24/08/2020,2.95,3.05,2.95,3.03,0.07,2.36,1616938
21/08/2020,2.99,3.02,2.925,2.96,-0.03,-1,2963113
20/08/2020,3,3.02,2.97,2.99,-0.04,-1.32,6200511
19/08/2020,3,3.12,3,3.03,-0.01,-0.33,2866339
18/08/2020,2.96,3.1,2.92,3.04,0.11,3.75,3038999
17/08/2020,2.92,2.99,2.92,2.93,-0.02,-0.68,6988210
14/08/2020,2.88,2.96,2.83,2.95,0.05,1.72,3965688
13/08/2020,2.94,2.98,2.86,2.9,0,0,4333585
12/08/2020,2.91,2.94,2.87,2.9,-0.03,-1.02,4309176
11/08/2020,2.95,2.98,2.92,2.93,0,0,1499996
10/08/2020,2.98,3.02,2.93,2.93,-0.03,-1.01,7337859
07/08/2020,3.05,3.07,2.95,2.96,-0.07,-2.31,1660031
06/08/2020,2.97,3.07,2.97,3.03,0.07,2.36,2013670
05/08/2020,2.96,3.02,2.95,2.96,-0.05,-1.66,1227852
04/08/2020,3.02,3.05,2.97,3.01,0.08,2.73,1479793
03/08/2020,2.98,3.01,2.93,2.93,-0.06,-2.01,1554781
31/07/2020,3.18,3.18,2.98,2.99,-0.22,-6.85,1627261
30/07/2020,3.09,3.22,3.09,3.21,0.16,5.25,2103297
29/07/2020,3.1,3.13,3.04,3.05,0,0,1189023
28/07/2020,3.1,3.11,3.04,3.05,-0.07,-2.24,1870154
27/07/2020,3.1,3.18,3.1,3.12,-0.04,-1.27,1177187
24/07/2020,3.05,3.16,3.03,3.16,0.06,1.94,6007129
23/07/2020,3.01,3.11,3.01,3.1,0.08,2.65,1081193
22/07/2020,3,3.07,2.97,3.02,-0.05,-1.63,1015551
21/07/2020,2.93,3.07,2.93,3.07,0.16,5.5,2163505
20/07/2020,2.94,2.96,2.86,2.91,-0.03,-1.02,1278744
17/07/2020,2.96,2.97,2.92,2.94,-0.05,-1.67,1309728
16/07/2020,3,3.04,2.97,2.99,-0.02,-0.66,2386055
15/07/2020,2.98,3.035,2.95,3.01,0.04,1.35,1354070
14/07/2020,3,3.09,2.925,2.97,-0.06,-1.98,2540484
13/07/2020,3,3.03,2.955,3.03,0.07,2.36,3682364
10/07/2020,2.98,3.01,2.94,2.96,-0.06,-1.99,1743943
09/07/2020,3.02,3.05,2.98,3.02,-0.02,-0.66,2572937
08/07/2020,3.05,3.075,3.02,3.04,-0.05,-1.62,1285846
07/07/2020,3.1,3.14,3.06,3.09,0,0,1692911
06/07/2020,3.07,3.165,3.07,3.09,0.01,0.32,2746462
03/07/2020,3.14,3.155,3.06,3.08,-0.03,-0.96,2177813
02/07/2020,2.93,3.16,2.9,3.11,0.2,6.87,4294566
01/07/2020,2.87,3.04,2.87,2.91,0.01,0.34,1885949
30/06/2020,2.84,2.98,2.81,2.9,0.14,5.07,4229884
29/06/2020,2.78,2.82,2.74,2.76,-0.05,-1.78,2248333
26/06/2020,2.83,2.86,2.79,2.81,0,0,1855589
25/06/2020,2.89,2.98,2.79,2.81,-0.18,-6.02,3042032
24/06/2020,2.94,3,2.9,2.99,0.07,2.4,2445288
23/06/2020,2.95,2.97,2.855,2.92,-0.02,-0.68,2301810
22/06/2020,2.95,2.97,2.88,2.94,-0.03,-1.01,2280077
19/06/2020,2.91,3.04,2.885,2.97,0.08,2.77,2520086
18/06/2020,2.92,2.98,2.88,2.89,-0.04,-1.37,2491819
17/06/2020,2.9,2.95,2.885,2.93,0.06,2.09,2241746
16/06/2020,2.9,2.94,2.83,2.87,0.08,2.87,3255859
15/06/2020,2.91,3,2.79,2.79,-0.15,-5.1,4206487
12/06/2020,2.91,2.98,2.89,2.94,-0.06,-2,1868434
11/06/2020,3.04,3.1,2.98,3,-0.08,-2.6,4661174
10/06/2020,2.99,3.1,2.98,3.08,0.08,2.67,3040228
09/06/2020,3.17,3.21,2.97,3,-0.14,-4.46,7174254
05/06/2020,3.15,3.19,3.1,3.14,-0.04,-1.26,2370466
04/06/2020,3.2,3.235,3.14,3.18,-0.02,-0.62,2103134
03/06/2020,3.15,3.23,3.13,3.2,0.07,2.24,2275837
02/06/2020,3.16,3.21,3.12,3.13,-0.07,-2.19,2218137
