Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,6.6,6.625,6.4,6.6,-0.06,-0.9,3479539
29/01/2021,6.82,6.92,6.63,6.66,-0.04,-0.6,2664377
28/01/2021,6.84,6.85,6.63,6.7,-0.22,-3.18,2587928
27/01/2021,6.95,7.02,6.88,6.92,-0.07,-1,1824356
25/01/2021,7.01,7.03,6.91,6.99,-0.05,-0.71,982653
22/01/2021,7.12,7.12,6.98,7.04,-0.16,-2.22,1336557
21/01/2021,7.14,7.21,7.11,7.2,0.13,1.84,2606949
20/01/2021,7.07,7.15,7.04,7.07,0.03,0.43,1830254
19/01/2021,6.9,7.08,6.88,7.04,0.17,2.47,1831534
18/01/2021,6.88,6.92,6.82,6.87,-0.06,-0.87,1361667
15/01/2021,6.86,7.1,6.86,6.93,0.04,0.58,2621486
14/01/2021,7.05,7.05,6.85,6.89,-0.09,-1.29,2253742
13/01/2021,6.86,7,6.79,6.98,0.1,1.45,3368841
12/01/2021,6.79,6.975,6.76,6.88,0.12,1.78,3134454
11/01/2021,6.66,6.82,6.66,6.76,0.09,1.35,2397207
08/01/2021,6.85,6.86,6.67,6.67,-0.17,-2.49,1835361
07/01/2021,6.52,6.84,6.52,6.84,0.46,7.21,3076301
06/01/2021,6.2,6.39,6.2,6.38,0.09,1.43,2780945
05/01/2021,6.35,6.35,6.21,6.29,-0.19,-2.93,2301694
04/01/2021,6.38,6.48,6.33,6.48,0.04,0.62,2501814
31/12/2020,6.54,6.565,6.44,6.44,-0.09,-1.38,4553907
30/12/2020,6.5,6.53,6.42,6.53,-0.01,-0.15,1900491
29/12/2020,6.55,6.635,6.465,6.54,0.03,0.46,3343489
24/12/2020,6.1,6.53,6.09,6.51,0.46,7.6,3746120
23/12/2020,5.78,6.09,5.74,6.05,0.24,4.13,2164621
22/12/2020,5.9,5.91,5.775,5.81,-0.13,-2.19,2351393
21/12/2020,5.91,6.02,5.86,5.94,-0.06,-1,1817353
18/12/2020,6.11,6.12,5.95,6,-0.12,-1.96,4417200
17/12/2020,5.94,6.13,5.94,6.12,0.21,3.55,3059530
16/12/2020,5.84,6.02,5.84,5.91,0.14,2.43,2396414
15/12/2020,5.9,5.9,5.72,5.77,-0.18,-3.03,2233412
14/12/2020,5.82,5.96,5.82,5.95,0.07,1.19,1948252
11/12/2020,5.8,5.93,5.75,5.88,0.02,0.34,2341490
10/12/2020,5.98,6.01,5.85,5.86,-0.14,-2.33,2144422
09/12/2020,5.98,6.03,5.97,6,0.05,0.84,2350608
08/12/2020,5.9,5.97,5.87,5.95,0.02,0.34,2257234
07/12/2020,6.01,6.1,5.93,5.93,-0.02,-0.34,1841556
04/12/2020,5.75,6,5.75,5.95,0.2,3.48,3281166
03/12/2020,5.82,5.85,5.75,5.75,-0.07,-1.2,1706440
02/12/2020,5.84,5.89,5.77,5.82,0.04,0.69,4296038
01/12/2020,5.71,5.82,5.67,5.78,0.03,0.52,2867065
