Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,13.62,13.78,13.5,13.72,0.1,0.73,928164
29/01/2021,13.66,13.93,13.59,13.62,0.03,0.22,834683
28/01/2021,13.54,13.72,13.24,13.59,-0.23,-1.66,1335343
27/01/2021,14.61,14.64,13.79,13.82,-0.26,-1.85,1353536
25/01/2021,14.12,14.18,13.9,14.08,0.09,0.64,621664
22/01/2021,13.98,14.16,13.92,13.99,-0.14,-0.99,790871
21/01/2021,14,14.155,13.88,14.13,0.44,3.21,1455260
20/01/2021,13.44,13.885,13.38,13.69,0.35,2.62,1483177
19/01/2021,13.4,13.53,13.2,13.34,0.19,1.44,1664134
18/01/2021,13.26,13.43,13.03,13.15,-0.28,-2.08,2005225
15/01/2021,13.55,13.64,13.32,13.43,-0.23,-1.68,1759409
14/01/2021,13.85,13.97,13.59,13.66,0,0,1631084
13/01/2021,13.75,13.89,13.42,13.66,-0.06,-0.44,1959198
12/01/2021,13.62,13.87,13.61,13.72,-0.12,-0.87,1555532
11/01/2021,14.05,14.15,13.79,13.84,-0.1,-0.72,1153672
08/01/2021,13.64,14.03,13.49,13.94,-0.06,-0.43,1702028
07/01/2021,14.85,14.96,13.93,14,-0.74,-5.02,2557395
06/01/2021,14.71,14.92,14.56,14.74,-0.31,-2.06,1266594
05/01/2021,14.78,15.08,14.78,15.05,-0.06,-0.4,1308977
04/01/2021,14.8,15.17,14.8,15.11,0.4,2.72,961333
31/12/2020,15.27,15.27,14.71,14.71,-0.43,-2.84,541448
30/12/2020,15.02,15.14,14.87,15.14,-0.04,-0.26,869503
29/12/2020,15.24,15.29,15.11,15.18,0.18,1.2,665537
24/12/2020,14.95,15.14,14.73,15,0.27,1.83,872087
23/12/2020,14.37,14.79,14.37,14.73,0.52,3.66,1211453
22/12/2020,14.28,14.43,14.155,14.21,-0.07,-0.49,1585062
21/12/2020,14.22,14.45,14.2,14.28,-0.18,-1.24,1697779
18/12/2020,14.89,14.99,14.43,14.46,-0.43,-2.89,1888745
17/12/2020,14.8,14.98,14.79,14.89,0.08,0.54,2484495
16/12/2020,14.98,14.98,14.81,14.81,0.08,0.54,1155372
15/12/2020,14.44,14.835,14.43,14.73,0.15,1.03,1496000
14/12/2020,14.4,14.78,14.14,14.58,0.26,1.82,1830710
11/12/2020,14.03,14.38,14,14.32,0.09,0.63,1856058
10/12/2020,14.05,14.36,13.88,14.23,0.03,0.21,1401070
09/12/2020,14.11,14.33,14.02,14.2,-0.06,-0.42,1872587
08/12/2020,14.48,14.53,14.26,14.26,-0.24,-1.66,2021535
07/12/2020,14.67,14.79,14.45,14.5,-0.03,-0.21,2928612
04/12/2020,14.24,14.61,14.21,14.53,0.3,2.11,1553412
03/12/2020,14,14.23,13.91,14.23,0.18,1.28,3059975
02/12/2020,14.26,14.26,13.96,14.05,-0.14,-0.99,2440737
01/12/2020,13.68,14.38,13.68,14.19,0.46,3.35,1803288
30/11/2020,13.5,13.92,13.36,13.73,0.41,3.08,2908285
27/11/2020,13.25,13.42,13.13,13.32,0.2,1.52,1284875
26/11/2020,13.15,13.255,13.1,13.12,0.02,0.15,1217856
25/11/2020,13.1,13.32,13.09,13.1,0.05,0.38,1557348
24/11/2020,13.11,13.23,12.98,13.05,-0.01,-0.08,2113478
23/11/2020,13.27,13.34,13.03,13.06,-0.1,-0.76,1278313
20/11/2020,13.22,13.4,13.09,13.16,-0.2,-1.5,1447108
19/11/2020,13.03,13.44,13.03,13.36,0.01,0.07,1672833
18/11/2020,13.69,13.98,13.24,13.35,-0.24,-1.77,2797681
17/11/2020,14.62,14.62,13.5,13.59,-0.85,-5.89,2647106
16/11/2020,14.51,14.57,14.39,14.44,0.3,2.12,83299
13/11/2020,14,14.3,14,14.14,0.16,1.14,1250660
12/11/2020,13.75,14.04,13.7,13.98,0.13,0.94,984236
11/11/2020,13.93,13.97,13.62,13.85,0.71,5.4,1877377
10/11/2020,13.95,14.005,13.05,13.14,-0.64,-4.64,2641108
09/11/2020,13.64,13.88,13.56,13.78,0.37,2.76,1008269
06/11/2020,13.31,13.48,13.27,13.41,0.04,0.3,1058637
05/11/2020,13.01,13.51,12.97,13.37,0.44,3.4,1456907
04/11/2020,12.54,13.15,12.49,12.93,0.39,3.11,1668925
03/11/2020,12.3,12.63,12.24,12.54,0.27,2.2,1637337
02/11/2020,12.3,12.47,12.22,12.27,-0.07,-0.57,1307384
30/10/2020,12.41,12.56,12.27,12.34,0.03,0.24,1837704
29/10/2020,12.31,12.435,12.17,12.31,-0.23,-1.83,2860975
28/10/2020,12.3,12.64,12.3,12.54,0.03,0.24,1363158
27/10/2020,12.75,12.79,12.33,12.51,-0.37,-2.87,1673074
26/10/2020,12.98,13.2,12.83,12.88,-0.07,-0.54,868353
23/10/2020,12.98,13.01,12.85,12.95,-0.02,-0.15,497581
22/10/2020,12.88,13.07,12.83,12.97,-0.05,-0.38,1229192
21/10/2020,13.14,13.31,12.99,13.02,-0.13,-0.99,1028137
20/10/2020,12.97,13.3,12.96,13.15,0.06,0.46,1114309
19/10/2020,13.33,13.355,13.05,13.09,-0.16,-1.21,1164718
16/10/2020,13.58,13.68,13.2,13.25,-0.23,-1.71,1196359
15/10/2020,13.55,13.59,13.38,13.48,0.06,0.45,1218682
14/10/2020,13.28,13.5,13.26,13.42,0.07,0.52,1227240
13/10/2020,13.35,13.46,13.26,13.35,-0.01,-0.07,1366837
12/10/2020,13.41,13.5,13.29,13.36,-0.07,-0.52,1089068
09/10/2020,13.53,13.65,13.37,13.43,-0.1,-0.74,1086726
08/10/2020,13.67,13.71,13.39,13.53,-0.02,-0.15,1531169
07/10/2020,13.31,13.715,13.275,13.55,0.31,2.34,1810408
06/10/2020,13.13,13.27,13.07,13.24,0.09,0.68,1582527
05/10/2020,13.02,13.44,13.01,13.15,0.27,2.1,847370
02/10/2020,12.68,13.16,12.68,12.88,0.16,1.26,2058451
01/10/2020,12.38,12.85,12.38,12.72,0.29,2.33,1484430
30/09/2020,12.43,12.54,12.31,12.43,-0.09,-0.72,2514052
29/09/2020,12.79,12.85,12.5,12.52,-0.05,-0.4,1350611
28/09/2020,12.32,12.65,12.32,12.57,0.2,1.62,1449070
25/09/2020,12.3,12.55,12.3,12.37,0.09,0.73,1191466
24/09/2020,12.23,12.43,12.14,12.28,-0.2,-1.6,3394036
23/09/2020,12.38,12.51,12.28,12.48,0.34,2.8,3515627
22/09/2020,12.1,12.34,12.08,12.14,-0.14,-1.14,2196923
21/09/2020,12.24,12.53,12.21,12.28,-0.08,-0.65,1732493
18/09/2020,12.62,12.74,12.26,12.36,-0.35,-2.75,4372878
17/09/2020,12.93,13.16,12.71,12.71,-0.12,-0.94,2705262
16/09/2020,12.47,12.92,12.37,12.83,0.45,3.63,2156588
15/09/2020,12.38,12.43,12.27,12.38,0.06,0.49,1424067
14/09/2020,12.4,12.52,12.21,12.32,-0.08,-0.65,1076577
11/09/2020,12.25,12.47,12.05,12.4,-0.02,-0.16,1243609
10/09/2020,12.48,12.57,12.285,12.42,0.01,0.08,1729570
09/09/2020,12.27,12.52,12.25,12.41,-0.11,-0.88,1476821
08/09/2020,12.42,12.58,12.36,12.52,0.21,1.71,1392336
07/09/2020,12.28,12.465,12.21,12.31,-0.2,-1.6,1082017
