Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,24.61,25.08,24.4,24.9,0.23,0.93,331079
29/01/2021,25.11,25.35,24.67,24.67,-0.51,-2.03,356267
28/01/2021,25.48,25.65,25.07,25.18,-0.52,-2.02,313962
27/01/2021,25.6,26.08,25.6,25.7,0,0,472401
25/01/2021,25.86,25.88,25.38,25.7,-0.24,-0.93,228088
22/01/2021,26.28,26.28,25.86,25.94,-0.49,-1.85,324894
21/01/2021,26.12,26.46,26.09,26.43,0.39,1.5,223234
20/01/2021,26.13,26.48,26.02,26.04,-0.25,-0.95,274338
19/01/2021,26.42,26.8,26.28,26.29,0.04,0.15,233688
18/01/2021,26.67,26.72,26.22,26.25,-0.87,-3.21,231822
15/01/2021,27.12,27.51,26.94,27.12,-0.08,-0.29,471175
14/01/2021,26.6,27.32,26.36,27.2,0.46,1.72,656093
13/01/2021,25.35,26.74,25.22,26.74,1.88,7.56,576712
12/01/2021,25.09,25.47,24.82,24.86,-0.22,-0.88,280786
11/01/2021,25.59,25.64,25.08,25.08,-0.51,-1.99,216522
08/01/2021,25.1,25.62,24.96,25.59,0.56,2.24,477144
07/01/2021,24.33,25.08,24.26,25.03,0.98,4.07,550784
06/01/2021,24.31,24.43,23.9,24.05,-0.36,-1.47,419095
05/01/2021,24.63,24.63,24.27,24.41,-0.45,-1.81,240635
04/01/2021,24.3,24.92,24.27,24.86,0.49,2.01,233992
31/12/2020,24.55,25.39,24.37,24.37,-0.24,-0.98,215246
30/12/2020,24.87,24.87,24.41,24.61,-0.38,-1.52,320386
29/12/2020,25.05,25.18,24.84,24.99,0.12,0.48,221871
24/12/2020,25.1,25.34,24.87,24.87,-0.2,-0.8,187183
23/12/2020,24.88,25.14,24.86,25.07,0.22,0.89,189801
22/12/2020,25.43,25.47,24.78,24.85,-0.63,-2.47,405518
21/12/2020,25.68,25.7,25.31,25.48,-0.33,-1.28,285206
18/12/2020,26.08,26.31,25.7,25.81,-0.43,-1.64,956612
17/12/2020,25.56,26.45,25.41,26.24,0.64,2.5,613420
16/12/2020,25.85,26.14,25.6,25.6,-0.01,-0.04,321649
