Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.06,3.09,3.02,3.06,-0.01,-0.33,1255172
29/01/2021,3.07,3.105,3.07,3.07,0.05,1.66,1756614
28/01/2021,3.01,3.045,2.99,3.02,-0.04,-1.31,1702776
27/01/2021,3.08,3.095,3.04,3.06,0,0,1917000
25/01/2021,3.04,3.07,3.03,3.06,0.02,0.66,1382136
22/01/2021,3.09,3.09,3.025,3.04,-0.05,-1.62,1040164
21/01/2021,3.04,3.11,3.03,3.09,0.06,1.98,2200300
20/01/2021,3.01,3.045,2.99,3.03,0.02,0.66,1696468
19/01/2021,2.98,3.03,2.96,3.01,0.04,1.35,2122817
18/01/2021,2.96,2.99,2.95,2.97,0.01,0.34,1130251
15/01/2021,2.94,2.97,2.91,2.96,0.01,0.34,2365482
14/01/2021,2.99,2.99,2.94,2.95,0.01,0.34,1142159
13/01/2021,2.98,3,2.93,2.94,-0.04,-1.34,1655543
12/01/2021,3.08,3.08,2.98,2.98,-0.04,-1.32,1423514
11/01/2021,3.06,3.06,3.01,3.02,-0.01,-0.33,1041648
08/01/2021,3.02,3.05,3.01,3.03,0.01,0.33,1350227
07/01/2021,3.09,3.09,3.02,3.02,-0.05,-1.63,1823690
06/01/2021,3.07,3.09,3.06,3.07,-0.02,-0.65,1248305
05/01/2021,3.07,3.1,3.03,3.09,0,0,2272991
04/01/2021,3.09,3.11,3.07,3.09,0,0,1155044
31/12/2020,3.17,3.17,3.07,3.09,-0.08,-2.52,1212409
30/12/2020,3.12,3.17,3.095,3.17,0.02,0.63,1556348
29/12/2020,3.14,3.18,3.13,3.15,0.03,0.96,862494
24/12/2020,3.12,3.14,3.1,3.12,0.01,0.32,423545
23/12/2020,3.1,3.13,3.085,3.11,0.03,0.97,1039372
22/12/2020,3.11,3.13,3.07,3.08,-0.02,-0.65,1412837
21/12/2020,3.12,3.12,3.07,3.1,-0.02,-0.64,1201424
18/12/2020,3.13,3.14,3.09,3.12,-0.01,-0.32,4692186
17/12/2020,3.09,3.13,3.09,3.13,0.04,1.29,2755540
16/12/2020,3.12,3.13,3.09,3.09,-0.01,-0.32,1664562
15/12/2020,3.1,3.1,3.06,3.1,0,0,2189023
14/12/2020,3.11,3.12,3.09,3.1,-0.01,-0.32,2080035
11/12/2020,3.08,3.11,3.06,3.11,0.04,1.3,1965095
10/12/2020,3.09,3.11,3.06,3.07,-0.02,-0.65,2112726
09/12/2020,3.12,3.13,3.09,3.09,0.01,0.32,1510857
08/12/2020,3.08,3.11,3.08,3.08,-0.01,-0.32,1281416
07/12/2020,3.1,3.13,3.07,3.09,0.02,0.65,1564420
04/12/2020,3.11,3.13,3.07,3.07,-0.06,-1.92,2538997
03/12/2020,3.13,3.15,3.1,3.13,0,0,1396469
02/12/2020,3.14,3.15,3.12,3.13,0.01,0.32,957024
01/12/2020,3.1,3.14,3.09,3.12,0.01,0.32,2471896
30/11/2020,3.16,3.18,3.11,3.11,-0.04,-1.27,1606818
27/11/2020,3.13,3.16,3.13,3.15,0.03,0.96,2711361
26/11/2020,3.15,3.16,3.11,3.12,0,0,1511692
25/11/2020,3.12,3.13,3.1,3.12,0,0,1550647
24/11/2020,3.13,3.13,3.085,3.12,0.01,0.32,1891285
23/11/2020,3.11,3.13,3.1,3.11,-0.01,-0.32,1432838
20/11/2020,3.09,3.15,3.09,3.12,0.03,0.97,2411456
19/11/2020,3.06,3.1,3.04,3.09,0.03,0.98,3108489
18/11/2020,3.1,3.1,3.06,3.06,-0.09,-2.86,3533079
16/11/2020,3.13,3.16,3.13,3.15,0.04,1.29,29762
13/11/2020,3.1,3.14,3.09,3.11,-0.03,-0.96,829621
12/11/2020,3.19,3.2,3.12,3.14,-0.04,-1.26,1260177
11/11/2020,3.2,3.21,3.14,3.18,0.04,1.27,1682250
10/11/2020,3.24,3.27,3.13,3.14,-0.04,-1.26,2316371
09/11/2020,3.17,3.19,3.15,3.18,0.01,0.32,895195
06/11/2020,3.17,3.18,3.14,3.17,0.02,0.63,627464
05/11/2020,3.13,3.16,3.12,3.15,0,0,789844
04/11/2020,3.12,3.15,3.09,3.15,0.04,1.29,1023230
03/11/2020,3.08,3.11,3.07,3.11,0.05,1.63,1079001
02/11/2020,3.05,3.08,3.05,3.06,-0.01,-0.33,721593
30/10/2020,3.08,3.09,3.05,3.07,0,0,1120751
29/10/2020,3.11,3.13,3.05,3.07,-0.06,-1.92,1887222
28/10/2020,3.1,3.14,3.09,3.13,0.01,0.32,1112252
27/10/2020,3.15,3.17,3.115,3.12,-0.04,-1.27,998505
26/10/2020,3.16,3.18,3.15,3.16,-0.02,-0.63,753118
23/10/2020,3.18,3.195,3.155,3.18,0.01,0.32,721472
22/10/2020,3.19,3.23,3.15,3.17,-0.01,-0.31,1148249
21/10/2020,3.21,3.24,3.17,3.18,-0.04,-1.24,1501960
20/10/2020,3.23,3.23,3.18,3.22,0.01,0.31,759799
19/10/2020,3.29,3.29,3.2,3.21,-0.02,-0.62,816072
16/10/2020,3.26,3.27,3.22,3.23,-0.03,-0.92,986981
15/10/2020,3.22,3.29,3.2,3.26,0.04,1.24,2197420
14/10/2020,3.18,3.22,3.16,3.22,0.03,0.94,1167234
13/10/2020,3.19,3.21,3.16,3.19,0.01,0.31,1295300
12/10/2020,3.18,3.21,3.16,3.18,0,0,1379006
09/10/2020,3.2,3.23,3.18,3.18,0,0,1535146
