Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,9.59,9.69,9.38,9.6,-0.05,-0.52,378694
29/01/2021,9.47,9.82,9.39,9.65,0.34,3.65,526065
28/01/2021,9.26,9.41,9.11,9.31,-0.15,-1.59,646101
27/01/2021,9.57,9.61,9.445,9.46,-0.1,-1.05,641361
25/01/2021,9.55,9.7,9.53,9.56,0.03,0.31,220400
22/01/2021,9.5,9.61,9.46,9.53,-0.04,-0.42,330196
21/01/2021,9.6,9.6,9.36,9.57,0.06,0.63,252097
20/01/2021,9.5,9.61,9.42,9.51,0.02,0.21,275850
19/01/2021,9.32,9.53,9.26,9.49,0.29,3.15,401261
18/01/2021,9.18,9.33,9.18,9.2,0.02,0.22,307005
15/01/2021,9.21,9.27,9.14,9.18,-0.03,-0.33,325591
14/01/2021,9.01,9.28,9.01,9.21,0.14,1.54,313113
13/01/2021,9.17,9.19,9.01,9.07,-0.11,-1.2,261786
12/01/2021,9.25,9.29,9.08,9.18,-0.01,-0.11,263122
11/01/2021,9.41,9.5,9.135,9.19,-0.26,-2.75,296516
08/01/2021,9.39,9.47,9.27,9.45,0.06,0.64,244589
07/01/2021,9.51,9.59,9.35,9.39,-0.03,-0.32,351692
06/01/2021,9.56,9.6,9.415,9.42,-0.16,-1.67,388943
05/01/2021,9.45,9.61,9.38,9.58,0.04,0.42,313608
04/01/2021,9.65,9.72,9.49,9.54,-0.1,-1.04,254240
31/12/2020,9.7,9.83,9.63,9.64,-0.15,-1.53,113552
30/12/2020,9.78,9.86,9.63,9.79,-0.06,-0.61,180909
29/12/2020,10.12,10.12,9.78,9.85,-0.01,-0.1,223054
24/12/2020,9.99,10.13,9.85,9.86,-0.1,-1,103084
23/12/2020,9.79,10.01,9.78,9.96,0.17,1.74,392145
22/12/2020,9.87,9.93,9.76,9.79,-0.08,-0.81,273318
21/12/2020,10.1,10.13,9.87,9.87,-0.16,-1.6,193412
18/12/2020,10.3,10.3,10.02,10.03,-0.1,-0.99,242505
17/12/2020,10.25,10.32,10.12,10.13,-0.02,-0.2,707787
16/12/2020,10.28,10.35,10.08,10.15,0.01,0.1,543437
15/12/2020,10,10.25,9.81,10.14,0.24,2.42,706355
14/12/2020,9.93,10.09,9.87,9.9,0.13,1.33,290630
11/12/2020,9.94,10.03,9.73,9.77,-0.17,-1.71,395510
10/12/2020,10.15,10.15,9.89,9.94,-0.28,-2.74,519639
09/12/2020,10.15,10.32,10.1,10.22,0.16,1.59,333427
08/12/2020,10.13,10.185,9.95,10.06,-0.12,-1.18,546298
07/12/2020,10.45,10.55,10.13,10.18,-0.25,-2.4,543006
04/12/2020,10.47,10.54,10.31,10.43,-0.03,-0.29,760818
03/12/2020,10.39,10.68,10.32,10.46,0.1,0.97,980170
02/12/2020,10.36,10.595,10.11,10.36,-0.01,-0.1,1161309
01/12/2020,9.75,10.47,9.54,10.37,1.02,10.91,1467427
30/11/2020,9.42,9.48,9.285,9.35,-0.06,-0.64,499429
27/11/2020,9.2,9.44,9.2,9.41,0.06,0.64,269559
26/11/2020,9.4,9.57,9.32,9.35,-0.05,-0.53,1021089
25/11/2020,9.61,9.67,9.4,9.4,-0.22,-2.29,571046
24/11/2020,9.82,9.85,9.6,9.62,-0.2,-2.04,457929
23/11/2020,9.83,9.89,9.76,9.82,0,0,366755
20/11/2020,9.83,9.92,9.76,9.82,0.01,0.1,264649
19/11/2020,10.07,10.14,9.78,9.81,-0.23,-2.29,448257
18/11/2020,10.12,10.24,10.04,10.04,-0.06,-0.59,270653
17/11/2020,10.17,10.17,9.94,10.1,-0.07,-0.69,499047
16/11/2020,10.19,10.2,10.13,10.17,0.04,0.39,17633
13/11/2020,9.98,10.17,9.98,10.13,0.14,1.4,386393
12/11/2020,10.21,10.22,9.9,9.99,-0.19,-1.87,433665
11/11/2020,9.67,10.19,9.5,10.18,0.43,4.41,1109084
10/11/2020,10.25,10.28,9.62,9.75,-0.31,-3.08,878138
09/11/2020,9.95,10.06,9.93,10.06,0.09,0.9,468631
06/11/2020,10.1,10.1,9.88,9.97,-0.08,-0.8,364525
05/11/2020,10,10.12,9.94,10.05,0.09,0.9,349172
04/11/2020,9.72,10.05,9.67,9.96,0.22,2.26,429442
03/11/2020,9.51,9.78,9.51,9.74,0.17,1.78,282947
02/11/2020,9.6,9.67,9.44,9.57,-0.09,-0.93,418284
30/10/2020,9.93,9.93,9.66,9.66,-0.27,-2.72,465261
29/10/2020,9.95,9.95,9.77,9.93,-0.17,-1.68,331171
28/10/2020,9.91,10.15,9.73,10.1,0.08,0.8,400002
27/10/2020,10.28,10.43,9.94,10.02,-0.27,-2.62,512353
26/10/2020,10.58,10.75,10.27,10.29,-0.22,-2.09,472053
23/10/2020,10.35,10.63,10.35,10.51,0.11,1.06,404694
22/10/2020,10.2,10.44,10.14,10.4,0.07,0.68,482686
21/10/2020,10.45,10.54,10.18,10.33,-0.15,-1.43,312919
20/10/2020,10.61,10.72,10.33,10.48,-0.2,-1.87,660580
19/10/2020,10.89,10.96,10.68,10.68,-0.1,-0.93,217921
16/10/2020,10.95,11.06,10.76,10.78,-0.21,-1.91,291238
15/10/2020,11.03,11.11,10.91,10.99,0.02,0.18,354183
14/10/2020,10.85,11.14,10.78,10.97,0.15,1.39,423640
13/10/2020,10.69,10.9,10.62,10.82,0.25,2.37,660082
12/10/2020,10.5,10.74,10.5,10.57,0.07,0.67,287562
09/10/2020,10.51,10.68,10.5,10.5,-0.15,-1.41,217566
08/10/2020,10.68,10.77,10.5,10.65,0.03,0.28,451742
07/10/2020,10.31,10.64,10.25,10.62,0.21,2.02,412850
06/10/2020,10.25,10.48,10.23,10.41,0.16,1.56,311700
05/10/2020,10.3,10.4,10.12,10.25,0.03,0.29,279554
02/10/2020,10.4,10.49,10.05,10.22,-0.18,-1.73,606587
01/10/2020,10.34,10.52,10.24,10.4,0.13,1.27,450805
30/09/2020,10.62,10.71,10.27,10.27,-0.45,-4.2,1112279
29/09/2020,10.81,10.84,10.66,10.72,-0.03,-0.28,240362
28/09/2020,10.75,10.77,10.63,10.75,0.04,0.37,443179
25/09/2020,10.6,10.81,10.54,10.71,0.17,1.61,357396
24/09/2020,10.65,10.65,10.48,10.54,-0.16,-1.5,498491
23/09/2020,10.47,10.7,10.41,10.7,0.35,3.38,557458
22/09/2020,10,10.59,10,10.35,0.34,3.4,792175
21/09/2020,10.1,10.25,9.96,10.01,-0.2,-1.96,379650
18/09/2020,10.28,10.34,10.15,10.21,-0.06,-0.58,593290
17/09/2020,10.45,10.56,10.25,10.27,-0.09,-0.87,474461
16/09/2020,10.04,10.4,9.94,10.36,0.44,4.44,621189
15/09/2020,9.99,10.18,9.9,9.92,0,0,615651
14/09/2020,10.03,10.08,9.85,9.92,-0.05,-0.5,387062
11/09/2020,9.9,10.05,9.87,9.97,-0.06,-0.6,370771
10/09/2020,9.76,10.08,9.75,10.03,0.31,3.19,416102
09/09/2020,9.8,9.97,9.53,9.72,-0.3,-2.99,1570532
08/09/2020,10.05,10.24,9.93,10.02,-0.03,-0.3,682936
07/09/2020,10.16,10.25,9.92,10.05,-0.23,-2.24,602293
04/09/2020,10.37,10.45,10.14,10.28,-0.23,-2.19,339431
03/09/2020,10.52,10.72,10.42,10.51,0.11,1.06,369275
02/09/2020,10.41,10.45,10.24,10.4,0,0,315453
01/09/2020,10.32,10.51,10.14,10.4,-0.01,-0.1,599121
31/08/2020,10.43,10.645,10.335,10.41,-0.02,-0.19,479418
28/08/2020,10.58,10.66,10.36,10.43,-0.16,-1.51,328282
27/08/2020,10.57,10.67,10.49,10.59,0.02,0.19,584910
26/08/2020,10.85,10.9,10.395,10.57,-0.28,-2.58,694003
25/08/2020,10.86,10.96,10.76,10.85,0.1,0.93,361284
24/08/2020,10.65,10.78,10.54,10.75,0.21,1.99,315052
21/08/2020,10.55,10.76,10.5,10.54,0.04,0.38,320659
20/08/2020,10.32,10.5,10.22,10.5,0.11,1.06,769540
19/08/2020,10.15,10.48,10.15,10.39,0.07,0.68,298041
18/08/2020,10.1,10.42,10,10.32,0.24,2.38,462154
17/08/2020,10.1,10.25,10.02,10.08,-0.09,-0.88,325896
14/08/2020,9.86,10.28,9.79,10.17,0.31,3.14,484001
13/08/2020,9.86,9.98,9.71,9.86,0.09,0.92,401932
12/08/2020,9.87,10.09,9.64,9.77,0.04,0.41,499452
11/08/2020,9.86,9.9,9.63,9.73,-0.11,-1.12,581996
10/08/2020,9.98,10.08,9.8,9.84,-0.01,-0.1,482365
07/08/2020,9.61,9.9,9.52,9.85,0.22,2.28,400615
06/08/2020,9.58,9.71,9.49,9.63,0.05,0.52,306811
05/08/2020,9.63,9.7,9.495,9.58,-0.03,-0.31,343874
04/08/2020,9.5,9.7,9.46,9.61,0.21,2.23,365997
03/08/2020,9.33,9.46,9.2,9.4,-0.12,-1.26,323687
31/07/2020,9.68,9.68,9.435,9.52,-0.14,-1.45,279863
30/07/2020,9.56,9.74,9.56,9.66,0.15,1.58,488537
29/07/2020,9.71,9.75,9.46,9.51,-0.3,-3.06,520242
28/07/2020,9.8,9.89,9.75,9.81,0,0,510616
27/07/2020,9.44,9.88,9.39,9.81,0.38,4.03,716655
24/07/2020,9.5,9.54,9.38,9.43,-0.16,-1.67,264184
23/07/2020,9.67,9.72,9.5,9.59,0.04,0.42,414801
22/07/2020,9.89,9.89,9.47,9.55,-0.44,-4.4,1275206
21/07/2020,9.69,10.04,9.58,9.99,0.54,5.71,642942
20/07/2020,9.57,9.72,9.41,9.45,-0.11,-1.15,511910
17/07/2020,9.62,9.74,9.45,9.56,-0.04,-0.42,453223
16/07/2020,9.51,9.73,9.34,9.6,0.37,4.01,1355156
15/07/2020,9.2,9.34,9.07,9.23,0.1,1.1,792718
14/07/2020,9.31,9.4,9.01,9.13,-0.09,-0.98,868401
13/07/2020,9.31,9.62,9.19,9.22,0.1,1.1,1354939
10/07/2020,9.41,9.43,9.09,9.12,-0.32,-3.39,626796
09/07/2020,9.43,9.53,9.41,9.44,-0.03,-0.32,573465
08/07/2020,9.55,9.66,9.4,9.47,-0.06,-0.63,672255
07/07/2020,9.59,9.785,9.38,9.53,0.07,0.74,822446
06/07/2020,9.4,9.59,9.4,9.46,0.08,0.85,827225
03/07/2020,9.64,9.76,9.25,9.38,-0.2,-2.09,884970
02/07/2020,9.5,9.75,9.42,9.58,0.13,1.38,1177799
01/07/2020,9.77,9.8,9.36,9.45,0.03,0.32,1163359
30/06/2020,9.08,9.87,9.08,9.42,1.06,12.68,1439160
29/06/2020,8.1,8.45,7.97,8.36,0.07,0.84,651319
26/06/2020,8.1,8.34,8.03,8.29,0.22,2.73,538904
25/06/2020,8.23,8.33,7.99,8.07,-0.3,-3.58,442274
24/06/2020,8.29,8.49,8.18,8.37,0.14,1.7,403512
23/06/2020,8.25,8.39,8.09,8.23,0,0,378951
22/06/2020,8.25,8.26,7.99,8.23,-0.12,-1.44,551617
19/06/2020,8.04,8.52,8.02,8.35,0.39,4.9,1033402
18/06/2020,7.9,8,7.72,7.96,0.06,0.76,710054
17/06/2020,7.88,8.03,7.73,7.9,0.06,0.77,563875
16/06/2020,7.87,8.02,7.72,7.84,0.32,4.26,649651
15/06/2020,7.9,8.03,7.51,7.52,-0.41,-5.17,507303
12/06/2020,7.84,8.01,7.39,7.93,-0.12,-1.49,1107567
11/06/2020,8.25,8.45,8.05,8.05,-0.27,-3.25,607367
10/06/2020,8.19,8.39,8.05,8.32,0.12,1.46,586100
09/06/2020,8.35,8.45,8.17,8.2,-0.02,-0.24,544975
05/06/2020,8.09,8.29,7.91,8.22,0.12,1.48,700221
04/06/2020,8.28,8.32,7.99,8.1,-0.11,-1.34,723889
03/06/2020,8.13,8.3,8.11,8.21,0.11,1.36,441960
02/06/2020,8,8.14,7.96,8.1,0.14,1.76,408218
01/06/2020,7.81,7.98,7.79,7.96,-0.04,-0.5,360243
29/05/2020,7.91,8.18,7.8,8,0.03,0.38,651809
28/05/2020,8,8.11,7.76,7.97,0.01,0.13,576512
27/05/2020,8.15,8.24,7.93,7.96,-0.33,-3.98,756140
26/05/2020,7.99,8.44,7.74,8.29,0.4,5.07,1007148
25/05/2020,7.53,7.92,7.46,7.89,0.5,6.77,416396
22/05/2020,7.51,7.51,7.37,7.39,-0.02,-0.27,414151
21/05/2020,7.58,7.6,7.3,7.41,-0.02,-0.27,313831
20/05/2020,7.28,7.5,7.15,7.43,0.13,1.78,402844
19/05/2020,7.43,7.53,7.26,7.3,0.09,1.25,399761
18/05/2020,7.3,7.49,7.18,7.21,-0.05,-0.69,380216
15/05/2020,7.38,7.43,7.24,7.26,0.01,0.14,284357
14/05/2020,7.15,7.39,7.09,7.25,-0.07,-0.96,644782
13/05/2020,7.38,7.43,7.12,7.32,-0.15,-2.01,685835
12/05/2020,7.61,7.78,7.3,7.47,-0.18,-2.35,853270
11/05/2020,7.88,8.01,7.58,7.65,-0.06,-0.78,676995
08/05/2020,7.8,7.97,7.62,7.71,-0.05,-0.64,576524
07/05/2020,7.7,7.76,7.48,7.76,0.1,1.31,582032
06/05/2020,7.99,8.08,7.65,7.66,-0.02,-0.26,987771
05/05/2020,7.31,7.72,7.19,7.68,0.8,11.63,1383755
04/05/2020,6.94,6.985,6.76,6.88,-0.12,-1.71,439975
