Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.59,4.67,4.545,4.64,0.02,0.43,3183051
29/01/2021,4.59,4.67,4.57,4.62,0.07,1.54,2720950
28/01/2021,4.54,4.57,4.46,4.55,-0.04,-0.87,2474391
27/01/2021,4.54,4.62,4.52,4.59,0.15,3.38,3180361
25/01/2021,4.46,4.485,4.43,4.44,-0.01,-0.22,1372717
22/01/2021,4.44,4.47,4.42,4.45,0.03,0.68,1475644
21/01/2021,4.55,4.55,4.4,4.42,-0.05,-1.12,4396991
20/01/2021,4.49,4.52,4.45,4.47,-0.03,-0.67,1699977
19/01/2021,4.51,4.55,4.46,4.5,0.01,0.22,2390569
18/01/2021,4.5,4.55,4.49,4.49,-0.01,-0.22,1630749
15/01/2021,4.47,4.51,4.41,4.5,0.04,0.9,2440981
14/01/2021,4.42,4.49,4.39,4.46,0.07,1.59,2167638
13/01/2021,4.43,4.44,4.33,4.39,0.01,0.23,2555200
12/01/2021,4.42,4.44,4.37,4.38,-0.04,-0.9,2419695
11/01/2021,4.5,4.52,4.41,4.42,-0.06,-1.34,2271495
08/01/2021,4.6,4.6,4.43,4.48,-0.04,-0.88,3152887
07/01/2021,4.68,4.71,4.51,4.52,-0.14,-3,3603596
06/01/2021,4.7,4.71,4.65,4.66,-0.02,-0.43,2211210
05/01/2021,4.64,4.68,4.6,4.68,0.01,0.21,1908747
04/01/2021,4.65,4.68,4.62,4.67,0.02,0.43,1519411
31/12/2020,4.7,4.72,4.65,4.65,-0.03,-0.64,1345409
30/12/2020,4.68,4.71,4.59,4.68,-0.07,-1.47,2855660
29/12/2020,4.73,4.78,4.72,4.75,0.02,0.42,6434618
24/12/2020,4.72,4.755,4.68,4.73,0.02,0.42,1566100
23/12/2020,4.72,4.76,4.685,4.71,0.05,1.07,4314418
22/12/2020,4.68,4.7,4.6,4.66,0.02,0.43,4244915
21/12/2020,4.7,4.74,4.63,4.64,-0.06,-1.28,3704231
18/12/2020,4.8,4.82,4.69,4.7,-0.1,-2.08,6059943
17/12/2020,4.7,4.81,4.68,4.8,0.1,2.13,4206906
16/12/2020,4.82,4.82,4.69,4.7,-0.05,-1.05,5121529
15/12/2020,4.73,4.78,4.7,4.75,0.02,0.42,4241402
14/12/2020,4.68,4.77,4.68,4.73,0.03,0.64,2497606
11/12/2020,4.67,4.72,4.67,4.7,0.03,0.64,5194446
10/12/2020,4.75,4.77,4.65,4.67,-0.14,-2.91,6033246
08/12/2020,4.87,4.87,4.8,4.81,-0.02,-0.41,1460464
07/12/2020,4.87,4.905,4.82,4.83,-0.04,-0.82,2086331
