Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,0.805,0.835,0.8,0.835,0.025,3.09,6961687
29/01/2021,0.82,0.84,0.81,0.81,0,0,6725312
28/01/2021,0.835,0.84,0.81,0.81,-0.025,-2.99,7108363
27/01/2021,0.845,0.855,0.835,0.835,-0.005,-0.6,5110687
25/01/2021,0.845,0.845,0.84,0.84,0,0,2563323
22/01/2021,0.845,0.85,0.84,0.84,0,0,2580717
21/01/2021,0.85,0.86,0.84,0.84,-0.005,-0.59,3310833
20/01/2021,0.855,0.86,0.845,0.845,-0.005,-0.59,2535900
19/01/2021,0.85,0.86,0.84,0.85,0.01,1.19,2928990
18/01/2021,0.855,0.855,0.835,0.84,-0.005,-0.59,3106988
15/01/2021,0.845,0.855,0.845,0.845,0,0,2603886
14/01/2021,0.845,0.855,0.84,0.845,0,0,3504598
13/01/2021,0.845,0.855,0.83,0.845,0,0,4578970
12/01/2021,0.86,0.865,0.845,0.845,-0.01,-1.17,4683964
11/01/2021,0.86,0.865,0.85,0.855,0,0,3509386
08/01/2021,0.86,0.865,0.85,0.855,0,0,3530966
07/01/2021,0.865,0.87,0.855,0.855,-0.01,-1.16,3077169
06/01/2021,0.875,0.875,0.86,0.865,-0.005,-0.57,2680241
05/01/2021,0.87,0.8775,0.865,0.87,-0.01,-1.14,2366271
04/01/2021,0.88,0.8825,0.87,0.88,0.01,1.15,2058365
31/12/2020,0.9,0.9,0.87,0.87,-0.025,-2.79,2419442
30/12/2020,0.89,0.895,0.88,0.895,-0.01,-1.1,2678691
29/12/2020,0.9,0.915,0.9,0.905,0.015,1.69,2286979
24/12/2020,0.885,0.905,0.88,0.89,0.01,1.14,1834407
23/12/2020,0.885,0.89,0.875,0.88,0,0,3057042
22/12/2020,0.89,0.892,0.87,0.88,-0.01,-1.12,3787322
21/12/2020,0.885,0.895,0.88,0.89,0.005,0.56,3745100
18/12/2020,0.9,0.91,0.885,0.885,-0.03,-3.28,12683666
17/12/2020,0.925,0.925,0.905,0.915,-0.005,-0.54,6498867
16/12/2020,0.935,0.94,0.91,0.92,-0.015,-1.6,3710405
15/12/2020,0.925,0.94,0.92,0.935,0.005,0.54,4511505
14/12/2020,0.9,0.9375,0.9,0.93,0.025,2.76,4842419
11/12/2020,0.89,0.905,0.89,0.905,0.015,1.69,3767887
10/12/2020,0.9,0.905,0.89,0.89,-0.015,-1.66,6804124
09/12/2020,0.9,0.905,0.895,0.905,0.01,1.12,2721719
08/12/2020,0.895,0.905,0.895,0.895,-0.005,-0.56,4023211
07/12/2020,0.9,0.905,0.895,0.9,0.005,0.56,4470690
04/12/2020,0.9,0.9,0.885,0.895,0,0,4310448
03/12/2020,0.89,0.9,0.885,0.895,0,0,5274540
02/12/2020,0.895,0.9,0.885,0.895,0.005,0.56,4010163
01/12/2020,0.87,0.895,0.87,0.89,0.035,4.09,5891107
30/11/2020,0.915,0.915,0.855,0.855,-0.055,-6.04,10298978
27/11/2020,0.915,0.925,0.905,0.91,-0.005,-0.55,2502183
26/11/2020,0.93,0.94,0.915,0.915,-0.02,-2.14,3639405
25/11/2020,0.945,0.945,0.935,0.935,-0.005,-0.53,6696823
24/11/2020,0.94,0.945,0.9375,0.94,-0.005,-0.53,6949231
23/11/2020,0.95,0.95,0.94,0.945,-0.01,-1.05,4184713
20/11/2020,0.97,0.9925,0.955,0.955,-0.045,-4.5,5687483
17/11/2020,0.99,1,0.98,1,0.01,1.01,4697206
16/11/2020,0.98,0.995,0.975,0.99,0.02,2.06,267729
