Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,7.89,8.11,7.84,8.06,0.19,2.41,538161
29/01/2021,7.86,7.98,7.8,7.87,0.12,1.55,798424
28/01/2021,7.65,7.75,7.62,7.75,-0.02,-0.26,694062
27/01/2021,7.97,8.005,7.75,7.77,-0.08,-1.02,532208
25/01/2021,7.65,7.89,7.65,7.85,0.1,1.29,394769
22/01/2021,7.59,7.76,7.59,7.75,0.2,2.65,412235
21/01/2021,7.58,7.62,7.48,7.55,-0.02,-0.26,685752
20/01/2021,7.54,7.64,7.54,7.57,0,0,311830
19/01/2021,7.53,7.61,7.47,7.57,0.09,1.2,540922
18/01/2021,7.43,7.59,7.43,7.48,0.02,0.27,585662
15/01/2021,7.42,7.57,7.42,7.46,-0.05,-0.67,505087
14/01/2021,7.46,7.55,7.45,7.51,0,0,439932
13/01/2021,7.38,7.52,7.38,7.51,0.13,1.76,383673
12/01/2021,7.3,7.41,7.24,7.38,0.03,0.41,683296
11/01/2021,7.44,7.505,7.28,7.35,-0.16,-2.13,817614
08/01/2021,7.35,7.51,7.35,7.51,0.24,3.3,398129
07/01/2021,7.39,7.39,7.27,7.27,-0.04,-0.55,1696121
06/01/2021,7.34,7.42,7.26,7.31,-0.04,-0.54,632980
05/01/2021,7.3,7.35,7.2,7.35,0.08,1.1,664600
04/01/2021,7.16,7.32,7.11,7.27,-0.07,-0.95,301034
31/12/2020,7.46,7.54,7.33,7.34,-0.11,-1.48,273229
30/12/2020,7.55,7.6,7.37,7.45,-0.14,-1.84,807815
29/12/2020,7.44,7.59,7.39,7.59,0.22,2.99,538317
24/12/2020,7.4,7.43,7.355,7.37,0.03,0.41,180996
23/12/2020,7.41,7.41,7.29,7.34,0.03,0.41,426952
22/12/2020,7.28,7.36,7.215,7.31,0.03,0.41,778027
21/12/2020,7.3,7.375,7.2,7.28,-0.02,-0.27,696203
18/12/2020,7.35,7.37,7.215,7.3,-0.02,-0.27,748837
17/12/2020,7.34,7.42,7.28,7.32,0.09,1.24,972906
16/12/2020,7.32,7.32,7.23,7.23,0.04,0.56,631707
15/12/2020,7.33,7.37,7.14,7.19,-0.11,-1.51,616953
14/12/2020,7.36,7.47,7.3,7.3,-0.07,-0.95,532886
11/12/2020,7.39,7.45,7.32,7.37,0,0,718514
10/12/2020,7.5,7.56,7.35,7.37,-0.17,-2.25,1115756
09/12/2020,7.53,7.68,7.51,7.54,0.06,0.8,712453
08/12/2020,7.49,7.56,7.48,7.48,0,0,745731
07/12/2020,7.69,7.73,7.48,7.48,-0.22,-2.86,519208
