Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
10/10/2019,207.45,207.54,204.9,205.75,-1.7,-0.82,138619
11/10/2019,208.74,209.49,206.54,207.16,1.41,0.69,132505
14/10/2019,208.78,210.64,208.14,208.52,1.36,0.66,126454
15/10/2019,209.75,211.74,208.71,211.55,3.03,1.45,162767
16/10/2019,213.79,214.5,212.64,213.8,2.25,1.06,162559
17/10/2019,214.94,214.94,208.54,209.13,-4.67,-2.18,181686
18/10/2019,208.86,211.5,207.57,208.77,-0.36,-0.17,160334
21/10/2019,208,214.405,206.37,214.25,5.48,2.62,209958
22/10/2019,212.5,213,201.11,202.42,-11.83,-5.52,313592
23/10/2019,202.4,202.55,199.9,201.94,-0.48,-0.24,251759
24/10/2019,203.84,205.44,201.07,202.27,0.33,0.16,192685
25/10/2019,204,208.17,202.46,207.42,5.15,2.55,123868
28/10/2019,208.01,210.79,207.82,210.4,2.98,1.44,169558
29/10/2019,211,213.21,208.64,209.26,-1.14,-0.54,211354
30/10/2019,212.11,212.65,209.78,211.29,2.03,0.97,139315
31/10/2019,211.79,213.82,210.91,211.54,0.25,0.12,128231
01/11/2019,211.52,213.93,210.39,213.93,2.39,1.13,149560
04/11/2019,214,215.99,213.01,213.62,-0.31,-0.14,103791
05/11/2019,214.22,216.76,213,216.04,2.42,1.13,143244
06/11/2019,216.39,217.37,212,212,-4.04,-1.87,168278
07/11/2019,211.34,214.42,210.65,214,2,0.94,150792
08/11/2019,212.63,214.17,212.3,213.82,-0.18,-0.08,188195
11/11/2019,216.12,218.32,215.9,218.32,4.5,2.1,104705
12/11/2019,219.99,221.8,219.51,221.03,2.71,1.24,408719
13/11/2019,223.03,223.89,219.21,219.68,-1.35,-0.61,177845
14/11/2019,219.01,223.49,218.15,222.61,2.93,1.33,103745
15/11/2019,223.47,224.92,222.28,224.55,1.94,0.87,112147
18/11/2019,224.95,225.25,222.8,223.91,-0.64,-0.29,76200
19/11/2019,224,227.39,222.92,227.39,3.48,1.55,140371
20/11/2019,223.96,224.36,220.52,222,-5.39,-2.37,184647
21/11/2019,221.27,224.34,221.135,222.62,0.62,0.28,132960
22/11/2019,221.5,225.32,221.355,224.84,2.22,1,101209
25/11/2019,225,226.99,223.79,224.82,-0.02,-0.01,112766
26/11/2019,227,229.8,226.36,229.8,4.98,2.22,256015
27/11/2019,229.12,231.75,227.245,231.04,1.24,0.54,195119
28/11/2019,234,235.71,231.72,233.73,2.69,1.16,108322
29/11/2019,235,236.23,233.31,233.99,0.26,0.11,170729
02/12/2019,236.39,238.54,235.13,236.25,2.26,0.97,157509
03/12/2019,232,232.98,230.49,231.53,-4.72,-2,186479
04/12/2019,228.83,231.85,226.575,226.95,-4.58,-1.98,205581
05/12/2019,231.79,231.79,227,228.7,1.75,0.77,157564
06/12/2019,227.43,230.55,227.23,230.3,1.6,0.7,132545
09/12/2019,230.01,231.57,229.73,230.61,0.31,0.13,116931
10/12/2019,228.01,229.82,227.08,227.42,-3.19,-1.38,156112
11/12/2019,227.31,228.46,226.68,228.16,0.74,0.33,176427
12/12/2019,229.4,231.28,228.71,229.81,1.65,0.72,622377
13/12/2019,228.7,229.79,224.89,225.1,-4.71,-2.05,383096
16/12/2019,225.29,232.07,224.88,231.62,6.52,2.9,301830
17/12/2019,228.8,231.82,228.8,231.39,-0.23,-0.1,193403
18/12/2019,233.33,236.27,233.275,235.71,4.32,1.87,183212
19/12/2019,237.04,237.94,232.81,233.61,-2.1,-0.89,378430
20/12/2019,233.57,234.53,230.85,234.53,0.92,0.39,270291
23/12/2019,233,234.62,231.8,232.47,-2.06,-0.88,118272
24/12/2019,233.04,233.9,232.04,232.74,0.27,0.12,50279
27/12/2019,232.5,233.36,232.1,232.69,-0.05,-0.02,47249
30/12/2019,234.17,234.4,231.08,232.8,0.11,0.05,32478
31/12/2019,230,231.02,224.73,224.73,-8.07,-3.47,97919
02/01/2020,225.69,227.6,225,225.32,0.59,0.26,89152
03/01/2020,227.94,229.77,225.28,225.68,0.36,0.16,89646
06/01/2020,225.15,226.62,222.57,225.96,0.28,0.12,101016
07/01/2020,224,226.42,223.26,225.96,0,0,160613
08/01/2020,225.5,225.93,219.8,224.02,-1.94,-0.86,200229
09/01/2020,224.79,229.61,224,229.61,5.59,2.5,167871
10/01/2020,230,232.76,230,232.69,3.08,1.34,108042
13/01/2020,232.03,232.96,230.46,232.15,-0.54,-0.23,119595
14/01/2020,231.27,234.03,231.27,232.88,0.73,0.31,201058
15/01/2020,233.5,236.44,232.74,236.01,3.13,1.34,146927
16/01/2020,239.99,239.99,237.27,239.22,3.21,1.36,167254
17/01/2020,241.96,242.76,239.6,240.71,1.49,0.62,123866
20/01/2020,239.3,240.03,237.27,237.85,-2.86,-1.19,119325
21/01/2020,238.52,239.7,236.55,238.23,0.38,0.16,122576
22/01/2020,237.72,241.47,237.66,240.89,2.66,1.12,189117
23/01/2020,239.99,239.99,234.58,237.1,-3.79,-1.57,204225
24/01/2020,234.5,237.43,234.18,236.05,-1.05,-0.44,161660
28/01/2020,229.51,236.03,227.66,235.56,-0.49,-0.21,167464
29/01/2020,237.24,240.93,237,240.11,4.55,1.93,137566
30/01/2020,241.05,241.8,237.67,238.31,-1.8,-0.75,153388
31/01/2020,239,241.49,237.63,241.07,2.76,1.16,142430
03/02/2020,238.64,241.57,237.38,239.75,-1.32,-0.55,105812
04/02/2020,237.99,241.85,237.99,240.13,0.38,0.16,135285
05/02/2020,242.03,243.86,240.83,242.27,2.14,0.89,94006
06/02/2020,244.4,244.4,238.88,243.55,1.28,0.53,137964
07/02/2020,244,245.01,242,243.22,-0.33,-0.14,108768
10/02/2020,245,245.43,241.63,244.76,1.54,0.63,172381
11/02/2020,235.73,244.79,232,236.47,-8.29,-3.39,354950
12/02/2020,235.63,240,232.87,232.87,-3.6,-1.52,272293
13/02/2020,237,237,227.75,228.21,-4.66,-2,293163
14/02/2020,229.34,233.9,228.2,233,4.79,2.1,261418
17/02/2020,234.86,235.33,232.68,234.56,1.56,0.67,153654
18/02/2020,231.73,232.2,224.55,226.62,-7.94,-3.39,223127
19/02/2020,238,251.55,237.95,251.55,24.93,11,567341
20/02/2020,254.4,254.4,241.83,242.35,-9.2,-3.66,289567
21/02/2020,240,240.83,229.21,231.6,-10.75,-4.44,292241
24/02/2020,229.49,229.68,224.18,224.51,-7.09,-3.06,181237
25/02/2020,221.99,221.99,215.68,219,-5.51,-2.45,329879
26/02/2020,215,215.15,211.8,212.96,-6.04,-2.76,314957
27/02/2020,210.5,213.3,208.11,208.85,-4.11,-1.93,318900
28/02/2020,204.99,209.65,203.05,207.59,-1.26,-0.6,421062
02/03/2020,206.49,208.4,203.58,207.5,-0.09,-0.04,282565
03/03/2020,216.11,218.42,213.72,218,10.5,5.06,430108
04/03/2020,215,217.33,207.5,207.5,-10.5,-4.82,323002
05/03/2020,213,215.9,207.88,209.45,1.95,0.94,285737
06/03/2020,207,208.17,205,205,-4.45,-2.12,209318
09/03/2020,200.85,203.74,197.34,197.34,-7.66,-3.74,328398
10/03/2020,193,199.94,188,197.07,-0.27,-0.14,378311
11/03/2020,194.4,197.8,189.02,189.02,-8.05,-4.08,401241
12/03/2020,186.62,187.57,174.29,178.49,-10.53,-5.57,465530
13/03/2020,178.01,216.11,168.56,216.11,37.62,21.08,907520
16/03/2020,183.6,183.6,169.37,174.51,-41.6,-19.25,889245
17/03/2020,171.89,180.77,170,172.33,-2.18,-1.25,772241
18/03/2020,169.03,178.82,160.2,170.67,-1.66,-0.96,796956
19/03/2020,174.83,181.89,169.24,171.33,0.66,0.39,681406
20/03/2020,173,176.46,159.86,159.86,-11.47,-6.69,599319
23/03/2020,154.6,164.55,154.6,159.41,-0.45,-0.28,606760
24/03/2020,165.6,177.68,160.01,168,8.59,5.39,659279
26/03/2020,172.5,185.49,163.48,182.17,14.17,8.43,816866
27/03/2020,185,185.41,164.52,166.47,-15.7,-8.62,772300
30/03/2020,167.96,193.65,167.96,182.81,16.34,9.82,807581
31/03/2020,188.94,207.76,186.57,187.45,4.64,2.54,959712
01/04/2020,190.82,200.17,185.35,195.5,8.05,4.29,943387
02/04/2020,189.89,199.55,188,190,-5.5,-2.81,976940
03/04/2020,190.38,195.27,178.29,182.02,-7.98,-4.2,505317
06/04/2020,184.83,194.2,184.75,191.37,9.35,5.14,367591
07/04/2020,195,195,182.79,183.18,-8.19,-4.28,439752
08/04/2020,180,187.87,176,182.91,-0.27,-0.15,432708
09/04/2020,187.37,189.5,183.84,189.5,6.59,3.6,305185
14/04/2020,189.21,197.56,187.1,197.56,8.06,4.25,402762
15/04/2020,201.1,202.32,192.35,195.07,-2.49,-1.26,230836
16/04/2020,188.3,194.65,188,194.65,-0.42,-0.22,352965
17/04/2020,196.53,197.82,192.39,194.14,-0.51,-0.26,248114
20/04/2020,192.3,193.68,185.51,185.51,-8.63,-4.45,336762
21/04/2020,185.5,187.61,180.45,181.18,-4.33,-2.33,293298
22/04/2020,180.18,183.95,177.17,181.95,0.77,0.42,315591
23/04/2020,179.74,183.93,178.64,179.34,-2.61,-1.43,288838
24/04/2020,179,180.42,176.13,179.26,-0.08,-0.04,255257
27/04/2020,180.11,184.58,179.84,184.58,5.32,2.97,240159
28/04/2020,184.81,186.69,183.32,185.92,1.34,0.73,164551
29/04/2020,185,186.5,179.5,182.75,-3.17,-1.71,296280
30/04/2020,187,187.66,183.53,184.5,1.75,0.96,312131
01/05/2020,182.5,183.5,179.26,179.95,-4.55,-2.47,276109
04/05/2020,179.3,182.5,177.415,182.48,2.53,1.41,212059
05/05/2020,182.66,183.44,179.68,182,-0.48,-0.26,206842
06/05/2020,183.89,184.73,179.84,182.01,0.01,0.01,229452
07/05/2020,183.5,184.8,181.05,184.5,2.49,1.37,275938
08/05/2020,186,186,181.34,181.66,-2.84,-1.54,172500
11/05/2020,182.15,193.25,181.22,191,9.34,5.14,316368
12/05/2020,191,191.98,186.84,188.67,-2.33,-1.22,251752
13/05/2020,185,190.98,184.18,190.98,2.31,1.22,220033
14/05/2020,189.98,190.41,186.75,186.75,-4.23,-2.21,181852
15/05/2020,189,189.56,184.28,188.14,1.39,0.74,173524
18/05/2020,189.02,189.96,186.14,189.01,0.87,0.46,146659
19/05/2020,194.39,195.63,183.11,183.34,-5.67,-3,352285
20/05/2020,183.2,187.19,182.85,186.41,3.07,1.67,196955
21/05/2020,189.78,190.44,186.33,188.73,2.32,1.24,209033
22/05/2020,187.41,188.31,185.1,186.04,-2.69,-1.43,128280
25/05/2020,188.22,191.22,187.18,191.2,5.16,2.77,206322
26/05/2020,192.03,193.52,191.13,193.35,2.15,1.12,280469
27/05/2020,192.23,193.39,187.22,187.93,-5.42,-2.8,402191
28/05/2020,191.42,197.39,190.24,193.46,5.53,2.94,423396
29/05/2020,191.17,194.92,190.01,193.01,-0.45,-0.23,436712
01/06/2020,194.58,196.28,191.57,194.01,1,0.52,202896
02/06/2020,193.3,195,190.665,192.32,-1.69,-0.87,182180
03/06/2020,194.81,195.61,191.68,195.43,3.11,1.62,232926
04/06/2020,195.98,198.7,194.56,197,1.57,0.8,345308
05/06/2020,194.51,195.84,192.01,192.46,-4.54,-2.3,419472
09/06/2020,193.3,196.09,191.26,193,0.54,0.28,288050
10/06/2020,192.88,195.25,192.01,194.33,1.33,0.69,282166
11/06/2020,192.27,197.02,192.04,194.07,-0.26,-0.13,279522
12/06/2020,190.41,193.43,186.14,191.47,-2.6,-1.34,411928
15/06/2020,190,192.28,185.75,187.67,-3.8,-1.98,336942
16/06/2020,190.68,196.8,188.01,193.46,5.79,3.09,432505
17/06/2020,195.19,196.55,193.26,195.7,2.24,1.16,228257
18/06/2020,195.66,198.6,192.59,193.3,-2.4,-1.23,337473
19/06/2020,195,196.39,192.62,194.66,1.36,0.7,666866
22/06/2020,192,193.88,190.55,192.12,-2.54,-1.3,265820
23/06/2020,193.87,194.1,189,190,-2.12,-1.1,320561
24/06/2020,189.59,193.18,188.63,193.18,3.18,1.67,270110
25/06/2020,190,193.465,189,189.1,-4.08,-2.11,177580
26/06/2020,188.8,190.26,185.37,189.66,0.56,0.3,262650
29/06/2020,189,192.1,187.79,189.19,-0.47,-0.25,175356
30/06/2020,191.59,191.85,186.27,188.93,-0.26,-0.14,236779
01/07/2020,188.88,189.92,186.3,186.97,-1.96,-1.04,175799
02/07/2020,188.7,192.69,187.53,192.69,5.72,3.06,155542
03/07/2020,194.8,206.01,194.03,204,11.31,5.87,348965
06/07/2020,204.79,204.79,200.01,200.68,-3.32,-1.63,193967
07/07/2020,202.28,202.81,195.84,199.62,-1.06,-0.53,206199
08/07/2020,199.43,200.45,192.61,193.12,-6.5,-3.26,163764
09/07/2020,194.98,195.91,191.89,192.05,-1.07,-0.55,165635
10/07/2020,191.42,193.12,189.42,190.47,-1.58,-0.82,138226
