Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,18.1,18.26,18.04,18.16,-0.05,-0.27,2321099
29/01/2021,18.19,18.46,18.1,18.21,0.07,0.39,4356510
28/01/2021,18.33,18.4,17.92,18.14,-0.36,-1.95,3123303
27/01/2021,18.61,18.79,18.31,18.5,0.05,0.27,3265277
25/01/2021,18.3,18.55,18.2,18.45,0.29,1.6,1752384
22/01/2021,18.14,18.24,18.08,18.16,0.08,0.44,1796248
21/01/2021,18.16,18.18,17.975,18.08,0.1,0.56,2053293
20/01/2021,17.88,18.01,17.88,17.98,0.12,0.67,1953430
19/01/2021,17.88,17.95,17.78,17.86,0.08,0.45,1723721
18/01/2021,17.89,17.98,17.73,17.78,-0.11,-0.61,1460680
15/01/2021,17.86,17.92,17.67,17.89,-0.08,-0.45,2668623
14/01/2021,17.95,18.1,17.87,17.97,0.01,0.06,2554649
13/01/2021,18.26,18.33,17.94,17.96,-0.45,-2.44,3172206
12/01/2021,18.38,18.47,18.2,18.41,-0.09,-0.49,2087990
11/01/2021,18.75,18.815,18.45,18.5,-0.31,-1.65,1594853
08/01/2021,18.61,18.81,18.61,18.81,0.18,0.97,1714728
07/01/2021,18.65,18.69,18.41,18.63,0.29,1.58,1781731
06/01/2021,18.33,18.47,18.28,18.34,-0.27,-1.45,2171122
05/01/2021,18.25,18.62,18.23,18.61,0.11,0.59,2078201
04/01/2021,18.33,18.57,18.3,18.5,0.36,1.98,1527704
31/12/2020,18.38,18.45,18.14,18.14,-0.35,-1.89,939156
30/12/2020,18.49,18.52,18.31,18.49,0.02,0.11,1418893
29/12/2020,18.58,18.66,18.38,18.47,0,0,938479
24/12/2020,18.4,18.525,18.36,18.47,0.03,0.16,669475
23/12/2020,18.5,18.55,18.36,18.44,0.12,0.66,1459548
22/12/2020,18.58,18.59,18.23,18.32,-0.25,-1.35,1988739
21/12/2020,18.38,18.72,18.37,18.57,0.27,1.48,2320067
18/12/2020,18.21,18.44,18.13,18.3,0.09,0.49,4504187
17/12/2020,18.17,18.39,18.15,18.21,0.05,0.28,5088873
16/12/2020,18.34,18.38,18.115,18.16,-0.12,-0.66,2408167
15/12/2020,18.32,18.605,18.26,18.28,0.1,0.55,3302940
14/12/2020,18.11,18.36,18.08,18.18,0.2,1.11,2371518
11/12/2020,18,18.05,17.89,17.98,-0.1,-0.55,4765120
10/12/2020,18.12,18.33,18.06,18.08,-0.19,-1.04,3540344
09/12/2020,18.31,18.39,18.21,18.27,0.02,0.11,5012960
08/12/2020,18.17,18.33,18.13,18.25,-0.01,-0.05,4435144
07/12/2020,18.08,18.33,18.06,18.26,0.28,1.56,3228622
04/12/2020,17.9,18.07,17.9,17.98,0,0,3230923
03/12/2020,18.04,18.08,17.89,17.98,-0.13,-0.72,4204546
02/12/2020,18.05,18.18,17.93,18.11,-0.02,-0.11,4150249
01/12/2020,18.03,18.34,17.97,18.13,0.27,1.51,4438061
30/11/2020,18.05,18.15,17.845,17.86,-0.08,-0.45,11664949
27/11/2020,18.11,18.18,17.93,17.94,-0.11,-0.61,4007110
26/11/2020,18.04,18.24,18,18.05,0.1,0.56,3315380
25/11/2020,18.04,18.13,17.88,17.95,-0.08,-0.44,6669849
24/11/2020,18.03,18.18,17.92,18.03,0.08,0.45,6800304
23/11/2020,18.02,18.055,17.825,17.95,-0.03,-0.17,3374220
20/11/2020,18.04,18.09,17.9,17.98,-0.06,-0.33,4201524
19/11/2020,18.08,18.17,17.93,18.04,0.01,0.06,5970161
18/11/2020,17.7,18.07,17.685,18.03,0.3,1.69,6188850
17/11/2020,17.7,17.74,17.6,17.73,-0.12,-0.67,4995489
16/11/2020,17.93,17.95,17.8,17.85,0.09,0.51,146371
13/11/2020,17.93,17.995,17.76,17.76,-0.09,-0.5,2864113
12/11/2020,17.93,18.09,17.8,17.85,-0.03,-0.17,3507919
11/11/2020,17.83,17.97,17.56,17.88,0.19,1.07,5660241
10/11/2020,18.71,18.71,17.67,17.69,-0.99,-5.3,9523195
09/11/2020,18.55,18.75,18.52,18.68,0.28,1.52,3766057
06/11/2020,18.2,18.48,18.12,18.4,0.14,0.77,2542831
05/11/2020,18.04,18.37,18,18.26,0.36,2.01,3507559
04/11/2020,18.2,18.39,17.9,17.9,-0.42,-2.29,3316614
03/11/2020,18.1,18.43,17.99,18.32,0.25,1.38,4723718
02/11/2020,17.83,18.08,17.74,18.07,0.32,1.8,2472203
30/10/2020,18.11,18.18,17.66,17.75,-0.21,-1.17,3386270
29/10/2020,17.66,18.18,17.56,17.96,0.28,1.58,4781062
28/10/2020,17.35,17.74,17.31,17.68,0.47,2.73,4450964
27/10/2020,17.09,17.23,17.01,17.21,0.1,0.58,4098250
26/10/2020,17.25,17.39,17.09,17.11,-0.08,-0.47,2807242
23/10/2020,17.29,17.35,17.05,17.19,-0.2,-1.15,3073393
22/10/2020,17.3,17.455,17.11,17.39,-0.12,-0.69,3371254
21/10/2020,17.87,17.94,17.47,17.51,-0.34,-1.9,2978768
20/10/2020,17.78,18.05,17.77,17.85,0,0,2182162
19/10/2020,17.79,17.95,17.77,17.85,0.13,0.73,1717169
16/10/2020,17.95,18.01,17.68,17.72,-0.2,-1.12,2636723
15/10/2020,18.14,18.23,17.91,17.92,-0.17,-0.94,2656201
14/10/2020,17.96,18.18,17.95,18.09,0.18,1.01,2225449
13/10/2020,17.8,17.97,17.69,17.91,0.3,1.7,2821942
12/10/2020,17.53,17.63,17.34,17.61,0.09,0.51,2389841
09/10/2020,17.56,17.65,17.45,17.52,-0.07,-0.4,3544962
08/10/2020,17.73,17.77,17.45,17.59,-0.09,-0.51,5260655
07/10/2020,17.44,17.77,17.32,17.68,0.25,1.43,3046747
06/10/2020,17.5,17.6,17.325,17.43,0.03,0.17,3764183
05/10/2020,17.35,17.45,17.24,17.4,0.34,1.99,2271111
02/10/2020,16.98,17.06,16.87,17.06,0.06,0.35,3599392
01/10/2020,17.12,17.18,16.98,17,0,0,2782981
30/09/2020,17.05,17.26,16.95,17,-0.12,-0.7,4897473
29/09/2020,17.2,17.27,17.01,17.12,-0.08,-0.47,3277962
28/09/2020,17.41,17.5,17.2,17.2,-0.28,-1.6,2253114
25/09/2020,17.43,17.57,17.32,17.48,-0.04,-0.23,2650424
24/09/2020,17.45,17.58,17.3,17.52,-0.1,-0.57,3291011
23/09/2020,17.53,17.69,17.41,17.62,0.37,2.14,6792389
22/09/2020,17.13,17.47,17.08,17.25,0.12,0.7,5691159
21/09/2020,17.15,17.22,16.97,17.13,-0.07,-0.41,7979069
18/09/2020,17.29,17.335,17.06,17.2,-0.02,-0.12,18013061
17/09/2020,17.2,17.3,17.03,17.22,0.11,0.64,4362462
16/09/2020,17.11,17.19,17.02,17.11,0.07,0.41,4568700
15/09/2020,17.02,17.19,16.91,17.04,-0.11,-0.64,5117044
14/09/2020,17.2,17.24,17.03,17.15,0.01,0.06,2760103
11/09/2020,16.99,17.23,16.94,17.14,0,0,4693645
10/09/2020,17.08,17.16,16.88,17.14,0.26,1.54,4048991
09/09/2020,16.92,16.96,16.73,16.88,-0.25,-1.46,5846469
08/09/2020,17.12,17.21,16.96,17.13,0.07,0.41,3022407
07/09/2020,17.05,17.13,16.86,17.06,-0.05,-0.29,3894139
04/09/2020,17.49,17.49,17.08,17.11,-0.6,-3.39,4959616
03/09/2020,17.79,17.82,17.59,17.71,0.03,0.17,3149940
02/09/2020,17.51,17.75,17.45,17.68,0.18,1.03,3276358
01/09/2020,17.6,17.73,17.31,17.5,-0.23,-1.3,4367646
31/08/2020,18.2,18.22,17.7,17.73,-0.53,-2.9,4566783
28/08/2020,18.55,18.63,18.215,18.26,-0.34,-1.83,3775276
27/08/2020,18.6,18.885,18.53,18.6,-0.33,-1.74,6974835
26/08/2020,18.72,19.04,18.72,18.93,0.1,0.53,2914232
25/08/2020,18.98,19,18.72,18.83,0,0,3048010
24/08/2020,18.61,18.965,18.53,18.83,0.2,1.07,3974006
21/08/2020,19,19.075,18.62,18.63,-0.23,-1.22,3943302
20/08/2020,18.7,18.91,18.63,18.86,-0.09,-0.47,3319670
19/08/2020,18.9,19.11,18.84,18.95,0.24,1.28,7252695
18/08/2020,18.93,19.2,18.6,18.71,-0.22,-1.16,8304406
17/08/2020,18.88,19.1,18.86,18.93,-0.19,-0.99,2425332
14/08/2020,18.97,19.17,18.93,19.12,0.09,0.47,2492184
13/08/2020,19.23,19.26,18.92,19.03,0.04,0.21,2899431
12/08/2020,18.93,19.155,18.835,18.99,0.02,0.11,2503580
11/08/2020,18.85,19.16,18.82,18.97,0.12,0.64,2768801
