Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,14.2,14.37,14.06,14.26,-0.11,-0.77,1125419
29/01/2021,14.49,14.69,14.31,14.37,0,0,2232731
28/01/2021,14.53,14.6,14.19,14.37,-0.23,-1.58,2183856
27/01/2021,14.6,14.7,14.5,14.6,0.02,0.14,1987955
25/01/2021,14.58,14.75,14.46,14.58,0.09,0.62,755594
22/01/2021,14.6,14.74,14.45,14.49,-0.14,-0.96,1709266
21/01/2021,14.83,14.88,14.55,14.63,0,0,824549
20/01/2021,14.58,14.91,14.53,14.63,0.25,1.74,1498220
19/01/2021,14.23,14.51,14.23,14.38,0.16,1.13,1541774
18/01/2021,14.06,14.27,14.06,14.22,0.07,0.49,593390
15/01/2021,14.08,14.38,14.08,14.15,-0.01,-0.07,1053901
14/01/2021,14,14.22,14,14.16,0.06,0.43,1208128
13/01/2021,14,14.15,13.95,14.1,0,0,880138
12/01/2021,14,14.34,14,14.1,0.02,0.14,1098903
11/01/2021,13.95,14.18,13.95,14.08,0.11,0.79,955585
08/01/2021,14.03,14.11,13.86,13.97,-0.23,-1.62,1653824
07/01/2021,14.02,14.23,13.98,14.2,0.08,0.57,1735305
06/01/2021,14.28,14.42,13.94,14.12,-0.33,-2.28,2096633
05/01/2021,14.3,14.45,14.28,14.45,-0.09,-0.62,1084417
04/01/2021,14.56,14.67,14.47,14.54,-0.05,-0.34,1749322
31/12/2020,14.56,14.72,14.52,14.59,-0.13,-0.88,424527
30/12/2020,14.61,14.75,14.51,14.72,-0.07,-0.47,680400
29/12/2020,14.95,14.99,14.65,14.79,0.15,1.02,595313
24/12/2020,14.67,14.81,14.55,14.64,-0.09,-0.61,432496
23/12/2020,14.69,14.79,14.58,14.73,0.13,0.89,618004
22/12/2020,14.74,14.77,14.54,14.6,-0.15,-1.02,824593
21/12/2020,14.7,14.88,14.67,14.75,-0.13,-0.87,654859
18/12/2020,15.26,15.26,14.83,14.88,-0.37,-2.43,3861500
17/12/2020,14.91,15.3,14.8,15.25,0.53,3.6,2491792
16/12/2020,14.71,14.96,14.69,14.72,0.22,1.52,1625353
15/12/2020,14.25,14.58,14.25,14.5,0.15,1.05,1352310
14/12/2020,14.37,14.57,14.32,14.35,-0.13,-0.9,1313566
11/12/2020,14.36,14.58,14.3,14.48,0.03,0.21,3583117
10/12/2020,14.24,14.48,14.21,14.45,-0.07,-0.48,1120312
09/12/2020,14.51,14.6,14.4,14.52,0.01,0.07,1174088
08/12/2020,14.35,14.58,14.255,14.51,0.12,0.83,1452635
07/12/2020,14.38,14.55,14.28,14.39,0.08,0.56,1622268
04/12/2020,14.2,14.36,14.19,14.31,0.04,0.28,1043749
03/12/2020,14.41,14.53,14.27,14.27,-0.01,-0.07,1695901
02/12/2020,14.29,14.385,14.21,14.28,0.02,0.14,1513535
01/12/2020,14.41,14.48,14.21,14.26,-0.02,-0.14,1117716
30/11/2020,14.4,14.44,14.18,14.28,0.07,0.49,2622839
27/11/2020,14.39,14.45,14.2,14.21,-0.21,-1.46,964206
26/11/2020,14.44,14.6,14.38,14.42,0.06,0.42,1450533
25/11/2020,14.25,14.385,14.2,14.36,0.22,1.56,1637894
24/11/2020,13.85,14.3,13.85,14.14,0.51,3.74,2195093
23/11/2020,13.45,13.68,13.42,13.63,0.21,1.56,757387
20/11/2020,13.43,13.56,13.4,13.42,-0.1,-0.74,941310
19/11/2020,13.43,13.59,13.43,13.52,-0.06,-0.44,1427394
18/11/2020,13.72,13.85,13.48,13.58,-0.26,-1.88,1776143
17/11/2020,13.8,13.91,13.56,13.84,0.19,1.39,2036726
16/11/2020,13.61,13.78,13.61,13.65,0.12,0.89,91617
13/11/2020,13.73,13.77,13.4,13.53,-0.28,-2.03,1383849
12/11/2020,14.26,14.33,13.76,13.81,-0.19,-1.36,938037
11/11/2020,14.23,14.5,13.84,14,0.45,3.32,3316003
10/11/2020,13.51,13.78,13.45,13.55,0.33,2.5,1801834
09/11/2020,12.92,13.23,12.83,13.22,0.31,2.4,1073009
06/11/2020,12.75,12.95,12.73,12.91,0.11,0.86,1425464
05/11/2020,12.82,12.93,12.74,12.8,0.08,0.63,1153330
04/11/2020,12.6,12.85,12.48,12.72,0.1,0.79,1386721
03/11/2020,12.32,12.67,12.28,12.62,0.43,3.53,1454389
02/11/2020,12.12,12.31,12.03,12.19,0.04,0.33,1067867
30/10/2020,12.21,12.285,12.03,12.15,-0.04,-0.33,1653641
29/10/2020,12,12.245,11.87,12.19,0.01,0.08,2623536
28/10/2020,12.13,12.285,12.05,12.18,-0.13,-1.06,1540597
27/10/2020,12.62,12.65,12.275,12.31,-0.37,-2.92,1606507
26/10/2020,12.81,12.94,12.68,12.68,-0.21,-1.63,1255617
23/10/2020,12.82,12.97,12.78,12.89,0.08,0.62,791969
22/10/2020,12.81,12.88,12.65,12.81,-0.21,-1.61,988355
21/10/2020,13.02,13.08,12.97,13.02,0,0,1106114
20/10/2020,13.09,13.22,13.02,13.02,-0.16,-1.21,1088046
19/10/2020,12.94,13.21,12.94,13.18,0.36,2.81,790110
16/10/2020,12.96,13,12.8,12.82,-0.14,-1.08,939604
15/10/2020,13.07,13.275,12.9,12.96,-0.11,-0.84,1337380
14/10/2020,13.22,13.25,13,13.07,-0.24,-1.8,4978400
13/10/2020,13.54,13.55,13.2,13.31,-0.03,-0.22,3079905
12/10/2020,13.06,13.34,12.98,13.34,0.4,3.09,1563969
09/10/2020,13,13.07,12.91,12.94,0.01,0.08,2833712
08/10/2020,12.8,13,12.69,12.93,0.16,1.25,1466716
07/10/2020,12.49,12.8,12.43,12.77,0.12,0.95,1010258
06/10/2020,12.5,12.65,12.4,12.65,0.14,1.12,1076447
05/10/2020,12.19,12.54,12.19,12.51,0.29,2.37,633606
02/10/2020,12.52,12.54,12.17,12.22,-0.27,-2.16,2211020
01/10/2020,12.34,12.66,12.315,12.49,0.27,2.21,1599770
30/09/2020,12.22,12.47,12.16,12.22,-0.21,-1.69,2072772
29/09/2020,12.45,12.47,12.34,12.43,0.1,0.81,941877
28/09/2020,12.2,12.38,12.18,12.33,0.04,0.33,976609
25/09/2020,12.24,12.37,12.17,12.29,0.08,0.66,2065306
24/09/2020,12.13,12.36,12.08,12.21,-0.1,-0.81,762140
23/09/2020,12.22,12.375,12.2,12.31,0.24,1.99,1969529
22/09/2020,11.92,12.19,11.88,12.07,0.12,1,1577047
21/09/2020,12.04,12.18,11.935,11.95,-0.11,-0.91,1961806
18/09/2020,12.18,12.21,12.03,12.06,-0.04,-0.33,2366906
17/09/2020,12.24,12.35,12.08,12.1,-0.22,-1.79,2113609
16/09/2020,12.36,12.48,12.21,12.32,0.08,0.65,2342247
15/09/2020,12.47,12.49,12.18,12.24,-0.22,-1.77,1923489
14/09/2020,12.35,12.62,12.255,12.46,0.18,1.47,1223863
11/09/2020,12.26,12.46,12.22,12.28,-0.19,-1.52,1279287
10/09/2020,12.52,12.625,12.4,12.47,0.11,0.89,1651269
09/09/2020,12.46,12.49,12.28,12.36,-0.39,-3.06,1563689
08/09/2020,12.75,12.85,12.61,12.75,0.06,0.47,1166350
07/09/2020,12.41,12.75,12.39,12.69,-0.05,-0.39,1632235
04/09/2020,12.83,12.94,12.69,12.74,-0.31,-2.38,1449344
03/09/2020,13.26,13.33,13.02,13.05,-0.04,-0.31,1247367
02/09/2020,13.04,13.26,13.03,13.09,0.1,0.77,2113312
01/09/2020,13.08,13.18,12.84,12.99,-0.3,-2.26,2316439
31/08/2020,13.6,13.7,13.29,13.29,-0.31,-2.28,2310507
28/08/2020,13.54,13.63,13.29,13.6,-0.03,-0.22,1817687
27/08/2020,13.58,13.77,13.53,13.63,0.12,0.89,1677417
26/08/2020,13.63,13.7,13.43,13.51,-0.13,-0.95,3686679
25/08/2020,13.8,13.99,13.54,13.64,0.05,0.37,2169894
24/08/2020,13.6,13.72,13.45,13.59,-0.04,-0.29,1435158
21/08/2020,13.74,13.8,13.56,13.63,0.11,0.81,1763445
20/08/2020,13.45,13.66,13.44,13.52,-0.02,-0.15,1584311
19/08/2020,13.58,13.68,13.43,13.54,0.08,0.59,2723708
18/08/2020,13.51,13.58,13.25,13.46,-0.31,-2.25,3641356
17/08/2020,14.02,14.11,13.66,13.77,-0.34,-2.41,2185714
14/08/2020,13.23,14.26,13.185,14.11,1.02,7.79,6731454
13/08/2020,13.4,13.52,12.99,13.09,-0.13,-0.98,3588750
12/08/2020,13.26,13.85,13.08,13.22,-0.45,-3.29,4466583
11/08/2020,13.89,13.93,13.6,13.67,-0.16,-1.16,2096267
10/08/2020,13.61,13.88,13.57,13.83,0.26,1.92,5430184
07/08/2020,13.59,13.72,13.45,13.57,-0.15,-1.09,2472079
06/08/2020,13.68,13.91,13.57,13.72,0.13,0.96,2156205
05/08/2020,13.73,13.83,13.5,13.59,-0.29,-2.09,3227771
04/08/2020,13.74,13.92,13.68,13.88,0.43,3.2,2078422
03/08/2020,13.4,13.49,13.27,13.45,0.02,0.15,1492249
31/07/2020,13.5,13.66,13.35,13.43,-0.28,-2.04,1766624
30/07/2020,13.6,13.72,13.55,13.71,0.24,1.78,2303021
29/07/2020,13.55,13.6,13.33,13.47,-0.13,-0.96,1817696
28/07/2020,13.7,13.75,13.59,13.6,0,0,1328681
27/07/2020,13.38,13.6,13.38,13.6,0.09,0.67,1526357
24/07/2020,13.48,13.57,13.37,13.51,-0.18,-1.31,1682540
23/07/2020,13.56,13.79,13.52,13.69,0.13,0.96,1291935
22/07/2020,13.7,13.8,13.5,13.56,-0.29,-2.09,1070905
21/07/2020,13.59,13.85,13.5,13.85,0.33,2.44,2629475
20/07/2020,13.48,13.57,13.45,13.52,0.05,0.37,1499521
17/07/2020,13.45,13.64,13.32,13.47,0.08,0.6,1532320
16/07/2020,13.65,13.69,13.345,13.39,-0.13,-0.96,1259196
15/07/2020,13.45,13.55,13.36,13.52,0.42,3.21,1951318
14/07/2020,13.2,13.29,13.03,13.1,-0.18,-1.36,1339695
13/07/2020,13.54,13.55,13.125,13.28,0.01,0.08,2629666
10/07/2020,13.4,13.525,13.27,13.27,-0.07,-0.52,1893237
09/07/2020,13.28,13.57,13.22,13.34,0.24,1.83,1651751
08/07/2020,13.25,13.36,13.1,13.1,-0.24,-1.8,1414516
07/07/2020,13.56,13.74,13.34,13.34,-0.1,-0.74,1366706
06/07/2020,13.45,13.64,13.4,13.44,-0.02,-0.15,789224
03/07/2020,13.56,13.67,13.315,13.46,-0.02,-0.15,1237576
02/07/2020,13.6,13.6,13.28,13.48,0.06,0.45,1773971
01/07/2020,13.38,13.62,13.28,13.42,0.17,1.28,1409971
30/06/2020,13.12,13.47,13.01,13.25,0.38,2.95,2002122
29/06/2020,12.67,13.02,12.51,12.87,-0.2,-1.53,1199403
26/06/2020,13.12,13.25,12.94,13.07,0.08,0.62,2225003
25/06/2020,13.03,13.12,12.9,12.99,-0.34,-2.55,2198227
24/06/2020,13.34,13.6,13.27,13.33,0.09,0.68,1776224
23/06/2020,13.5,13.57,13.08,13.24,0.07,0.53,1286665
22/06/2020,13.04,13.33,13.03,13.17,-0.03,-0.23,1257512
19/06/2020,13.45,13.63,13.2,13.2,-0.19,-1.42,3571695
18/06/2020,13.46,13.54,13.28,13.39,-0.08,-0.59,2243209
17/06/2020,13.43,13.57,13.11,13.47,0.56,4.34,2581181
16/06/2020,12.84,12.96,12.55,12.91,0.45,3.61,2746232
15/06/2020,12.75,12.9,12.46,12.46,-0.24,-1.89,3958020
12/06/2020,12.35,12.88,12.11,12.7,-0.18,-1.4,2079811
11/06/2020,13.58,13.67,12.84,12.88,-1.14,-8.13,8285775
10/06/2020,13.62,14.15,13.56,14.02,0.37,2.71,2213512
09/06/2020,13.6,13.8,13.5,13.65,0.19,1.41,2949376
05/06/2020,13.25,13.56,13.25,13.46,0.05,0.37,2297801
04/06/2020,13.4,13.59,13.265,13.41,0.03,0.22,2688729
03/06/2020,13.36,13.52,13.24,13.38,0.01,0.07,2168271
02/06/2020,13.21,13.49,13.13,13.37,0.1,0.75,1610120
01/06/2020,12.9,13.31,12.9,13.27,0.17,1.3,2172276
29/05/2020,13.27,13.38,13.1,13.1,-0.4,-2.96,4075856
28/05/2020,13.49,13.58,13.32,13.5,0.17,1.28,2499163
27/05/2020,13.45,13.56,13.07,13.33,-0.11,-0.82,1683581
26/05/2020,13.04,13.46,12.95,13.44,0.52,4.02,2292473
25/05/2020,12.81,12.97,12.62,12.92,0.42,3.36,2415211
22/05/2020,12.67,12.72,12.38,12.5,-0.18,-1.42,2634964
21/05/2020,12.9,12.95,12.51,12.68,0,0,2914696
20/05/2020,12.05,12.87,12.02,12.68,0.53,4.36,2388285
19/05/2020,12.15,12.34,11.98,12.15,0.38,3.23,1901156
18/05/2020,11.71,11.88,11.67,11.77,0.16,1.38,1054356
15/05/2020,11.89,11.89,11.3,11.61,-0.12,-1.02,2277900
14/05/2020,11.67,11.93,11.45,11.73,-0.15,-1.26,1944357
13/05/2020,11.79,11.99,11.51,11.88,-0.16,-1.33,2698172
12/05/2020,11.75,12.08,11.5,12.04,0.22,1.86,3007920
11/05/2020,11.51,11.93,11.47,11.82,0.39,3.41,2271901
08/05/2020,11.59,11.7,11.36,11.43,0.01,0.09,2454882
07/05/2020,11.57,11.6,11.33,11.42,-0.14,-1.21,1794180
06/05/2020,11.69,11.76,11.39,11.56,-0.14,-1.2,1405488
05/05/2020,11.5,11.75,11.43,11.7,0.34,2.99,1332121
04/05/2020,11.22,11.45,11.03,11.36,0.06,0.53,1759556
01/05/2020,11.9,11.94,11.3,11.3,-0.88,-7.22,1958757
30/04/2020,11.57,12.31,11.55,12.18,0.82,7.22,4083529
29/04/2020,11.13,11.36,11.12,11.36,0.2,1.79,1599947
28/04/2020,11.4,11.49,11.015,11.16,-0.08,-0.71,2542729
27/04/2020,11.09,11.435,11.05,11.24,0.27,2.46,2088338
24/04/2020,10.87,11.1,10.77,10.97,0.18,1.67,2632980
23/04/2020,10.92,10.96,10.66,10.79,0.05,0.47,2183586
22/04/2020,10.76,10.89,10.54,10.74,-0.23,-2.1,2210587
21/04/2020,11.2,11.25,10.81,10.97,-0.29,-2.58,2263055
20/04/2020,11.57,11.68,11.2,11.26,-0.31,-2.68,1778639
17/04/2020,11.41,11.74,11.35,11.57,0.49,4.42,3428739
16/04/2020,11.3,11.38,11.04,11.08,-0.46,-3.99,3000053
