Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.54,3.63,3.51,3.61,0.05,1.4,1511606
29/01/2021,3.63,3.66,3.55,3.56,0.03,0.85,1817959
28/01/2021,3.55,3.58,3.51,3.53,-0.03,-0.84,2463193
27/01/2021,3.69,3.69,3.55,3.56,-0.07,-1.93,1393308
25/01/2021,3.62,3.66,3.61,3.63,0.01,0.28,957482
22/01/2021,3.57,3.63,3.57,3.62,0.04,1.12,574280
21/01/2021,3.6,3.6,3.545,3.58,0.02,0.56,1236522
20/01/2021,3.53,3.57,3.5,3.56,-0.06,-1.66,1648387
19/01/2021,3.6,3.66,3.585,3.62,0.07,1.97,1866594
18/01/2021,3.51,3.58,3.5,3.55,0.05,1.43,1505336
15/01/2021,3.44,3.535,3.44,3.5,0.04,1.16,1545012
14/01/2021,3.46,3.47,3.42,3.46,0.02,0.58,1021327
13/01/2021,3.45,3.48,3.39,3.44,-0.02,-0.58,1574295
12/01/2021,3.51,3.52,3.46,3.46,-0.04,-1.14,1402276
11/01/2021,3.54,3.56,3.5,3.5,-0.05,-1.41,856259
08/01/2021,3.57,3.61,3.52,3.55,-0.02,-0.56,1264584
07/01/2021,3.6,3.63,3.565,3.57,-0.01,-0.28,1748381
06/01/2021,3.58,3.64,3.55,3.58,-0.02,-0.56,2442317
05/01/2021,3.6,3.62,3.57,3.6,-0.06,-1.64,1289332
04/01/2021,3.7,3.7,3.64,3.66,-0.01,-0.27,762485
31/12/2020,3.74,3.74,3.67,3.67,-0.07,-1.87,460256
30/12/2020,3.75,3.75,3.69,3.74,-0.09,-2.35,956926
29/12/2020,3.89,3.89,3.82,3.83,0.04,1.06,684446
24/12/2020,3.75,3.81,3.735,3.79,0.05,1.34,432046
23/12/2020,3.79,3.795,3.71,3.74,0.04,1.08,1605847
22/12/2020,3.71,3.735,3.67,3.7,-0.01,-0.27,2371079
21/12/2020,3.76,3.79,3.69,3.71,-0.06,-1.59,2097440
18/12/2020,3.85,3.9,3.77,3.77,-0.09,-2.33,1515785
17/12/2020,3.85,3.87,3.82,3.86,0.02,0.52,1475688
16/12/2020,3.93,3.95,3.84,3.84,-0.01,-0.26,1460377
15/12/2020,3.83,3.87,3.81,3.85,0.02,0.52,1858765
14/12/2020,3.79,3.86,3.79,3.83,0.05,1.32,2664262
11/12/2020,3.7,3.795,3.7,3.78,0.05,1.34,2438266
10/12/2020,3.7,3.76,3.69,3.73,-0.02,-0.53,1738604
09/12/2020,3.73,3.79,3.71,3.75,0,0,1010649
08/12/2020,3.8,3.8,3.74,3.75,-0.04,-1.06,1354494
07/12/2020,3.85,3.88,3.765,3.79,0,0,1150254
04/12/2020,3.8,3.85,3.79,3.79,0.01,0.26,1451971
03/12/2020,3.81,3.85,3.77,3.78,-0.05,-1.31,1370346
02/12/2020,3.81,3.85,3.79,3.83,0.02,0.52,1284027
01/12/2020,3.86,3.88,3.76,3.81,0,0,1423619
30/11/2020,3.86,3.88,3.8,3.81,-0.04,-1.04,1823788
27/11/2020,3.84,3.92,3.84,3.85,-0.01,-0.26,943729
26/11/2020,3.84,3.91,3.83,3.86,-0.02,-0.52,3060653
25/11/2020,3.86,3.92,3.83,3.88,0,0,2371892
24/11/2020,3.92,3.92,3.86,3.88,-0.04,-1.02,1900765
23/11/2020,4.05,4.07,3.89,3.92,-0.04,-1.01,2376817
20/11/2020,3.95,4.08,3.9,3.96,0.08,2.06,2482643
19/11/2020,3.79,3.9,3.77,3.88,0.05,1.31,1123666
18/11/2020,3.89,3.92,3.83,3.83,-0.06,-1.54,1717957
17/11/2020,3.87,3.925,3.85,3.89,0.03,0.78,1762276
16/11/2020,3.9,3.95,3.85,3.86,0.05,1.31,60181
13/11/2020,3.88,3.93,3.81,3.81,-0.06,-1.55,1698118
12/11/2020,3.89,3.91,3.78,3.87,-0.08,-2.03,1998847
11/11/2020,3.85,3.96,3.81,3.95,0.11,2.86,3189968
10/11/2020,3.83,3.88,3.78,3.84,0.19,5.21,4969925
09/11/2020,3.64,3.68,3.62,3.65,0.02,0.55,1072009
06/11/2020,3.7,3.7,3.615,3.63,-0.02,-0.55,988509
05/11/2020,3.65,3.7,3.62,3.65,0.02,0.55,1773093
04/11/2020,3.57,3.67,3.56,3.63,0.04,1.11,1392583
03/11/2020,3.44,3.62,3.44,3.59,0.1,2.87,1006549
02/11/2020,3.44,3.51,3.43,3.49,0.05,1.45,1185049
