Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
08/10/2019,239.42,240.5,239,240.5,0.91,0.38,712580
09/10/2019,234,239.44,234,238.86,-1.64,-0.68,671180
10/10/2019,240,240.4,237.51,239.81,0.95,0.4,549311
11/10/2019,243.2,245.99,241.92,244.54,4.73,1.97,853399
14/10/2019,248,248.06,242.71,243.74,-0.8,-0.33,477488
15/10/2019,243.01,248.88,242.01,248.39,4.65,1.91,865290
16/10/2019,249.43,253.83,247.85,253,4.61,1.86,1065176
17/10/2019,258.6,258.78,251.86,252.59,-0.41,-0.16,859359
18/10/2019,255,255,249.78,250.97,-1.62,-0.64,689200
21/10/2019,250.14,251.49,249.01,249.42,-1.55,-0.62,806164
22/10/2019,250.88,251.5,248.56,250.75,1.33,0.53,484559
23/10/2019,251.57,251.69,247,250.64,-0.11,-0.04,643346
24/10/2019,252.91,253.7,251.3,252.75,2.11,0.84,691689
25/10/2019,255.3,257.73,254.545,256.77,4.02,1.59,1726273
28/10/2019,258,258.75,256.2,256.23,-0.54,-0.21,468302
29/10/2019,257.98,258.77,255.245,256.87,0.64,0.25,516005
30/10/2019,255.84,257.62,254.78,255.41,-1.46,-0.57,625762
31/10/2019,255.38,258.16,255.08,256.03,0.62,0.24,640592
01/11/2019,257.2,258.98,256.56,258.65,2.62,1.02,544537
04/11/2019,261,262,259.02,259.55,0.9,0.35,509861
05/11/2019,261.65,262.58,259.16,260.75,1.2,0.46,414582
06/11/2019,261.45,263.18,258.5,258.5,-2.25,-0.86,738124
07/11/2019,258.62,261.59,258.62,261.31,2.81,1.09,886509
08/11/2019,261.51,261.95,259.31,261.34,0.03,0.01,426431
11/11/2019,265.15,270.56,264,270.56,9.22,3.53,686537
12/11/2019,270.39,270.98,265.77,266.51,-4.05,-1.5,804803
13/11/2019,269.8,270.24,265.78,266.91,0.4,0.15,835182
14/11/2019,268.22,271.9,268.22,269.67,2.76,1.03,589287
15/11/2019,271.63,274.74,270.87,274.74,5.07,1.88,654586
18/11/2019,274.85,275.42,271.18,271.99,-2.75,-1,474500
19/11/2019,271.8,274.27,270.68,274.27,2.28,0.84,723598
20/11/2019,272,272.68,268.95,270.17,-4.1,-1.49,714070
21/11/2019,268.17,270.1,265.35,267,-3.17,-1.17,1208239
22/11/2019,269.73,270.8,268.01,269.65,2.65,0.99,680537
25/11/2019,272.4,273.68,271.76,273.41,3.76,1.39,744795
26/11/2019,275.6,279.73,275.27,279.73,6.32,2.31,1204943
27/11/2019,278.73,280.98,277.23,279.99,0.26,0.09,769558
28/11/2019,284.97,284.97,281.83,282.99,3,1.07,695993
