Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,5.28,5.34,5.22,5.32,0.05,0.95,1359800
29/01/2021,5.28,5.36,5.24,5.27,0.03,0.57,1811188
28/01/2021,5.4,5.43,5.15,5.24,-0.24,-4.38,2547843
27/01/2021,5.4,5.51,5.4,5.48,0.03,0.55,2336703
25/01/2021,5.47,5.54,5.41,5.45,0.01,0.18,1868217
22/01/2021,5.38,5.455,5.35,5.44,0.01,0.18,3136528
21/01/2021,5.44,5.5,5.365,5.43,0.04,0.74,1967674
20/01/2021,5.35,5.42,5.35,5.39,0.05,0.94,1462680
19/01/2021,5.3,5.38,5.27,5.34,0.09,1.71,1285395
18/01/2021,5.27,5.31,5.22,5.25,-0.01,-0.19,1075265
15/01/2021,5.2,5.31,5.2,5.26,0,0,1956016
14/01/2021,5.24,5.3,5.21,5.26,0.04,0.77,1351209
13/01/2021,5.2,5.26,5.17,5.22,0.03,0.58,2128253
12/01/2021,5.19,5.25,5.165,5.19,0.02,0.39,1208517
11/01/2021,5.07,5.22,5.06,5.17,0.05,0.98,1422608
08/01/2021,5.08,5.19,5.07,5.12,0.05,0.99,1293774
07/01/2021,5.09,5.1,5,5.07,0.04,0.8,1659245
06/01/2021,5.13,5.2,4.99,5.03,-0.12,-2.33,1694480
05/01/2021,5.16,5.23,5.09,5.15,-0.07,-1.34,1020994
04/01/2021,5.2,5.25,5.15,5.22,-0.01,-0.19,2443835
31/12/2020,5.27,5.31,5.22,5.23,-0.05,-0.95,797537
30/12/2020,5.17,5.29,5.16,5.28,0.06,1.15,1146580
29/12/2020,5.13,5.29,5.13,5.22,0.07,1.36,1331121
24/12/2020,5.17,5.25,5.15,5.15,-0.02,-0.39,584944
23/12/2020,5.08,5.21,5.08,5.17,0.07,1.37,1354497
22/12/2020,5.12,5.18,5.06,5.1,-0.07,-1.35,1171323
21/12/2020,5.23,5.34,5.08,5.17,-0.08,-1.52,2584017
18/12/2020,5.37,5.37,5.19,5.25,-0.14,-2.6,3184608
17/12/2020,5.3,5.42,5.26,5.39,0.19,3.65,3689717
16/12/2020,5.15,5.23,5.11,5.2,0.1,1.96,2121773
15/12/2020,5.03,5.14,5.02,5.1,0.02,0.39,1477533
14/12/2020,5.02,5.15,5.02,5.08,0.06,1.2,1315635
11/12/2020,5,5.06,4.96,5.02,-0.04,-0.79,1273853
10/12/2020,5,5.07,4.99,5.06,0.01,0.2,1667612
09/12/2020,5.08,5.1,5.01,5.05,-0.04,-0.79,2399948
08/12/2020,5.05,5.18,5.03,5.09,0.04,0.79,2716514
07/12/2020,4.98,5.1,4.95,5.05,0.07,1.41,2216356
04/12/2020,4.93,5.02,4.91,4.98,0.04,0.81,2736081
03/12/2020,4.98,4.98,4.915,4.94,0.02,0.41,1430241
02/12/2020,4.84,4.96,4.84,4.92,0.08,1.65,2372921
01/12/2020,4.86,4.925,4.82,4.84,0.01,0.21,2456318
30/11/2020,4.92,4.94,4.78,4.83,-0.07,-1.43,2606149
27/11/2020,4.86,4.92,4.84,4.9,0.01,0.2,1823826
26/11/2020,4.93,4.94,4.87,4.89,-0.04,-0.81,1334956
25/11/2020,4.93,5.07,4.91,4.93,0.04,0.82,2207715
24/11/2020,4.81,4.94,4.8,4.89,0.09,1.88,2129987
23/11/2020,4.74,4.84,4.675,4.8,0.06,1.27,2248997
20/11/2020,4.74,4.81,4.72,4.74,-0.04,-0.84,1935295
19/11/2020,4.78,4.79,4.69,4.78,-0.04,-0.83,4306390
18/11/2020,4.8,4.96,4.79,4.82,0.02,0.42,2886294
17/11/2020,4.76,4.84,4.74,4.8,0.04,0.84,3400839
16/11/2020,4.78,4.8,4.76,4.76,0,0,25708
13/11/2020,4.69,4.78,4.63,4.76,-0.04,-0.83,2059639
12/11/2020,4.87,4.88,4.765,4.8,-0.05,-1.03,1937700
11/11/2020,4.72,4.88,4.68,4.85,0.15,3.19,4254665
10/11/2020,4.84,4.875,4.68,4.7,-0.07,-1.47,3083202
09/11/2020,4.64,4.82,4.61,4.77,0.18,3.92,2565362
06/11/2020,4.55,4.6,4.52,4.59,-0.14,-2.96,3968633
05/11/2020,4.96,4.97,4.695,4.73,-0.25,-5.02,5003637
04/11/2020,4.86,5.06,4.82,4.98,0.23,4.84,4354198
03/11/2020,4.81,4.85,4.74,4.75,0.09,1.93,2430862
02/11/2020,4.38,4.7,4.32,4.66,0.25,5.67,4144261
30/10/2020,4.53,4.55,4.18,4.41,-0.15,-3.29,6094007
29/10/2020,4.6,4.62,4.525,4.56,-0.09,-1.94,1975373
28/10/2020,4.67,4.77,4.63,4.65,-0.06,-1.27,1848698
